"S0100-39842001000500019-scl","Carcinoma bronquíolo-alveolar: aspectos na tomografia computadorizada de alta resolução","Moreira, Luiza Beatriz Melo","Radiologia Brasileira; 34(5); 298-298","Radiologia Brasileira","Português","2001","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842001000500019&lang=pt" 
"S0100-39842001000500012-scl","Braquiterapia de alta taxa de dose associada a radioterapia externa no tratamento de angiossarcoma extenso do couro cabeludo: relato de caso","Gentil, André Cavalcanti, Soboll, Danyel Scheidegger, B. Júnior, Carlos Genésio, Novaes, Paulo Eduardo R.S., Pereira, Adelino José, Pellizzon, Antônio Cássio Assis","Radiologia Brasileira; 34(5); 309-313","Radiologia Brasileira","Português","2001","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842001000500012&lang=pt" 
"S0102-311X2001000500007-scl","What do public health researchers expect of geocomputation?","Albuquerque, Maria de Fátima Militão de","Cadernos de Saúde Pública; 17(5); 1077-1078","Cadernos de Saúde Pública","Inglês","2001","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2001000500007&lang=pt" 
"S0102-311X2001000500010-scl","The authors reply","Câmara, Gilberto, Monteiro, Antônio Miguel","Cadernos de Saúde Pública; 17(5); 1081-1081","Cadernos de Saúde Pública","Inglês","2001","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2001000500010&lang=pt" 
"S0102-311X2001000500008-scl","Debate on the paper by Gilberto Câmara &amp; Antônio Miguel Vieira Monteiro","Struchiner, Claudio J.","Cadernos de Saúde Pública; 17(5); 1078-1078","Cadernos de Saúde Pública","Inglês","2001","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2001000500008&lang=pt" 
"S0102-311X2001000500006-scl","Debate on the paper by Gilberto Câmara &amp; Antônio Miguel Vieira Monteiro","Assunção, Renato Martins","Cadernos de Saúde Pública; 17(5); 1076-1076","Cadernos de Saúde Pública","Inglês","2001","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2001000500006&lang=pt" 
"S0102-311X2001000500005-scl","Debate on the paper by Gilberto Câmara &amp; Antônio Miguel Vieira Monteiro","Nobre, Flávio Fonseca","Cadernos de Saúde Pública; 17(5); 1074-1075","Cadernos de Saúde Pública","Inglês","2001","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2001000500005&lang=pt" 
"S0102-311X2001000500004-scl","Debate on the paper by Gilberto Câmara &amp; Antônio Miguel Vieira Monteiro","Waltner-Toews, David","Cadernos de Saúde Pública; 17(5); 1073-1074","Cadernos de Saúde Pública","Inglês","2001","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2001000500004&lang=pt" 
"S0102-311X2001000500009-scl","The specificities of spatial health data analysis","Barcellos, Christovam","Cadernos de Saúde Pública; 17(5); 1079-1080","Cadernos de Saúde Pública","Inglês","2001","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2001000500009&lang=pt" 
"S0102-311X2001000500003-scl","Debate on the paper by Gilberto Câmara &amp; Antônio Miguel Vieira Monteiro","Bailey, Trevor C.","Cadernos de Saúde Pública; 17(5); 1072-1073","Cadernos de Saúde Pública","Inglês","2001","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2001000500003&lang=pt" 
"S0102-311X2001000500009-spa","The specificities of spatial health data analysis","Barcellos, Christovam","Cadernos de Saúde Pública; 17(5); 1079-1080","Cadernos de Saúde Pública","Inglês","2001","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2001000500009&lang=pt" 
"S0102-311X2001000500003-spa","Debate on the paper by Gilberto Câmara &amp; Antônio Miguel Vieira Monteiro","Bailey, Trevor C.","Cadernos de Saúde Pública; 17(5); 1072-1073","Cadernos de Saúde Pública","Inglês","2001","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2001000500003&lang=pt" 
"S0102-311X2001000500004-spa","Debate on the paper by Gilberto Câmara &amp; Antônio Miguel Vieira Monteiro","Waltner-Toews, David","Cadernos de Saúde Pública; 17(5); 1073-1074","Cadernos de Saúde Pública","Inglês","2001","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2001000500004&lang=pt" 
"S0102-311X2001000500010-spa","The authors reply","Câmara, Gilberto, Monteiro, Antônio Miguel","Cadernos de Saúde Pública; 17(5); 1081-1081","Cadernos de Saúde Pública","Inglês","2001","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2001000500010&lang=pt" 
"S0102-311X2001000500008-spa","Debate on the paper by Gilberto Câmara &amp; Antônio Miguel Vieira Monteiro","Struchiner, Claudio J.","Cadernos de Saúde Pública; 17(5); 1078-1078","Cadernos de Saúde Pública","Inglês","2001","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2001000500008&lang=pt" 
"S0102-311X2001000500005-spa","Debate on the paper by Gilberto Câmara &amp; Antônio Miguel Vieira Monteiro","Nobre, Flávio Fonseca","Cadernos de Saúde Pública; 17(5); 1074-1075","Cadernos de Saúde Pública","Inglês","2001","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2001000500005&lang=pt" 
"S0102-311X2001000500007-spa","What do public health researchers expect of geocomputation?","Albuquerque, Maria de Fátima Militão de","Cadernos de Saúde Pública; 17(5); 1077-1078","Cadernos de Saúde Pública","Inglês","2001","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2001000500007&lang=pt" 
"S0102-311X2001000500006-spa","Debate on the paper by Gilberto Câmara &amp; Antônio Miguel Vieira Monteiro","Assunção, Renato Martins","Cadernos de Saúde Pública; 17(5); 1076-1076","Cadernos de Saúde Pública","Inglês","2001","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2001000500006&lang=pt" 
"S0212-71992001001000014-esp","Nefritis intersticial, anemia hemolítica autoinmune y rifampicina","Pía Iglesias, G., Ameneiros Lago, E., Guerra Vázquez, J. L., Sesma Sánchez, P.","Anales de Medicina Interna; 18(10); 62-63","Anales de Medicina Interna","Espanhol","2001","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992001001000014&lang=pt" 
"S0212-71992001001000018-esp","Arteritis de la temporal y demencia","Viola Tarragona, C., Álvarez Soto, A., Juncadella García, E., Pac Ferraz, V.","Anales de Medicina Interna; 18(10); 65-65","Anales de Medicina Interna","Espanhol","2001","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992001001000018&lang=pt" 
"S0212-71992001001000015-esp","Mesotelioma fibroso benigno pleural versus tumor solitario benigno pleural","Oteiza, J., Tiberio, G., Domínguez, J., Vilá, E.","Anales de Medicina Interna; 18(10); 63-64","Anales de Medicina Interna","Espanhol","2001","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992001001000015&lang=pt" 
"S0212-71992001001000013-esp","Enfermedad de Hodgkin de comienzo epitroclear","Jiménez Gonzalo, F.J., Medina Pérez, M., Ríos Herranz, E.","Anales de Medicina Interna; 18(10); 62-62","Anales de Medicina Interna","Espanhol","2001","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992001001000013&lang=pt" 
"S0212-71992001001000016-esp","Endocarditis por bacterias poco frecuentes","Ricart, C., Tornero, C., Estruch, G., Soriano, C.","Anales de Medicina Interna; 18(10); 64-64","Anales de Medicina Interna","Espanhol","2001","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992001001000016&lang=pt" 
"S0212-71992001001000006-esp","Empiema adquirido en la comunidad por Acinetobacter baumannii","Alonso Fernández, A., Álvarez-Sala Walter, R., Prados Sánchez, C., Mayoralas Alises, S., Villamor León, J.","Anales de Medicina Interna; 18(10); 37-38","Anales de Medicina Interna","Espanhol","2001","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992001001000006&lang=pt" 
"S0212-71992001001000005-esp","Trombosis de la arteria basilar y ventilación mecánica","Rodríguez Borregán, J. C., Miñambres, E., Quesada Suescun, A.","Anales de Medicina Interna; 18(10); 33-36","Anales de Medicina Interna","Espanhol","2001","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992001001000005&lang=pt" 
"S0212-71992001001000003-esp","Supervivencia y progresión de la enfermedad en 251 pacientes con infección por el VIH-1: Estudio del antígeno p24 y de la carga viral como marcadores pronóstico. Su valor a los 4 años de seguimiento","Rubio Caballero, M., Rubio Rivas, C., Nogués Biau, A., Falguera Sacrest, M., Manonelles Fernández, A.","Anales de Medicina Interna; 18(10); 25-28","Anales de Medicina Interna","Espanhol","2001","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992001001000003&lang=pt" 
"S0212-71992001001000008-esp","Adenocarcinoma de pulmón asociado a mixoma auricular derecho","Mejuto Martí, M. J., Fernández Rial, A., Yáñez Wonenburger, J. C., Pazos Mareque, J. M.","Anales de Medicina Interna; 18(10); 42-44","Anales de Medicina Interna","Espanhol","2001","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992001001000008&lang=pt" 
"S0212-71992001001000004-esp","Neumotórax en pacientes infectados por el virus de inmunodeficiencia humana","Martínez-Vázquez, C., Seijas, M., Ocampo, A., López, A., Oliveira, I., Sopeña, B., Fuente, J. de la, Freita, S.","Anales de Medicina Interna; 18(10); 29-32","Anales de Medicina Interna","Espanhol","2001","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992001001000004&lang=pt" 
"S0212-71992001001000019-esp","Manifestaciones dermatológicas como forma de presentación de una hepatitis autoinmune","Gómez de la Torre, R., Florido Mancheño, J. I., Suárez del Villar, R., Rubio Barbón, S.","Anales de Medicina Interna; 18(10); 66-67","Anales de Medicina Interna","Espanhol","2001","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992001001000019&lang=pt" 
"S0212-71992001001000001-esp","Controversias en el esófago de Barrett","Bujanda Fernández de Piérola, L.","Anales de Medicina Interna; 18(10); 9-13","Anales de Medicina Interna","Espanhol","2001","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992001001000001&lang=pt" 
"S0212-71992001001000017-esp","Sepsis por Streptococcus pyogenes en un paciente con linfoma anaplásico Ki-1","Domínguez, J. M., Alegre, J., Iglesias, D., Recio, J., Fernández de Sevilla, T.","Anales de Medicina Interna; 18(10); 64-65","Anales de Medicina Interna","Espanhol","2001","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992001001000017&lang=pt" 
"S0212-71992001001000011-esp","Atelectasia secundaria a tumor carcinoide bronquial","Tirado Miranda, R., Sáez Méndez, L., Llamas Cruz, M.ª J., Valer, J.","Anales de Medicina Interna; 18(10); 60-61","Anales de Medicina Interna","Espanhol","2001","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992001001000011&lang=pt" 
"S0212-71992001001000002-esp","Tasas específicas de mortalidad por GRD y diagnóstico principal según la CIE-9-MC en un hospital de II nivel","Ramos Rincón, J. M., García Ruipérez, D., Aliaga Matas, F., Lozano Cutillas, Mª C., Llanos Llanos, R., Herrero Huerta, F.","Anales de Medicina Interna; 18(10); 14-24","Anales de Medicina Interna","Espanhol","2001","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992001001000002&lang=pt" 
"S0212-71992001001000007-esp","Shwannoma maligno mediastínico en paciente sin enfermedad de Von Recklinghausen","Creagh Cerquera, R., Casado Ramos, M., Elizande Eguinoa, J.Mª, Morales Gil, J. A., Pujol de la Llave, E.","Anales de Medicina Interna; 18(10); 39-41","Anales de Medicina Interna","Espanhol","2001","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992001001000007&lang=pt" 
"S0212-71992001001000012-esp","Colecistitis aguda, shock séptico y tuberculosis miliar","Pía Iglesias, G., Garrido Sanjuán, J. A., Fernández Rial, A., García Jiménez, A.","Anales de Medicina Interna; 18(10); 61-62","Anales de Medicina Interna","Espanhol","2001","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992001001000012&lang=pt" 
"S0100-879X2001001000001-scl","Preeclampsia: from epidemiological observations to molecular mechanisms","López-Jaramillo, P., Casas, J.P., Serrano, N.","Brazilian Journal of Medical and Biological Research; 34(10); 1227-1235","Brazilian Journal of Medical and Biological Research","Inglês","2001","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2001001000001&lang=pt" 
"S0100-879X2001001000003-scl","Ectonucleotidase activities in Sertoli cells from immature rats","Casali, E.A., Silva, T.R. da, Gelain, D.P., Kaiser, G.R.R.F., Battastini, A.M.O., Sarkis, J.J.F., Bernard, E.A.","Brazilian Journal of Medical and Biological Research; 34(10); 1247-1256","Brazilian Journal of Medical and Biological Research","Inglês","2001","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2001001000003&lang=pt" 
"S0100-879X2001001000017-scl","Actions of Crotalus durissus terrificus venom and crotoxin on the isolated rat kidney","Monteiro, H.S.A., Silva, I.M.S.C. da, Martins, A.M.C., Fonteles, M.C.","Brazilian Journal of Medical and Biological Research; 34(10); 1347-1352","Brazilian Journal of Medical and Biological Research","Inglês","2001","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2001001000017&lang=pt" 
