"S0103-90162000000400020-scl","Isolamento e caracterização de bactérias degradadoras do herbicida diuron","Roque, Milton Ricardo de Abreu, Melo, Itamar Soares de","Scientia Agricola; 57(4); 723-728","Scientia Agricola","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162000000400020&lang=pt" 
"S0103-90162000000400021-scl","Molecular characterization of Paecilomyces fumosoroseus (Deuteromycotina: Hyphomycetes) isolates","Azevedo, Andréia Cristiane Souza, Furlaneto, Márcia Cristina, Sosa-Gómez, Daniel Ricardo, Fungaro, Maria Helena Pelegrinelli","Scientia Agricola; 57(4); 729-732","Scientia Agricola","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162000000400021&lang=pt" 
"S0103-90162000000400024-scl","Gênese de ferri-argilãs em horizontes B texturais de uma seqüência de solos sobre diabásio em Piracicaba (SP)","Cooper, Miguel, Vidal-Torrado, Pablo","Scientia Agricola; 57(4); 745-750","Scientia Agricola","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162000000400024&lang=pt" 
"S0103-90162000000400030-scl","Extratores de cápsulas porosas para o monitoramento da condutividade elétrica e do teor de potássio na solução de um solo","Silva, Ênio Farias de França e, Anti, Gláucia Regina, Carmello, Quirino Augusto de Camargo, Duarte, Sérgio Nascimento","Scientia Agricola; 57(4); 785-789","Scientia Agricola","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162000000400030&lang=pt" 
"S0103-90162000000400028-scl","Ceras para conservação pós-colheita de frutos de abacateiro cultivar fuerte, armazenados em temperatura ambiente","Oliveira, Marcelo Alvares de, Santos, Carlos Henrique dos, Henrique, Celina Maria, Rodrigues, João Domingos","Scientia Agricola; 57(4); 777-780","Scientia Agricola","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162000000400028&lang=pt" 
"S0103-90162000000400029-scl","Enraizamento in vitro de um porta-enxerto de macieira em diversos substratos","Pasqual, Moacir, Silva, Adriano Bortolotti da, Maciel, Anna Lygia de Rezende, Pereira, André Barretto, Cavalcante-Alves, João Mauricio","Scientia Agricola; 57(4); 781-784","Scientia Agricola","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162000000400029&lang=pt" 
"S0103-90162000000400031-scl","Fruit characterization of Venezuelan avocado varieties of medium oil content","Gómez-López, Vicente Manuel","Scientia Agricola; 57(4); 791-794","Scientia Agricola","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162000000400031&lang=pt" 
"S0103-90162000000400033-scl","Parasitoids of Phyllocnistis citrella in Jaguariúna, state of São Paulo, Brazil, before and after the introduction of Ageniaspis citricola","Sá, Luiz Alexandre Nogueira de, Costa, Valmir Antonio, Oliveira, Wagner Portes de, Almeida, Gilberto Ribeiro de","Scientia Agricola; 57(4); 799-801","Scientia Agricola","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162000000400033&lang=pt" 
"S0103-90162000000400001-scl","Demografia do perfilhamento e taxas de acúmulo de matéria seca em capim &#039;Tifton 85&#039; sob pastejo","Carvalho, Carlos Augusto Brandão de, Silva, Sila Carneiro da, Sbrissia, André Fischer, Pinto, Luiz Felipe de Moura, Carnevalli, Roberta Aparecida, Fagundes, Jailson Lara, Pedreira, Carlos Guilherme Silveira","Scientia Agricola; 57(4); 591-600","Scientia Agricola","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162000000400001&lang=pt" 
"S0103-90162000000400002-scl","Regressão segmentada como modelo na determinação de exigências nutricionais de peixes","Portz, Leandro, Dias, Carlos Tadeu dos Santos, Cyrino, José Eurico Possebon","Scientia Agricola; 57(4); 601-607","Scientia Agricola","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162000000400002&lang=pt" 
"S0103-90162000000400008-scl","Métodos de estimação de componentes de variância em modelos mistos desbalanceados","Marcelino, Sandra Denisen do Rocio, Iemma, Antonio Francisco","Scientia Agricola; 57(4); 643-652","Scientia Agricola","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162000000400008&lang=pt" 
