"S0103-90162015000500432-scl","Composting sewage sludge with green waste from tree pruning","Moretti, Sarah Mello Leite, Bertoncini, Edna Ivani, Abreu-Junior, Cassio Hamilton","Scientia Agricola; 72(5); 432-439","Scientia Agricola","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162015000500432&lang=pt" 
"S0103-90162015000500440-scl","Minjingu phosphate rock availability in low-pH highly weathered soil as affected by added salts","Savini, Isaac, Koala, Saidou, Kihara, Job","Scientia Agricola; 72(5); 440-451","Scientia Agricola","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162015000500440&lang=pt" 
"S0103-90162015000500459-scl","Cashew cultivation in Guinea-Bissau – risks and challenges of the success of a cash crop","Catarino, Luís, Menezes, Yusufo, Sardinha, Raul","Scientia Agricola; 72(5); 459-467","Scientia Agricola","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162015000500459&lang=pt" 
"S0100-879X2015001000007-scl","Alternative chromatographic system for the quality control of lipophilic technetium-99m radiopharmaceuticals such as [99mTc(MIBI)6]+","Faria, D.P., Buchpiguel, C.A., Marques, F.L.N.","Brazilian Journal of Medical and Biological Research; 48(10); 902-907","Brazilian Journal of Medical and Biological Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2015001000007&lang=pt" 
"S1413-81232015001002933-spa","A scoping review of definitions and frameworks of intersectoral action","Dubois, Alejandra, St-Pierre, Louise, Veras, Mirella","Ciência &amp; Saúde Coletiva; 20(10); 2933-2942","Ciência &amp; Saúde Coletiva","Inglês","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001002933&lang=pt" 
"S1413-81232015001002943-spa","Programa &quot;Farmácia Popular do Brasil&quot;: caracterização e evolução entre 2004-2012","Silva, Rondineli Mendes da, Caetano, Rosangela","Ciência &amp; Saúde Coletiva; 20(10); 2943-2956","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001002943&lang=pt" 
"S1413-81232015001002957-spa","Contribuições das conferências nacionais de saúde na definição de políticas públicas de ambiente e informação em saúde","Stedile, Nilva Lúcia Rech, Guimarães, Maria Cristina Soares, Ferla, Alcindo Antonio, Freire, Rafaela Cordeiro","Ciência &amp; Saúde Coletiva; 20(10); 2957-2971","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001002957&lang=pt" 
"S1413-81232015001002973-spa","Orçamento público, região e financiamento em saúde: rendas do petróleo e desigualdades entre municípios","Barros, Delba Machado, Lima, Luciana Dias de","Ciência &amp; Saúde Coletiva; 20(10); 2973-2984","Ciência &amp; Saúde Coletiva","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001002973&lang=pt" 
"S1413-81232015001002985-spa","Desigualdades sociais, políticas de saúde e formação de médicos, enfermeiros e dentistas no Brasil e em Portugal","Craveiro, Isabel Maria Rodrigues, Hortale, Virginia Alonso, Oliveira, Ana Paula Cavalcante de, Dussault, Gilles","Ciência &amp; Saúde Coletiva; 20(10); 2985-2998","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001002985&lang=pt" 
"S1413-81232015001003011-spa","A síndrome de burnout em profissionais da Rede de Atenção Primária à Saúde de Aracaju, Brasil","Silva, Salvyana Carla Palmeira Sarmento, Nunes, Marco Antonio Prado, Santana, Vanessa Rocha, Reis, Francisco Prado, Machado Neto, José, Lima, Sonia Oliveira","Ciência &amp; Saúde Coletiva; 20(10); 3011-3020","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001003011&lang=pt" 
"S1413-81232015001003021-spa","Produzir saúde suscita adoecimento? As contradições do trabalho em hospitais públicos de urgência e emergência","Rosado, Iana Vasconcelos Moreira, Russo, Gláucia Helena Araújo, Maia, Eulália Maria Chaves","Ciência &amp; Saúde Coletiva; 20(10); 3021-3032","Ciência &amp; Saúde Coletiva","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001003021&lang=pt" 
