"S0719-26812015000300010-chl","LOS TEXTOS ESCOLARES EN CONFLICTO CON LA SUBALTERNIDAD: LA GUERRA DEL PACÍFICO EN LAS AULAS","Chaupis Torres, José","Diálogo andino; (48); 99-108","Diálogo andino","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-26812015000300010&lang=pt" 
"S0719-26812015000300011-chl","LA PRESENCIA BOLIVIANA EN EL DESIERTO DE ATACAMA DESPUÉS DE LA POSTGUERRA DE 1879: PATRONES DE MIGRACIÓN E INSERCIÓN EN LA SOCIEDAD DE ANTOFAGASTA","González Pizarro, José Antonio, Lufin Varas, Marcelo, Galeno Ibaceta, Claudio","Diálogo andino; (48); 109-126","Diálogo andino","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-26812015000300011&lang=pt" 
"S0719-26812015000300013-chl","LAS MIGRACIONES INTERNACIONALES Y LA SEGURIDAD MULTIDIMENSIONAL EN TIEMPOS DE LA GLOBALIZACIÓN","Bravo Acevedo, Guillermo","Diálogo andino; (48); 139-149","Diálogo andino","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-26812015000300013&lang=pt" 
"S0120-62302015000300011-col","Sinú River raw water treatment by natural coagulants","Rodiño-Arguello, Johana Paola, Feria-Diaz, Jhon Jairo, Paternina-Uribe, Roberth de Jesús, Marrugo-Negrete, José Luis","Revista Facultad de Ingeniería Universidad de Antioquia; (76); 90-98","Revista Facultad de Ingeniería Universidad de Antioquia","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302015000300011&lang=pt" 
"S0120-62302015000300013-col","Analysis of Bender Element signals during triaxial testing","Kim, Taesik, Zapata-Medina, David Guillermo, Vega-Posada, Carlos Alberto","Revista Facultad de Ingeniería Universidad de Antioquia; (76); 107-113","Revista Facultad de Ingeniería Universidad de Antioquia","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302015000300013&lang=pt" 
"S0120-62302015000300008-col","Productivity and energy efficiency of three tillage systems for maize (Zea mayz L.) production","Ruiz-Vega, Jaime, Mena-Mesa, Niurka, Diego-Nava, Fidel, Herrera-Suárez, Miguel","Revista Facultad de Ingeniería Universidad de Antioquia; (76); 66-72","Revista Facultad de Ingeniería Universidad de Antioquia","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302015000300008&lang=pt" 
"S0120-62302015000300014-col","Prony&#039;s method implementation for slow wave identification of electroenterogram signals","Moreno-Vázquez, José de Jesús, Sartorius-Castellanos, Aldo Rafael, Antonio-Ortiz, Raúl, Hernández-Nieto, Marcia Lorena, Zamudio-Radilla, Antonia","Revista Facultad de Ingeniería Universidad de Antioquia; (76); 114-122","Revista Facultad de Ingeniería Universidad de Antioquia","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302015000300014&lang=pt" 
"S0120-62302015000300010-col","Cation and anion monitoring in a wastewater treatment pilot project","de Almeida, Magda, Vargas-Zerwes, Filipe, Ferreira-Bastos, Lucas, Ben da Costa, Adilson, de Souza-Schneider, Rosana de Cassia, Machado, Ênio Leandro, Kohler, Andreas","Revista Facultad de Ingeniería Universidad de Antioquia; (76); 82-89","Revista Facultad de Ingeniería Universidad de Antioquia","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302015000300010&lang=pt" 
"S0719-26812015000300001-chl","LA OTRA GUERRA DEL PACÍFICO","Díaz Araya, Alberto, Chaupis Torres, José, Sánchez Espinoza, Eugenio","Diálogo andino; (48); 3-5","Diálogo andino","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-26812015000300001&lang=pt" 
"S0120-62302015000300001-col","EDITORIAL","Gómez Botero, Maryory Astrid","Revista Facultad de Ingeniería Universidad de Antioquia; (76); 5-5","Revista Facultad de Ingeniería Universidad de Antioquia","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302015000300001&lang=pt" 
"S0719-26812015000300005-chl","PRENSA E IMAGINARIO NACIONAL: LA MISIÓN SOCIAL DE LOS ACTORES SUBALTERNOS REGIONALES DURANTE LA GUERRA DEL PACÍFICO","Rubilar Luengo, Mauricio","Diálogo andino; (48); 41-53","Diálogo andino","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-26812015000300005&lang=pt" 
"S2227-18992015000300009-cub","Sistema de actividades de formación para la aplicación de la gestión del conocimiento en el Centro de Innovación y Calidad de la Educación","Hernández Luque, Eylín, Ciudad Ricardo, Febe Ángel, Piñeiro Gómez, Yordanys","Revista Cubana de Ciencias Informáticas; 9(3); 128-137","Revista Cubana de Ciencias Informáticas","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2227-18992015000300009&lang=pt" 
"S2227-18992015000300010-cub","Programa de entrenamiento en TIC como medio del proceso de enseñanza aprendizaje","Pérez Pino, María Teresa, Ciudad Ricardo, Febe Ángel, Farray Álvarez, Orlando, Burguet Lago, Ivonne, Piñeiro Gómez, Yordanys, Francisco López, Juan","Revista Cubana de Ciencias Informáticas; 9(3); 138-152","Revista Cubana de Ciencias Informáticas","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2227-18992015000300010&lang=pt" 
