"S0365-94021999000300012-chl","Estandarización de la ELISA IgM e IgA para el inmunodiagnóstico de la triquinosis humana","Contreras, María del C., Acevedo, Elsa, Aguilera, Susana, Sandoval, Lea, Salinas, Patricia","Boletín chileno de parasitología; 54(3-4); 104-109","Boletín chileno de parasitología","Espanhol","1999","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0365-94021999000300012&lang=pt" 
"S0365-94021999000300013-chl","Hydatidosis in the province of La Pampa, Argentina, 1998.","Lamberti, Roberto, Calvo, Claudio, Pombar, Arian, Gino, Lilia, Alvarez E., Emiliano, Aguado, Carlos, Larrieu, Edmundo","Boletín chileno de parasitología; 54(3-4); 110-112","Boletín chileno de parasitología","Inglês","1999","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0365-94021999000300013&lang=pt" 
"S0365-94021999000300014-chl","Brotes epizoóticos de triquinosis en dos criadores de cerdos de la Región Metropolitana, Chile.","Schenone, Hugo, Burgos, Marisol, Ulloa, Marcelo, Acuña, Pedro, Ojeda, Julio, Silva, José Rolando, Ibáñez, Oscar, Schenone, Hugo","Boletín chileno de parasitología; 54(3-4); 113-115","Boletín chileno de parasitología","Espanhol","1999","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0365-94021999000300014&lang=pt" 
"S0365-94021999000300015-chl","Redescription of Procamallanus mathurai Pande, Bhatia and Rai, 1963 (Camallanidae: Nematoda)","Bharatha Lakshmi, B., Sudha, M.","Boletín chileno de parasitología; 54(3-4); 115-117","Boletín chileno de parasitología","Inglês","1999","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0365-94021999000300015&lang=pt" 
"S0100-879X1999000700006-scl","Searching for the role of protein phosphatases in eukaryotic microorganisms","da-Silva, A.M., Zapella, P.D.A., Andrioli, L.P.M., Campanhã, R.B., Fiorini, L.C., Etchebehere, L.C., da-Costa-Maia, J.C., Terenzi, H.F.","Brazilian Journal of Medical and Biological Research; 32(7); 835-839","Brazilian Journal of Medical and Biological Research","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X1999000700006&lang=pt" 
"S0100-879X1999000700013-scl","Collagenase specificity in chondrosarcoma metastasis","Scully, S.P., Berend, K.R., Qi, W.-N., Harrelson, J.M.","Brazilian Journal of Medical and Biological Research; 32(7); 885-889","Brazilian Journal of Medical and Biological Research","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X1999000700013&lang=pt" 
"S0100-879X1999000700004-scl","Perturbation of EGF-induced MAP kinase activation by TGF-ß1","Wenner, C.E., Yan, S.","Brazilian Journal of Medical and Biological Research; 32(7); 821-825","Brazilian Journal of Medical and Biological Research","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X1999000700004&lang=pt" 
"S0100-879X1999000700007-scl","Control of the adrenocortical cell cycle: interaction between FGF2 and ACTH","Armelin, H.A., Lotfi, C.F.P.","Brazilian Journal of Medical and Biological Research; 32(7); 841-843","Brazilian Journal of Medical and Biological Research","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X1999000700007&lang=pt" 
"S0100-879X1999000700003-scl","Nuclear exclusion of transcription factors associated with apoptosis in developing nervous tissue","Linden, R., Chiarini, L.B.","Brazilian Journal of Medical and Biological Research; 32(7); 813-820","Brazilian Journal of Medical and Biological Research","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X1999000700003&lang=pt" 
"S0100-879X1999000700009-scl","A receptor for infectious and cellular prion protein","Martins, V.R.","Brazilian Journal of Medical and Biological Research; 32(7); 853-859","Brazilian Journal of Medical and Biological Research","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X1999000700009&lang=pt" 
"S0100-879X1999000700008-scl","Application of the differential display RT-PCR strategy for the identification of inflammation-related mouse genes","Silva, A.M., Pires, E.G., Abrantes, E.F., Ferreira, L.R.P., Gazzinelli, R.T., Reis, L.F.L.","Brazilian Journal of Medical and Biological Research; 32(7); 845-852","Brazilian Journal of Medical and Biological Research","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X1999000700008&lang=pt" 
