"S0104-66321999000100001-scl","PREPARATION OF TANTALUM CARBIDE FROM AN ORGANOMETALLIC PRECURSOR","SOUZA, C. P., FAVOTTO, C., SATRE, P., L&#039; HONORÉ, A., ROUBIN, M.","Brazilian Journal of Chemical Engineering; 16(1); 1-6","Brazilian Journal of Chemical Engineering","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66321999000100001&lang=pt" 
"S0103-97331999000100001-scl","Special issue: nonextensive statistical mechanics and thermodynamics","","Brazilian Journal of Physics; 29(1); -","Brazilian Journal of Physics","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97331999000100001&lang=pt" 
"S0103-97331999000100004-scl","Entropies Galore!","Landsberg, P. T.","Brazilian Journal of Physics; 29(1); 46-49","Brazilian Journal of Physics","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97331999000100004&lang=pt" 
"S0103-97331999000100006-scl","Fractional powers of operators of Tsallis ensemble and their parameter differentiation","Rajagopal, A. K.","Brazilian Journal of Physics; 29(1); 61-65","Brazilian Journal of Physics","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97331999000100006&lang=pt" 
"S0103-97331999000100016-scl","Computational methods inspired by Tsallis statistics: Monte Carlo and molecular dynamics algorithms for the simulation of classical and quantum systems","Straub, John E., Andricioaei, Ioan","Brazilian Journal of Physics; 29(1); 179-186","Brazilian Journal of Physics","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97331999000100016&lang=pt" 
"S0103-97331999000100010-scl","Statistical-thermodynamical foundations of anomalous diffusion","Zanette, Damián H.","Brazilian Journal of Physics; 29(1); 108-124","Brazilian Journal of Physics","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97331999000100010&lang=pt" 
"S0102-261X1999000100024-scl","Modelagem ionosférica em baixas latitudes no Brasil","Souza, Jonas Rodrigues de","Revista Brasileira de Geofísica; 17(1); 98-99","Revista Brasileira de Geofísica","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-261X1999000100024&lang=pt" 
"S0102-261X1999000100023-scl","Resposta do sistema ionosfera-termosfera a tempestades magnéticas no setor sul-americano","Pincheira, Ximena Andrea Torres","Revista Brasileira de Geofísica; 17(1); 97-98","Revista Brasileira de Geofísica","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-261X1999000100023&lang=pt" 
"S0102-261X1999000100022-scl","Observações da radiação UV-B em Punta Arenas - Chile e efeitos do buraco na camada de ozônio","Zamorano Banda, Félix de la Cruz","Revista Brasileira de Geofísica; 17(1); 96-97","Revista Brasileira de Geofísica","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-261X1999000100022&lang=pt" 
"S0102-261X1999000100021-scl","Estudo de parâmetros de ondas de gravidade por medidas simultâneas de radar MU e fotômetro em Shigaraki (35o N, 136o L), Japão","Costa, Ricardo Arlen Buriti da","Revista Brasileira de Geofísica; 17(1); 95-96","Revista Brasileira de Geofísica","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-261X1999000100021&lang=pt" 
"S0102-261X1999000100020-scl","O perfil de temperatura na região da mesopausa em São José Dos Campos (23o S, 46o O) obtido com radar de laser","Jorge, Maria Paulete Pereira Martins","Revista Brasileira de Geofísica; 17(1); 95-95","Revista Brasileira de Geofísica","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-261X1999000100020&lang=pt" 
"S0102-261X1999000100019-scl","Observações do buraco de ozônio em Punta Arenas, Chile","Salgado, Claudio Angel Rigoberto Casiccia","Revista Brasileira de Geofísica; 17(1); 94-94","Revista Brasileira de Geofísica","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-261X1999000100019&lang=pt" 
"S0102-261X1999000100018-scl","Variabilidade interanual de campos atmosféricos totais e zonalmente assimétricos","Andreoli, Rita Valéria","Revista Brasileira de Geofísica; 17(1); 93-93","Revista Brasileira de Geofísica","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-261X1999000100018&lang=pt" 
"S0102-261X1999000100017-scl","Padrões climáticos dos vórtices ciclônicos em altos níveis no nordeste do Brasil","Valverde Ramírez, Mara Cleofé","Revista Brasileira de Geofísica; 17(1); 92-93","Revista Brasileira de Geofísica","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-261X1999000100017&lang=pt" 
"S0102-261X1999000100016-scl","Desempenho das previsões de variáveis simples e derivadas obtidas pelo modelo global do CPTEC/COLA para alguns casos significativos ocorridos sobre o centro-sul do Brasil","Bitencourt, Daniel Pires","Revista Brasileira de Geofísica; 17(1); 91-92","Revista Brasileira de Geofísica","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-261X1999000100016&lang=pt" 
"S0102-261X1999000100015-scl","Estudo da estrutura termodinâmica da atmosfera sobre a Amazônia","Carmo, Alexandre Melo Casseb do","Revista Brasileira de Geofísica; 17(1); 90-90","Revista Brasileira de Geofísica","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-261X1999000100015&lang=pt" 
"S0102-261X1999000100014-scl","Modelagem estatístico-dinâmica de média zonal incluindo parametrização explícita da vegetação","Silva, Mário Adelmo Varejão","Revista Brasileira de Geofísica; 17(1); 89-89","Revista Brasileira de Geofísica","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-261X1999000100014&lang=pt" 
"S0102-261X1999000100013-scl","Bloqueio atmosférico no hemisfério sul","Marques, Rosa de Fátima Cruz","Revista Brasileira de Geofísica; 17(1); 88-88","Revista Brasileira de Geofísica","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-261X1999000100013&lang=pt" 
"S0102-261X1999000100012-scl","Manutenção da circulação atmosférica sobre a América do Sul","Lima, Marley Cavalcante de","Revista Brasileira de Geofísica; 17(1); 87-88","Revista Brasileira de Geofísica","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-261X1999000100012&lang=pt" 
"S0102-261X1999000100011-scl","Distúrbios nos ventos de leste no Atlântico Tropical","Espinoza, Elizabeth Silvestre","Revista Brasileira de Geofísica; 17(1); 87-87","Revista Brasileira de Geofísica","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-261X1999000100011&lang=pt" 
"S0102-261X1999000100010-scl","Camada limite amazônica: aspectos observacionais e de modelagem","Fisch, Gilberto","Revista Brasileira de Geofísica; 17(1); 85-86","Revista Brasileira de Geofísica","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-261X1999000100010&lang=pt" 
"S0102-261X1999000100009-scl","Balanço de radiação em três ecossistemas da floresta amazônica: campina, campinarana e mata densa","Leitão, Mário de Miranda Vilas Boas Ramos","Revista Brasileira de Geofísica; 17(1); 84-85","Revista Brasileira de Geofísica","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-261X1999000100009&lang=pt" 
"S0102-261X1999000100008-scl","Sondagens TOVS: impacto na análise sinótica entre 18 e 19 de março de 1991 na região sul e sudeste do Brasil","Sakuragi, Jojhy","Revista Brasileira de Geofísica; 17(1); 84-84","Revista Brasileira de Geofísica","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-261X1999000100008&lang=pt" 
"S0102-261X1999000100002-scl","Algoritmo para completar series de valores de la frecuencia crítica de la región F de la ionósfera sobre Concepción, Chile","Arriagada, M.A., Foppiano, A. J.","Revista Brasileira de Geofísica; 17(1); 13-20","Revista Brasileira de Geofísica","Espanhol","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-261X1999000100002&lang=pt" 
"S0102-261X1999000100006-scl","Identificação da advecção de ar quente através da análise de dados de satélites","Fedorova, N., Bakst, L.","Revista Brasileira de Geofísica; 17(1); 67-78","Revista Brasileira de Geofísica","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-261X1999000100006&lang=pt" 
"S0102-261X1999000100007-scl","Mar territorial, zona econômica exclusiva ou plataforma continental?","Souza, J. M. de","Revista Brasileira de Geofísica; 17(1); 79-82","Revista Brasileira de Geofísica","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-261X1999000100007&lang=pt" 
"S0102-261X1999000100001-scl","Un modelo gravimétrico 3D de la profunda cuenca sedimentaria de Ischigualasto-Villa Unión (San Juan y La Rioja)-Argentina","Ruiz, F., Introcaso, A.","Revista Brasileira de Geofísica; 17(1); 3-11","Revista Brasileira de Geofísica","Espanhol","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-261X1999000100001&lang=pt" 
"S0102-261X1999000100003-scl","Energetics of the high frequency disturbances over South America","Gan, M. A., Rao, V. B.","Revista Brasileira de Geofísica; 17(1); 21-28","Revista Brasileira de Geofísica","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-261X1999000100003&lang=pt" 
"S0102-261X1999000100004-scl","A comparison between longwave radiation codes","Plana-Fattori, A., Kuhn, P. A. F., Chagas, J. C. S.","Revista Brasileira de Geofísica; 17(1); 29-41","Revista Brasileira de Geofísica","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-261X1999000100004&lang=pt" 
"S0102-261X1999000100005-scl","Overview of Geomagnetic Deep Soundings (GDS) as applied in the Parnaíba Basin, North-Northeast Brazil","Arora, B. R., Trivedi, N. B., Vitorello, I., Padilha, A. L., Rigoti, A., Chamalaun, F. H.","Revista Brasileira de Geofísica; 17(1); 43-65","Revista Brasileira de Geofísica","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-261X1999000100005&lang=pt" 
"S1415-47571999000100006-scl","Clonal chromosome abnormalites found in three non-neoplastic proliferative brain lesions","Rainho, Cláudia Aparecida, Barbieri Neto, José, Moraes, Lamartine Correa de, Rogatto, Silvia Regina","Genetics and Molecular Biology; 22(1); 25-28","Genetics and Molecular Biology","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47571999000100006&lang=pt" 
"S1415-47571999000100007-scl","Mapping of dentin-specific acidic phosphoprotein and integrin-binding sialoprotein in sheep defines an inversion breakpoint with respect to human chromosome 4Q","Lumsden, Joanne M., Lord, Eric A., Hirst, Karen L., Dixon, Michael J., Montgomery, Grant W.","Genetics and Molecular Biology; 22(1); 29-31","Genetics and Molecular Biology","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47571999000100007&lang=pt" 
"S1415-47571999000100005-scl","Single cell chromosome rearrangements in indivuduals with reproductive failure","Domínguez, M.G., Rivera, H., Vásquez, A.I., Ramos, A.L.","Genetics and Molecular Biology; 22(1); 21-23","Genetics and Molecular Biology","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47571999000100005&lang=pt" 
"S1415-47571999000100010-scl","Karyological study of cicindelidia trifasciata (coleoptera, cicindelidae) from cuba: evidence of B chromosomes","Proença, Sónia J.R., Collares-Pereira, M.J., Serrano, A.R.M.","Genetics and Molecular Biology; 22(1); 45-48","Genetics and Molecular Biology","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47571999000100010&lang=pt" 
"S1415-47571999000100009-scl","Heterochromatin analysis in the fish species Liposarcus anisitsi (siluriformes) and Leporinus elongatus (characiformes)","Artoni, Roberto Ferreira, Molina, Wagner Franco, Bertollo, Luis Antonio Carlos, Galetti Junior, Pedro Manoel","Genetics and Molecular Biology; 22(1); 39-44","Genetics and Molecular Biology","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47571999000100009&lang=pt" 
"S1415-47571999000100021-scl","Estimating gain by use of a classic selection index under multicollinearity in wheat (Triticum aestivum)","Carvalho, Samuel Pereira de, Cruz, Cosme Damião, Carvalho, Claudio Guilherme Portela de","Genetics and Molecular Biology; 22(1); 109-113","Genetics and Molecular Biology","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47571999000100021&lang=pt" 
"S1415-47571999000100019-scl","Inheritance of fruit color and pigment changes in a yellow tomato (Lycopersicon esculentum Mill.) mutant","Rêgo, Elizanilda R. do, Finger, Fernando L., Casali, Vicente W.D., Cardoso, Antônio A.","Genetics and Molecular Biology; 22(1); 101-104","Genetics and Molecular Biology","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47571999000100019&lang=pt" 
"S1415-47571999000100014-scl","Cell fusion and chromatin degeneration in an inbred line of maize","Caetano-Pereira, Creuci Maria, Pagliarini, Maria Suely, Brasil, Edward Madureira","Genetics and Molecular Biology; 22(1); 69-72","Genetics and Molecular Biology","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47571999000100014&lang=pt" 
"S1415-47571999000100016-scl","Hematoxylin: a simple, multiple-use dye for chromosome analysis","Guerra, Marcelo","Genetics and Molecular Biology; 22(1); 77-80","Genetics and Molecular Biology","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47571999000100016&lang=pt" 
"S1415-47571999000100018-scl","Effects of sorghum (sorghum bicolor L.) root exudates on the cell cycle of the bean plant (phaseolus vulgaris L.) root","Hallak, Angela Maria Gattás, Davide, Lisete Chamma, Souza, Itamar Ferreira","Genetics and Molecular Biology; 22(1); 95-99","Genetics and Molecular Biology","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47571999000100018&lang=pt" 
"S1415-47571999000100025-scl","","","Genetics and Molecular Biology; 22(1); 133-138","Genetics and Molecular Biology","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47571999000100025&lang=pt" 
"S1415-47571999000100020-scl","Codominant inheritance of polymorphic color variants of Gracilaria domingensis (Gracilariales, Rhodophyta)","Plastino, Estela M., Guimarães, Melina, Matioli, Sergio R., Oliveira, Eurico C.","Genetics and Molecular Biology; 22(1); 105-108","Genetics and Molecular Biology","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47571999000100020&lang=pt" 
"S1415-47571999000100002-scl","Lack of association between parenchymal neurocysticercosis and HLA Class I and Class II antigens","Bompeixe, Eni Picchioni, Costa, Sonia Maria Correia Machado da, Arruda, Walter Oleschko, Petzl-Erler, Maria Luiza","Genetics and Molecular Biology; 22(1); 7-11","Genetics and Molecular Biology","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47571999000100002&lang=pt" 
"S1415-47571999000100003-scl","Genetic effect on apgar score","Franchi-Pinto, Carla, Colletto, Glória Maria Duccini Dal, Krieger, Henrique, Beiguelman, Bernardo","Genetics and Molecular Biology; 22(1); 13-16","Genetics and Molecular Biology","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47571999000100003&lang=pt" 
"S1415-47571999000100004-scl","Bleomycin sensitivity in patients with familial and sporadic polyposis: a pilot study","Sales, Magaly M., Lucca, Edmundo J. de, Yamashita, Seizo, Saad, Luis Henrique Cury","Genetics and Molecular Biology; 22(1); 17-20","Genetics and Molecular Biology","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47571999000100004&lang=pt" 
"S1415-47571999000100008-scl","Chromosomal characterization of cultured populations of Chilean coho salmon (Oncorhynchus kistuch)","Colihueque V., Nelson","Genetics and Molecular Biology; 22(1); 33-38","Genetics and Molecular Biology","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47571999000100008&lang=pt" 
"S1415-47571999000100011-scl","Comparative analysis of morphological and behavioral characters in the domestic dog and their importance in the reconstruction of phylogenetic relationships in canids","Jordana, J., Manteca, X., Ribo, O.","Genetics and Molecular Biology; 22(1); 49-57","Genetics and Molecular Biology","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47571999000100011&lang=pt" 
"S1415-47571999000100012-scl","Protective effect of butylated hydroxytoluene (BHT) against the clastogenic acitivity of cadmium chloride and potassium dichromate in hamster ovary cells","Grillo, Claudia A., Seoane, Analía I., Dulout, Fernando N.","Genetics and Molecular Biology; 22(1); 59-64","Genetics and Molecular Biology","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47571999000100012&lang=pt" 
"S1415-47571999000100013-scl","Transplacental inhibitory effect of carrot juice on the clastogenicity of cyclophosphamide in mice","Gimmler-Luz, Maria Clara, Cardoso, Valesca Veiga, Sardiglia, Cassius Ugarte, Widholzer, Débora da Silva","Genetics and Molecular Biology; 22(1); 65-68","Genetics and Molecular Biology","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47571999000100013&lang=pt" 
"S1415-47571999000100015-scl","Analysis of Africanized honey bee mitochondrial DNA reveals further diversity of origin","Sheppard, Walter S., Rinderer, Thomas E., Garnery, Lionel, Shimanuki, Hachiro","Genetics and Molecular Biology; 22(1); 73-75","Genetics and Molecular Biology","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47571999000100015&lang=pt" 
"S1415-47571999000100017-scl","Morphological and agronomical characterization and estimates of genetic parameters of sesbania Scop. (Leguminosae) accessions","Veasey, E.A., Schammass, E.A., Vencovsky, R., Martins, P.S., Bandel, G.","Genetics and Molecular Biology; 22(1); 81-93","Genetics and Molecular Biology","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47571999000100017&lang=pt" 
"S1415-47571999000100022-scl","Co-evolution model of Colletotrichum lindemuthianum (melanconiaceae, melanconiales) races that occur in some Brazilian regions","Alzate-Marin, Ana Lilia, Barros, Everaldo Gonçalves de, Moreira, Maurílio Alves","Genetics and Molecular Biology; 22(1); 115-118","Genetics and Molecular Biology","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47571999000100022&lang=pt" 
"S1415-47571999000100023-scl","Transformation of the entomopathogenic fungi, paecilomyces fumosoroseus and paecilomyces lilacinus (deuteromycotina: hyphomycetes) to benomyl resistence","Inglis, Peter W., Tigano, Myrian S., Valadares-Inglis, M. Cléria","Genetics and Molecular Biology; 22(1); 119-123","Genetics and Molecular Biology","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47571999000100023&lang=pt" 
"S1415-47571999000100024-scl","Genetic maps of Saccharum officinarum L. and Saccharum robustum Brandes &amp; Jew. ex grassl","Guimarães, Claudia T., Honeycutt, Rhonda J., Sills, Gavin R., Sobral, Bruno W.S.","Genetics and Molecular Biology; 22(1); 125-132","Genetics and Molecular Biology","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47571999000100024&lang=pt" 
"S1415-47571999000100001-scl","Genetic causes involved in Leishmania Chagasi infection innortheastern: Brazil","Feitosa, Mary Furlan, Azevêdo, Eliane, Lima, Ângela Maria, Krieger, Henrique","Genetics and Molecular Biology; 22(1); 1-5","Genetics and Molecular Biology","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47571999000100001&lang=pt" 
"S0103-97331999000100007-scl","Field-theoretical methods and nonextensive systems","Mendes, Renio S.","Brazilian Journal of Physics; 29(1); 66-78","Brazilian Journal of Physics","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97331999000100007&lang=pt" 
"S0103-97331999000100017-scl","Tackling the protein folding problem by a generalized-ensemble approach with Tsallis statistics","Hansmann, Ulrich H.E., Okamoto, Yuko","Brazilian Journal of Physics; 29(1); 187-198","Brazilian Journal of Physics","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97331999000100017&lang=pt" 
"S0103-97331999000100012-scl","Stochastic resonance: the role of potential asymmetry and non Gaussian noises","Wio, Horacio S., Bouzat, Sebastián","Brazilian Journal of Physics; 29(1); 136-143","Brazilian Journal of Physics","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97331999000100012&lang=pt" 
"S0103-97331999000100009-scl","Navier-Stokes equations for generalized thermostatistics","Boghosian, Bruce M.","Brazilian Journal of Physics; 29(1); 91-107","Brazilian Journal of Physics","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97331999000100009&lang=pt" 
"S0103-97331999000100014-scl","Thermal distributions in stellar plasmas, nuclear reactions and solar neutrinos","Coraddu, M., Kaniadakis, G., Lavagno, A., Lissia, M., Mezzorani, G., Quarati, P.","Brazilian Journal of Physics; 29(1); 153-168","Brazilian Journal of Physics","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97331999000100014&lang=pt" 
"S0103-97331999000100003-scl","General aspects of the thermodynamical formalism","Curado, Evaldo M. F.","Brazilian Journal of Physics; 29(1); 36-45","Brazilian Journal of Physics","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97331999000100003&lang=pt" 
"S0103-97331999000100015-scl","Nonextensive effects in tight-binding systems with long-range hopping","Borland, Lisa, Menchero, J. G.","Brazilian Journal of Physics; 29(1); 169-178","Brazilian Journal of Physics","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97331999000100015&lang=pt" 
"S0103-97331999000100013-scl","Low-dimensional non-linear dynamical systems and generalized entropy","Silva, Crisógono R. da, Cruz, Heber R. da, Lyra, Marcelo L.","Brazilian Journal of Physics; 29(1); 144-152","Brazilian Journal of Physics","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97331999000100013&lang=pt" 
