"S0188-25032015000300007-mex","La política en los bordes del liberalismo: Diferencia, populismo, revolución, emancipación","Cabrera A., Raúl E.","Revista mexicana de sociología; 77(3); 502-505","Revista mexicana de sociología","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-25032015000300007&lang=pt" 
"S0188-25032015000300006-mex","Los lugares de lo político, los desplazamientos del símbolo: Poder y simbolismo en la obra de Victor W. Turner","Sempio Durán, Camilo","Revista mexicana de sociología; 77(3); 497-501","Revista mexicana de sociología","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-25032015000300006&lang=pt" 
"S0188-25032015000300008-mex","Dialéctica de la imaginación: Pablo González Casanova, una biografía intelectual","Labastida Martín del Campo, Julio","Revista mexicana de sociología; 77(3); 506-509","Revista mexicana de sociología","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-25032015000300008&lang=pt" 
"S1678-86212015000300135-scl","Avaliação do consumo de água em torneiras em ambiente universitário","Demanboro, Antônio Carlos, Fabiano, Braulio, Longo, Regina Marcia, Bettine, Sueli do Carmo","Ambiente Construído; 15(3); 135-143","Ambiente Construído","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212015000300135&lang=pt" 
"S1678-86212015000300071-scl","Eflorescência salina na igreja de Santo Alexandre, Belém - PA","Loureiro, Alexandre Máximo Silva, Angélica, Rômulo Simões, Sanjad, Thais Alessandra Bastos Caminha, Oliveira, Mário Mendonça de, Costa, Marcondes Lima da","Ambiente Construído; 15(3); 71-83","Ambiente Construído","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212015000300071&lang=pt" 
"S1980-993X2015000300614-scl","Análise das condições de potabilidade das águas de surgências em Ubá, MG","Souza, José Antonio Rodrigues de, Moreira, Débora Astoni, Condé, Naiara Moreira, Carvalho, Wanderbeth Belchior de, Carvalho, Christina Vargas Miranda e","Revista Ambiente &amp; Água; 10(3); 614-622","Revista Ambiente &amp; Água","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-993X2015000300614&lang=pt" 
"S1980-993X2015000300574-scl","Potencial de efluente de esgoto doméstico tratado como fonte de água e nutrientes no cultivo hidropônico de alface","Cuba, Renata da Silva, do Carmo, João Rios, Souza, Claudinei Fonseca, Bastos, Reinaldo Gaspar","Revista Ambiente &amp; Água; 10(3); 574-586","Revista Ambiente &amp; Água","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-993X2015000300574&lang=pt" 
"S1980-993X2015000300510-scl","Metals uptake by live yeast and heat-modified yeast residue","Labuto, Geórgia, Trama, Bianca, Gueller, Geison Castro da Silveira, Guarnieri, Bruna de Souza, Silva, Fernando Vitorino da, Collazo, Roberta","Revista Ambiente &amp; Água; 10(3); 510-519","Revista Ambiente &amp; Água","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-993X2015000300510&lang=pt" 
"S1980-993X2015000300499-scl","Assessment of trace metals in Amazonian fish exposed to untreated urban sewage: high chromium concentrations in fish tissues","Sousa, Eduardo Araujo de, Miranda, Márcio Rodrigues, dos Santos, Marília Hauser, Costa Júnior, Walkimar Aleixo, Lauthartte, Leidiane Caroline, Mussy, Marília Higino, de Holanda, Igor Bruno Barbosa, Bastos, Wanderley Rodrigues","Revista Ambiente &amp; Água; 10(3); 499-509","Revista Ambiente &amp; Água","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-993X2015000300499&lang=pt" 
"S1980-993X2015000300542-scl","Influência da carga de nutrientes e da espécie cultivada na remoção de K, Na, Cu e Zn da água residuária da suinocultura tratada em sistemas alagados construídos","Fia, Fátima Resende Luiz, de Matos, Antonio Teixeira, Fia, Ronaldo, Borges, Alisson Carraro, Abreu, Edgar C.","Revista Ambiente &amp; Água; 10(3); 542-553","Revista Ambiente &amp; Água","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-993X2015000300542&lang=pt" 
"S1678-86212015000300047-scl","Compósitos cimentícios reforçados com fibras de eucalipto puras e tratadas com tetraetilortossilicato (TEOS 98%)","Tessaro, Alessandra Buss, Gonçalves, Margarete Regina Freitas, Gatto, Darci Alberto, Pollnow, Edilson Nunes, Carreño, Neftali Lenin Villarreal, Delucis, Rafael de Ávila","Ambiente Construído; 15(3); 47-55","Ambiente Construído","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212015000300047&lang=pt" 
"S1980-993X2015000300520-scl","Biomass reduction of Salvinia molesta exposed to copper sulfate pentahydrate (CuSO4.5H2O)","Barros, João Pedro Alves de Azevedo, Henares, Matheus Nicolino Peixoto","Revista Ambiente &amp; Água; 10(3); 520-529","Revista Ambiente &amp; Água","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-993X2015000300520&lang=pt" 
"S1980-993X2015000300676-scl","Reservas legais: um importante refúgio para os isópodas terrestres em áreas agrícolas","de Vasconcellos, Noeli Júlia Schüssler, da Silva, Rodrigo Ferreira, Bins, Fernando Henrique, da Silva, Bruna Leite","Revista Ambiente &amp; Água; 10(3); 676-684","Revista Ambiente &amp; Água","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-993X2015000300676&lang=pt" 
"S1980-993X2015000300481-scl","Physico-chemical technologies for nitrogen removal from wastewaters: a review","Capodaglio, Andrea G., Hlavínek, Petr, Raboni, Massimo","Revista Ambiente &amp; Água; 10(3); 481-498","Revista Ambiente &amp; Água","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-993X2015000300481&lang=pt" 
"S1980-993X2015000300530-scl","Chemical and microbiological analysis of public school water in Uberaba Municipality","Sanches, Sérgio Marcos, Muniz, Jailda Maria, Passos, Célia, Vieira, Eny Maria","Revista Ambiente &amp; Água; 10(3); 530-541","Revista Ambiente &amp; Água","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-993X2015000300530&lang=pt" 
"S1980-993X2015000300554-scl","Avaliação da toxicidade da salinidade na nitrificação biológica de efluentes utilizando a técnica de respirometria","Costa, Alyne Moraes, Campos, Juacyara Carbonelli","Revista Ambiente &amp; Água; 10(3); 554-564","Revista Ambiente &amp; Água","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-993X2015000300554&lang=pt" 
"S1980-993X2015000300565-scl","Determinação das condições operacionais para o tratamento terciário de efluente frigorífico pelo processo integrado Fenton Coagulação","Almeida, Fernanda Salbego Colombari de, Cavalli, Aline, Lenhard, Daiane Cristina, Genena, Aziza Kamal","Revista Ambiente &amp; Água; 10(3); 565-573","Revista Ambiente &amp; Água","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-993X2015000300565&lang=pt" 
"S1980-993X2015000300587-scl","Eficiência de estação de tratamento de esgoto doméstico visando reuso agrícola","Souza, Claudinei Fonseca, Bastos, Reinaldo Gaspar, Gomes, Marcus Paulo de Moraes, Pulschen, André Arashiro","Revista Ambiente &amp; Água; 10(3); 587-597","Revista Ambiente &amp; Água","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-993X2015000300587&lang=pt" 
"S1980-993X2015000300598-scl","Avaliação sazonal da qualidade das águas superficiais do Rio Amazonas na orla da cidade de Macapá, Amapá, Brasil","Damasceno, Maria da Conceição Silva, Ribeiro, Hebe Morganne Campos, Takiyama, Luís Roberto, Paula, Manoel Tavares de","Revista Ambiente &amp; Água; 10(3); 598-613","Revista Ambiente &amp; Água","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-993X2015000300598&lang=pt" 
"S1980-993X2015000300623-scl","Influência da sazonalidade das vazões nos critérios de outorga de uso da água: estudo de caso da bacia do rio Paraopeba","Silva, Bruno Marcel Barros da, Silva, Demetrius David da, Moreira, Michel Castro","Revista Ambiente &amp; Água; 10(3); 623-634","Revista Ambiente &amp; Água","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-993X2015000300623&lang=pt" 
"S1980-993X2015000300635-scl","A relação entre Planos Diretores Municipais e Planos de Bacias Hidrográficas na gestão hídrica","Pizella, Denise Gallo","Revista Ambiente &amp; Água; 10(3); 635-645","Revista Ambiente &amp; Água","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-993X2015000300635&lang=pt" 
