"S1870-719X2016000200009-mex","El valle de Soba (Cantabria): vecinos, concejos y ayuntamiento a fines del siglo XVIII","Gavira Márquez, María Concepción","Tzintzun. Revista de estudios históricos; (64); 9-46","Tzintzun. Revista de estudios históricos","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-719X2016000200009&lang=pt" 
"S0038-23532016000600015-sza","Impact of mother tongue on construction of notes and first-year academic performance","Dukhan, Shalini, Cameron, Ann, Brenner, Elisabeth","South African Journal of Science; 112(11-12); 1-6","South African Journal of Science","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532016000600015&lang=pt" 
"S0718-22012016000200007-chl","ARQUEOLOGÍAS DE LA IMAGEN-RED: LA SUBJETIVIDAD DIALÓGICA EN LEVEL FIVE DE CHRIS MARKER","Montero Sánchez, David","Alpha (Osorno); (43); 93-109","Alpha (Osorno)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22012016000200007&lang=pt" 
"S0718-22012016000200015-chl","LAS CORTES DE LA MUERTE, AUTO SACRAMENTAL ATRIBUIDO A LOPE DE VEGA, Y EL EPISODIO CERVANTINO DE LA CARRETA DE LA MUERTE (QUIJOTE, II, 11)","Mata Induráin, Carlos","Alpha (Osorno); (43); 219-231","Alpha (Osorno)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22012016000200015&lang=pt" 
"S1405-10792016000200525-mex","El papel moderador de los congresos locales sobre el ciclo político presupuestal oportunista en los estados mexicanos","Argáez, Juan","Gestión y política pública; 25(2); 525-549","Gestión y política pública","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-10792016000200525&lang=pt" 
"S2310-38332016000300004-sza","Sensory processing, praxis and related social participation of 5-12 year old children with Down Syndrome attending educational facilities in Bloemfontein, South Africa","van Jaarsveld, Annamarie, van Rooyen, Francois C, van Biljon, Al-Mari, van Rensburg, Ilze Janse, James, Katherine, Böning, Laetitia, Haefele, Lise","South African Journal of Occupational Therapy; 46(3); 15-20","South African Journal of Occupational Therapy","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2310-38332016000300004&lang=pt" 
"S0719-26812016000300081-chl","EL POSTPENTECOSTALISMO. LA CONCEPCIÓN DE LOS MIGRANTES PERUANOS Y BOLIVIANOS EVANGÉLICOS (QUECHUAS Y AYMARAS) SOBREEL PENTECOSTALISMO CHILENO","Mansilla, Miguel Ángel, Muñoz, Wilson, Piñones-Rivera, Carlos","Diálogo andino; (51); 81-91","Diálogo andino","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-26812016000300081&lang=pt" 
"S0718-22012016000200005-chl","EFECTIVIDAD DEL FEEDBACK CORRECTIVO ESCRITO DIRECTO PARA MEJORAR EL APRENDIZAJE DE LAS PREPOSICIONES POR Y PARA EN ESPAÑOL /L2","Lafleur, Nahum, Ferreira Cabrera, Anita","Alpha (Osorno); (43); 57-74","Alpha (Osorno)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22012016000200005&lang=pt" 
"S0718-22012016000200021-chl","LA RECURRENCIA DE LA METÁFORA: UN MARCO FILOSÓFICO-LINGÜÍSTICO","González de Requena Farré, Juan Antonio","Alpha (Osorno); (43); 289-301","Alpha (Osorno)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22012016000200021&lang=pt" 
"S2310-38332016000300012-sza","An exploration of burn survivors&#039; experiences of Pressure Garment Therapy at a tertiary hospital in South Africa","Pillay, Rogini, Visagie, Surona, Mji, Gubela","South African Journal of Occupational Therapy; 46(3); 73-79","South African Journal of Occupational Therapy","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2310-38332016000300012&lang=pt" 
"S0718-22012016000200008-chl","LA MEMORIA INDÍGENA EN CAUTIVERIO FELIZ Y RAZÓN INDIVIDUAL DE LAS GUERRAS DILATADAS DEL REINO DE CHILE DE FRANCISCO NÚÑEZ DE PINEDA Y BASCUÑÁN","López Baena, Sonia","Alpha (Osorno); (43); 111-125","Alpha (Osorno)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22012016000200008&lang=pt" 
