"S1414-98932015000300959-scl","Significações Dadas pelos Progenitores acerca do Diagnóstico de Câncer dos Filhos","Frizzo, Natalia Schopf, Quintana, Alberto Manuel, Salvagni, Adelise, Barbieri, Ângela, Gebert, Lenir","Psicologia: Ciência e Profissão; 35(3); 959-972","Psicologia: Ciência e Profissão","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932015000300959&lang=pt" 
"S1806-66902015000300477-scl","Carbon dynamics in no-till soil due to the use of industrial organic waste and mineral fertilizer","Romaniw, Jucimare, Sá, João Carlos de Moraes, Padilha, Alessandra Aparecida, Ramos, Fabrícia da Silva, Eurich, Guilherme, Bressan, Pamela Thaísa","Revista Ciência Agronômica; 46(3); 477-487","Revista Ciência Agronômica","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-66902015000300477&lang=pt" 
"S1806-66902015000300497-scl","Production, water consumption and nutrient content of Chinese cabbage grown hydroponically in brackish water","Lira, Raquele Mendes de, Silva, Ênio Farias de França e, Silva, Gerônimo Ferreira da, Santos, Alexandre Nascimento dos, Rolim, Mário Monteiro","Revista Ciência Agronômica; 46(3); 497-505","Revista Ciência Agronômica","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-66902015000300497&lang=pt" 
"S1806-66902015000300654-scl","Efeito do feno de leguminosas no desempenho de bezerros lactentes","Oliveira, Marcus Vinícius Morais de, Abreu, Claudilene, Vargas Júnior, Fernando Miranda de, Fernandes, Henrique Jorge, Salla, Luciane Elisete","Revista Ciência Agronômica; 46(3); 654-660","Revista Ciência Agronômica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-66902015000300654&lang=pt" 
"S1806-66902015000300460-scl","Efeitos de práticas de descompactação do solo em área sob sistema plantio direto","Seki, André Satoshi, Seki, Fernanda Gonçalves, Jasper, Samir Paulo, Silva, Paulo Roberto Arbex, Benez, Sérgio Hugo","Revista Ciência Agronômica; 46(3); 460-468","Revista Ciência Agronômica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-66902015000300460&lang=pt" 
"S1806-66902015000300469-scl","Variabilidade espacial de macronutrientes em uma lavoura de café conilon no Norte do Espírito Santo","Santos, Eduardo Oliveira de Jesus, Gontijo, Ivoney, Silva, Marcelo Barreto da, Drumond Neto, Antônio Pereira","Revista Ciência Agronômica; 46(3); 469-476","Revista Ciência Agronômica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-66902015000300469&lang=pt" 
"S1806-66902015000300488-scl","Formas de aplicação e doses de inseticidas sobre Aphis gossypii (Glover) (Hemiptera: Aphididae) em melão amarelo","Bomfim, Guilherme Vieira do, Azevedo, Benito Moreira de, Viana, Thales Vinícius de Araújo, Manzano, Juan, Vasconcelos, Denise Vieira","Revista Ciência Agronômica; 46(3); 488-496","Revista Ciência Agronômica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-66902015000300488&lang=pt" 
"S1806-66902015000300645-scl","Grazing management in an integrated crop-livestock system: soybean development and grain yield","Kunrath, Taise Robinson, Carvalho, Paulo Cesar de Faccio, Cadenazzi, Mónica, Bredemeier, Christian, Anghinoni, Ibanor","Revista Ciência Agronômica; 46(3); 645-653","Revista Ciência Agronômica","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-66902015000300645&lang=pt" 
"S1806-66902015000300582-scl","In vitro propagation and acclimatization of Lippia rotundifolia, an endemic species of Brazilian Campos Rupestres","Resende, Cristiano Ferrara de, Bianchetti, Ricardo Ernesto, Oliveira, Aline Mystica Silva de, Braga, Virgínia Fernandes, Peixoto, Paulo Henrique Pereira","Revista Ciência Agronômica; 46(3); 582-589","Revista Ciência Agronômica","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-66902015000300582&lang=pt" 
"S1806-66902015000300597-scl","Uniformity trial size in estimates of plot size in restrict areas","Schwertner, Diogo Vanderlei, Lúcio, Alessandro Dal&#039;Col, Cargnelutti Filho, Alberto","Revista Ciência Agronômica; 46(3); 597-606","Revista Ciência Agronômica","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-66902015000300597&lang=pt" 
"S1806-66902015000300590-scl","Testes de estresse na avaliação do vigor de sementes de milho","Grzybowski, Camila Ribeiro de Souza, Vieira, Roberval Daiton, Panobianco, Maristela","Revista Ciência Agronômica; 46(3); 590-596","Revista Ciência Agronômica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-66902015000300590&lang=pt" 
"S1806-66902015000300546-scl","Densidade populacional e seu efeito na produtividade da mamoneira BRS Energia sob cultivo irrigado","Alves, Gibran da Silva, Tartaglia, Francilene de Lima, Beltrão, Napoleão Esberard de Macedo, Sampaio, Ligia Rodrigues, Freire, Maria Aline de Oliveira","Revista Ciência Agronômica; 46(3); 546-554","Revista Ciência Agronômica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-66902015000300546&lang=pt" 
"S1806-66902015000300573-scl","Application of molybdenum and a desiccant herbicide to the common bean under direct seeding","Camelo, Gessimar Nunes, Araújo, Geraldo Antonio de Andrade, Fontes, Renildes Lúcio Ferreira, Dias, Luiz Antonio dos Santos, Carneiro, José Eustáquio de Souza","Revista Ciência Agronômica; 46(3); 573-581","Revista Ciência Agronômica","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-66902015000300573&lang=pt" 
"S1806-66902015000300555-scl","Chemical characterisation and allelopathic potential of essential oils from leaves and rhizomes of white ginger","Miranda, Cíntia Alvarenga Santos Fraga, Cardoso, Maria das Graças, Carvalho, Maria Laene Moreira, Figueiredo, Ana Cristina Silva, Andrade, Juliana de","Revista Ciência Agronômica; 46(3); 555-562","Revista Ciência Agronômica","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-66902015000300555&lang=pt" 
"S1806-66902015000300524-scl","Alterações físico-químicas e atividade enzimática de trigo com germinação pré-colheita","Carvalho, Paulo de Tarso, Beleia, Adelaide Del Pino","Revista Ciência Agronômica; 46(3); 524-531","Revista Ciência Agronômica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-66902015000300524&lang=pt" 
"S1806-66902015000300638-scl","Teste de tetrazólio para avaliação da qualidade fisiológica de sementes de Vigna unguiculata (L.) Walp.","Rodrigues, Ana Paula Medeiros dos Santos, Mendonça Júnior, Antonio Francisco de, Torres, Salvador Barros, Nogueira, Narjara Walessa, Freitas, Rômulo Magno Oliveira de","Revista Ciência Agronômica; 46(3); 638-644","Revista Ciência Agronômica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-66902015000300638&lang=pt" 
"S1806-66902015000300630-scl","Seed quality, chlorophyll content index and leaf nitrogen levels in maize inoculated with Azospirillum brasilense","Pereira, Lívia de Matos, Pereira, Elise de Matos, Revolti, Lucas Tadeu Mazza, Zingaretti, Sonia Marli, Môro, Gustavo Vitti","Revista Ciência Agronômica; 46(3); 630-637","Revista Ciência Agronômica","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-66902015000300630&lang=pt" 
"S1806-66902015000300532-scl","Eugenol como anestésico no manejo de ariacó, Lutjanus synagris (LINNAEUS, 1758), cultivado","Souza, Rossi Lelis Muniz, Vettorazzi, Mayra Bezerra, Kobayashi, Roberto Kiyoshi, Furtado Neto, Manuel Antonio de Andrade","Revista Ciência Agronômica; 46(3); 532-538","Revista Ciência Agronômica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-66902015000300532&lang=pt" 
"S1806-66902015000300539-scl","Aspectos físicos e fisiológicos de sementes de Fimbristylis dicothoma relacionados à germinação e dormência","Mendonça, Giovana Soares de, Martins, Cibele Chalita, Martins, Dagoberto, Lopes, Maria Teresa Gomes","Revista Ciência Agronômica; 46(3); 539-545","Revista Ciência Agronômica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-66902015000300539&lang=pt" 
"S1806-66902015000300622-scl","Teste de condutividade elétrica na avaliação da qualidade fisiológica de sementes de coentro","Torres, Salvador Barros, Paiva, Emanoela Pereira de, Almeida, João Paulo Nobre de, Benedito, Clarisse Pereira, Carvalho, Sara Monaliza Costa","Revista Ciência Agronômica; 46(3); 622-629","Revista Ciência Agronômica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-66902015000300622&lang=pt" 
"S1806-66902015000300506-scl","Efeito de manejos do solo no déficit hídrico, trocas gasosas e rendimento do feijão-de-corda no semiárido","Fernandes, Francisco Bergson Parente, Lacerda, Claudivan Feitosa de, Andrade, Eunice Maia de, Neves, Antônia Leila Rocha, Sousa, Carlos Henrique Carvalho de","Revista Ciência Agronômica; 46(3); 506-515","Revista Ciência Agronômica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-66902015000300506&lang=pt" 
"S1806-66902015000300615-scl","Metodologia para a condução do teste de germinação em sementes de goiaba","Alves, Charline Zaratin, Silva, Josué Bispo da, Cândido, Ana Carina da Silva","Revista Ciência Agronômica; 46(3); 615-621","Revista Ciência Agronômica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-66902015000300615&lang=pt" 
"S1806-66902015000300563-scl","Variabilidade genética de feijão-caupi de porte ereto e ciclo precoce analisada por marcadores RAPD e ISSR","Dias, Francisco Tiago Cunha, Bertini, Cândida Hermínia Campos de Magalhães, Silva, Ana Paula Moura da, Cavalcanti, José Jaime Vasconcelos","Revista Ciência Agronômica; 46(3); 563-572","Revista Ciência Agronômica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-66902015000300563&lang=pt" 
"S1806-66902015000300516-scl","Isotermas e calor isostérico de sementes de Buchenavia capitata (Vahl) Eichler","Costa, Lílian Moreira, Resende, Osvaldo, Oliveira, Daniel Emanuel Cabral de, Sousa, Kelly Aparecida de","Revista Ciência Agronômica; 46(3); 516-523","Revista Ciência Agronômica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-66902015000300516&lang=pt" 
"S1806-66902015000300607-scl","Incidência de mosca-minadora e insetos vetores em sistemas de manejo de pragas em tomateiro","Pratissoli, Dirceu, Carvalho, José Romário de, Pastori, Patrik Luiz, Bueno, Regiane Cristina Oliveira de Freitas, Zago, Hugo Bolsoni","Revista Ciência Agronômica; 46(3); 607-614","Revista Ciência Agronômica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-66902015000300607&lang=pt" 
"S1806-66902015000300451-scl","Production, decomposition of residues and yield of maize and soybeans grown on cover crops","Torres, José Luiz Rodrigues, Pereira, Marcos Gervasio, Rodrigues Junior, Dilson José, Loss, Arcângelo","Revista Ciência Agronômica; 46(3); 451-459","Revista Ciência Agronômica","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-66902015000300451&lang=pt" 
"S2317-15372015000300192-scl","Micropilar and embryonic events during hydration of Melanoxylon brauna Schott seeds","Borges, Eduardo Euclydes de Lima e, Ataíde, Glauciana da Mata, Matos, Antônio César Batista","Journal of Seed Science; 37(3); 192-201","Journal of Seed Science","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-15372015000300192&lang=pt" 
"S1517-83822015000300683-scl","Purification and characterization of cold-adapted beta-agarase from an Antarctic psychrophilic strain","Li, Jiang, Hu, Qiushi, Li, Yuquan, Xu, Yuan","Brazilian Journal of Microbiology; 46(3); 683-690","Brazilian Journal of Microbiology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822015000300683&lang=pt" 
"S1517-83822015000300691-scl","Keratinolytic abilities of &lt;italic&gt;Micrococcus luteus&lt;/italic&gt; from poultry waste","Laba, Wojciech, Choinska, Anna, Rodziewicz, Anna, Piegza, Michal","Brazilian Journal of Microbiology; 46(3); 691-700","Brazilian Journal of Microbiology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822015000300691&lang=pt" 
"S1517-83822015000300701-scl","Chemical products induce resistance to &lt;italic&gt;Xanthomonas perforans&lt;/italic&gt; in tomato","Itako, Adriana Terumi, Tolentino Júnior, João Batista, Silva Júnior, Tadeu Antônio Fernandes da, Soman, José Marcelo, Maringoni, Antonio Carlos","Brazilian Journal of Microbiology; 46(3); 701-706","Brazilian Journal of Microbiology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822015000300701&lang=pt" 
"S1517-83822015000300707-scl","Bioleaching of gold, copper and nickel from waste cellular phone PCBs and computer goldfinger motherboards by two &lt;italic&gt;Aspergillus niger&lt;/italic&gt;strains","Madrigal-Arias, Jorge Enrique, Argumedo-Delira, Rosalba, Alarcón, Alejandro, Mendoza-López, Ma. Remedios, García-Barradas, Oscar, Cruz-Sánchez, Jesús Samuel, Ferrera-Cerrato, Ronald, Jiménez-Fernández, Maribel","Brazilian Journal of Microbiology; 46(3); 707-713","Brazilian Journal of Microbiology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822015000300707&lang=pt" 
"S1517-83822015000300715-scl","Bioaccumulation of animal adenoviruses in the pink shrimp","Luz, Roger B., Staggemeier, Rodrigo, Fabres, Rafael B., Soliman, Mayra C., Souza, Fernanda G., Gonçalves, Raoni, Fausto, Ivone V., Rigotto, Caroline, Heinzelmann, Larissa S., Henzel, Andréia, Fleck, Juliane D., Spilki, Fernando R.","Brazilian Journal of Microbiology; 46(3); 715-723","Brazilian Journal of Microbiology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822015000300715&lang=pt" 
"S1517-83822015000300725-scl","A comparative study of coastal and clinical isolates of &lt;italic&gt;Pseudomonas aeruginosa&lt;/italic&gt;","Nair, Anusree V., Joseph, Neetha, Krishna, Kiran, Sneha, K. G., Tom, Neenu, Jangid, Kamlesh, Nair, Shanta","Brazilian Journal of Microbiology; 46(3); 725-734","Brazilian Journal of Microbiology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822015000300725&lang=pt" 
"S1517-83822015000300735-scl","Symbiotic potential and survival of native rhizobia kept on different carriers","Ruíz-Valdiviezo, Víctor Manuel, Canseco, Lucía María Cristina Ventura, Suárez, Luis Antonio Castillo, Gutiérrez-Miceli, Federico Antonio, Dendooven, Luc, Rincón-Rosales, Reiner","Brazilian Journal of Microbiology; 46(3); 735-742","Brazilian Journal of Microbiology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822015000300735&lang=pt" 
"S1517-83822015000300753-scl","Quinolone resistance and ornithine decarboxylation activity in lactose-negative &lt;italic&gt;Escherichia coli&lt;/italic&gt;","Gomig, Franciane, Galvão, Carolina Weigert, Freitas, Denis Leandro de, Labas, Larissa, Etto, Rafael Mazer, Esmerino, Luiz Antonio, Lima, Marcelo Andrade de, Appel, Marcia Helena, Zanata, Silvio Marques, Steffens, Maria Berenice Reynaud, Nader, Helena Bonciani, Silveira, Rafael Bertoni da","Brazilian Journal of Microbiology; 46(3); 753-757","Brazilian Journal of Microbiology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822015000300753&lang=pt" 
"S1517-83822015000300759-scl","Molecular characterization of multidrug-resistant &lt;italic&gt;Klebsiella pneumoniae&lt;/italic&gt; isolates","Hou, Xiang-hua, Song, Xiu-yu, Ma, Xiao-bo, Zhang, Shi-yang, Zhang, Jia-qin","Brazilian Journal of Microbiology; 46(3); 759-768","Brazilian Journal of Microbiology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822015000300759&lang=pt" 
"S1517-83822015000300769-scl","Antioxidant capacity of several Iranian, wild and cultivated strains of the button mushroom","Tajalli, Faezeh, Malekzadeh, Khalil, Soltanian, Hadi, Janpoor, Javad, Rezaeian, Sharareh, Pourianfar, Hamid R.","Brazilian Journal of Microbiology; 46(3); 769-776","Brazilian Journal of Microbiology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822015000300769&lang=pt" 
"S1517-83822015000300785-scl","Antimicrobial activity of &lt;italic&gt;Anonna mucosa&lt;/italic&gt; (Jacq.) grown &lt;italic&gt;in vivo&lt;/italic&gt; and obtained by &lt;italic&gt;in vitro&lt;/italic&gt;culture","de Souza Barboza, Thiago José, Ferreira, Andréa Fonseca, de Paula Rosa Ignacio, Ana Claudia, Albarello, Norma","Brazilian Journal of Microbiology; 46(3); 785-789","Brazilian Journal of Microbiology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822015000300785&lang=pt" 
"S1517-83822015000300791-scl","Isolation of &lt;italic&gt;Dickeya dadantii&lt;/italic&gt; strains from potato disease and biocontrol by their bacteriophages","Soleimani-Delfan, Abbas, Etemadifar, Zahra, Emtiazi, Giti, Bouzari, Majid","Brazilian Journal of Microbiology; 46(3); 791-797","Brazilian Journal of Microbiology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822015000300791&lang=pt" 
"S1517-83822015000300799-scl","Dermatophytes and other associated fungi in patients attending to some hospitals in Egypt","Abd Elmegeed, Al Shimaa M., Ouf, S.A., Moussa, Tarek A.A., Eltahlawi, S.M.R.","Brazilian Journal of Microbiology; 46(3); 799-805","Brazilian Journal of Microbiology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822015000300799&lang=pt" 
"S1517-83822015000300807-scl","Seroprevalence of &lt;italic&gt;Borrelia burgdorferi&lt;/italic&gt; in occupationally exposed persons in the Belgrade area, Serbia","Jovanovic, Dragutin, Atanasievska, Sonja, Protic-Djokic, Vesna, Rakic, Uros, Lukac-Radoncic, Elvira, Ristanovic, Elizabeta","Brazilian Journal of Microbiology; 46(3); 807-814","Brazilian Journal of Microbiology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822015000300807&lang=pt" 
"S1517-83822015000300815-scl","Characterization of pectinase activity for enology from yeasts occurring in Argentine Bonarda grape","Merín, María Gabriela, Martín, María Carolina, Rantsiou, Kalliopi, Cocolin, Luca, de Ambrosini, Vilma Inés Morata","Brazilian Journal of Microbiology; 46(3); 815-823","Brazilian Journal of Microbiology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822015000300815&lang=pt" 
