"S1517-97022015000300743-scl","Aspectos da resistência na atividade docente","Vieira, Almir Martins, Mendonça Neto, Octavio Ribeiro de, Antunes, Maria Thereza Pompa","Educação e Pesquisa; 41(3); 743-756","Educação e Pesquisa","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022015000300743&lang=pt" 
"S0041-47512015000300009-sza","","de Wet, Corene","Tydskrif vir Geesteswetenskappe; 55(3); 452-468","Tydskrif vir Geesteswetenskappe","Africaner","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0041-47512015000300009&lang=pt" 
"S0041-47512015000300006-sza","Kerktoewyding deur die jonger generasies: hou verhoudingsbemarking die sleutel?","Theron, Edwin, Van Tonder, Steven","Tydskrif vir Geesteswetenskappe; 55(3); 405-421","Tydskrif vir Geesteswetenskappe","Africaner","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0041-47512015000300006&lang=pt" 
"S0041-47512015000300004-sza","","Crous, Marius","Tydskrif vir Geesteswetenskappe; 55(3); 373-386","Tydskrif vir Geesteswetenskappe","Africaner","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0041-47512015000300004&lang=pt" 
"S0041-47512015000300005-sza","Vier visies op Christus se teenwoordigheid by die nagmaal: ŉ Analise van hulle filosofiese grondslae","Van Der Walt, B.J.","Tydskrif vir Geesteswetenskappe; 55(3); 387-404","Tydskrif vir Geesteswetenskappe","Africaner","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0041-47512015000300005&lang=pt" 
"S0041-47512015000300003-sza","Monolingualism, integration and assortative mixing in social networks: A literature review","Senekal, Burgert","Tydskrif vir Geesteswetenskappe; 55(3); 356-372","Tydskrif vir Geesteswetenskappe","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0041-47512015000300003&lang=pt" 
"S0041-47512015000300001-sza","Oor die eerste 50 jaar se maak aan Standaardafrikaans","Van Rensburg, Christo","Tydskrif vir Geesteswetenskappe; 55(3); 319-342","Tydskrif vir Geesteswetenskappe","Africaner","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0041-47512015000300001&lang=pt" 
"S1414-81452015000300475-scl","O setor saúde nas representações sociais do HIV/Aids e qualidade de vida de pessoas soropositivas","Costa, Tadeu Lessa da, Oliveira, Denize Cristina de, Formozo, Gláucia Alexandre","Escola Anna Nery; 19(3); 475-483","Escola Anna Nery","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452015000300475&lang=pt" 
"S0123-59232015000300009-col","Revisión de la literatura sobre gestión de la calidad: caso de las revistas publicadas en Hispanoamérica y España","Ruiz-Torres, Alex J, Ayala-Cruz, Jorge, Alomoto, Nelson, Acero-Chavez, Jose L","Estudios Gerenciales; 31(136); 319-334","Estudios Gerenciales","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-59232015000300009&lang=pt" 
"S0123-59232015000300010-col","Tendencias en el uso de las tecnologías de información y comunicación para la negociación internacional","Cano, Jose Alejandro, Baena, Jose Jaime","Estudios Gerenciales; 31(136); 335-346","Estudios Gerenciales","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-59232015000300010&lang=pt" 
"S1519-38292015000300265-scl","O efeito da amamentação na massa óssea de mulheres na pós-menopausa: revisão sistemática de estudos observacionais","Gonçalves, Adriany Cristine Santos, Ferreira, Marina de Figueiredo, Hasselmann, Maria Helena, Faerstein, Eduardo","Revista Brasileira de Saúde Materno Infantil; 15(3); 265-278","Revista Brasileira de Saúde Materno Infantil","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292015000300265&lang=pt" 
"S0103-507X2015000300266-scl","Progressos e perspectivas na síndrome do desconforto respiratório agudo em pediatria","Rotta, Alexandre Tellechea, Piva, Jefferson Pedro, Andreolio, Cinara, Carvalho, Werther Brunow de, Garcia, Pedro Celiny Ramos","Revista Brasileira de Terapia Intensiva; 27(3); 266-273","Revista Brasileira de Terapia Intensiva","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2015000300266&lang=pt" 
"S1984-63982015000300593-scl","Inglês como língua franca: desenvolvimentos recentes","Gimenez, Telma, Kadri, Michele Salles El, Calvo, Luciana Cabrini Simões, Siqueira, Domingos Sávio Pimentel, Porfirio, Lucielen","Revista Brasileira de Linguística Aplicada; 15(3); 593-619","Revista Brasileira de Linguística Aplicada","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-63982015000300593&lang=pt" 
"S0104-07072015000300740-scl","BREAST CANCER IN WOMEN: RECURRENCE AND SURVIVAL AT FIVE YEARS","Peres, Valéria Costa, Veloso, Danyelle Lorrane Carneiro, Xavier, Raphaela Maioni, Salge, Ana Karina Marques, Guimarães, Janaína Valadares","Texto &amp; Contexto - Enfermagem; 24(3); 740-747","Texto &amp; Contexto - Enfermagem","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072015000300740&lang=pt" 
"S0104-07072015000300748-scl","Consequences attributed to kidney transplantation: critical incident technique","Santos, Bianca Pozza dos, Schwartz, Eda, Beuter, Margrid, Muniz, Rosani Manfrin, Echevarría-Guanilo, Maria Elena, Viegas, Aline da Costa","Texto &amp; Contexto - Enfermagem; 24(3); 748-755","Texto &amp; Contexto - Enfermagem","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072015000300748&lang=pt" 
"S1980-65742015000300263-scl","Stretch breaks in the work setting improve flexibility and grip strength and reduce musculoskeletal complaints","Martins, Patrícia Fátima de Oliveira, Zicolau, Evelin Alvares Aranda, Cury-Boaventura, Maria Fernanda","Motriz: Revista de Educação Física; 21(3); 263-273","Motriz: Revista de Educação Física","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742015000300263&lang=pt" 
"S1851-82652015000300008-spa","Nivel y cambio de la mortalidad vial en Argentina, Chile, Colombia y México, 2000-2011","Escanés, Gabriel, Agudelo-Botero, Marcela, Cardona, Doris","Salud Colectiva; 11(3); 411-421","Salud Colectiva","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1851-82652015000300008&lang=pt" 
"S1851-82652015000300004-spa","Cuerpo, derechos y salud integral: Análisis de los debates parlamentarios de las leyes de Identidad de Género y Fertilización Asistida (Argentina, 2011-2013)","Farji Neer, Anahí","Salud Colectiva; 11(3); 351-365","Salud Colectiva","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1851-82652015000300004&lang=pt" 
"S1851-82652015000300007-spa","Muertes por accidente de motocicleta y su asociación con variables relacionadas a la reproducción social en un estado del noreste brasileño","Silva, Paul Hindenburg Nobre de Vasconcelos, Lima, Maria Luiza Carvalho, Souza, Wayner Vieira, Moreira, Rafael da Silveira, Oliveira, Fernando José Moreira","Salud Colectiva; 11(3); 401-410","Salud Colectiva","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1851-82652015000300007&lang=pt" 
"S1851-82652015000300005-spa","Mujeres, adicción y rehabilitación: Reflexiones desde la frontera noroeste de México","Galaviz Granados, Gloria","Salud Colectiva; 11(3); 367-379","Salud Colectiva","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1851-82652015000300005&lang=pt" 
"S1984-70332015000300154-scl","Combining ability and heterosis of relevant fruit traits of tomato genotypes for industrial processing","Figueiredo, Alex Sandro Torre, Resende, Juliano Tadeu Vilela de, Faria, Marcos Ventura, Paula, Juliana Tauffer de, Schwarz, Kélin, Zanin, Daniel Suek","Crop Breeding and Applied Biotechnology; 15(3); 154-161","Crop Breeding and Applied Biotechnology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-70332015000300154&lang=pt" 
"S1980-65742015000300312-scl","Technical and tactical soccer players&#039; performance in conceptual small-sided games","Lizana, Cristian Javier Ramirez, Reverdito, Riller Silva, Brenzikofer, René, Macedo, Denise Vaz, Misuta, Milton Shoiti, Scaglia, Alcides José","Motriz: Revista de Educação Física; 21(3); 312-320","Motriz: Revista de Educação Física","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742015000300312&lang=pt" 
"S1984-70332015000300125-scl","Application of neural networks to predict volume in eucalyptus","Bhering, Leonardo Lopes, Cruz, Cosme Damião, Peixoto, Leonardo de Azevedo, Rosado, Antônio Marcos, Laviola, Bruno Galveas, Nascimento, Moysés","Crop Breeding and Applied Biotechnology; 15(3); 125-131","Crop Breeding and Applied Biotechnology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-70332015000300125&lang=pt" 
"S1984-70332015000300139-scl","Crossability and evaluation of incompatibility barriers in crosses between Capsicum species","Martins, Kellen Coutinho, Pereira, Telma Nair Santana, Souza, Sérgio Alessandro Machado, Rodrigues, Rosana, Amaral Junior, Antônio Teixeira do","Crop Breeding and Applied Biotechnology; 15(3); 139-145","Crop Breeding and Applied Biotechnology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-70332015000300139&lang=pt" 
"S1984-70332015000300146-scl","Genetic base of Brazilian irrigated rice cultivars","Rabelo, Hudson de Oliveira, Guimarães, João Filipi Rodrigues, Pinheiro, José Baldin, Silva, Edson Ferreira da","Crop Breeding and Applied Biotechnology; 15(3); 146-153","Crop Breeding and Applied Biotechnology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-70332015000300146&lang=pt" 
"S1984-70332015000300169-scl","Implications of early selection for resistance to anthracnose in genetic breeding of common bean","Pádua, José Maria Villela, Ramalho, Magno Antonio Patto, Abreu, Ângela de Fátima Barbosa","Crop Breeding and Applied Biotechnology; 15(3); 169-174","Crop Breeding and Applied Biotechnology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-70332015000300169&lang=pt" 
"S1980-65742015000300222-scl","Uncertainty in aiming movements and its association to hand function","Silva, Flávia Priscila de Paiva, Freitas, Sandra Maria Sbeghen Ferreira de, Comenalle, Emelli da Silva, Alouche, Sandra Regina","Motriz: Revista de Educação Física; 21(3); 222-229","Motriz: Revista de Educação Física","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742015000300222&lang=pt" 
"S1984-70332015000300175-scl","Yield, market quality, and leaf spots partial resistance of interspecific peanut progenies","Suassuna, Taís de Moraes Falleiro, Suassuna, Nelson Dias, Moretzsohn, Márcio de Carvalho, Bertioli, Soraya Cristina de Macedo Leal, Bertioli, David Jonh, Medeiros, Everaldo Paulo de","Crop Breeding and Applied Biotechnology; 15(3); 175-180","Crop Breeding and Applied Biotechnology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-70332015000300175&lang=pt" 
"S1980-65742015000300230-scl","Movement patterns during the process of standing up in children with spastic diplegia","Martins, Elisabete, Fernandes, Jorge, Cruz-Ferreira, Ana","Motriz: Revista de Educação Física; 21(3); 230-236","Motriz: Revista de Educação Física","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742015000300230&lang=pt" 
"S1980-65742015000300237-scl","Effect of a rehabilitation program using virtual reality for balance and functionality of chronic stroke patients","Silva, Wagner Henrique Souza, Lopes, Gleyson Luiz Bezerra, Yano, Kim Mansur, Tavares, Nathália Stephany Araújo, Rego, Isabelle Ananda Oliveira, Cavalcanti, Fabrícia Azevedo da Costa","Motriz: Revista de Educação Física; 21(3); 237-243","Motriz: Revista de Educação Física","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742015000300237&lang=pt" 
"S1980-65742015000300244-scl","Different types of additional somatosensory information do not promote immediate benefits on gait in patients with Parkinson&#039;s disease and older adults","Lirani-Silva, Ellen, Vitório, Rodrigo, Barbieri, Fabio Augusto, Baptista, André Macari, Santos, Paulo Cezar Rocha dos, Gobbi, Lilian Teresa Bucken","Motriz: Revista de Educação Física; 21(3); 244-249","Motriz: Revista de Educação Física","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742015000300244&lang=pt" 
"S1980-65742015000300250-scl","Can functional exercise capacity discriminate older individuals with poor postural control?","Oliveira, Marcio R., Vidotto, Laís S., Gil, André W., Merli, Myriam Fernanda, Probst, Vanessa S., Silva, Rubens A. da","Motriz: Revista de Educação Física; 21(3); 250-255","Motriz: Revista de Educação Física","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742015000300250&lang=pt" 
"S1980-65742015000300256-scl","Postural education program for elementary school: a one-year follow-up study","Ritter, Alexandre Luis, Souza, Jorge Luiz de","Motriz: Revista de Educação Física; 21(3); 256-262","Motriz: Revista de Educação Física","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742015000300256&lang=pt" 
