"S0004-282X1967000400010-scl","Errata","","Arquivos de Neuro-Psiquiatria; 25(4); -","Arquivos de Neuro-Psiquiatria","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X1967000400010&lang=pt" 
"S0034-75901967000400007-scl","A panaceia da ajuda externa","","Revista de Administração de Empresas; 7(25); 12-15","Revista de Administração de Empresas","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901967000400007&lang=pt" 
"S0034-75901967000400008-scl","","Bertero, Carlos Osmar","Revista de Administração de Empresas; 7(25); 171-175","Revista de Administração de Empresas","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901967000400008&lang=pt" 
"S0034-75901967000400006-scl","O conceito de um mercado nacional e as suas implicações no crescimento da economia","Rostow, Walt W.","Revista de Administração de Empresas; 7(25); 155-170","Revista de Administração de Empresas","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901967000400006&lang=pt" 
"S0034-75901967000400005-scl","Financiamento direto ao consumidor","Levy, Samuel","Revista de Administração de Empresas; 7(25); 137-154","Revista de Administração de Empresas","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901967000400005&lang=pt" 
"S0034-75901967000400003-scl","Fundamentos contábeis da rentabilidade das emprêsas de energia elétrica","Novo, Viçoso Silva, Tavares, Hélio Wilson","Revista de Administração de Empresas; 7(25); 79-105","Revista de Administração de Empresas","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901967000400003&lang=pt" 
"S0034-75901967000400002-scl","Produtividade e desenvolvimento","Rattner, Heinrich","Revista de Administração de Empresas; 7(25); 53-78","Revista de Administração de Empresas","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901967000400002&lang=pt" 
"S0034-75901967000400001-scl","O administrador e as agências de treinamento","Lodi, João Bosco","Revista de Administração de Empresas; 7(25); 17-51","Revista de Administração de Empresas","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901967000400001&lang=pt" 
"S0034-75901967000400004-scl","Teoria da organização e sociedades subdesenvolvidas","Bertero, Carlos Osmar","Revista de Administração de Empresas; 7(25); 107-135","Revista de Administração de Empresas","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75901967000400004&lang=pt" 
"S0037-86821967000600004-scl","Profilaxia da peste","Araújo, Renato dos Santos","Revista da Sociedade Brasileira de Medicina Tropical; 1(6); 327-336","Revista da Sociedade Brasileira de Medicina Tropical","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821967000600004&lang=pt" 
"S0037-86821967000600001-scl","Homenagem póstuma","Suassuna, Ítalo","Revista da Sociedade Brasileira de Medicina Tropical; 1(6); -","Revista da Sociedade Brasileira de Medicina Tropical","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821967000600001&lang=pt" 
"S0037-86821967000600002-scl","Focos inveterados de peste no Brasil. A propósito de um pequeno surto da doença ocorrido recentemente no município de Nova Friburgo, Estado do Rio de Janeiro","Coura, J. Rodrigues, Silva, J. Rodrigues da, Oliveira, Zamir de, Lopes, Paulo Francisco Almeida","Revista da Sociedade Brasileira de Medicina Tropical; 1(6); 293-310","Revista da Sociedade Brasileira de Medicina Tropical","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821967000600002&lang=pt" 
"S0037-86821967000600005-scl","Tratamento da himenolepíase pelo Thelmesan","Soli, Adelina de S. Velho, Camillo-Coura, Léa","Revista da Sociedade Brasileira de Medicina Tropical; 1(6); 337-344","Revista da Sociedade Brasileira de Medicina Tropical","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821967000600005&lang=pt" 
"S0037-86821967000600003-scl","Análise morfológica e quantitativa dos ovos de Schistosoma mansoni em fezes humanas","Coutinho, Sérgio Gomes, Andrade, Maurício de, Ferreira, Luiz Fernando, Silva, J. Rodrigues da","Revista da Sociedade Brasileira de Medicina Tropical; 1(6); 311-326","Revista da Sociedade Brasileira de Medicina Tropical","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821967000600003&lang=pt" 
"S0034-89101967000200002-scl","A dinâmica de populações microbiológicas na estabilização aeróbia de resíduos orgânicos de fecularias de mandioca","Branco, Samuel Murgel","Revista de Saúde Pública; 1(2); 126-140","Revista de Saúde Pública","Português","1967","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101967000200002&lang=pt" 
