"S0124-00642015000400012-spa","La Comisión de Regulación en Salud: crónica de un final anunciado","Martínez, Alberto","Revista de Salud Pública; 17(4); 626-635","Revista de Salud Pública","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0124-00642015000400012&lang=pt" 
"S0124-00642015000400006-spa","Caracterización de la formación y desempeño del talento humano que labora en Salud Ambiental en Colombia","Agudelo-Calderón, Carlos A., García-Ubaque, Juan C., Robledo-Martínez, Rocío, García-Ubaque, Cesar A., Vaca, Martha L.","Revista de Salud Pública; 17(4); 552-564","Revista de Salud Pública","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0124-00642015000400006&lang=pt" 
"S1519-69842015000500034-scl","Spatial patterns of water quality in Xingu River Basin (Amazonia) prior to the Belo Monte dam impoundment","Rodrigues-Filho, JL., Abe, DS., Gatti-Junior, P., Medeiros, GR., Degani, RM., Blanco, FP., Faria, CRL., Campanelli, L., Soares, FS., Sidagis-Galli, CV., Teixeira-Silva, V., Tundisi, JEM., Matsmura-Tundisi, T., Tundisi, JG.","Brazilian Journal of Biology; 75(3); 34-46","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000500034&lang=pt" 
"S1519-69842015000500078-scl","Effect of waterfalls and the flood pulse on the structure of fish assemblages of the middle Xingu River in the eastern Amazon basin","Barbosa, TAP, Benone, NL, Begot, TOR, Gonçalves, A, Sousa, L, Giarrizzo, T, Juen, L, Montag, LFA","Brazilian Journal of Biology; 75(3); 78-94","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000500078&lang=pt" 
"S1519-69842015000500277-scl","Preliminar results of paleontological salvage at Belo Monte Powerplant construction","Tomassi, HZ., Almeida, CM., Ferreira, BC., Brito, MB., Barberi, M., Rodrigues, GC., Teixeira, SP., Capuzzo, JP., Gama-Júnior, JM., Santos, MGKG.","Brazilian Journal of Biology; 75(3); 277-289","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000500277&lang=pt" 
"S1519-69842015000500055-scl","A checklist for the zooplankton of the Middle Xingu – an Amazon River system","Brito, SAC., Camargo, M., Melo, NFAC., Estupiñan, RA.","Brazilian Journal of Biology; 75(3); 55-64","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000500055&lang=pt" 
"S1519-69842015000500138-scl","Traditional knowledge and artisanal fishing technology on the Xingu River in Pará, Brazil","Mesquita, EMC., Isaac-Nahum, VJ.","Brazilian Journal of Biology; 75(3); 138-157","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000500138&lang=pt" 
"S1519-69842015000500168-scl","The bat fauna of the Kararaô and Kararaô Novo caves in the area under the influence of the Belo Monte hydroelectric dam, in Pará, Brazil","Zortéa, M., Bastos, NA., Acioli, TC.","Brazilian Journal of Biology; 75(3); 168-173","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000500168&lang=pt" 
"S1519-69842015000500106-scl","Mercury concentration in different tissues of Podocnemis unifilis (Troschel, 1848) (Podocnemididae: Testudines) from the lower Xingu River – Amazonian, Brazil","Souza-Araujo, J., Giarrizzo, T., Lima, MO.","Brazilian Journal of Biology; 75(3); 106-111","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000500106&lang=pt" 
"S1519-69842015000500102-scl","Length-weight relationships and condition factor of the eaglebeak pacu Ossubtus xinguense Jégu, 1992 (Characiformes, Serrasalmidae), an endangered species from Rio Xingu rapids, northern Brazil","Andrade, MC., Jesus, AJS., Giarrizzo, T.","Brazilian Journal of Biology; 75(3); 102-105","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000500102&lang=pt" 
"S1519-69842015000500222-scl","Oncidiinae (Orchidaceae) on the great curve of the Xingu River, Pará state, Brazil","Carneiro-Silva, MQ., Koch, AK., Viana, PL., Ilkiu-Borges, AL.","Brazilian Journal of Biology; 75(3); 222-237","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000500222&lang=pt" 
"S1519-69842015000500179-scl","Records of Neomorphus squamiger todd, 1925 (cuculiforme: cuculidae) and interaction between n. Squamiger and a flock of Tayassu pecari link, 1795 (artiodactyla: tayassuidae)","Gonçalves-Castro, V., Silva-Castilho, L.","Brazilian Journal of Biology; 75(3); 179-180","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000500179&lang=pt" 
"S1519-69842015000500099-scl","Reporting on the recapture of electronic tagged fish by fishers in the Xingu River, Brazilian Amazon","Hahn, L., Nunes, LD., Câmara, LF., Machado, LS., Abolis, D., Fries, LCC., Martins, EG., Garrone-Neto, D.","Brazilian Journal of Biology; 75(3); 99-101","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000500099&lang=pt" 
"S1519-69842015000500001-scl","Preface","","Brazilian Journal of Biology; 75(3); 1-1","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000500001&lang=pt" 
"S1519-69842015000500002-scl","Editorial Note","","Brazilian Journal of Biology; 75(3); 2-2","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000500002&lang=pt" 
"S1519-69842015000500005-scl","History of studies on Belo Monte hydroelectric power station","Saracura, VF.","Brazilian Journal of Biology; 75(3); 5-9","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000500005&lang=pt" 
"S1519-69842015000500219-scl","New record of the glassfrogs Hyalinobatrachium cappellei (Van Lidth de Jeude, 1904) and Cochranella adenocheira Harvey and Noonan, 2005, (Anura: Centrolenidae) in Volta Grande do Xingu, north Pará state, Brazil","Oliveira, RM., Penhacek, M., Wronski, L., Xavier, J., Vaz-Silva, W.","Brazilian Journal of Biology; 75(3); 219-221","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000500219&lang=pt" 
"S1519-69842015000500190-scl","Abundance of Harpy and Crested Eagles from a reservoir-impact area in the Low- and Mid-Xingu River","Sanaiotti, TM., Junqueira, TG., Palhares, V., Aguiar-Silva, FH., Henriques, LMP., Oliveira, G., Guimarães, VY., Castro, V., Mota, D., Trombin, DF., Villar, DNA., Lara, KM., Fernandes, D., Castilho, L., Yosheno, E., Alencar, RM., Cesca, L., Dantas, SM., Laranjeiras, TO., Mathias, PC., Mendonça, CV.","Brazilian Journal of Biology; 75(3); 190-204","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000500190&lang=pt" 
"S1519-69842015000500205-scl","Contributions to the knowledge of amphibians and reptiles from Volta Grande do Xingu, northern Brazil","Vaz-Silva, W., Oliveira, RM., Gonzaga, AFN., Pinto, KC., Poli, FC., Bilce, TM., Penhacek, M., Wronski, L., Martins, JX., Junqueira, TG., Cesca, LCC., Guimarães, VY., Pinheiro, RD.","Brazilian Journal of Biology; 75(3); 205-218","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000500205&lang=pt" 
"S1519-69842015000500238-scl","Bryophytes in fragments of Terra Firme forest on the great curve of the Xingu River, Pará state, Brazil  1 Part of Master&#039;s Dissertation of the first author.","Pantoja, ACC., Ilkiu-Borges, AL., Tavares-Martins, ACC., Garcia, ET.","Brazilian Journal of Biology; 75(3); 238-249","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000500238&lang=pt" 
"S1519-69842015000500158-scl","Influence of the flood pulse on the reproduction of Tocantinsia piresi (Miranda Ribeiro) and Auchenipterus nuchalis (Spix &amp; Agassiz) (Auchenipteridae) of the middle Xingu River, Brazil","Freitas, TMS., Prudente, BS., Oliveira, VA., Oliveira, MNC., Prata, EG., Leão, H., Montag, LFA.","Brazilian Journal of Biology; 75(3); 158-167","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000500158&lang=pt" 
"S1519-69842015000500250-scl","Effect of seasonal flooding cycle on litterfall production in alluvial rainforest on the middle Xingu River (Amazon basin, Brazil)","Camargo, M., Giarrizzo, T., Jesus, AJS.","Brazilian Journal of Biology; 75(3); 250-256","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000500250&lang=pt" 
"S1519-69842015000500016-scl","Limnological and ecological methods: approaches, and sampling strategies for middle Xingu River in the area of influence of future Belo Monte Power Plant","Tundisi, JG., Matsumura-Tundisi, T., Tundisi, JEM., Faria, CRL., Abe, D.S., Blanco, F., Rodrigues Filho, J., Campanelli, L., Sidagis Galli, C., Teixeira-Silva, V., Degani, R., Soares, FS., Gatti Junior, P.","Brazilian Journal of Biology; 75(3); 16-29","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000500016&lang=pt" 
"S1519-69842015000500112-scl","Population and biological parameters of selected fish species from the middle Xingu River, Amazon Basin","Camargo, M., Giarrizzo, T., Isaac, VJ.","Brazilian Journal of Biology; 75(3); 112-124","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000500112&lang=pt" 
"S1519-69842015000500181-scl","Resource availability and diet in Harpy Eagle breeding territories on the Xingu River, Brazilian Amazon","Aguiar-Silva, FH., Junqueira, TG., Sanaiotti, TM., Guimarães, VY., Mathias, PVC., Mendonça, CV.","Brazilian Journal of Biology; 75(3); 181-189","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000500181&lang=pt" 
"S1519-69842015000500125-scl","Artisanal fisheries of the Xingu River basin in Brazilian Amazon","Isaac, VJ., Almeida, MC., Cruz, REA., Nunes, LG.","Brazilian Journal of Biology; 75(3); 125-137","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000500125&lang=pt" 
"S2077-21612015000200006-bol","HIPNOSIS APLICADA AL DOLOR CRÓNICO EN LA MIGRAÑA","Peñafiel Muñoz, Oliver Rolando","Ajayu Órgano de Difusión Científica del Departamento de Psicología UCBSP; 13(2); 235-260","Ajayu Órgano de Difusión Científica del Departamento de Psicología UCBSP","Espanhol","2015","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2077-21612015000200006&lang=pt" 
"S2077-21612015000200003-bol","CALIDAD DE VIDA EN LA TERCERA EDAD","Aponte Daza, Vaneska Cindy","Ajayu Órgano de Difusión Científica del Departamento de Psicología UCBSP; 13(2); 152-182","Ajayu Órgano de Difusión Científica del Departamento de Psicología UCBSP","Espanhol","2015","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2077-21612015000200003&lang=pt" 
"S2077-21612015000200005-bol","RESISTIENDO LA EXCLUSIÓN: EL SIGNIFICADO DEL USO DE INHALANTES EN DIFERENTES CONTEXTOS EN JÓVENES EN SITUACIÓN DE CALLE DE LA CIUDAD DE LA PAZ","Losantos, Marcela, Berckmans, Isabel, Pieters, Steffi, Dómic, Jorge, Loots, Gerrit","Ajayu Órgano de Difusión Científica del Departamento de Psicología UCBSP; 13(2); 199-234","Ajayu Órgano de Difusión Científica del Departamento de Psicología UCBSP","Espanhol","2015","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2077-21612015000200005&lang=pt" 
