"S2317-17822015000400307-scl","Guest editorial","Silva, Hilton Justino da, Tomé, Marileda","CoDAS; 27(4); 307-308","CoDAS","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-17822015000400307&lang=pt" 
"S1815-59442015000200003-cub","Caída de presión de un flujo turbulento en un espacio anular con hélices insertadas","Imbert-González, Josué, García-Valladares, Octavio, Guillen-Gordín, Reinaldo","Ingeniería Mecánica; 18(2); 93-99","Ingeniería Mecánica","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1815-59442015000200003&lang=pt" 
"S0102-69922015000200555-scl","A sociologia de um gênero: o baião","Britto, Clóvis Carvalho","Sociedade e Estado; 30(2); 555-559","Sociedade e Estado","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69922015000200555&lang=pt" 
"S1815-59442015000200005-cub","Comportamiento no lineal y caótico en una bomba centrífuga operando en estado de cavitación","Álvarez-Naranjo, Juan-E., Quintero-Riaza, Héctor-F., López-López, Juan-F.","Ingeniería Mecánica; 18(2); 109-115","Ingeniería Mecánica","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1815-59442015000200005&lang=pt" 
"S0102-69922015000200301-scl","Editorial","Bandeira, Lourdes M., Collares, Ana Cristina M., Almeida, Tânia Mara C.","Sociedade e Estado; 30(2); 301-302","Sociedade e Estado","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69922015000200301&lang=pt" 
"S1815-59442015000200002-cub","Estudio de coeficientes reológicos de un crudo extrapesado mezclado con un biorreductor de viscosidad","Suárez-Domínguez, Edgardo-Jonathan, Manuel-Rivera, Rigoberto, Coronel-Santillán, Allan-Uriel, Palacio-Pérez, Arturo, Izquierdo-Kulich, Elena","Ingeniería Mecánica; 18(2); 87-92","Ingeniería Mecánica","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1815-59442015000200002&lang=pt" 
"S0100-39842015000400008-scl","Accuracy of computer-aided ultrasound as compared with magnetic resonance imaging in the evaluation of nonalcoholic fatty liver disease in obese and eutrophic adolescents","Nascimento, José Hermes Ribas do, Soder, Ricardo Bernardi, Epifanio, Matias, Baldisserotto, Matteo","Radiologia Brasileira; 48(4); 225-232","Radiologia Brasileira","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842015000400008&lang=pt" 
"S0100-39842015000400009-scl","Coronary anomalies: what the radiologist should know","Neves, Priscilla Ornellas, Andrade, Joalbo, Monção, Henry","Radiologia Brasileira; 48(4); 233-241","Radiologia Brasileira","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842015000400009&lang=pt" 
"S0100-39842015000400010-scl","Artifacts and pitfalls in shoulder magnetic resonance imaging","Marcon, Gustavo Felix, Macedo, Tulio Augusto Alves","Radiologia Brasileira; 48(4); 242-248","Radiologia Brasileira","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842015000400010&lang=pt" 
"S1516-18462015000401355-scl","Conduta fonoaudiológica em um caso de disfagia neurogênica por distrofia muscular oculofaríngea","Cunha, Karini, Gelatti, Giliane, Cardoso, Maria Cristina","Revista CEFAC; 17(4); 1355-1361","Revista CEFAC","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-18462015000401355&lang=pt" 
"S1516-18462015000401033-scl","Estudo das habilidades auditivas de resolução temporal e figura-fundo em dançarinos","Silva, Mariane Richetto da, Dias, Karin Ziliotto, Pereira, Liliane Desgualdo","Revista CEFAC; 17(4); 1033-1041","Revista CEFAC","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-18462015000401033&lang=pt" 
"S1516-18462015000401062-scl","Caracterização do perfil comportamental e de competência social de indivíduos com a síndrome del22q11.2","Costa, Gabriela Mello, Ganthous, Giulia, Santos, Amanda Oliveira, Giacheti, Célia Maria","Revista CEFAC; 17(4); 1062-1070","Revista CEFAC","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-18462015000401062&lang=pt" 
"S1516-18462015000401071-scl","Perfil fonológico e lexical: interrelação com fatores ambientais","Passaglio, Nathália de Jesus Silva, Souza, Marina Alves de, Souza, Valquíria Conceição, Scopel, Ramilla Recla, Lemos, Stela Maris Aguiar","Revista CEFAC; 17(4); 1071-1078","Revista CEFAC","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-18462015000401071&lang=pt" 
"S1516-18462015000401079-scl","Processos grupais com familiares: percepção de graduandos de fonoaudiologia","Carvalho, Nádia Giulian de, Chun, Regina Yu Shon, Montilha, Rita de Cássia Ietto","Revista CEFAC; 17(4); 1079-1089","Revista CEFAC","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-18462015000401079&lang=pt" 
