"S0102-09352015000401039-scl","In vivo biocompatibility of nanostructured Chitosan/Peo membranes","Vulcani, V.A.S., Franzo, V.S., Rabelo, R.E., Rabbers, A.S., Assis, B.M., D&#039;Ávila, M.A., Antoni, S.M.B.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 67(4); 1039-1044","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352015000401039&lang=pt" 
"S0100-204X2015000800726-scl","Métodos de inoculação de Sclerotinia sclerotiorum para triagem de cultivares de soja resistentes ao mofo-branco","Garcia, Riccely Ávila, Meyer, Maurício Conrado, Ávila, Kássia Aparecida Garcia Barbosa, Cunha, Marcos Gomes da","Pesquisa Agropecuária Brasileira; 50(8); 726-729","Pesquisa Agropecuária Brasileira","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2015000800726&lang=pt" 
"S1010-27522015000200011-cub","Pyramiding TYLCV and TSWV resistance genes in tomato genotypes","Gómez Consuegra, Olimpia, Piñón Gómez, Mayte, Martínez Zubiaur, Yamila","Revista de Protección Vegetal; 30(2); 161-164","Revista de Protección Vegetal","Inglês","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1010-27522015000200011&lang=pt" 
"S1010-27522015000200008-cub","Efecto de cepas de Trichoderma asperellum Samuels, Lieckfeldt y Nirenberg sobre el desarrollo del tomate y Meloidogyne incognita (Kofoid y White) Chitwood","Hernández-Ochandía, Daine, Rodríguez, Mayra G., Peteira, Belkis, Miranda, Ileana, Arias, Yailén, Martínez, Benedicto","Revista de Protección Vegetal; 30(2); 139-147","Revista de Protección Vegetal","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1010-27522015000200008&lang=pt" 
"S1010-27522015000200007-cub","Efecto de cepa ecuatoriana de Trichoderma harzianum Rifai como antagonista de Mycosphaerella fijiensis Morelet en condiciones de casa de cultivo","Castro, Rosa, Pesántez, Marcia, Flores, Valeria, Díaz, Carmen, Castro, Lidia, Alvarado-Capó, Yelenys","Revista de Protección Vegetal; 30(2); 133-138","Revista de Protección Vegetal","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1010-27522015000200007&lang=pt" 
"S1010-27522015000200001-cub","Métodos de muestreo para el monitoreo de Pseudophilothrips sp. (Tubulifera: Phlaeothripidae) y sus enemigos naturales:: II. Muestreo secuencial binomial de Eurotas brasilianus Carvalho y Wallerstein (Miridae: Orthotylinae) y Macrotracheliella sp. (Anthocoridae: Anthocorinae)","Vecco, Daniel, Pinedo, Román, Fernández Argudín, Miriam","Revista de Protección Vegetal; 30(2); 81-86","Revista de Protección Vegetal","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1010-27522015000200001&lang=pt" 
"S1029-30192015000800007-cub","Algunas variables biológicas relacionadas con trastornos del sueño en estudiantes de primer año de medicina","García Gascón, Ángel, Querts Méndez, Odalis, Hernández González, Raúl César, Agüero Martén, Raiza, Cascaret Soto, Xiomara","MEDISAN; 19(8); 978-983","MEDISAN","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192015000800007&lang=pt" 
"S1029-30192015000800004-cub","Efectividad del Oleozon® por vía oral en pacientes con giardiasis","González Gámez, Soini","MEDISAN; 19(8); 958-964","MEDISAN","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192015000800004&lang=pt" 
"S1029-30192015000800005-cub","Calidad del desempeño profesional en la Clínica Estomatológica &quot;Fe Dora Beris&quot;","Arocha Bandera, Martha Milagros, Márquez Filiu, Maricel, Deyne Márquez, Arnel, Estrada Pereira, Gladys Aída","MEDISAN; 19(8); 965-970","MEDISAN","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192015000800005&lang=pt" 
"S1029-30192015000800011-cub","Conocimientos generales sobre el Grupo de Alcohólicos Anónimos","Pelegrino Callis, Georgia Lucila, Pérez Sánchez, Glenda, Duconger Castellanos, Rosa Delia, Martínez Muñiz, María Nela, Ramírez Álvarez, Graciela","MEDISAN; 19(8); 1006-1019","MEDISAN","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192015000800011&lang=pt" 
"S1029-30192015000800010-cub","Características clínicas, genéticas y epidemiológicas de la epidermólisis bullosa y su repercusión en la cavidad bucal","Clavería Clark, Rafael Alberto, Rodríguez Guerrero, Katiuska, Peña Sisto, Maritza","MEDISAN; 19(8); 995-1005","MEDISAN","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192015000800010&lang=pt" 
"S1029-30192015000800013-cub","Importancia de la reducción de peso en los pacientes con obesidad","Pereira Despaigne, Olga Lidia, Palay Despaigne, Maricela Silvia","MEDISAN; 19(8); 1043-1050","MEDISAN","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192015000800013&lang=pt" 
"S0253-570X2015000200005-cub","Desarrollo y evaluación del desempeño de una prueba rápida inmunocromatográfica para el diagnóstico de la brucelosis","Díaz Herrera, Dervel Felipe, Cruz Santana, Yanelis, Cruz Sui, Otto, Martín Alfonso, Dayamí, Alfonso González, Martha J., Ortiz Losada, Eva, Fragas Quintero, Anitza, Montano Tamayo, Lucy, Silva Cabrera, Eladio","Revista de Salud Animal; 37(2); 105-111","Revista de Salud Animal","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0253-570X2015000200005&lang=pt" 
"S1010-27522015000200004-cub","Adopción de prácticas para el manejo agroecológico de plagas en la sandía (Citrullus lanatus Thunb.) en Azuero, Panamá","Barba, Anovel, Espinosa, Jaime, Suris, Moraima","Revista de Protección Vegetal; 30(2); 104-114","Revista de Protección Vegetal","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1010-27522015000200004&lang=pt" 
"S1010-27522015000200003-cub","Detección e identificación de nuevos aislados de Xanthomonas axonopodis pv. phaseoli en cultivares de frijol común (Phaseolus vulgaris L.) en la provincia Mayabeque, Cuba","Corzo López, Mylene, Rivero González, Deyanira, Zamora Gutiérrez, Loidy, Martínez Zubiaur, Yamila, Martínez Coca, Benedicto","Revista de Protección Vegetal; 30(2); 97-103","Revista de Protección Vegetal","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1010-27522015000200003&lang=pt" 
