"S2224-78902016000400012-sza","Residual stress in Ti6Al4V objects produced by direct metal laser sintering","van Zyl, I., Yadroitsava, I., Yadroitsev, I.","South African Journal of Industrial Engineering; 27(4); 134-141","South African Journal of Industrial Engineering","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2224-78902016000400012&lang=pt" 
"S2446-47402016000400327-scl","Psychoacoustic behavior of human listeners in lateralization judgments of binaural stimuli","Nogueira, Jurandyr Santos, Cunha, Ana Isabela Araújo, Freire, Raimundo Carlos Silvério","Research on Biomedical Engineering; 32(4); 327-336","Research on Biomedical Engineering","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2446-47402016000400327&lang=pt" 
"S1870-39252016000300045-mex","Personas que se inyectan drogas en Hermosillo, Sonora. Metodología para su registro","Ospina-Escobar, Angélica","Región y sociedad; 28(67); 45-77","Región y sociedad","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-39252016000300045&lang=pt" 
"S0103-65642016000300553-scl","Nem tudo que reluz é Marx: críticas stalinistas a Vigotski no âmbito da ciência soviética","Toassa, Gisele","Psicologia USP; 27(3); 553-563","Psicologia USP","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642016000300553&lang=pt" 
"S0103-65642016000300473-scl","Memória corporal e hipocondria: um vivido arcaico sempre presente?","Paraboni, Patrícia, Cardoso, Marta Rezende","Psicologia USP; 27(3); 473-481","Psicologia USP","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642016000300473&lang=pt" 
"S1983-40632016000400429-scl","Selection of tomato accessions resistant to Verticilium wilt1","Carrer Filho, Renato, Oliveira, Renata Maria, Dias, Vanessa Duarte, Rocha, Geisiane Alves, Dianese, Érico de Campos, Cunha, Marcos Gomes da","Pesquisa Agropecuária Tropical; 46(4); 429-433","Pesquisa Agropecuária Tropical","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-40632016000400429&lang=pt" 
"S2446-47402016000400347-scl","Efficient medical image access in diagnostic environments with limited resources","Venson, José Eduardo, Bevilacqua, Fernando, Onuki, Fabio, d’Ornellas, Marcos Cordeiro, Maciel, Anderson","Research on Biomedical Engineering; 32(4); 347-357","Research on Biomedical Engineering","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2446-47402016000400347&lang=pt" 
"S0103-65642016000300492-scl","Barreiras e recursos à aprendizagem e à participação de alunos em situação de inclusão","Oliva, Diana Villac","Psicologia USP; 27(3); 492-502","Psicologia USP","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642016000300492&lang=pt" 
"S0104-59702016000900227-scl","Eugenia e educação no Brasil do século XX: entrevista com Jerry Dávila","Dávila, Jerry, Carvalho, Leonardo Dallacqua de, Corrêa, Igor Nazareno da Conceição","História, Ciências, Saúde-Manguinhos; 23(); 227-234","História, Ciências, Saúde-Manguinhos","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702016000900227&lang=pt" 
"S0104-59702016000900007-scl","CARTA DOS EDITORES CONVIDADOS","Vimieiro-Gomes, Ana Carolina, Wegner, Robert, Souza, Vanderlei Sebastião de","História, Ciências, Saúde-Manguinhos; 23(); 7-14","História, Ciências, Saúde-Manguinhos","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702016000900007&lang=pt" 
"S1983-40632016000400421-scl","Agronomic performance and soil chemical attributes in a banana tree orchard fertigated with humic substances1","Melo, Diego Magalhães de, Coelho, Eugênio Ferreira, Borges, Ana Lúcia, Pereira, Bruno Laecio da Silva, Campos, Marcos Sousa","Pesquisa Agropecuária Tropical; 46(4); 421-428","Pesquisa Agropecuária Tropical","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-40632016000400421&lang=pt" 
