"S2176-94512015000300096-scl","Sterilizing elastomeric chains without losing mechanical properties. Is it possible?","Pithon, Matheus Melo, Ferraz, Caio Souza, Rosa, Francine Cristina Silva, Rosa, Luciano Pereira","Dental Press Journal of Orthodontics; 20(3); 96-100","Dental Press Journal of Orthodontics","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2176-94512015000300096&lang=pt" 
"S2176-94512015000300109-scl","Indirect orthodontic bonding - a modified technique for improved efficiency and precision","Nojima, Lincoln Issamu, Araújo, Adriele Silveira, Alves Júnior, Matheus","Dental Press Journal of Orthodontics; 20(3); 109-117","Dental Press Journal of Orthodontics","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2176-94512015000300109&lang=pt" 
"S2359-39972015000300210-scl","Swim training and the genetic expression of adipokines in monosodium glutamate-treated obese rats","Svidnicki, Paulo Vinicius, Leite, Nayara Carvalho, Vicari, Marcelo Ricardo, Almeida, Mara Cristina de, Artoni, Roberto Ferreira, Favero, Giovani Marino, Grassiolli, Sabrina, Nogaroto, Viviane","Archives of Endocrinology and Metabolism; 59(3); 210-214","Archives of Endocrinology and Metabolism","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2359-39972015000300210&lang=pt" 
"S2359-39972015000300215-scl","Dyslipidemia in young patients with type 1 diabetes mellitus","Homma, Thaís Kataoka, Endo, Camila Matsuura, Saruhashi, Tatiana, Mori, Ana Paula Ivata, Noronha, Renata Maria de, Monte, Osmar, Calliari, Luis Eduardo Procópio","Archives of Endocrinology and Metabolism; 59(3); 215-219","Archives of Endocrinology and Metabolism","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2359-39972015000300215&lang=pt" 
"S2359-39972015000300220-scl","2000 CDC or 2007 WHO – What is the most sensitive anthropometric reference for determination of overweight and cardio-metabolic risk in children aged 6–10 years?","Kuba, Valesca Mansur, Leone, Claudio, Damiani, Durval","Archives of Endocrinology and Metabolism; 59(3); 220-225","Archives of Endocrinology and Metabolism","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2359-39972015000300220&lang=pt" 
"S2359-39972015000300226-scl","Risk factors for Charcot foot","Nóbrega, Marta Barreto de Medeiros, Aras, Roque, Netto, Eduardo Martins, Couto, Ricardo David, Marinho, Alexandre Magno da Nóbrega, Silva, João Luís da, Colares, Víctor Nóbrega Quintas, Campelo, Priscilla Leite, Nunes, Marcos André Lima","Archives of Endocrinology and Metabolism; 59(3); 226-230","Archives of Endocrinology and Metabolism","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2359-39972015000300226&lang=pt" 
"S2359-39972015000300231-scl","Seasonal variation of haemoglobin A1c in a Portuguese adult population","Pereira, Maria Teresa Rocha e Pinho, Lira, Domingos, Bacelar, Conceição, Oliveira, José Carlos, Carvalho, André Couto de","Archives of Endocrinology and Metabolism; 59(3); 231-235","Archives of Endocrinology and Metabolism","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2359-39972015000300231&lang=pt" 
"S2359-39972015000300245-scl","Effect of glycemic index on obesity control","Pereira, Elisângela Vitoriano, Costa, Jorge de Assis, Alfenas, Rita de Cássia Gonçalves","Archives of Endocrinology and Metabolism; 59(3); 245-251","Archives of Endocrinology and Metabolism","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2359-39972015000300245&lang=pt" 
"S2359-39972015000300252-scl","Bone mineral density in short bowel syndrome: correlation with BMI and serum vitamins C, E and K","Braga, Camila Bitu Moreno, Bizari, Letícia, Suen, Vivian Miguel Marques, Marchini, Júlio Sérgio, Paula, Francisco José Albuquerque de, Cunha, Selma Freire de Carvalho da","Archives of Endocrinology and Metabolism; 59(3); 252-258","Archives of Endocrinology and Metabolism","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2359-39972015000300252&lang=pt" 
"S1409-469X2015000100001-cri","Acerca de los orígenes de las festividades de la Virgen del Mar en la ciudad de Puntarenas","Arias Alpízar, Luz Mary, Abarca Hernández, Oriester","Diálogos Revista Electrónica de Historia; 16(1); 03-62","Diálogos Revista Electrónica de Historia","Espanhol","2015","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-469X2015000100001&lang=pt" 
"S2077-33232015000100004-bol","El impacto del cambio climático en la salud humana en la Cuenca de los ríos Mauri y Desaguadero (Altiplano central boliviano)","Alvizuri Tintaya, Paola A., Pacheco M., Paula","Revista Ciencia y Cultura; 19(34); 59-80","Revista Ciencia y Cultura","Espanhol","2015","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2077-33232015000100004&lang=pt" 
