"S1516-73132016000401097-scl","Aprendizagem do professor: uma leitura possível","Boas, Jamille Vilas, Barbosa, Jonei Cerqueira","Ciência &amp; Educação (Bauru); 22(4); 1097-1107","Ciência &amp; Educação (Bauru)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-73132016000401097&lang=pt" 
"S0034-72802016000600432-scl","Avaliação da adesão aos colírios em pacientes com glaucoma através da Escala de Morisky de 8 itens: um estudo transversal","Ribeiro, Marina Viegas Moura Rezende, Ribeiro, Luiz Eduardo Feliciano, Ribeiro, Êurica Adélia Nogueira, Ferreira, Caio Vítor, Barbosa, Fabiano Timbó","Revista Brasileira de Oftalmologia; 75(6); 432-437","Revista Brasileira de Oftalmologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802016000600432&lang=pt" 
"S0034-72802016000600443-scl","Fatores de risco e incidência da retinopatia diabética","Mendanha, Denise Borges de Andrade, Abrahão, Mayara Martins, Vilar, Mateus Martins Cortez, Nassaralla Junior, João Jorge","Revista Brasileira de Oftalmologia; 75(6); 443-446","Revista Brasileira de Oftalmologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802016000600443&lang=pt" 
"S0103-40142016000300155-scl","Cuidados paliativos","GOMES, ANA LUISA ZANIBONI, OTHERO, MARÍLIA BENSE","Estudos Avançados; 30(88); 155-166","Estudos Avançados","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142016000300155&lang=pt" 
"S0034-72802016000600456-scl","Perfil do paciente albino com visão subnormal e melhoria da acuidade visual com a adaptação de recursos ópticos e/ou eletrônicos","Pereira, Diego Fleury de Lemos, Araujo, Evandro Lopes, Patuzzo, Fernanda Viana Duarte","Revista Brasileira de Oftalmologia; 75(6); 456-460","Revista Brasileira de Oftalmologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802016000600456&lang=pt" 
"S0103-64402016000600646-scl","Effect of Ocimum gratissimum in Mouthrinses on De Novo Plaque Formation. A Randomized Clinical Trial","Pimenta, Manoela Siqueira, Lobo, Nayana Santiago Guedis, Vieira, Virna Castelo, Costa, Ângela Maria Alves da, Costa, Flávio Nogueira da, Pereira, Sérgio Luís da Silva","Brazilian Dental Journal; 27(6); 646-651","Brazilian Dental Journal","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402016000600646&lang=pt" 
"S0034-72802016000600487-scl","Pachychoroid, an update from the new finding to the usual investigation in selected diseases","Amaro, Miguel Hage, Mitre, Jorge, Motta, Mario Martins dos Santos, Nassaralla Junior, João Jorge, Aihara, Teruo","Revista Brasileira de Oftalmologia; 75(6); 487-491","Revista Brasileira de Oftalmologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802016000600487&lang=pt" 
"S2175-78602016000400905-scl","Eriocaulaceae in the Brazilian Amazon and the use of Species Distribution Modelling in its conservation","Giulietti, Ana M., Harley, Raymond M., Siqueira, José Oswaldo, Giannini, Tereza Cristina","Rodriguésia; 67(4); 905-916","Rodriguésia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-78602016000400905&lang=pt" 
"S0103-64402016000600775-scl","Histologic and Tomographic Findings of Bone Block Allografts in a 4 Years Follow-up: A Case Series","Deluiz, Daniel, Oliveira, Luciano Santos, Fletcher, Paul, Pires, Fábio Ramôa, Tinoco, Justine Monnerat, Tinoco, Eduardo Muniz Barretto","Brazilian Dental Journal; 27(6); 775-780","Brazilian Dental Journal","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402016000600775&lang=pt" 
"S0100-60452016000400255-scl","I Tensed the Laws and the Laws Won: Non-Eternalist Humeanism","Backmann, Marius","Manuscrito; 39(4); 255-277","Manuscrito","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-60452016000400255&lang=pt" 
"S1516-73132016000400993-scl","Percepciones de docentes y directores sobre los factores que promueven u obstaculizan la educación ambiental en escuelas del Área Metropolitana de Buenos Aires","Saidón, Mariana, Claverie, Julieta Andrea","Ciência &amp; Educação (Bauru); 22(4); 993-1012","Ciência &amp; Educação (Bauru)","Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-73132016000400993&lang=pt" 
"S0100-60452016000400075-scl","Kit Fine on Tense and Reality","Savitt, Steven","Manuscrito; 39(4); 75-99","Manuscrito","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-60452016000400075&lang=pt" 
"S0103-40142016000300077-scl","Consumo, um dos dilemas da sustentabilidade","ZANIRATO, SÍLVIA HELENA, ROTONDARO, TATIANA","Estudos Avançados; 30(88); 77-92","Estudos Avançados","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142016000300077&lang=pt" 
"S2175-78602016000400879-scl","Brazilian plant specimens at the Regnellian herbarium: history and repatriation","Santos, Karin dos","Rodriguésia; 67(4); 879-892","Rodriguésia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-78602016000400879&lang=pt" 
"S0100-60452016000400183-scl","Presentism, Passage, Phenomenology and Physicalism","Miller, Kristie, Loo, Jane Weiling","Manuscrito; 39(4); 183-201","Manuscrito","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-60452016000400183&lang=pt" 
"S1414-98932016000400816-scl","Improving Accident Statistics and Expanding the Role of Traffic Psychologists in Brazil","Wit, Paulus A J M de, Souza, Caroline Zaneripe de, Cruz, Roberto Moraes","Psicologia: Ciência e Profissão; 36(4); 816-830","Psicologia: Ciência e Profissão","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932016000400816&lang=pt" 
"S2175-78602016000401047-scl","Flora da Usina São José, Igarassu, Pernambuco: Sapindaceae","Pereira, Luiz de Aquino, Amorim, Bruno Sampaio, Alves, Marccus, Somner, Genise Vieira, Barbosa, Maria Regina de Vasconcellos","Rodriguésia; 67(4); 1047-1059","Rodriguésia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-78602016000401047&lang=pt" 
"S2175-78602016000400997-scl","Licófitas e samambaias da Serra do Itauajuri, município de Monte Alegre, Pará, Brasil","Pallos, Julieta, Góes-Neto, Luiz Armando de Araújo, Costa, Jeferson Miranda, Souza, Filipe Soares de, Pietrobom, Marcio Roberto","Rodriguésia; 67(4); 997-1009","Rodriguésia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-78602016000400997&lang=pt" 
"S1516-73132016000400913-scl","La controversia Pasteur vs. Pouchet sobre la generación espontánea: un recurso para la formación inicial del profesorado en la naturaleza de la ciencia desde un enfoque reflexivo","Acevedo-Díaz, José Antonio, García-Carmona, Antonio, Aragón, María del Mar","Ciência &amp; Educação (Bauru); 22(4); 913-933","Ciência &amp; Educação (Bauru)","Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-73132016000400913&lang=pt" 
"S1516-73132016000401085-scl","Professional development shaping teacher agency and creative insubordination","Lopes, Celi Espasandin, D&#039;Ambrosio, Beatriz Silva","Ciência &amp; Educação (Bauru); 22(4); 1085-1095","Ciência &amp; Educação (Bauru)","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-73132016000401085&lang=pt" 
"S2175-78602016000400953-scl","A tribo Miconieae (Melastomataceae) no Parque Estadual do Biribiri, Diamantina, Minas Gerais, Brasil","Araújo, Inara Montini, Romero, Rosana","Rodriguésia; 67(4); 953-970","Rodriguésia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-78602016000400953&lang=pt" 
"S0103-40142016000300043-scl","O nexo água, energia e alimentos no contexto da Metrópole Paulista","GIATTI, LEANDRO LUIZ, JACOBI, PEDRO ROBERTO, FAVARO, ANA KARINA MERLIN DO IMPERIO, EMPINOTTI, VANESSA LUCENA","Estudos Avançados; 30(88); 43-61","Estudos Avançados","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142016000300043&lang=pt" 
"S1414-98932016000400864-scl","Percepções de Estudantes Universitários sobre a Realização de Atividades Extracurriculares na Graduação","Oliveira, Clarissa Tochetto de, Santos, Anelise Schaurich dos, Dias, Ana Cristina Garcia","Psicologia: Ciência e Profissão; 36(4); 864-876","Psicologia: Ciência e Profissão","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932016000400864&lang=pt" 
"S0034-72802016000600473-scl","Keratitis by Aspergillus flavus infection after cataract surgery","Costa, João Luiz Pacini, Barra, Daniel, Ando, Edson, Pogue, Robert","Revista Brasileira de Oftalmologia; 75(6); 473-475","Revista Brasileira de Oftalmologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802016000600473&lang=pt" 
"S0103-64402016000600734-scl","Effect of Acid Etching, Silane and Thermal Cycling on the Bond Strength of Metallic Brackets to Ceramic","Matos, Natália Regina Santos de, Costa, Ana Rosa, Valdrighi, Heloísa Cristina, Correr, Américo Bortolazzo, Vedovello, Silvia Amélia, Santamaria Jr, Milton, Correr-Sobrinho, Lourenço","Brazilian Dental Journal; 27(6); 734-738","Brazilian Dental Journal","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402016000600734&lang=pt" 
"S1516-73132016000401063-scl","Objetivos gerais de um programa de desenvolvimento profissional docente","Scarinci, Anne Louise, Pacca, Jesuína Lopes de Almeida","Ciência &amp; Educação (Bauru); 22(4); 1063-1084","Ciência &amp; Educação (Bauru)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-73132016000401063&lang=pt" 
"S0034-72802016000600476-scl","Terapia nutricional proposta para conjuntivite lenhosa: estudo de caso e revisão de literatura","Granito, Mariana, Ferreira, João Maria","Revista Brasileira de Oftalmologia; 75(6); 476-480","Revista Brasileira de Oftalmologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802016000600476&lang=pt" 
"S0103-64402016000600664-scl","On the Causality Between Dentinal Defects and Root Canal Preparation: A Micro-CT Assessment","De-Deus, Gustavo, Belladonna, Felipe Gonçalves, Marins, Juliana Roter, Silva, Emmanuel João Nogueira Leal, Neves, Aline de Almeida, Souza, Erick Miranda, Machado, Alessandra de Castro, Lopes, Ricardo Tadeu, Versiani, Marco Aurélio","Brazilian Dental Journal; 27(6); 664-669","Brazilian Dental Journal","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402016000600664&lang=pt" 
"S2175-78602016000400871-scl","Floral biology of Sesbania virgata: an invasive species in the Agreste of Paraíba, northeastern Brazil","Souza, Vênia Camelo de, Andrade, Leonaldo Alves de, Quirino, Zelma Glebya Maciel","Rodriguésia; 67(4); 871-878","Rodriguésia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-78602016000400871&lang=pt" 
"S0103-64402016000600693-scl","Bonding of the Polymer Polyetheretherketone (PEEK) to Human Dentin: Effect of Surface Treatments","Rocha, Regina Furbino Villefort, Anami, Lilian Costa, Campos, Tiago Moreira Bastos, Melo, Renata Marques de, Souza, Rodrigo Othávio de Assunção e, Bottino, Marco Antonio","Brazilian Dental Journal; 27(6); 693-699","Brazilian Dental Journal","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402016000600693&lang=pt" 
"S0034-72802016000600461-scl","Análise de custos para clínicas oftalmológicas","Regonha, Eduardo, Baungartner, Ricardo Rinaldi, Scarpi, Marinho Jorge","Revista Brasileira de Oftalmologia; 75(6); 461-469","Revista Brasileira de Oftalmologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802016000600461&lang=pt" 
"S1414-98932016000400921-scl","Família, Gênero e Emancipação Psicossocial","Tokuda, André Masao Peres, Peres, Wiliam Siqueira, Andrêo, Caio","Psicologia: Ciência e Profissão; 36(4); 921-931","Psicologia: Ciência e Profissão","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932016000400921&lang=pt" 
"S0100-60452016000400225-scl","On the Existential side of the Eternalism-Presentism Dispute","Orilia, Francesco","Manuscrito; 39(4); 225-254","Manuscrito","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-60452016000400225&lang=pt" 
"S0100-60452016000400005-scl","Recent Trends in the Philosophy of Time: an Introduction to Time and Reality I","Boccardi, Emiliano","Manuscrito; 39(4); 5-34","Manuscrito","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-60452016000400005&lang=pt" 
"S1984-92302016000400535-scl","Editorial","Rigo, Ariádne Scalfoni, Cabral, Sandro","Organizações &amp; Sociedade; 23(79); 535-536","Organizações &amp; Sociedade","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-92302016000400535&lang=pt" 
"S0103-40142016000300003-scl","Editorial","Bosi, Alfredo","Estudos Avançados; 30(88); 3-3","Estudos Avançados","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142016000300003&lang=pt" 
"S0103-40142016000300167-scl","A geografia social do zika no Brasil","LESSER, JEFFREY, KITRON, URIEL","Estudos Avançados; 30(88); 167-175","Estudos Avançados","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142016000300167&lang=pt" 
"S0103-40142016000300007-scl","Dilemas ambientais e fronteiras do conhecimento","JACOBI, PEDRO ROBERTO, GIATTI, LEANDRO LUIZ","Estudos Avançados; 30(88); 7-9","Estudos Avançados","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142016000300007&lang=pt" 
"S0103-40142016000300309-scl","Impasse teórico da historiografia segundo Emília Viotti da Costa","David, Antônio","Estudos Avançados; 30(88); 309-314","Estudos Avançados","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142016000300309&lang=pt" 
"S0103-40142016000300295-scl","Sobre A memória rota: ensaios de cultura e política, de Arcadio Díaz-Quiñones","Monteiro, Pedro Meira","Estudos Avançados; 30(88); 295-304","Estudos Avançados","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142016000300295&lang=pt" 
"S0034-72802016000600423-scl","A sabedoria começa na reflexão","Portes, André Luis Freire","Revista Brasileira de Oftalmologia; 75(6); 423-424","Revista Brasileira de Oftalmologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802016000600423&lang=pt" 
"S2175-78602016000401071-scl","Baixas concentrações de macronutrientes beneficiam a propagação in vitro de Vriesea incurvata (Bromeliaceae), uma espécie endêmica da Floresta Atlântica, Brasil","Sasamori, Márcio Hisayuki, Endres Júnior, Delio, Droste, Annette","Rodriguésia; 67(4); 1071-1081","Rodriguésia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-78602016000401071&lang=pt" 
"S0103-40142016000300025-scl","Adaptação climática: Fronteiras do conhecimento para pensar o contexto brasileiro","GIULIO, GABRIELA MARQUES DI, MARTINS, ANA MARIA BEDRAN, LEMOS, MARIA CARMEN","Estudos Avançados; 30(88); 25-41","Estudos Avançados","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142016000300025&lang=pt" 
"S1414-98932016000400847-scl","O Pré-Natal Psicológico como Programa de Prevenção à Depressão Pós-Parto","Almeida, Natália Maria de Castro, Arrais, Alessandra da Rocha","Psicologia: Ciência e Profissão; 36(4); 847-863","Psicologia: Ciência e Profissão","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932016000400847&lang=pt" 
"S2175-78602016000400981-scl","Flora do Ceará, Brasil: Polygonaceae","Tabosa, Francisco Romário Silva, Almeida, Élida Machado, Melo, Efigênia, Loiola, Maria Iracema Bezerra","Rodriguésia; 67(4); 981-996","Rodriguésia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-78602016000400981&lang=pt" 
"S1516-73132016000400875-scl","Ensino religioso nas escolas estaduais do Rio de Janeiro: implicações para o ensino de ciências/biologia","Selles, Sandra Escovedo, Dorvillé, Luís Fernando Marques, Pontual, Leandro Vahia","Ciência &amp; Educação (Bauru); 22(4); 875-894","Ciência &amp; Educação (Bauru)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-73132016000400875&lang=pt" 
"S0103-40142016000300185-scl","Pré-sal e Petrobras além dos discursos e mitos: disputas, riscos e desafios","SAUER, ILDO L., RODRIGUES, LARISSA ARAÚJO","Estudos Avançados; 30(88); 185-229","Estudos Avançados","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142016000300185&lang=pt" 
"S0103-40142016000300117-scl","Amazônia brasileira e Patagônia argentina: planos de desenvolvimento e soberania nacional","ÁLVAREZ, GONZALO PÉREZ","Estudos Avançados; 30(88); 117-138","Estudos Avançados","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142016000300117&lang=pt" 
"S1414-98932016000400877-scl","Relação entre Tecnologias da Informação e Comunicação e Criatividade: Revisão da Literatura","Vilarinho-Rezende, Daniela, Borges, Clarissa Nogueira, Fleith, Denise de Souza, Joly, Maria Cristina Rodrigues Azevedo","Psicologia: Ciência e Profissão; 36(4); 877-892","Psicologia: Ciência e Profissão","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932016000400877&lang=pt" 
"S1516-73132016000400837-scl","Fatores influenciadores dos resultados de matemática de estudantes portugueses e brasileiros no PISA: revisão integrativa","Pinto, Joaquim, Silva, Jaime Carvalho e, Bixirão Neto, Teresa","Ciência &amp; Educação (Bauru); 22(4); 837-853","Ciência &amp; Educação (Bauru)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-73132016000400837&lang=pt" 
"S1414-98932016000400893-scl","Preferências Ambientais e Possibilidades de Restauro Psicológico em Campi Universitários","Albuquerque, Dayse da Silva, Silva, Dnyelle Souza, Kuhnen, Ariane","Psicologia: Ciência e Profissão; 36(4); 893-906","Psicologia: Ciência e Profissão","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932016000400893&lang=pt" 
"S1870-74592016000200198-mex","Avifauna de la Sierra de Cuatro Venados, Oaxaca, México","Lavariega, Mario C., Martín-Regalado, Natalia, Gómez-Ugalde, Rosa Ma., Aragón, Jonathan","Huitzil; 17(2); 198-214","Huitzil","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-74592016000200198&lang=pt" 
"S1870-74592016000200251-mex","Composición y abundancia estacional de aves acuáticas en tres paisajes de la laguna Mar Muerto, Oaxaca-Chiapas","Mera-Ortiz, Ghelen, Ruiz-Campos, Gorgonio, Gómez-González, Adán Enrique, Velázquez-Velázquez, Ernesto","Huitzil; 17(2); 251-261","Huitzil","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-74592016000200251&lang=pt" 
"S1516-73132016000400895-scl","La dimensión argumentativa y tecnológica en la formación de docentes de ciencias","Romano, Leticia Garcia, Condat, María Eugenia, Occelli, Maricel, Valeiras, Nora","Ciência &amp; Educação (Bauru); 22(4); 895-912","Ciência &amp; Educação (Bauru)","Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-73132016000400895&lang=pt" 
"S1984-92302016000400609-scl","Archives and the “Archive”: dialogue and an agenda of research in organization studies","Barros, Amon","Organizações &amp; Sociedade; 23(79); 609-623","Organizações &amp; Sociedade","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-92302016000400609&lang=pt" 
"S1984-92302016000400571-scl","Institutional Change in Brazilian Public Administration: The case of the Ombudsman’s Offices in Federal Regulatory Agencies","Miranda, Luciana de Oliveira, Calmon, Paulo Carlos du Pin","Organizações &amp; Sociedade; 23(79); 571-589","Organizações &amp; Sociedade","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-92302016000400571&lang=pt" 
"S1984-92302016000400553-scl","Knowledge transfer, Learning and Organizational Capabilities in an inter-organizational software project.","Ayres, Rosane Maria Soligo de Mello, Popadiuk, Silvio","Organizações &amp; Sociedade; 23(79); 553-570","Organizações &amp; Sociedade","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-92302016000400553&lang=pt" 
"S1984-92302016000400624-scl","Urban entrepreneurialism in fifa World Cup host cities: the case of Porto Alegre","Oliveira, Clarice Misoczky de, Misoczky, Maria Ceci","Organizações &amp; Sociedade; 23(79); 624-645","Organizações &amp; Sociedade","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-92302016000400624&lang=pt" 
"S1984-92302016000400590-scl","Spirituality in organizations?","Tecchio, Edivandro Luiz, Cunha, Cristiano José Castro de Almeida, Santos, Fabiana Besen","Organizações &amp; Sociedade; 23(79); 590-608","Organizações &amp; Sociedade","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-92302016000400590&lang=pt" 
"S1984-92302016000400656-scl","Quality of working life and music in the manufacturing workplace","El-Aouar, Walid Abbas, Vasconcelos, César Ricardo Maia de, Veiga Neto, Alipio Ramos","Organizações &amp; Sociedade; 23(79); 656-674","Organizações &amp; Sociedade","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-92302016000400656&lang=pt" 
"S0101-32892016000400313-scl","Retificando informação sobre indexação da RBCE na Web of Science","Vaz, Alexandre Fernandez, Almeida, Felipe Quintão de, Bassani, Jaison José","Revista Brasileira de Ciências do Esporte; 38(4); 313-314","Revista Brasileira de Ciências do Esporte","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892016000400313&lang=pt" 
"S0004-282X2016001200999-scl","Migraine in the post-menopausal period is associated with higher levels of mood disorders, disability, and more menopausal symptoms","Carturan, Paula, Scorcine, Claudio, Fragoso, Yara Dadalti","Arquivos de Neuro-Psiquiatria; 74(12); 999-1002","Arquivos de Neuro-Psiquiatria","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2016001200999&lang=pt" 
"S0103-05822016000400522-scl","Severe protein-calorie malnutrition in two brothers due to abuse by starvation","Barroso, Marcela Montenegro Braga, Salvador, Luiza Martins, Fagundes Neto, Ulysses","Revista Paulista de Pediatria; 34(4); 522-527","Revista Paulista de Pediatria","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822016000400522&lang=pt" 
"S1413-78522016000600300-scl","CLINICAL DEMOGRAPHIC CHARACTERISTICS OF TOTAL KNEE ARTHROPLASTY IN A UNIVERSITY HOSPITAL","Souza, José Miguel Francisco da Silva, Ferreira, Ricardo dos Santos, Lima, Alexandre José Pereira de, Sá Filho, Airton César Pereira de, Albuquerque, Paulo Cezar Vidal Carneiro de","Acta Ortopédica Brasileira; 24(6); 300-303","Acta Ortopédica Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-78522016000600300&lang=pt" 
"S0103-05822016000400510-scl","Effects of obesity on lung volume and capacity in children and adolescents: a systematic review","Winck, Aline Dill, Heinzmann-Filho, João Paulo, Soares, Rafaela Borges, Silva, Juliana Severo da, Woszezenki, Cristhiele Taís, Zanatta, Letiane Bueno","Revista Paulista de Pediatria; 34(4); 510-517","Revista Paulista de Pediatria","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822016000400510&lang=pt" 
"S0103-05822016000400408-scl","Efficacy and safety of chloral hydrate sedation in infants for pulmonary function tests","Wandalsen, Gustavo Falbo, Lanza, Fernanda de Cordoba, Nogueira, Márcia Cristina Pires, Solé, Dirceu","Revista Paulista de Pediatria; 34(4); 408-411","Revista Paulista de Pediatria","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822016000400408&lang=pt" 
"S2236-46332016000300091-scl","The Two Tales of Forced Labour: Katorga and Reformed Prison in Imperial Russia (1879-1905)","Popova, Zhanna","Almanack; (14); 91-117","Almanack","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-46332016000300091&lang=pt" 
"S1413-78522016000600309-scl","REPRODUCIBILITY OF SCHATZKER CLASSIFICATION THROUGH SMARTPHONE APPLICATIONS","Santos, Mauro Rodrigues dos, Sado Júnior, Junichiro, Sousa, Roberto Medeiros de, Roriz, Osman Rodrigues","Acta Ortopédica Brasileira; 24(6); 309-311","Acta Ortopédica Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-78522016000600309&lang=pt" 
"S2236-46332016000300196-scl","Não se fazem mais excomunhões que prestem nos dias de hoje: libertinos, Reformismo Ilustrado e a defesa da tolerância religiosa no mundo luso-brasileiro (1750-1803)","Rocha, Igor Tadeu Camilo","Almanack; (14); 196-240","Almanack","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-46332016000300196&lang=pt" 
"S1413-82712016000300677-scl","Relationship between Personality Traits and Counterproductive Work Behaviors","Ferreira, Mônica Freitas, Nascimento, Elizabeth do","Psico-USF; 21(3); 677-685","Psico-USF","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-82712016000300677&lang=pt" 
"S0101-32892016000400384-scl","Bailarinas x voleibolistas: efeito de diferentes treinamentos motores sobre o sinal eletroencefalográfico","Daronch, Cláudia, Petersen, Ricardo Demétrio de Souza, Spindola, Marilda Machado, Vaz, Marco Aurélio, Oliveira, Lucas Fürstenau de, Geremia, Jeam Marcel","Revista Brasileira de Ciências do Esporte; 38(4); 384-391","Revista Brasileira de Ciências do Esporte","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892016000400384&lang=pt" 
"S2236-46332016000300241-scl","The Royal Portuguese Cabinet of Reading: a space for medical science in the 19th century","Gonçalves, Monique de Siqueira, Bessone, Tânia","Almanack; (14); 241-286","Almanack","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-46332016000300241&lang=pt" 
"S1413-78522016000600312-scl","DEVELOPMENTAL DYSPLASIA OF THE HIP: DO THE RESPONSIBLE FOR SCREENING KNOW WHAT TO DO?","Souza, Bruno Gonçalves Schröder e, Melo, Tiago Evangelista de, Resende, Thiago Mattos, Silva, Rafaela Clara Resende da, Cruz, Soraya Amanda, Oliveira, Valdeci Manoel de","Acta Ortopédica Brasileira; 24(6); 312-317","Acta Ortopédica Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-78522016000600312&lang=pt" 
