"S1415-43662015000600598-scl","Alterações químicas de Argissolo irrigado com percolado de aterro sanitário e água de abastecimento","Coelho, Daniela da C. L., Batista, Rafael O., Oliveira, Adriana de F. M., Silva, Ketson B. da","Revista Brasileira de Engenharia Agrícola e Ambiental; 19(6); 598-604","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662015000600598&lang=pt" 
"S1415-43662015000600581-scl","Intensity and duration of water deficit on the pathosystem sugarcane x Meloidogyne incognita","Quintela, Matheus P., Pedrosa, Elvira M. R., Willadino, Lilia, Rolim, Mario M., Silva, Ênio F. de F. e, David, Mariana F. de L.","Revista Brasileira de Engenharia Agrícola e Ambiental; 19(6); 581-586","Revista Brasileira de Engenharia Agrícola e Ambiental","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662015000600581&lang=pt" 
"S0004-28032015000200081-scl","THE DEPARTURE OF A BRAZILIAN MASTER OF GASTROENTEROLOGY","REZENDE FILHO, Joffre","Arquivos de Gastroenterologia; 52(2); 81-82","Arquivos de Gastroenterologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032015000200081&lang=pt" 
"S0004-28032015000200161-scl","A PHASE II TRIAL EXPLORING THE EXTENSIVE INTRA-OPERATIVE PERITONEAL LAVAGE (EIPL) AS A PROPHYLACTIC STRATEGY FOR PERITONEAL RECURRENCE IN LOCALLY ADVANCED GASTRIC CANCER: reporting postoperative morbidity and mortality after early closure","BATISTA, Thales Paulo, MARTINS, Mário Rino, MARTINS-FILHO, Euclides Dias, SANTOS, Rogerio Luiz dos","Arquivos de Gastroenterologia; 52(2); 161-164","Arquivos de Gastroenterologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032015000200161&lang=pt" 
"S0004-28032015000200143-scl","SIMPLIFYING CELIAC DISEASE PREDISPOSING HLA-DQ ALLELES DETERMINATION BY THE REAL TIME PCR METHOD","SELLESKI, Nicole, ALMEIDA, Lucas Malta, ALMEIDA, Fernanda Coutinho de, GANDOLFI, Lenora, PRATESI, Riccardo, NÓBREGA, Yanna Karla de Medeiros","Arquivos de Gastroenterologia; 52(2); 143-146","Arquivos de Gastroenterologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032015000200143&lang=pt" 
"S0004-28032015000200129-scl","COELIAC DISEASE IN CENTRAL AND SOUTH AMERICA: time for a concerted approach to its epidemiology","FARRUKH, Affifa, MAYBERRY, John Francis","Arquivos de Gastroenterologia; 52(2); 129-133","Arquivos de Gastroenterologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032015000200129&lang=pt" 
"S0004-28032015000200100-scl","HEALTH-RELATED QUALITY OF LIFE OF PREGNANT WOMEN WITH HEARTBURN AND REGURGITATION","DALL&#039;ALBA, Valesca, CALLEGARI-JACQUES, Sidia Maria, KRAHE, Cláudio, BRUCH, Juliana Paula, ALVES, Bruna Cherubini, BARROS, Sérgio Gabriel Silva de","Arquivos de Gastroenterologia; 52(2); 100-104","Arquivos de Gastroenterologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032015000200100&lang=pt" 
"S0122-20662015000100008-col","Prácticas de participación política desde la frontera sur cordobesa: redes, vínculos y faccionalismo a partir de un estudio de caso (fines del siglo XIX)","Nicola Dapelo, Luciano","Anuario de Historia Regional y de las Fronteras; 20(1); 161-191","Anuario de Historia Regional y de las Fronteras","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-20662015000100008&lang=pt" 
"S0122-20662015000100009-col","Higiene, pueblo y sanidad en Cali. Instituciones, prácticas e imaginarios. 1945-1950","Largo Vargas, Joan Manuel","Anuario de Historia Regional y de las Fronteras; 20(1); 193-221","Anuario de Historia Regional y de las Fronteras","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-20662015000100009&lang=pt" 
"S1807-86722015000200149-scl","Concentrate levels of crossbred bulls slaughtered at 16 or 22 months: performance and carcass characteristics","Pinto, Adriana, Passetti, Rodrigo Augusto Cortêz, Guerrero, Ana, Rivaroli, Dayane Cristina, Perotto, Daniel, Prado, Ivanor Nunes do","Acta Scientiarum. Animal Sciences; 37(2); 149-157","Acta Scientiarum. Animal Sciences","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-86722015000200149&lang=pt" 
"S1807-86722015000200123-scl","Productivity of Tifton 85 grass irrigated and overseeded with winter forages","Gomes, Éder Pereira, Rickli, Max Emerson, Cecato, Ulysses, Farhate, Camila Viana Vieira, Goes, Rafael Henrique de Tonissi e Buschinelli de, Oliveira, Elir de","Acta Scientiarum. Animal Sciences; 37(2); 123-128","Acta Scientiarum. Animal Sciences","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-86722015000200123&lang=pt" 
"S0034-70942015000300191-scl","Opioid-free total intravenous anesthesia with propofol, dexmedetomidine and lidocaine infusions for laparoscopic cholecystectomy: a prospective, randomized, double-blinded study","Bakan, Mefkur, Umutoglu, Tarik, Topuz, Ufuk, Uysal, Harun, Bayram, Mehmet, Kadioglu, Huseyin, Salihoglu, Ziya","Revista Brasileira de Anestesiologia; 65(3); 191-199","Revista Brasileira de Anestesiologia","Inglês, Espanhol, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942015000300191&lang=pt" 
"S0034-70942015000300186-scl","Local analgesic effect of tramadol is not mediated by opioid receptors in early postoperative pain in rats","Sousa, Angela Maria, Ashmawi, Hazem Adel","Revista Brasileira de Anestesiologia; 65(3); 186-190","Revista Brasileira de Anestesiologia","Inglês, Espanhol, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942015000300186&lang=pt" 
"S0034-70942015000300170-scl","Influence of preoperative propranolol on cardiac index during the anhepatic phase of liver transplantation","Seiberlich, Emerson, Sanches, Marcelo D., Morais, Bruno S., Maciel, Jader F.","Revista Brasileira de Anestesiologia; 65(3); 170-176","Revista Brasileira de Anestesiologia","Inglês, Espanhol, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942015000300170&lang=pt" 
"S0034-70942015000300177-scl","Anatomical basis for sciatic nerve block at the knee level","Barbosa, Fabiano Timbó, Barbosa, Tatiana Rosa Bezerra Wanderley, Cunha, Rafael Martins da, Rodrigues, Amanda Karine Barros, Ramos, Fernando Wagner da Silva, Sousa-Rodrigues, Célio Fernando de","Revista Brasileira de Anestesiologia; 65(3); 177-179","Revista Brasileira de Anestesiologia","Inglês, Espanhol, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942015000300177&lang=pt" 
"S2175-62362015000200485-scl","Planejamento de Estratégias para o Processo de Inclusão: desafios em questão","Santiago, Mylene Cristina, Santos, Mônica Pereira dos","Educação &amp; Realidade; 40(2); 485-502","Educação &amp; Realidade","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-62362015000200485&lang=pt" 
