"S0430-50272015000100005-prt","Mobilidades, comércio e consumo da feira de Leiria: conflitos de uma centralidade temporária","Bernardino, Virgílio Manuel Pereira, Rocha, Márcio Mendes","Finisterra - Revista Portuguesa de Geografia; (99); 101-117","Finisterra - Revista Portuguesa de Geografia","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0430-50272015000100005&lang=pt" 
"S0874-55602015000100005-prt","(Des)constituindo gênero no poder judiciário","Sciammarella, Ana Paula de Oliveira, Fragale Filho, Roberto","Ex aequo; (31); 45-60","Ex aequo","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-55602015000100005&lang=pt" 
"S0874-55602015000100007-prt","Um corpo que seja seu: podem as mulheres [não] consentir?","Ventura, Isabel","Ex aequo; (31); 75-89","Ex aequo","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-55602015000100007&lang=pt" 
"S0874-55602015000100006-prt","Violencias institucionalizadas: El discurso judicial sobre las mujeres","Defago, María Angélica Peñas","Ex aequo; (31); 61-74","Ex aequo","Espanhol","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-55602015000100006&lang=pt" 
"S0874-55602015000100011-prt","Género y migración: desandando caminos","Gonzalez, Maria Cristina, Smith, Yamile Delgado de","Ex aequo; (31); 143-157","Ex aequo","Espanhol","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-55602015000100011&lang=pt" 
"S2011-75822015000200010-col","Apendicitis aguda izquierda: presentación infrecuente de una enfermedad frecuente: Revisión de la literatura y reporte de un caso","Arévalo, Caterin, Sáenz, Katherine Owen, Tabares, Carlos, Bernal, Felipe, Borráez, Bernardo A.","Revista Colombiana de Cirugía; 30(2); 146-150","Revista Colombiana de Cirugía","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S2011-75822015000200010&lang=pt" 
"S0101-73302015000200287-scl","CEDES E V SEB EM TEMPOS DE PÁTRIA EDUCADORA","","Educação &amp; Sociedade; 36(131); 287-295","Educação &amp; Sociedade","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302015000200287&lang=pt" 
"S0366-69132015000200251-scl","Avaliação da atividade pozolânica dos resíduos de cerâmica vermelha produzidos nos principais polos ceramistas do Estado de S. Paulo","Garcia, E., Cabral Junior, M., Quarcioni, V. A., Chotoli, F. F.","Cerâmica; 61(358); 251-258","Cerâmica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132015000200251&lang=pt" 
"S0101-73302015000200325-scl","Formas de reconhecimento e força intersubjetiva de grupo","Dalbosco, Claudio Almir","Educação &amp; Sociedade; 36(131); 325-341","Educação &amp; Sociedade","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302015000200325&lang=pt" 
"S0366-69132015000200213-scl","Levantamento das emissões atmosféricas da indústria da cerâmica vermelha no sul do estado de Santa Catarina, Brasil","Camara, V. F., Lisboa, H. M., Hoinaski, L., David, P. C.","Cerâmica; 61(358); 213-218","Cerâmica","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132015000200213&lang=pt" 
"S0366-69132015000200244-scl","Influence of irradiation with Er:YAG laser on the shear bond strength of a resin cement to feldspathic ceramic - in vitro study","Loffredo, M. C., Hanashiro, F. S., Steagall Júnior, W., Youssef, M. N., Souza-Zaroni, W. C. de","Cerâmica; 61(358); 244-250","Cerâmica","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132015000200244&lang=pt" 
"S0101-73302015000200391-scl","A nova política pública de educação e formação de adultos em Portugal. Os educadores de adultos numa encruzilhada?","Guimarães, Paula, Barros, Rosanna","Educação &amp; Sociedade; 36(131); 391-406","Educação &amp; Sociedade","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302015000200391&lang=pt" 
