"S1414-81452015000100024-scl","Acontecimentos que antecederam a federalização da Escola Paulista de Enfermagem","Cardili, Carolina Vieira Cagnacci, Sanna, Maria Cristina","Escola Anna Nery; 19(1); 24-32","Escola Anna Nery","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452015000100024&lang=pt" 
"S1414-81452015000100154-scl","Consulta de enfermagem a idosos: instrumentos da comunicação e papéis da enfermagem segundo Peplau","Silva, Juliana Paiva Góes da, Costa, Kátia Nêyla de Freitas Macêdo, Silva, Grazielle Roberta Freitas da, Oliveira, Simone Helena dos Santos, Almeida, Paulo César de, Fernandes, Maria das Graças Melo","Escola Anna Nery; 19(1); 154-161","Escola Anna Nery","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452015000100154&lang=pt" 
"S1414-81452015000100054-scl","Diagnósticos de enfermagem identificados em pacientes onco-hematólogicos: mapeamento cruzado","Sousa, Renata Miranda de, Santo, Fátima Helena do Espírito, Santana, Rosimere Ferreira, Lopes, Marcos Venicius de Oliveira","Escola Anna Nery; 19(1); 54-65","Escola Anna Nery","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452015000100054&lang=pt" 
"S1414-81452015000100033-scl","Cochilos durante o trabalho noturno em equipes de enfermagem: possíveis benefícios à saúde dos trabalhadores","Silva-Costa, Aline, Rotenberg, Lúcia, Griep, Rosane Härter, Fischer, Frida Marina","Escola Anna Nery; 19(1); 33-39","Escola Anna Nery","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452015000100033&lang=pt" 
"S1414-81452015000100124-scl","Acessibilidade dos usuários com hipertensão arterial sistêmica na estratégia saúde da família","Melo, Erik Cristóvão Araújo de, Figueiredo, Tânia Maria Ribeiro Monteiro de, Cardoso, Maria Aparecida Alves, Paes, Neir Antunes","Escola Anna Nery; 19(1); 124-131","Escola Anna Nery","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452015000100124&lang=pt" 
"S1414-81452015000100080-scl","Sentidos do cuidado com o idoso hospitalizado na perspectiva dos acompanhantes","Chernicharo, Isis de Moraes, Ferreira, Márcia de Assunção","Escola Anna Nery; 19(1); 80-85","Escola Anna Nery","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452015000100080&lang=pt" 
"S1414-81452015000100086-scl","Solicitude constituindo o cuidado de enfermeiras obstétricas à mulher-que-dá-à-luz-na-casa-de-parto","Zveiter, Marcele, Souza, Ivis Emília de Oliveira","Escola Anna Nery; 19(1); 86-92","Escola Anna Nery","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452015000100086&lang=pt" 
"S1414-81452015000100174-scl","Técnica Delphi no diálogo com enfermeiros sobre a acupuntura como proposta de intervenção de enfermagem","Pereira, Raphael Dias de Mello, Alvim, Neide Aparecida Titonelli","Escola Anna Nery; 19(1); 174-180","Escola Anna Nery","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452015000100174&lang=pt" 
"S1414-81452015000100115-scl","Gestão do cuidado de enfermagem ao adolescente que vive com HIV/AIDS","Koerich, Cintia, Santos, Fabiana Cristine dos, Meirelles, Betina Hörner Schlindwein, Erdmann, Alacoque Lorenzini","Escola Anna Nery; 19(1); 115-123","Escola Anna Nery","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452015000100115&lang=pt" 
"S1414-81452015000100102-scl","Efeito do &quot;horário do soninho&quot; para redução de ruído na unidade de terapia intensiva neonatal","Santos, Bruna Ribeiro dos, Orsi, Kelly Cristina Sbampato Calado, Balieiro, Maria Magda Ferreira Gomes, Sato, Monica Hiromi, Kakehashi, Tereza Yoshiko, Pinheiro, Eliana Moreira","Escola Anna Nery; 19(1); 102-106","Escola Anna Nery","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452015000100102&lang=pt" 
"S1414-81452015000100093-scl","Mulheres com gravidez de maior risco: vivências e percepções de necessidades e cuidado","Oliveira, Daniela do Carmo, Mandú, Edir Nei Teixeira","Escola Anna Nery; 19(1); 93-101","Escola Anna Nery","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452015000100093&lang=pt" 
"S1414-81452015000100169-scl","Redes de atenção à saúde sob a luz da teoria da complexidade","Arruda, Cecilia, Lopes, Soraia Geraldo Rozza, Koerich, Micheline Henrique Araujo da Luz, Winck, Daniela Ries, Meirelles, Betina Horner Schlindwein, Mello, Ana Lúcia Schaefer Ferreira de","Escola Anna Nery; 19(1); 169-173","Escola Anna Nery","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452015000100169&lang=pt" 
"S1414-81452015000100162-scl","Violência contra mulheres rurais: gênero e ações de saúde","Costa, Marta Cocco da, Lopes, Marta Julia Marques, Soares, Joannie dos Santos Fachinelli","Escola Anna Nery; 19(1); 162-168","Escola Anna Nery","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452015000100162&lang=pt" 
"S1414-81452015000100047-scl","Sistematização da assistência de enfermagem: facilidades e desafios do enfermeiro na gerência da assistência","Soares, Mirelle Inácio, Resck, Zélia Marilda Rodrigues, Terra, Fábio de Souza, Camelo, Silvia Helena Henriques","Escola Anna Nery; 19(1); 47-53","Escola Anna Nery","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452015000100047&lang=pt" 
"S1414-81452015000100040-scl","Conforto para uma boa morte: perspectiva de uma equipe de enfermagem intensivista","Silva, Rudval Souza da, Pereira, Álvaro, Mussi, Fernanda Carneiro","Escola Anna Nery; 19(1); 40-46","Escola Anna Nery","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452015000100040&lang=pt" 
"S1130-52742015000100005-esp","Creencias desadaptativas, estilos de afrontamiento y apoyo social como factores predictores de la vulnerabilidad psicopatológica en mujeres víctimas de agresión sexual","Cruz, María Ángeles de la, Peña, María Elena, Andreu, José Manuel","Clínica y Salud; 26(1); 33-39","Clínica y Salud","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-52742015000100005&lang=pt" 
"S1130-52742015000100001-esp","Prevención de la depresión en cuidadoras no profesionales: relación entre habilidades de solución de problemas y síntomas depresivos","Otero, Patricia, Vázquez, Fernando L., Ferraces, María José, Blanco, Vanessa, Torres, Ángela","Clínica y Salud; 26(1); 1-7","Clínica y Salud","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-52742015000100001&lang=pt" 
"S1130-52742015000100003-esp","Función y limitaciones del pronóstico en la evaluación diagnóstica en el ámbito de la psicología clínica","Ibáñez, Carmelo, Echeburúa, Enrique","Clínica y Salud; 26(1); 17-22","Clínica y Salud","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-52742015000100003&lang=pt" 
"S1517-97022015000100137-scl","Seleção velada em escolas públicas: práticas, processos e princípios geradores","Alves, Luciana, Batista, Antônio Augusto Gomes, Ribeiro, Vanda Mendes, Érnica, Maurício","Educação e Pesquisa; 41(1); 137-152","Educação e Pesquisa","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022015000100137&lang=pt" 
"S1517-97022015000100101-scl","Interculturalidad e inclusión del alumnado marroquí en educación primaria de Andalucía","Terrón-Caro, Teresa, Palma, Verónica Cobano-Delgado","Educação e Pesquisa; 41(1); 101-117","Educação e Pesquisa","Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022015000100101&lang=pt" 
"S1517-97022015000100171-scl","Evidencias para una transformación y complejización del modelo chileno de evaluación docente","Vega Ramírez, Javier F. A., Ruiz, Alberto Galaz","Educação e Pesquisa; 41(1); 171-183","Educação e Pesquisa","Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022015000100171&lang=pt" 
