"S2175-62362015000100053-scl","O Desafio de Aposentar-se no Mundo Contemporâneo","Fontoura, Daniele dos Santos, Doll, Johannes, Oliveira, Saulo Neves de","Educação &amp; Realidade; 40(1); 53-79","Educação &amp; Realidade","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-62362015000100053&lang=pt" 
"S2175-62362015000100229-scl","Educação Integral e Escola de Tempo Integral em Goiânia","Ferreira, Helen Betane, Rees, Dilys Karen","Educação &amp; Realidade; 40(1); 229-251","Educação &amp; Realidade","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-62362015000100229&lang=pt" 
"S2175-62362015000100105-scl","Educação Financeira com Idosos em um Contexto Popular","Buaes, Caroline Stumpf","Educação &amp; Realidade; 40(1); 105-127","Educação &amp; Realidade","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-62362015000100105&lang=pt" 
"S2175-62362015000100173-scl","Bonecos com Corpos-Velhos: o que dizem as crianças sobre envelhecimento","Dornelles, Leni Vieira","Educação &amp; Realidade; 40(1); 173-190","Educação &amp; Realidade","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-62362015000100173&lang=pt" 
"S2175-62362015000100275-scl","Accountabilty y Mejoramiento Educativo: análisis de experiencias internacionales","de la Vega Rodríguez, Luis Felipe","Educação &amp; Realidade; 40(1); 275-298","Educação &amp; Realidade","Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-62362015000100275&lang=pt" 
"S2175-62362015000100253-scl","Drogas na Escola: análise das vozes sociais em jogo","Barros, João Paulo Pereira, Colaço, Veriana de Fátima Rodrigues","Educação &amp; Realidade; 40(1); 253-273","Educação &amp; Realidade","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-62362015000100253&lang=pt" 
"S2175-62362015000100149-scl","Sobre la Formación del Docente-Facilitador de Personas Mayores","Fernández Lópiz, Enrique","Educação &amp; Realidade; 40(1); 149-171","Educação &amp; Realidade","Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-62362015000100149&lang=pt" 
"S2175-62362015000100129-scl","Educação a Distância e Cybersêniors: um foco nas estratégias pedagógicas","Machado, Leticia Rocha, Behar, Patricia Alejandra","Educação &amp; Realidade; 40(1); 129-148","Educação &amp; Realidade","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-62362015000100129&lang=pt" 
"S2175-62362015000100191-scl","Os Avós na Literatura Infantil: perspectivas gerontológicas e educacionais","Ramos, Anne Carolina","Educação &amp; Realidade; 40(1); 191-225","Educação &amp; Realidade","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-62362015000100191&lang=pt" 
"S0864-34662015000100006-cub","Acciones educativas sobre aspectos de la sexualidad dirigidas a adolescentes","Gómez Suárez, Rogelio Tomás, Díaz Álvarez, Mabel, Sainz Rivero, Ermo Reinier, Gómez Ibarra, Katiuska, Machado Rodríguez, Rafael","Revista Cubana de Salud Pública; 41(1); -","Revista Cubana de Salud Pública","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662015000100006&lang=pt" 
"S0864-34662015000100007-cub","Actividades recreativas en adultos mayores internos en un hogar de ancianos","Marcos, Giai","Revista Cubana de Salud Pública; 41(1); -","Revista Cubana de Salud Pública","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662015000100007&lang=pt" 
"S0864-34662015000100004-cub","Adherencia al tratamiento en hipertensos atendidos en áreas de salud de tres provincias cubanas","Martín Alfonso, Libertad, Bayarre Vea, Héctor, Corugedo Rodríguez, María del Carmen, Vento Iznaga, Félix, La Rosa Matos, Yadmila, Orbay Araña, María de la Concepción","Revista Cubana de Salud Pública; 41(1); -","Revista Cubana de Salud Pública","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662015000100004&lang=pt" 
"S0864-34662015000100005-cub","Intervención educativa en trabajadores de la salud sobre la captación de sintomáticos respiratorios de tuberculosis","Muñoz Sánchez, Alba Idaly, Puerto Guerrero, Ana Helena, Pedraza Moreno, Lina María","Revista Cubana de Salud Pública; 41(1); -","Revista Cubana de Salud Pública","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662015000100005&lang=pt" 
"S0864-34662015000100002-cub","Consumo de drogas legales y estilo de vida en estudiantes de medicina","Gárciga Ortega, Octavio, Surí Torres, Carolina, Rodríguez Jorge, Raúl","Revista Cubana de Salud Pública; 41(1); -","Revista Cubana de Salud Pública","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662015000100002&lang=pt" 
"S0864-34662015000100003-cub","Tabaquismo en estudiantes de medicina de la Universidad de San Carlos de Guatemala","Cheesman Mazariegos, Sindy Sussel, Suárez Lugo, Nery","Revista Cubana de Salud Pública; 41(1); -","Revista Cubana de Salud Pública","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662015000100003&lang=pt" 
"S0864-34662015000100001-cub","Cobertura Universal en Salud y el caso cubano","López Puig, Pedro","Revista Cubana de Salud Pública; 41(1); -","Revista Cubana de Salud Pública","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662015000100001&lang=pt" 
"S0864-34662015000100008-cub","Expresión de la interculturalidad en salud en un pueblo emberá-chamí de Colombia","Cardona-Arias, Jaiberth Antonio, Rivera-Palomino, Yennifer, Carmona-Fonseca, Jaime","Revista Cubana de Salud Pública; 41(1); -","Revista Cubana de Salud Pública","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662015000100008&lang=pt" 
"S0864-34662015000100009-cub","Aplicación de los enfoques de salud de la población y los determinantes sociales en Cuba","Linares Pérez, Nivaldo","Revista Cubana de Salud Pública; 41(1); -","Revista Cubana de Salud Pública","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662015000100009&lang=pt" 
"S0864-34662015000100015-cub","Primer caso de meningitis por Streptococcus equi subsp. zooepidemicus en Cuba","Toraño Peraza, Gilda, Arias Portales, Itciar, Castillo Marshall, Ariadna, Brossard Alejo, Gardenia","Revista Cubana de Salud Pública; 41(1); -","Revista Cubana de Salud Pública","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662015000100015&lang=pt" 
"S0864-34662015000100014-cub","Migración de profesionales","Araujo Bernal, Leopoldo, Rodríguez Gavaldá, Rubén","Revista Cubana de Salud Pública; 41(1); -","Revista Cubana de Salud Pública","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662015000100014&lang=pt" 
"S0864-34662015000100017-cub","Bases legales y proyecciones de desarrollo de la metrología en el Sistema Nacional de Salud","Mejías Sánchez, Yoerquis, Morales Suárez, Ileana, Perera Vandrell, Sebastián","Revista Cubana de Salud Pública; 41(1); -","Revista Cubana de Salud Pública","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662015000100017&lang=pt" 
"S0864-34662015000100016-cub","Acerca del artículo &quot;Criterios para un debate sobre la existencia de una Escuela Cubana de Epidemiología&quot;","Ramis Andalia, Rina","Revista Cubana de Salud Pública; 41(1); -","Revista Cubana de Salud Pública","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662015000100016&lang=pt" 
