"S1853-35232014000400004-arg","Representaciones expandidas en puestas contemporáneas","Artesi, Catalina Julia","Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos; (50); 33-46","Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-35232014000400004&lang=pt" 
"S1853-35232014000400009-arg","Teatro: de Independiente a Alternativo: Una síntesis del camino del Teatro Independiente argentino hacia la condición de alternativo y otras cuestiones inevitables","Perinelli, Roberto","Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos; (50); 81-90","Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-35232014000400009&lang=pt" 
"S0036-46652014000600487-scl","PREVALENCE OF ANTIBODIES AGAINST INFLUENZA VIRUS IN NON-VACCINATED EQUINES FROM THE BRAZILIAN PANTANAL","Silva, Lucas Gaíva E, Borges, Alice Mamede Costa Marques, Villalobos, Eliana Monteforte Cassaro, Lara, Maria do Carmo Custodio Souza Hunold, Cunha, Elenice Maria Siquetin, Oliveira, Anderson Castro Soares de, Braga, Ísis Assis, Aguiar, Daniel Moura","Revista do Instituto de Medicina Tropical de São Paulo; 56(6); 487-492","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652014000600487&lang=pt" 
"S0036-46652014000600469-scl","EVALUATION OF METHODS IN DETECTING VANCOMYCIN MIC AMONG MRSA ISOLATES AND THE CHANGES IN ACCURACY RELATED TO DIFFERENT MIC VALUES","Rossatto, Fernanda Cristina Possamai, Proença, Letícia Auler, Becker, Ana Paula, Silveira, Alessandro Conrado de Oliveira, Caierão, Juliana, D&#039;azevedo, Pedro Alves","Revista do Instituto de Medicina Tropical de São Paulo; 56(6); 469-472","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652014000600469&lang=pt" 
"S0036-46652014000600461-scl","PREVALENCE OF DRUG RESISTANCE AND VIRULENCE FEATURES IN Salmonella spp. ISOLATED FROM FOODS ASSOCIATED OR NOT WITH SALMONELLOSIS IN BRAZIL","Rowlands, Ruth Estela Gravato, Ristori, Christiane Asturiano, Ikuno, Alice A., Barbosa, Maria Luisa, Jakabi, Miyoko, Franco, Bernadette Dora Gombossy de Melo","Revista do Instituto de Medicina Tropical de São Paulo; 56(6); 461-467","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652014000600461&lang=pt" 
"S0036-46652014000600517-scl","HIV AND HCV COINFECTION: PREVALENCE, ASSOCIATED FACTORS AND GENOTYPE CHARACTERIZATION IN THE MIDWEST REGION OF BRAZIL","Freitas, Solange Zacalusni, Teles, Sheila Araújo, Lorenzo, Paulo Cesar, Puga, Marco Antonio Moreira, Tanaka, Tayana Serpa Ortiz, Thomaz, Danilo Yamamoto, Martins, Regina Maria Bringel, Druzian, Angelita Fernandes, Lindenberg, Andréa Siqueira Campos, Torres, Marina Sawada, Pereira, Sérgio A., Villar, Livia Melo, Lampe, Elisabete, Motta-Castro, Ana Rita Coimbra","Revista do Instituto de Medicina Tropical de São Paulo; 56(6); 517-524","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652014000600517&lang=pt" 
"S1984-63982014000400001-scl","Carta da editora convidada","Quadros, Ronice Müller de","Revista Brasileira de Linguística Aplicada; 14(4); 761-763","Revista Brasileira de Linguística Aplicada","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-63982014000400001&lang=pt" 
"S1984-63982014000400002-scl","The value of interaction in the acquisition of a sign language","Bernardino, Elidéa Lúcia Almeida","Revista Brasileira de Linguística Aplicada; 14(4); 769-798","Revista Brasileira de Linguística Aplicada","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-63982014000400002&lang=pt" 
"S0036-46652014000600541-scl","ANALOGIES IN MEDICINE: STARRY-SKY APPEARANCE","Andrade-Filho, José de Souza","Revista do Instituto de Medicina Tropical de São Paulo; 56(6); 541-542","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652014000600541&lang=pt" 
"S0036-46652014000600525-scl","FUNGI ISOLATED FROM THE EXCRETA OF WILD BIRDS IN SCREENING CENTERS IN PELOTAS, RS, BRAZIL","Mendes, Josiara Furtado, Albano, Ana Paula Neuschrank, Coimbra, Marco Antônio A., Ferreira, Gracialda Ferreira de, Gonçalves, Carolina Lambrecht, Nascente, Patrícia da Silva, Mello, João Roberto Braga de","Revista do Instituto de Medicina Tropical de São Paulo; 56(6); 525-528","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652014000600525&lang=pt" 
"S0036-46652014000600505-scl","EVALUATION OF THE MOLLUSCICIDAL POTENTIAL OF HYDROALCOHOLIC EXTRACTS OF Jatropha gossypiifolia Linnaeus, 1753 ON Biomphalaria glabrata (Say, 1818)","Pereira Filho, Adalberto Alves, França, Clícia Rosane Costa, Oliveira, Dorlam&#039;s da Silva, Mendes, Renato Juvino de Aragão, Gonçalves, José de Ribamar Santos, Rosa, Ivone Garros","Revista do Instituto de Medicina Tropical de São Paulo; 56(6); 505-510","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652014000600505&lang=pt" 
