"S0120-35842014000200005-col","¿Edificar o educar?: Impacto de los megacolegios en pruebas estandarizadas Saber 11°","Velasco Rodríguez, Tatiana","Desarrollo y Sociedad; (74); 181-223","Desarrollo y Sociedad","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-35842014000200005&lang=pt" 
"S0120-35842014000200007-col","The Effects of Bullying on Academic Achievement","van der Werf, Cynthia","Desarrollo y Sociedad; (74); 275-308","Desarrollo y Sociedad","Inglês","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-35842014000200007&lang=pt" 
"S0120-35842014000200008-col","El lado oscuro de la equidad: violencia y equidad en el desempeño escolar","Vargas, Juan F, Gamboa, Luis Fernando, García, Viviana","Desarrollo y Sociedad; (74); 309-334","Desarrollo y Sociedad","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-35842014000200008&lang=pt" 
"S0120-35842014000200001-col","Editorial","Rodríguez, Catherine, Maldonado, Darío","Desarrollo y Sociedad; (74); 9-18","Desarrollo y Sociedad","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-35842014000200001&lang=pt" 
"S0120-35842014000200002-col","The Efficiency of Education Expenditure in Latin America and Lessons for Colombia: La eficiencia del gasto público educativo en Latinoamérica y lecciones para Colombia","Salazar Cuéllar, Andrés Felipe","Desarrollo y Sociedad; (74); 19-67","Desarrollo y Sociedad","Inglês","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-35842014000200002&lang=pt" 
"S0120-35842014000200004-col","¿Quiénes eligen carreras en educación en Colombia?: Caracterización desde el desempeño en las pruebas Saber 11º","Barón, Juan D, Bonilla, Leonardo, Cardona-Sosa, Lina, Ospina, Mónica","Desarrollo y Sociedad; (74); 133-179","Desarrollo y Sociedad","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-35842014000200004&lang=pt" 
"S0100-879X2014001201057-scl","Acute stress-induced antinociception is cGMP-dependent but heme oxygenase-independent","Carvalho-Costa, P.G., Branco, L.G.S., Leite-Panissi, C.R.A.","Brazilian Journal of Medical and Biological Research; 47(12); 1057-1061","Brazilian Journal of Medical and Biological Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2014001201057&lang=pt" 
"S0100-879X2014001201068-scl","Modulatory effects of taurine on jejunal contractility","Yao, Q.Y., Chen, D.P., Ye, D.M., Diao, Y.P., Lin, Y.","Brazilian Journal of Medical and Biological Research; 47(12); 1068-1074","Brazilian Journal of Medical and Biological Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2014001201068&lang=pt" 
"S0100-879X2014001201062-scl","Propofol pretreatment attenuates lipopolysaccharide-induced acute lung injury in rats by activating the phosphoinositide-3-kinase/Akt pathway","Zhao, L.L., Hu, G.C., Zhu, S.S., Li, J.F., Liu, G.J.","Brazilian Journal of Medical and Biological Research; 47(12); 1062-1067","Brazilian Journal of Medical and Biological Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2014001201062&lang=pt" 
"S0100-879X2014001201050-scl","Possible roles of COX-1 in learning and memory impairment induced by traumatic brain injury in mice","Shang, J.L., Cheng, Q., Yang, W.F., Zhang, M., Cui, Y., Wang, Y.F.","Brazilian Journal of Medical and Biological Research; 47(12); 1050-1056","Brazilian Journal of Medical and Biological Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2014001201050&lang=pt" 
"S0100-879X2014001201075-scl","Role of high mobility group box-1 and protection of growth hormone and somatostatin in severe acute pancreatitis","Wang, Y.F., Wu, M., Ma, B.J., Cai, D.A., Yin, B.B.","Brazilian Journal of Medical and Biological Research; 47(12); 1075-1084","Brazilian Journal of Medical and Biological Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2014001201075&lang=pt" 
"S0100-879X2014001201085-scl","Factors associated with Clostridium difficile diarrhea in a hospital in Beijing, China","Lv, Z., Peng, G.L., Su, J.R.","Brazilian Journal of Medical and Biological Research; 47(12); 1085-1090","Brazilian Journal of Medical and Biological Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2014001201085&lang=pt" 
"S0100-879X2014001201016-scl","Use of conventional PCR and smear microscopy to diagnose pulmonary tuberculosis in the Amazonian rainforest area","Carniel, F., Dalla Costa, E.R., Lima-Bello, G., Martins, C., Scherer, L.C., Rossetti, M.L.","Brazilian Journal of Medical and Biological Research; 47(12); 1016-1020","Brazilian Journal of Medical and Biological Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2014001201016&lang=pt" 
"S0100-879X2014001201091-scl","Changes in epidemiology of rotavirus in the Triângulo Mineiro region of Brazil: lack of two consecutive rotavirus seasons","Dulgheroff, A.C.B., Figueiredo, E.F., Gouvêa, V.S., Domingues, A.L.S.","Brazilian Journal of Medical and Biological Research; 47(12); 1091-1095","Brazilian Journal of Medical and Biological Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2014001201091&lang=pt" 
"S0100-879X2014001201096-scl","A combination of STI571 and BCR-ABL1 siRNA with overexpressed p15INK4B induced enhanced proliferation inhibition and apoptosis in chronic myeloid leukemia","Xia, D.Y., Liu, L., Hao, M.W., Liu, Q., Chen, R.A., Liang, Y.M.","Brazilian Journal of Medical and Biological Research; 47(12); 1096-1101","Brazilian Journal of Medical and Biological Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2014001201096&lang=pt" 
"S0100-879X2014001201029-scl","Stability of XIST repression in relation to genomic imprinting following global genome demethylation in a human cell line","de Araújo, E.S.S., Vasques, L.R., Stabellini, R., Krepischi, A.C.V., Pereira, L.V.","Brazilian Journal of Medical and Biological Research; 47(12); 1029-1035","Brazilian Journal of Medical and Biological Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2014001201029&lang=pt" 
"S0100-879X2014001201021-scl","DNA methylation regulates expression of VEGF-C, and S-adenosylmethionine is effective for VEGF-C methylation and for inhibiting cancer growth","Da, M.X., Zhang, Y.B., Yao, J.B., Duan, Y.X.","Brazilian Journal of Medical and Biological Research; 47(12); 1021-1028","Brazilian Journal of Medical and Biological Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2014001201021&lang=pt" 
"S0100-879X2014001201036-scl","Advanced glycation end products (AGEs) and their receptor (RAGE) induce apoptosis of periodontal ligament fibroblasts","Li, D.X., Deng, T.Z., Lv, J., Ke, J.","Brazilian Journal of Medical and Biological Research; 47(12); 1036-1043","Brazilian Journal of Medical and Biological Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2014001201036&lang=pt" 
"S0100-879X2014001201044-scl","Targeting PPM1D by lentivirus-mediated RNA interference inhibits the tumorigenicity of bladder cancer cells","Wang, W., Zhu, H., Zhang, H., Zhang, L., Ding, Q., Jiang, H.","Brazilian Journal of Medical and Biological Research; 47(12); 1044-1049","Brazilian Journal of Medical and Biological Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2014001201044&lang=pt" 
"S2237-93632014000400260-scl","New surgical approach of retrorectal cystic hamartoma using transanal minimally invasive surgery (TAMIS)","Gutiérrez, Pablo Colsa, Taghavi, Mahgol Kharazmi, Sosa, Rocío Daniela, Salas, Angel Pelayo, Ovejero, Victor Jacinto, Ruiz, Jose Luis, Cabezas, Jose Manuel Gutiérrez, Setién, Alfredo Ingelmo","Journal of Coloproctology (Rio de Janeiro); 34(4); 260-264","Journal of Coloproctology (Rio de Janeiro)","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-93632014000400260&lang=pt" 
"S2237-93632014000400240-scl","Effectiveness of treatment using fecal incontinence biofeedback isolated or associated with electrical stimulation","Suelen, Melão, Doryane, Maria dos Reis Lima, Raphael, Ferreira Ratin, Gustavo, Kurachi, Kelli, Rizzardi, Marcieli, Schuster, Univaldo, Etsuo Sagae","Journal of Coloproctology (Rio de Janeiro); 34(4); 240-244","Journal of Coloproctology (Rio de Janeiro)","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-93632014000400240&lang=pt" 
"S2237-93632014000400265-scl","Pneumoretroperitoneum, pneumomediastinum and subcutaneous emphysema after endoscopic submucosal dissection of a rectal lateral spreading tumor","Meyer, Matheus M.M.M.D.E., Cruz, Geraldo M.G., Sampaio, Diego V, Lanna, David De, Costa, Luciana M.P., Teixeira, Ricardo G., Lavall Junior, Fernando J.C., Zanetti, Daniel A., Lopes, Roberta G.S., Jardim, Nayara S.R., Lima, Eloah G.","Journal of Coloproctology (Rio de Janeiro); 34(4); 265-268","Journal of Coloproctology (Rio de Janeiro)","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-93632014000400265&lang=pt" 
"S2237-93632014000400193-scl","Role of preoperative retrograde enema on inflammatory and healing parameters in colonic anastomosis: experimental study in dogs","Bezerra, Carlos Renato Sales, Regadas, Francisco Sérgio Pinheiro, Figueiredo, Welligton Ribeiro, Nogueira, Miguel Augusto Arcoverde, Sousa, Péricles Cerqueira de, Leite, Claudio Manuel Gonçalves da Silva, Silva, Kaline Fortes e, Martins Filho, Erbert Portela, DiasLeite, José Alberto","Journal of Coloproctology (Rio de Janeiro); 34(4); 193-197","Journal of Coloproctology (Rio de Janeiro)","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-93632014000400193&lang=pt" 
"S2237-93632014000400198-scl","Retrospective analysis of patients undergoing bowel transit reconstruction in a tertiary referral hospital of São Paulo&#039;s east side","Corrêa Neto, Isaac José Felippe, Siá, Otávio Nunes, Lopes, Eduardo Augusto, Padilla, Rodrigo, Portugal, Katiucia Tereza Molezin, Rolim, Alexander Sá, Souza, Rogério Freitas Lino, Watté, Hugo Henriques, Robles, Laércio","Journal of Coloproctology (Rio de Janeiro); 34(4); 198-201","Journal of Coloproctology (Rio de Janeiro)","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-93632014000400198&lang=pt" 
"S2237-93632014000400210-scl","Marital interactions in partners of ostomized patients","Silva, Ana Lúcia da, Faustino, Andréa Mathes, Sousa, João Batista, Vianna, André Luiz, Oliveira, Paulo Gonçalves","Journal of Coloproctology (Rio de Janeiro); 34(4); 210-215","Journal of Coloproctology (Rio de Janeiro)","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-93632014000400210&lang=pt" 
"S2237-93632014000400254-scl","Prevalence, repercussion and factors associated with intestinal constipation in women in Florianópolis","Sacomori, Cinara, Silveira, Camila, Sperandio, Fabiana Flores, Cardoso, Fernando Luiz","Journal of Coloproctology (Rio de Janeiro); 34(4); 254-259","Journal of Coloproctology (Rio de Janeiro)","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-93632014000400254&lang=pt" 
"S2237-93632014000400250-scl","Assessment of LIFT (ligation of the intersphincteric fistula tract) technique in patients with perianal transsphincteric fistulas","Dalbem, Caroline Sauter, Tomiyoshi, Sérgio Danilo Tanahara, Santos, Carlos Henrique Marques dos","Journal of Coloproctology (Rio de Janeiro); 34(4); 250-253","Journal of Coloproctology (Rio de Janeiro)","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-93632014000400250&lang=pt" 
"S2237-93632014000400224-scl","Knowledge of undergraduate nursing course teachers on the prevention and care of peristomal skin","Salomé, Geraldo Magela, Santos, Luzicleide Freire dos, Cabeceira, Helga dos Santos, Panza, Ana Maria Marcheti, Paula, Maria Angela Boccara de","Journal of Coloproctology (Rio de Janeiro); 34(4); 224-230","Journal of Coloproctology (Rio de Janeiro)","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-93632014000400224&lang=pt" 
"S1984-82502014000400877-scl","Thermoanalytical studies of carbamazepine: hydration/dehydration, thermal decomposition, and solid phase transitions","Pinto, Mônia Aparecida Lemos, Ambrozini, Beatriz, Ferreira, Ana Paula Garcia, Cavalheiro, Éder Tadeu Gomes","Brazilian Journal of Pharmaceutical Sciences; 50(4); 877-884","Brazilian Journal of Pharmaceutical Sciences","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-82502014000400877&lang=pt" 
"S1984-82502014000400895-scl","Quantification and stress degradation studies of cefepime/tazobactam in dry injection form by an RP-HPLC method","Kommana, Ramakrishna, Kannabattula, Gouthami, Gurrala, Sunitha, Yeradesi, Venkat Raj, Durga, Panikumar Anumolu","Brazilian Journal of Pharmaceutical Sciences; 50(4); 895-901","Brazilian Journal of Pharmaceutical Sciences","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-82502014000400895&lang=pt" 
"S1984-82502014000400667-scl","Safety assessment of cosmetic products, with emphasis on the ocular area: regulatory aspects and validation processes","Cancian, Maythê de Lima, Leonardi, Mauricio Saadi, Mosca, Mariane Martins, Guerra, Lucas Offenbecker, Hengeltraub, Simone Fanan, Leonardi, Gislaine Ricci","Brazilian Journal of Pharmaceutical Sciences; 50(4); 667-676","Brazilian Journal of Pharmaceutical Sciences","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-82502014000400667&lang=pt" 
