"S0103-37862014000300239-scl","Comunicação científica no Brasil (1998-2012): indexação, crescimento, fluxo e dispersão","Mugnaini, Rogério, Digiampetri, Luciano Antonio, Mena-Chalco, Jesús Pascual","Transinformação; 26(3); 239-252","Transinformação","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862014000300239&lang=pt" 
"S0103-37862014000300253-scl","Visibilidad de los estudios en análisis de redes sociales en América del Sur: su evolución y métricas de 1990-2013","Pinto, Adilson Luiz, Gonzales-Aguilar, Audilio","Transinformação; 26(3); 253-267","Transinformação","Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862014000300253&lang=pt" 
"S0103-37862014000300339-scl","Estudio de patentes sobre tecnologías para tratamiento de agua y el agua residual","González-Cabrera, Odonel, Ruiz-Pérez, Taimi, Claro-Pérez, Mirelys, Pérez-Pino, Nancy María, Pérez-Gálvez, Grisel, Collazo-Alfonso, Lisbey","Transinformação; 26(3); 339-347","Transinformação","Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862014000300339&lang=pt" 
"S1415-47142014000400831-scl","Compor imagens: clínica psicoterápica da melancolia e dos estados depressivos","Fernandes, Sylvia R.","Revista Latinoamericana de Psicopatologia Fundamental; 17(4); 831-844","Revista Latinoamericana de Psicopatologia Fundamental","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142014000400831&lang=pt" 
"S1415-47142014000400872-scl","Incorporando histórias: a recomposição do corpo próprio na perspectiva de usuários de serviços de saúde mental","Muñoz, Nuria Malajovich, Leal, Erotildes Maria, Dahl, Catarina Magalhães, Serpa Jr., Octavio Domont de","Revista Latinoamericana de Psicopatologia Fundamental; 17(4); 872-886","Revista Latinoamericana de Psicopatologia Fundamental","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142014000400872&lang=pt" 
"S1415-47142014000400943-scl","Kafka, Winnicott e a Boneca Viajante: perder, narrar, resgatar","Perrotta, Claudia Mazzini, Cintra, Elisa Maria de Ulhôa","Revista Latinoamericana de Psicopatologia Fundamental; 17(4); 943-956","Revista Latinoamericana de Psicopatologia Fundamental","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142014000400943&lang=pt" 
"S1983-14472014000400114-scl","Contextual analysis of gynaecological care provided to women with physical disability","Carvalho, Camila Fernandes da Silva, Brito, Rosineide Santana de, Medeiros, Soraya Maria de","Revista Gaúcha de Enfermagem; 35(4); 114-117","Revista Gaúcha de Enfermagem","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472014000400114&lang=pt" 
"S1983-14472014000400065-scl","Care as a commitment of all: a study in a rural settlement","Wunsch, Simone, Budó, Maria de Lourdes Denardin, Girardon-Perlini, Nara Marilene Oliveira, Garcia, Raquel Potter, Oliveira, Stefanie Griebeler","Revista Gaúcha de Enfermagem; 35(4); 65-71","Revista Gaúcha de Enfermagem","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472014000400065&lang=pt" 
"S1983-14472014000400101-scl","Instruments of health literacy used in nursing studies with hypertensive elderly","Machado, Ana Larissa Gomes, Lima, Francisca Elisângela Teixeira, Cavalcante, Tahissa Frota, Araújo, Thelma Leite de, Vieira, Neiva Francenely Cunha","Revista Gaúcha de Enfermagem; 35(4); 101-107","Revista Gaúcha de Enfermagem","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472014000400101&lang=pt" 
"S1983-14472014000400079-scl","Nursing undergraduate education in relation to the death-dying process: perceptionsin light of the complex thinking","Dias, Matheus Viero, Backes, Dirce Stein, Barlem, Edison Luiz Devos, Backes, Marli Terezinha Stein, Lunardi, Valéria Lerch, Souza, Martha Helena Teixeira de","Revista Gaúcha de Enfermagem; 35(4); 79-85","Revista Gaúcha de Enfermagem","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472014000400079&lang=pt" 
"S1983-14472014000400072-scl","The formation of nurses in residency programs in public and private intensive care units","Aguiar, Iasmim Lima, Castro, Lívia Magalhães Costa, Rangel, Anna Gabriella Carvalho, Pedreira, Larissa Chaves, Fagundes, Norma Carapiá","Revista Gaúcha de Enfermagem; 35(4); 72-78","Revista Gaúcha de Enfermagem","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472014000400072&lang=pt" 
