"S1413-82712014000300009-scl","Autoeficácia para dirigir, desengajamento moral e impulsividade em motoristas","Mognon, Jocemara Ferreira, Santos, Acácia Aparecida Angeli dos","Psico-USF; 19(3); 457-466","Psico-USF","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-82712014000300009&lang=pt" 
"S0104-07072014000400862-scl","Effective/efficacious nonverbal communication in the classroom: the perception of the nursing lecturer","Amorim, Rosely Kalil de Freitas Castro Carrari de, Silva, Maria Júlia Paes da","Texto &amp; Contexto - Enfermagem; 23(4); 862-870","Texto &amp; Contexto - Enfermagem","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072014000400862&lang=pt" 
"S1665-80272014000200001-mex","Presentación","Bosch Heras, Montserrat","LiminaR; 12(2); 7-9","LiminaR","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-80272014000200001&lang=pt" 
"S1665-80272014000200004-mex","Cultura organizacional de cuidados médicos, violencia institucional y desadherencia al tratamiento antirretroviral de las personas indígenas que viven con VIH-Sida en Los Altos de Chiapas","Muñoz-Martínez, Rubén","LiminaR; 12(2); 46-66","LiminaR","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-80272014000200004&lang=pt" 
"S0004-28032014000400271-scl","INFLAMMATORY BOWEL DISEASE IN HISPANIC COMMUNITIES: a concerted South American approach could identify the aetiology of Crohn’s disease and ulcerative colitis","FARRUKH, Affifa, MAYBERRY, John Francis","Arquivos de Gastroenterologia; 51(4); 271-275","Arquivos de Gastroenterologia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032014000400271&lang=pt" 
"S0004-28032014000400297-scl","COMPARISON OF FECAL ELASTASE 1 FOR EXOCRINE PANCREATIC INSUFFICIENCY EVALUATION BETWEEN EX-ALCOHOLICS AND CHRONIC PANCREATITIS PATIENTS","MATTAR, Rejane, LIMA, Gustavo André Silva, COSTA, Marianges Zadrozny Gouvêa da, SILVA-ETTO, Joyce M Kinoshita, GUARITA, Dulce, CARRILHO, Flair José","Arquivos de Gastroenterologia; 51(4); 297-301","Arquivos de Gastroenterologia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032014000400297&lang=pt" 
"S0004-28032014000400302-scl","NITRIC OXIDE INTERFERES WITH HYPOXIA SIGNALING DURING COLONIC INFLAMMATION","CARIA, Cintia Rabelo e Paiva, MOSCATO, Camila Henrique, TOMÉ, Renata Bortolin Guerra, PEDRAZZOLI Jr, José, RIBEIRO, Marcelo Lima, GAMBERO, Alessandra","Arquivos de Gastroenterologia; 51(4); 302-308","Arquivos de Gastroenterologia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032014000400302&lang=pt" 
"S0004-28032014000400316-scl","OCCURRENCE AND SPATIAL DISTRIBUTION OF HEPATITIS C IN A WESTERN BRAZILIAN AMAZON STATE","VIEIRA, Gabriel de Deus, VENTURA, Cledson Gonçalves, SOUSA, Camila Maciel de","Arquivos de Gastroenterologia; 51(4); 316-319","Arquivos de Gastroenterologia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032014000400316&lang=pt" 
"S0004-28032014000400328-scl","PREDICTORS FOR WEIGHT LOSS FAILURE FOLLOWING ROUX-EN-Y GASTRIC BYPASS","CAZZO, Everton, SILVA, Flávio Pinto da, PAREJA, José Carlos, CHAIM, Elinton Adami","Arquivos de Gastroenterologia; 51(4); 328-330","Arquivos de Gastroenterologia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032014000400328&lang=pt" 
"S0004-28032014000400331-scl","IMMEDIATE PREOPERATIVE NUTRITIONAL STATUS OF PATIENTS WITH COLORECTAL CANCER: a warning","BARBOSA, Luiza Regina L S, LACERDA-FILHO, Antonio, BARBOSA, Livia Cristina L S","Arquivos de Gastroenterologia; 51(4); 331-336","Arquivos de Gastroenterologia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032014000400331&lang=pt" 
"S0104-07072014000401041-scl","Situations which precipitate conflicts in the conjugal relationship: the women&#039;s discourse","Paixão, Gilvânia Patrícia do Nascimento, Gomes, Nadirlene Pereira, Diniz, Normélia Maria Freire, Couto, Telmara Menezes, Vianna, Lucila Amaral Carneiro, Santos, Sheila Milena Pessoa dos","Texto &amp; Contexto - Enfermagem; 23(4); 1041-1049","Texto &amp; Contexto - Enfermagem","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072014000401041&lang=pt" 
"S0104-07072014000400828-scl","Caring for a premature child at home: from fear and doubt to trust","González, Melva Patricia Ocampo, Espitia, Edelmira Castillo","Texto &amp; Contexto - Enfermagem; 23(4); 828-835","Texto &amp; Contexto - Enfermagem","Inglês, Português, Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072014000400828&lang=pt" 
