"S1413-81232016001003303-spa","Disability, family and society: new thinking of an old debate","Goldson, Edward","Ciência &amp; Saúde Coletiva; 21(10); 3303-3307","Ciência &amp; Saúde Coletiva","Inglês","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016001003303&lang=pt" 
"S1413-81232016001002986-scl","Deficiência, família e sociedade: um debate contemporâneo","Petean, Eucia Beatriz Lopes, Cavalcante, Fátima Gonçalves, Manzini, Eduardo Jose","Ciência &amp; Saúde Coletiva; 21(10); 2986-2986","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016001002986&lang=pt" 
"S1413-81232016001003311-spa","Errata","","Ciência &amp; Saúde Coletiva; 21(10); 3311-3311","Ciência &amp; Saúde Coletiva","Inglês","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016001003311&lang=pt" 
"S1413-81232016001002986-spa","Deficiência, família e sociedade: um debate contemporâneo","Petean, Eucia Beatriz Lopes, Cavalcante, Fátima Gonçalves, Manzini, Eduardo Jose","Ciência &amp; Saúde Coletiva; 21(10); 2986-2986","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016001002986&lang=pt" 
"S1413-81232016001003101-spa","Familiares de crianças com deficiência: percepções sobre atividades lúdicas na reabilitação","Bataglion, Giandra Anceski, Marinho, Alcyane","Ciência &amp; Saúde Coletiva; 21(10); 3101-3110","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016001003101&lang=pt" 
"S1413-81232016001003171-scl","Lesão Encefálica Adquirida: impacto na atividade laboral de sujeitos em idade produtiva e de seus familiares","Ponte, Aline Sarturi, Fedosse, Elenir","Ciência &amp; Saúde Coletiva; 21(10); 3171-3182","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016001003171&lang=pt" 
"S1413-81232016001003161-spa","Alta hospitalar de clientes com lesão neurológica incapacitante: impreteríveis encaminhamentos para reabilitação","Machado, Wiliam César Alves, Silva, Vera Maria da, Silva, Rafael André da, Ramos, Ricardo Luiz, Figueiredo, Nébia Maria Almeida de, Branco, Elen Martins da Silva Castelo, Rezende, Luciana Krauss, Carreiro, Mônica de Almeida","Ciência &amp; Saúde Coletiva; 21(10); 3161-3170","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016001003161&lang=pt" 
"S1413-81232016001003071-spa","Impactos de um documentário sobre o cotidiano de mães e filhos com deficiência: uma análise de cinedebates","Cavalcante, Fátima Gonçalves, Lau, Luciana Ferreira, Barbosa, Gabriella Ferrarese, Berlim, Daniela Lima Gomes, Menezes, Natasha Coelho, Braga, Daniela de Carvalho, Amorim, Annibal Coelho de, Amorim, Yuri Cavalcante","Ciência &amp; Saúde Coletiva; 21(10); 3071-3080","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016001003071&lang=pt" 
"S1413-81232016001003049-spa","Netnografia e análise bioética de blogs de turismo terapêutico com células-tronco","Monsores, Natan, Lopes, Cecilia, Bezerra, Edilnete Maria Bessa, Silva, Natasha Lunara","Ciência &amp; Saúde Coletiva; 21(10); 3049-3059","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016001003049&lang=pt" 
"S1413-81232016001003131-scl","Perfil das pessoas com deficiência física e Políticas Públicas: a distância entre intenções e gestos","Nogueira, Giovani Cavalheiro, Schoeller, Soraia Dornelles, Ramos, Flávia Regina de Souza, Padilha, Maria Itayra, Brehmer, Laura Cavalcanti de Farias, Marques, Ana Maria Fernandes Borges","Ciência &amp; Saúde Coletiva; 21(10); 3131-3142","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016001003131&lang=pt" 
"S1413-81232016001003081-spa","Paternidade: vivências de pais de meninos diagnosticados com distrofia muscular de Duchenne","Lucca, Silvana Aparecida de, Petean, Eucia Beatriz Lopes","Ciência &amp; Saúde Coletiva; 21(10); 3081-3089","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016001003081&lang=pt" 
"S0102-695X2016000500640-scl","Spectroscopic synthetic optimizations monitoring of silver nanoparticles formation from Megaphrynium macrostachyum leaf extract","Eya&#039;ane Meva, François, Segnou, Marcelle Loretta, Ebongue, Cecile Okalla, Ntoumba, Agnes Antoinette, Kedi, Philippe Belle Ebanda, Deli, Vandi, Etoh, Marie-Annie, Mpondo, Emmanuel Mpondo","Revista Brasileira de Farmacognosia; 26(5); 640-646","Revista Brasileira de Farmacognosia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2016000500640&lang=pt" 
