"S0213-12852014000500005-esp","Antidiabéticos orales y odontología","González Montero, C., Manso Platero, F.J., López Alba, A.J.","Avances en Odontoestomatología; 30(5); 271-281","Avances en Odontoestomatología","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-12852014000500005&lang=pt" 
"S1889-836X2014000300001-esp","XIX Congreso SEIOMM 2014: comités","","Revista de Osteoporosis y Metabolismo Mineral; 6(3); 2-2","Revista de Osteoporosis y Metabolismo Mineral","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1889-836X2014000300001&lang=pt" 
"S1889-836X2014000300005-esp","Sesión 3","","Revista de Osteoporosis y Metabolismo Mineral; 6(3); 10-12","Revista de Osteoporosis y Metabolismo Mineral","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1889-836X2014000300005&lang=pt" 
"S0213-12852014000500004-esp","Eliminación de Enterococcus faecalis por medio del uso de hipoclorito de sodio, clorhexidina y MTAD en conductos radiculares","Pupo Marrugo, S., Díaz Caballero, A., Castellanos Berrio, P., Simancas Escorcia, V.","Avances en Odontoestomatología; 30(5); 263-270","Avances en Odontoestomatología","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-12852014000500004&lang=pt" 
"S1889-836X2014000300009-esp","Sesión 4","","Revista de Osteoporosis y Metabolismo Mineral; 6(3); 36-44","Revista de Osteoporosis y Metabolismo Mineral","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1889-836X2014000300009&lang=pt" 
"S1889-836X2014000300002-esp","","","Revista de Osteoporosis y Metabolismo Mineral; 6(3); 3-3","Revista de Osteoporosis y Metabolismo Mineral","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1889-836X2014000300002&lang=pt" 
"S1889-836X2014000300003-esp","Sesión 1","","Revista de Osteoporosis y Metabolismo Mineral; 6(3); 4-6","Revista de Osteoporosis y Metabolismo Mineral","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1889-836X2014000300003&lang=pt" 
"S1889-836X2014000300004-esp","Sesión 2","","Revista de Osteoporosis y Metabolismo Mineral; 6(3); 7-9","Revista de Osteoporosis y Metabolismo Mineral","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1889-836X2014000300004&lang=pt" 
"S0080-62342014000500772-scl","Internationalization as a challenge to the impact of globalization: nursing contributions","Backes, Dirce Stein, Backes, Marli Stein, Lunardi, Valéria Lerch, Erdmann, Alacoque Lorenzini, Büscher, Andreas","Revista da Escola de Enfermagem da USP; 48(5); 772-777","Revista da Escola de Enfermagem da USP","Inglês, Português, Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342014000500772&lang=pt" 
"S0042-96862014001000742-spa","Measles incidence and reporting trends in Germany, 2007–2011","Takla, Anja, Wichmann, Ole, Rieck, Thorsten, Matysiak-Klose, Dorothea","Bulletin of the World Health Organization; 92(10); 742-749","Bulletin of the World Health Organization","Inglês","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862014001000742&lang=pt" 
"S0042-96862014001000726-spa","Developing an alcohol policy assessment toolkit: application in the western Pacific","Carragher, Natacha, Byrnes, Joshua, Doran, Christopher M, Shakeshaft, Anthony","Bulletin of the World Health Organization; 92(10); 726-733","Bulletin of the World Health Organization","Inglês","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862014001000726&lang=pt" 
