"S0718-560X2014000400011-chl","Fishing in Easter Island, a recent history (1950-2010)","Zylich, Kyrstn, Harper, Sarah, Lidandeo, Roberto, Vega, Rodrigo, Zeller, Dirk","Latin american journal of aquatic research; 42(4); 845-856","Latin american journal of aquatic research","Inglês","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2014000400011&lang=pt" 
"S0718-560X2014000400002-chl","Ancient fishing activities developed in Easter Island","Arana, Patricio M","Latin american journal of aquatic research; 42(4); 673-689","Latin american journal of aquatic research","Inglês","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2014000400002&lang=pt" 
"S0718-560X2014000400001-chl","Overview of recent advances in oceanographic, ecological and fisheries research on oceanic islands in the southeastern Pacific Ocean","Fernández, Miriam, Hormazábal, Samuel","Latin american journal of aquatic research; 42(4); 666-672","Latin american journal of aquatic research","Inglês","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2014000400001&lang=pt" 
"S0718-560X2014000400007-chl","Synthesis of the state of knowledge about species richness of macroalgae, macroinvertebrates and fishes in coastal and oceanic waters of Easter and Salas y Gómez islands","Fernández, Miriam, Pappalardo, Paula, Rodríguez-Ruiz, Montserrat C, Castilla, Juan Carlos","Latin american journal of aquatic research; 42(4); 760-802","Latin american journal of aquatic research","Inglês","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2014000400007&lang=pt" 
"S0718-560X2014000400006-chl","Seabirds of Easter Island, Salas y Gómez Island and Desventuradas Islands, southeastern Pacific Ocean","Flores, Marcelo A, Schlatter, Roberto P, Hucke-Gaete, Rodrigo","Latin american journal of aquatic research; 42(4); 752-759","Latin american journal of aquatic research","Inglês","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2014000400006&lang=pt" 
"S0718-560X2014000400005-chl","Marine mammals of Easter Island (Rapa Nui) and Salas y Gómez Island (Motu Motiro Hiva), Chile: a review and new records","Hucke-Gaete, Rodrigo, Aguayo-Lobo, Anelio, Yancovic-Pakarati, Sebastián, Flores, Marcelo","Latin american journal of aquatic research; 42(4); 743-751","Latin american journal of aquatic research","Inglês","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2014000400005&lang=pt" 
"S0718-560X2014000400009-chl","Subtidal reef fish and macrobenthic community structure at the temperate Juan Fernández Archipelago, Chile","Pérez-Matus, Alejandro, Ramirez, Fabián, Eddy, Tyler D, Cole, Russell","Latin american journal of aquatic research; 42(4); 814-826","Latin american journal of aquatic research","Inglês","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2014000400009&lang=pt" 
"S1516-14392014000500018-scl","Evaluation of sample temperature and applied power on degradation of stearic acid in inductively coupled radio frequency plasma","Farias, Carlos Eduardo, Bianchi, José Carlos, Oliveira, Paulo Roberto de, Borges, Paulo César, Bernardelli, Euclides Alexandre, Belmonte, Thierry, Mafra, Márcio","Materials Research; 17(5); 1251-1259","Materials Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392014000500018&lang=pt" 
"S1516-14392014000500019-scl","History of development of thermoelectric materials for electric power generation and criteria of their quality","Polozine, Alexandre, Sirotinskaya, Susanna, Schaeffer, Lírio","Materials Research; 17(5); 1260-1267","Materials Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392014000500019&lang=pt" 
"S1516-14392014000500031-scl","Abrasive blasting contamination in Super Duplex and carbon steels - a quantification approach by rietveld analysis","Rocha, Adriana da Cunha, Nascimento, Áquila Vieira do, Margarit-Mattos, Isabel Cristina Pereira, Assis, Kioshy dos Santos, Mattos, Oscar Rosa","Materials Research; 17(5); 1356-1366","Materials Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392014000500031&lang=pt" 
"S1516-14392014000500024-scl","Study of expanded austenite formed in plasma nitrided AISI 316L samples, using synchrotron radiation diffraction","Campos, Marcelo, Souza, Sylvio Dionysio de, Martinez, Luis Gallego, Olzon-Dionysio, Maristela","Materials Research; 17(5); 1302-1308","Materials Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392014000500024&lang=pt" 
"S1516-14392014000500008-scl","Solvent effect on the morphology of the bee: structure observed by atomic force microscopy on bitumen sample","Backx, Bianca Pizzorno, Simão, Renata Antoun, Dourado, Erico Rodrigues, Leite, Leni Figueiredo Mathias","Materials Research; 17(5); 1157-1161","Materials Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392014000500008&lang=pt" 
"S1516-14392014000500006-scl","Effect of phase transformations on hardness in Zn-Al-Cu Alloys","Villegas-Cardenas, Jose David, Saucedo-Muñoz, Maribel Leticia, Lopez-Hirata, Victor Manuel, Dorantes-Rosales, Hector Javier, Gonzalez-Velazquez, Jorge Luis","Materials Research; 17(5); 1137-1144","Materials Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392014000500006&lang=pt" 
"S1516-14392014000500004-scl","Study of oxide nanoparticles as additives for vegetable lubricants","Trajano, Marinalva Ferreira, Moura, Edja Iandeyara Freitas, Ribeiro, Kandice Suane Barros, Alves, Salete Martins","Materials Research; 17(5); 1124-1128","Materials Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392014000500004&lang=pt" 
"S1516-14392014000500020-scl","Phase transition and elasticity of gallium arsenide under pressure","Güler, Emre, Güler, Melek","Materials Research; 17(5); 1268-1272","Materials Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392014000500020&lang=pt" 
"S0103-84782014001001886-scl","Estabilidade físico-química e microbiológica de banana passa orgânica","Batista, Daniele de Vasconcellos Santos, Cardoso, Ricardo Luis, Godoy, Rossana Catie Bueno de, Evangelista-Barreto, Norma Suely","Ciência Rural; 44(10); 1886-1892","Ciência Rural","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782014001001886&lang=pt" 
"S0103-84782014001001816-scl","Produção de interleucina-1beta e severidade da mastite pós-inoculação de Staphylococcus aureus na glândula mamária de bovinos e bubalinos","Lazzari, Andrea Maria, Oliveira, Marília Viviane Snel de, Moreti, Bruno, Guimarães, Gabriela, Krug, Fernanda, Noleto, Giovana, Mesquita, Albenones José de, Magalhães, Kelly Grace, Bocca, Anamélia Lorenzetti, Neves, Jairo Pereira","Ciência Rural; 44(10); 1816-1822","Ciência Rural","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782014001001816&lang=pt" 
"S0103-84782014001001810-scl","Prática de cultivo e uso de plantas domésticas em diferentes cidades brasileiras","Botelho, Juliana de Mello, Lamano-Ferreira, Ana Paula do Nascimento, Ferreira, Mauricio Lamano","Ciência Rural; 44(10); 1810-1815","Ciência Rural","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782014001001810&lang=pt" 
"S0103-84782014001001732-scl","Tamanho de parcela e número de repetições em aveia preta","Cargnelutti Filho, Alberto, Alves, Bruna Mendonça, Toebe, Marcos, Burin, Cláudia, Santos, Gustavo Oliveira dos, Facco, Giovani, Neu, Ismael Mario Márcio, Stefanello, Réges Bellé","Ciência Rural; 44(10); 1732-1739","Ciência Rural","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782014001001732&lang=pt" 
"S0103-84782014001001770-scl","Divergência genética entre populações de pessegueiro baseada em características da planta e do fruto","Silva, José Osmar da Costa e, Cremasco, João Paulo Gava, Matias, Rosana Gonçalves Pires, Silva, Danielle Fabíola Pereira da, Salazar, Alejandro Hurtado, Bruckner, Cláudio Horst","Ciência Rural; 44(10); 1770-1775","Ciência Rural","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782014001001770&lang=pt" 
"S0103-84782014001001776-scl","","Gazola, Rodolfo de Niro, Mello, Luiz Malcolm Mano de, Dinalli, Raíssa Pereira, Teixeira Filho, Marcelo Carvalho Minhoto, Celestrino, Thiago de Souza, Dupas, Elisângela, Garcia, Cássia Maria de Paula","Ciência Rural; 44(10); 1776-1782","Ciência Rural","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782014001001776&lang=pt" 
"S0103-84782014001001755-scl","Telas agrícolas como subcobertura no cultivo de alface hidropônica","Sales, Francisco Alexandre de Lima, Barbosa Filho, José Antônio Delfino, Barbosa, João Paulo Rodrigues Alves Delfino, Viana, Thales Vinícius de Araújo, Freitas, Cley Anderson Silva de","Ciência Rural; 44(10); 1755-1760","Ciência Rural","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782014001001755&lang=pt" 
"S0103-84782014001001715-scl","First record of qualitative losses caused by Meghimatium pictum in vineyards of Southern Brazil and the effects of two molluscicides for its control","Baronio, Cléber Antonio, Botton, Marcos, Gomes, Suzete Rodrigues, Robinson, David Gwyn","Ciência Rural; 44(10); 1715-1720","Ciência Rural","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782014001001715&lang=pt" 
"S0103-84782014001001860-scl","Características de carcaça e qualidade de carne em linhagens da raça Nelore","Bonin, Marina de Nadai, Ferraz, José Bento Sterman, Eler, Joanir Pereira, Silva, Saulo da Luz e, Rezende, Fernanda Marcondes de, Cucco, Diego de Córdova, Carvalho, Minos Esperandio, Silva, Roulber Carvalho Gomes da, Oliveira, Elisângela Chicaroni de Mattos","Ciência Rural; 44(10); 1860-1866","Ciência Rural","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782014001001860&lang=pt" 
"S0103-84782014001001845-scl","Forage yield and nutritive value of Elephant grass, Italian ryegrass and spontaneous growing species mixed with forage peanut or red clover","Diehl, Michelle Schalemberg, Olivo, Clair Jorge, Agnolin, Carlos Alberto, Junior, Ricardo Lima de Azevedo, Bratz, Vinícius Felipe, Santos, Juliano Costa dos","Ciência Rural; 44(10); 1845-1852","Ciência Rural","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782014001001845&lang=pt" 
"S0103-84782014001001721-scl","Registro de Leptocybe invasa no estado de Goiás","Pereira, Jaqueline Magalhães, Melo, Aniela Pilar Campos de, Rodrigues, Ohana Daroszewki, Dias, Thaíse Karla Ribeiro, Wilcken, Carlos Frederico","Ciência Rural; 44(10); 1721-1724","Ciência Rural","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782014001001721&lang=pt" 
"S0103-84782014001001867-scl","O enriquecimento ambiental sobre o bem-estar de frangos de corte","Sans, Elaine Cristina de Oliveira, Federici, Juliana Freitas, Hammerschmidt, Janaina, Clemente, Heloisa Cristina, Dahlke, Fabiano, Molento, Carla Forte Maiolino","Ciência Rural; 44(10); 1867-1873","Ciência Rural","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782014001001867&lang=pt" 
"S0103-84782014001001761-scl","Indole butyric acid and substrates influence on multiplication of blackberry &#039;Xavante&#039;","Hussain, Ibrar, Assis, Adriane Marinho de, Yamamoto, Lilian Yukari, Koyama, Renata, Roberto, Sérgio Ruffo","Ciência Rural; 44(10); 1761-1765","Ciência Rural","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782014001001761&lang=pt" 
"S0103-84782014001001747-scl","Suficiência amostral para a estimação da produção de cana-de-açúcar","Acunha, Jefferson Gonçalves, Oliveira, Ricardo Augusto de, Zeviani, Walmes Marques, Peternelli, Luiz Alexandre, Bespalhok Filho, João Carlos, Daros, Edelclaiton","Ciência Rural; 44(10); 1747-1754","Ciência Rural","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782014001001747&lang=pt" 
"S0103-84782014001001725-scl","Teores de carboidratos e fluorescência da clorofila a em folhas de limeiras ácidas &#039;Tahiti&#039; submetidas ao anelamento e incisão anelar de ramos","Santos, Dierlei dos, Siqueira, Dalmo Lopes de, Salomão, Luiz Carlos Chamhum, Cecon, Paulo Roberto, Oliveira, Girlaine Pereira, Machado, Daniel Lucas Magalhães, Zucoloto, Moises","Ciência Rural; 44(10); 1725-1731","Ciência Rural","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782014001001725&lang=pt" 
"S1516-14392014000500030-scl","A model for evaluation of effective thermal conductivity of periodic composites with poorly conducting interfaces","Escarpini Filho, Romildo dos Santos, Marques, Severino Pereira Cavalcanti","Materials Research; 17(5); 1344-1355","Materials Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392014000500030&lang=pt" 
"S1516-14392014000500017-scl","Microstructure and microtexture assessment of delamination phenomena in charpy impact tested specimens","Haskel, Hudison Loch, Pauletti, Ederson, Martins, Juliana de Paula, Carvalho, André Luis Moreira de","Materials Research; 17(5); 1238-1250","Materials Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392014000500017&lang=pt" 
"S1516-14392014000500016-scl","2D upper bound analysis of ECAE through 2θ-dies for a range of channel angles","Perig, Alexander V.","Materials Research; 17(5); 1226-1237","Materials Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392014000500016&lang=pt" 
"S1516-14392014000500011-scl","Compatibility analyses of BICUVOX.10 as a cathode in yttria-stabilized zirconia electrolytes for usage in solid oxide fuel cells","Piva, Roger Honorato, Piva, Diógenes Honorato, Souza, Marcelo Tramontin, Morelli, Márcio Raymundo","Materials Research; 17(5); 1173-1179","Materials Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392014000500011&lang=pt" 
"S1516-14392014000500013-scl","Evaluation of different methods of cooling-lubrication in cylindrical grinding of advanced ceramic dip","Simões, Rafael Plana, Bianchi, Eduardo Carlos, Oikawa, Marcos Hiroshi, Aguiar, Paulo Roberto de, Droppa Júnior, Roosevelt, Canarim, Rubens Chinali","Materials Research; 17(5); 1201-1212","Materials Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392014000500013&lang=pt" 
"S1516-14392014000500005-scl","Laboratory comparison of aging characteristics of warm mix asphalts involving natural and synthetic water containing additives","Topal, Ali, Dokandari, Peyman Aghazadeh","Materials Research; 17(5); 1129-1136","Materials Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392014000500005&lang=pt" 
"S1516-14392014000500015-scl","Elliptical and circular bonded composite repair under mechanical and thermal loading in aircraft structures","Benyahia, Faycal, Albedah, Abdulmohsen, Bouiadjra, Bel Abbes Bachir","Materials Research; 17(5); 1219-1225","Materials Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392014000500015&lang=pt" 
"S1516-14392014000500012-scl","Microstructural developments of poly (p-phenylene terephthalamide) fibers during heat treatment process: a review","Ahmed, Dawelbeit, Hongpeng, Zhong, Haijuan, Kong, Jing, Liu, Yu, Ma, Muhuo, Yu","Materials Research; 17(5); 1180-1200","Materials Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392014000500012&lang=pt" 
