"S0188-252X2014000100015-mex","¿A dónde hemos llegado? Un siglo de vanguardias artísticas en Occidente","Cortazar Rodríguez, Francisco Javier","Comunicación y sociedad; (21); 319-323","Comunicación y sociedad","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-252X2014000100015&lang=pt" 
"S0188-252X2014000100014-mex","Confiar en la prensa o no: Un método para el estudio de la construcción mediática de la realidad","Romeu, Vivian","Comunicación y sociedad; (21); 311-317","Comunicación y sociedad","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-252X2014000100014&lang=pt" 
"S1807-25772014000300185-scl","Lesões maxilofaciais: um levantamento de 762 casos da Universidade Federal de Sergipe, Brasil","SOUTO, Maria Luisa Silveira, PIVA, Marta Rabello, MARTINS-FILHO, Paulo Ricardo Saquete, TAKESHITA, Wilton Mitsunari","Revista de Odontologia da UNESP; 43(3); 185-190","Revista de Odontologia da UNESP","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-25772014000300185&lang=pt" 
"S1807-25772014000300191-scl","Do alcoholic beverages interfere in the force of orthodontic elastics?","PITHON, Matheus Melo, BARRETTO, Jéssica Rocha, ANDRADE, Camilla Souza Santos, NOVAES, Fernando Pereira de, LUZ, Murilo de Novaes, ANDRADE, Ana Carolina Dias Viana de, COQUEIRO, Raildo da Silva","Revista de Odontologia da UNESP; 43(3); 191-195","Revista de Odontologia da UNESP","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-25772014000300191&lang=pt" 
"S0004-282X2014000600466-scl","Edgar Allan Poe and neurology","Teive, Hélio Afonso Ghizoni, Paola, Luciano de, Munhoz, Renato Puppi","Arquivos de Neuro-Psiquiatria; 72(6); 466-468","Arquivos de Neuro-Psiquiatria","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2014000600466&lang=pt" 
"S0004-282X2014000600418-scl","A new clinical sign probably associated to left hemiplegia with left hemineglect syndrome: the crossed legs","Bazan, Rodrigo, Fernandes, Thiago, Braga, Gabriel, Luvizutto, Gustavo, Resende, Luiz","Arquivos de Neuro-Psiquiatria; 72(6); 418-421","Arquivos de Neuro-Psiquiatria","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2014000600418&lang=pt" 
"S0004-282X2014000600411-scl","Effects of galantamine and galantamine combined with nimodipine on cognitive speed and quality of life in mixed dementia: a 24-week, randomized, placebo-controlled exploratory trial (the REMIX study)","Caramelli, Paulo, Laks, Jerson, Palmini, André Luis Fernandes, Nitrini, Ricardo, Chaves, Márcia Lorena Fagundes, Forlenza, Orestes Vicente, Vale, Francisco de Assis Carvalho do, Barbosa, Maira Tonidandel, Bottino, Cássio Machado de Campos, Machado, João Carlos, Charchat-Fichman, Helenice, Lawson, Fabio Lorea","Arquivos de Neuro-Psiquiatria; 72(6); 411-417","Arquivos de Neuro-Psiquiatria","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2014000600411&lang=pt" 
"S0004-282X2014000600405-scl","The physical, social and emotional aspects are the most affected in the quality of life of the patients with cervical dystonia","Werle, Roberta Weber, Takeda, Sibele Yoko Mattozo, Zonta, Marise Bueno, Guimarães, Ana Tereza Bittencourt, Teive, Hélio Afonso Ghizoni","Arquivos de Neuro-Psiquiatria; 72(6); 405-410","Arquivos de Neuro-Psiquiatria","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2014000600405&lang=pt" 
"S0004-282X2014000600401-scl","Botulinum toxin ? how a poison turned to a fascinating ally against an old adversary","Quagliato, Elizabeth M. A. Barasnevicius","Arquivos de Neuro-Psiquiatria; 72(6); 401-402","Arquivos de Neuro-Psiquiatria","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2014000600401&lang=pt" 
"S0004-282X2014000600403-scl","The story of neuromyelitis optica continues to be written","Fragoso, Yara Dadalti","Arquivos de Neuro-Psiquiatria; 72(6); 403-404","Arquivos de Neuro-Psiquiatria","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2014000600403&lang=pt" 
"S0004-282X2014000600481-scl","Limb-girdle muscular dystrophy in Brazilian children: clinical, histological and molecular characterization","Albuquerque, Marco A. Veloso","Arquivos de Neuro-Psiquiatria; 72(6); 481-481","Arquivos de Neuro-Psiquiatria","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2014000600481&lang=pt" 
