"S2237-93632014000200073-scl","The influence of time on the quality of life of patients with intestinal stoma","Salles, Valdemir José Alegre, Becker, Carolina de Paula Penteado, Faria, Giuliana da Matta Rossi","Journal of Coloproctology (Rio de Janeiro); 34(2); 73-75","Journal of Coloproctology (Rio de Janeiro)","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-93632014000200073&lang=pt" 
"S2237-93632014000200087-scl","Four-arm single docking full robotic surgery for low rectal cancer: techniques and post-operative outcomes","Ramos, José Reinan, Miranda, Alexandre Duarte, Torres, Wilermo, Parra-Davila, Eduardo","Journal of Coloproctology (Rio de Janeiro); 34(2); 87-94","Journal of Coloproctology (Rio de Janeiro)","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-93632014000200087&lang=pt" 
"S2237-93632014000200083-scl","Constipation prevalence in diabetic patients","Lins Neto, Manoel Álvaro de Freitas, Moreno, Keila Andreia Martins, Graça, Ravidson Carlos Correia da, Lima, Sandra Maria Gicó","Journal of Coloproctology (Rio de Janeiro); 34(2); 83-86","Journal of Coloproctology (Rio de Janeiro)","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-93632014000200083&lang=pt" 
"S0100-204X2014000400257-scl","Effect of neighborhood and plot size on experiments with multiple-harvest oleraceous crops","Santos, Daniel, Lúcio, Alessandro Dal&#039;Col, Cargnelutti Filho, Alberto, Storck, Lindolfo, Lorentz, Leandro Homrich, Schabarum, Denison Esequiel","Pesquisa Agropecuária Brasileira; 49(4); 257-264","Pesquisa Agropecuária Brasileira","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2014000400257&lang=pt" 
"S2237-93632014000200065-scl","Taylored prevention of postoperative endoscopic recurrence in Crohn&#039;s disease: new data for an old problem","Kotze, Paulo Gustavo","Journal of Coloproctology (Rio de Janeiro); 34(2); 65-66","Journal of Coloproctology (Rio de Janeiro)","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-93632014000200065&lang=pt" 
"S0100-204X2014000400273-scl","Produtividade de grãos e componentes de produção da canola de acordo com fontes e doses de nitrogênio","Kaefer, João Edson, Guimarães, Vandeir Francisco, Richart, Alfredo, Tomm, Gilberto Omar, Müller, Alexandre Luís","Pesquisa Agropecuária Brasileira; 49(4); 273-280","Pesquisa Agropecuária Brasileira","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2014000400273&lang=pt" 
"S2237-93632014000200120-scl","Closure of leak at the tip of the &quot;J&quot; after ileal pouch-anal anastomosis using a novel over-the-scope clipping system","Lian, Lei, Shen, Bo","Journal of Coloproctology (Rio de Janeiro); 34(2); 120-123","Journal of Coloproctology (Rio de Janeiro)","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-93632014000200120&lang=pt" 
"S0100-204X2014000400281-scl","Reguladores de crescimento na frutificação efetiva e qualidade de frutos partenocárpicos de atemoia &#039;Gefner&#039;","Pereira, Marlon Cristian Toledo, Crane, Jonathan Henry, Nietsche, Silvia, Montas, Wanda, Santos, Márcio Adriano","Pesquisa Agropecuária Brasileira; 49(4); 281-289","Pesquisa Agropecuária Brasileira","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2014000400281&lang=pt" 
"S2237-93632014000200104-scl","Emergency surgery for complicated colorectal cancer in central Brazil","Santos, Alex Caetano dos, Martins, Lucas Leonardo Tavares, Brasil, Andressa Machado Santana, Pinto, Sebastião Alves, Gabriel Neto, Salustiano, Oliveira, Enio Chaves de","Journal of Coloproctology (Rio de Janeiro); 34(2); 104-108","Journal of Coloproctology (Rio de Janeiro)","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-93632014000200104&lang=pt" 
"S0100-204X2014000400296-scl","Diversity and nitrogen fixation efficiency of rhizobia isolated from nodules of Centrolobium paraense","Baraúna, Alexandre Cardoso, Silva, Krisle da, Pereira, Gilmara Maria Duarte, Kaminski, Paulo Emílio, Perin, Liamara, Zilli, Jerri Edson","Pesquisa Agropecuária Brasileira; 49(4); 296-305","Pesquisa Agropecuária Brasileira","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2014000400296&lang=pt" 
"S2237-93632014000200124-scl","Perianal tuberculosis: A rare disease of late diagnosis","Corrêa Neto, Isaac José Felippe, Siá, Otávio Nunes, Lopes, Eduardo Augusto, Macacari, Rodrigo Luiz, Watté, Hugo Henriques, Souza, Rogério Freitas Lino, Rolim, Alexander Sá, Robles, Laércio","Journal of Coloproctology (Rio de Janeiro); 34(2); 124-127","Journal of Coloproctology (Rio de Janeiro)","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-93632014000200124&lang=pt" 
"S1850-37482014000200004-arg","Evaluación de la función auricular izquierda mediante imágenes de strain: ¿está lista para ocupar un &quot;lugar estelar&quot;?","Quiñones, Miguel a.","Revista argentina de cardiología; 82(2); 91-93","Revista argentina de cardiología","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-37482014000200004&lang=pt" 
"S1850-37482014000200007-arg","Hallazgos ecocardiográficos en la esclerodermia sin antecedentes cardiovasculares","Beck, Martín, Lescano, Adrián, Gómez, Gastón, Nistchel, Alejandro, Salvatierra, Alejandro, de Valais, Fernando","Revista argentina de cardiología; 82(2); 105-109","Revista argentina de cardiología","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-37482014000200007&lang=pt" 
"S1850-37482014000200006-arg","Doppler tisular y estratificación del riesgo en la miocardiopatía hipertrófica","Ochoa, Juan P., Fernández, Adrián, Filipuzzi, Juan M., Fava, Agostina M., Casabé, José H., Salmo, Fabián, Vaisbuj, Fabián, Di Nunzio, Horacio J., Ganum, Guillermo, Guevara, Eduardo","Revista argentina de cardiología; 82(2); 97-104","Revista argentina de cardiología","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-37482014000200006&lang=pt" 
"S1850-37482014000200001-arg","En la unión está la fuerza: In Union there is Strength","Lowenstein, Jorge A.","Revista argentina de cardiología; 82(2); 85-86","Revista argentina de cardiología","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-37482014000200001&lang=pt" 
"S1850-37482014000200003-arg","Strain 2D en la ecocardiografía con ejercicio: ¿es factible?","Caballero, Luis, Lancellotti, Patrizio","Revista argentina de cardiología; 82(2); 89-90","Revista argentina de cardiología","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-37482014000200003&lang=pt" 
"S1850-37482014000200002-arg","Ecocardiografía tridimensional en la válvula mitral: ¿amiga o enemiga?","Pérez de Isla, Leopoldo","Revista argentina de cardiología; 82(2); 87-88","Revista argentina de cardiología","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-37482014000200002&lang=pt" 
"S1850-37482014000200009-arg","¿Dónde está el orificio mitral efectivo?: Divergencia entre el volumen del tracto de salida y el tracto de entrada del ventrículo izquierdo por ecocardiografía","Lombardero, Martín, Perea, Gabriel, Tinetti, Matías","Revista argentina de cardiología; 82(2); 118-125","Revista argentina de cardiología","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-37482014000200009&lang=pt" 
"S1850-37482014000200008-arg","Factibilidad y aportes del análisis de la deformación longitudinal 2D global y regional durante el eco estrés con ejercicio","Caniggia, Cristian, Amor, Miguel, Lowenstein Haber, Diego, Alasia, Diego, Galello, Marcela, Darú, Víctor, Lowenstein, Jorge","Revista argentina de cardiología; 82(2); 110-117","Revista argentina de cardiología","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-37482014000200008&lang=pt" 
"S1850-37482014000200021-arg","Ultrasonido cardiovascular","Darú, Víctor","Revista argentina de cardiología; 82(2); 184-184","Revista argentina de cardiología","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-37482014000200021&lang=pt" 
"S1850-37482014000200020-arg","La sangre como fuente de juventud","Donato, Martín","Revista argentina de cardiología; 82(2); 183-183","Revista argentina de cardiología","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-37482014000200020&lang=pt" 
"S0103-507X2014000200081-scl","Sedação e memórias em terapia intensiva","Shinotsuka, Cássia Righy, Serafim, Rodrigo Bernardo","Revista Brasileira de Terapia Intensiva; 26(2); 81-82","Revista Brasileira de Terapia Intensiva","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2014000200081&lang=pt" 
"S0103-507X2014000200079-scl","Redes de pesquisa e estudos clínicos em terapia intensiva no Brasil: situação atual e perspectivas futuras","","Revista Brasileira de Terapia Intensiva; 26(2); 79-80","Revista Brasileira de Terapia Intensiva","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2014000200079&lang=pt" 
"S0103-507X2014000200077-scl","Redes de pesquisa e sua contribuição para a qualidade em cuidados intensivos","Dias, Fernando Suparregui","Revista Brasileira de Terapia Intensiva; 26(2); 77-78","Revista Brasileira de Terapia Intensiva","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2014000200077&lang=pt" 
"S0103-507X2014000200086-scl","Uso de antipsicóticos para tratamento do delírio na unidade de terapia intensiva","Page, Valerie J., Casarin, Annalisa","Revista Brasileira de Terapia Intensiva; 26(2); 86-88","Revista Brasileira de Terapia Intensiva","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2014000200086&lang=pt" 
"S0103-507X2014000200083-scl","O uso de hipotermia e desfechos após ressuscitação cardiopulmonar em 2014","Storm, Christian","Revista Brasileira de Terapia Intensiva; 26(2); 83-85","Revista Brasileira de Terapia Intensiva","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2014000200083&lang=pt" 
"S0103-507X2014000200137-scl","Prácticas de destete ventilatorio en las unidades de cuidado intensivo de la ciudad de Cali","Muñoz, Vilma, Calvo, Lucía, Ramírez, María Fernanda, Arias, Marcela, Villota, Mario, Wilches-Luna, Esther Cecilia, Soto, Rodolfo","Revista Brasileira de Terapia Intensiva; 26(2); 137-142","Revista Brasileira de Terapia Intensiva","Inglês, Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2014000200137&lang=pt" 
"S2237-60892014000200113-scl","Panic disorder and psychoactive substance use in primary care","Pires, Andressa Jacondino, Casanova, Camila Corrêa, Quevedo, Luciana de Avila, Jansen, Karen, Silva, Ricardo Azevedo da","Trends in Psychiatry and Psychotherapy; 36(2); 113-118","Trends in Psychiatry and Psychotherapy","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-60892014000200113&lang=pt" 
"S2237-60892014000200059-scl","Development across the life cycle","Kieling, Christian","Trends in Psychiatry and Psychotherapy; 36(2); 59-62","Trends in Psychiatry and Psychotherapy","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-60892014000200059&lang=pt" 
"S0103-507X2014000200183-scl","Estratégias de prevenção da lesão renal aguda em cirurgia cardíaca: revisão integrativa","Santana-Santos, Eduesley, Marcusso, Marila Eduara Fátima, Rodrigues, Amanda Oliveira, Queiroz, Fernanda Gomes de, Oliveira, Larissa Bertacchini de, Rodrigues, Adriano Rogério Baldacin, Palomo, Jurema da Silva Herbas","Revista Brasileira de Terapia Intensiva; 26(2); 183-192","Revista Brasileira de Terapia Intensiva","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2014000200183&lang=pt" 
"S0103-507X2014000200193-scl","Hemofiltração de alto volume e ventilação em posição prona em hemorragia subaracnóidea complicada por grave síndrome do desconforto respiratório agudo e choque séptico refratário","Cornejo, Rodrigo, Romero, Carlos, Ugalde, Diego, Bustos, Patricio, Diaz, Gonzalo, Galvez, Ricardo, Llanos, Osvaldo, Tobar, Eduardo","Revista Brasileira de Terapia Intensiva; 26(2); 193-199","Revista Brasileira de Terapia Intensiva","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2014000200193&lang=pt" 
"S0103-507X2014000200163-scl","Análise comparativa entre a manobra de recrutamento alveolar e a técnica de breath stacking em pacientes com lesão pulmonar aguda","Porto, Elias Ferreira, Tavolaro, Kelly Cristiani, Kumpel, Claudia, Oliveira, Fernanda Augusta, Sousa, Juciaria Ferreira, Carvalho, Graciele Vieira de, Castro, Antonio Adolfo Mattos de","Revista Brasileira de Terapia Intensiva; 26(2); 163-168","Revista Brasileira de Terapia Intensiva","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2014000200163&lang=pt" 
"S0103-507X2014000200169-scl","Influência do posicionamento em prona sobre o estresse no recém-nascido prematuro avaliada pela dosagem de cortisol salivar: um estudo piloto","Cândia, Maria Fernanda, Osaku, Erica Fernanda, Leite, Marcela Aparecida, Toccolini, Beatriz, Costa, Nicolle Lamberti, Teixeira, Sandy Nogueira, Costa, Claudia Rejane Lima de Macedo, Piana, Pitágoras Augusto, Cristovam, Marcos Antonio da Silva, Osaku, Nelson Ossamu","Revista Brasileira de Terapia Intensiva; 26(2); 169-175","Revista Brasileira de Terapia Intensiva","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2014000200169&lang=pt" 
"S0103-507X2014000200176-scl","Anticorpos antifosfolipídeos em pacientes gravemente enfermos","Vassalo, Juliana, Spector, Nelson, Meis, Ernesto de, Soares, Márcio, Salluh, Jorge Ibrain Figueira","Revista Brasileira de Terapia Intensiva; 26(2); 176-182","Revista Brasileira de Terapia Intensiva","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2014000200176&lang=pt" 
"S0103-507X2014000200148-scl","Sepse em pacientes com traumatismo craniencefálico em unidade de terapia intensiva: fatores relacionados à maior mortalidade","Cardozo Júnior, Luis Carlos Maia, Silva, Redson Ruy da","Revista Brasileira de Terapia Intensiva; 26(2); 148-154","Revista Brasileira de Terapia Intensiva","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2014000200148&lang=pt" 
"S0103-507X2014000200143-scl","Fração de excreção de potássio na evolução da lesão renal aguda em pacientes graves: um potencial marcador a ser monitorizado?","Maciel, Alexandre Toledo, Park, Marcelo, Macedo, Etienne","Revista Brasileira de Terapia Intensiva; 26(2); 143-147","Revista Brasileira de Terapia Intensiva","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2014000200143&lang=pt" 
