"S0100-204X2014000400237-scl","Simulação do risco de deficit hídrico em regiões de expansão do cultivo de cana-de-açúcar no Brasil","Vianna, Murilo dos Santos, Sentelhas, Paulo Cesar","Pesquisa Agropecuária Brasileira; 49(4); 237-246","Pesquisa Agropecuária Brasileira","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2014000400237&lang=pt" 
"S2237-93632014000200109-scl","Systematic review of efficacy of LIFT procedure in crpytoglandular fistula-in-ano","Murugesan, Jothi, Mor, Isabella, Fulham, Stephen, Hitos, Kerry","Journal of Coloproctology (Rio de Janeiro); 34(2); 109-119","Journal of Coloproctology (Rio de Janeiro)","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-93632014000200109&lang=pt" 
"S1989-38092014000100003-esp","Teoría de la mente y empatía como predictores de conductas disociales en la adolescencia","Arango Tobón, Olber Eduardo, Montoya Zuluaga, Paula Andrea, Puerta Lopera, Isabel Cristina, Sánchez Duque, José Wilmar","Escritos de Psicología (Internet); 7(1); 20-30","Escritos de Psicología (Internet)","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1989-38092014000100003&lang=pt" 
"S1576-59622014000100003-esp","Predicting intentions to fake in psychological testing: which normative beliefs are important","Grieve, Rachel, McSwiggan, Catherine","Revista de Psicología del Trabajo y de las Organizaciones; 30(1); 23-28","Revista de Psicología del Trabajo y de las Organizaciones","Inglês","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1576-59622014000100003&lang=pt" 
"S1576-59622014000100004-esp","Gender differences in work sample assessments: not all tests are created equal","Harari, Michael B., Viswesvaran, Chockalingam, O&#039;Rourke, Rachel","Revista de Psicología del Trabajo y de las Organizaciones; 30(1); 29-34","Revista de Psicología del Trabajo y de las Organizaciones","Inglês","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1576-59622014000100004&lang=pt" 
"S1576-59622014000100005-esp","Organizational citizenship behavior, organizational justice, job stress, and work-family conflict: examination of their interrelationships with respondents from a non-Western culture","Tziner, Aharon, Sharoni, Gil","Revista de Psicología del Trabajo y de las Organizaciones; 30(1); 35-42","Revista de Psicología del Trabajo y de las Organizaciones","Inglês","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1576-59622014000100005&lang=pt" 
"S1519-38292014000200137-scl","Classificação das mortes infantis em Belo Horizonte: utilização da lista atualizada de causas de mortes evitáveis por intervenções do Sistema Único de Saúde do Brasil","Menezes, Sara Teles de, Rezende, Edna Maria de, Martins, Eunice Francisca, Villela, Lenice de Castro Mendes","Revista Brasileira de Saúde Materno Infantil; 14(2); 137-145","Revista Brasileira de Saúde Materno Infantil","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292014000200137&lang=pt" 
"S1519-38292014000200147-scl","Incontinência urinária na gestação: implicações na qualidade de vida","Moccellin, Ana Silvia, Rett, Mariana Tirolli, Driusso, Patricia","Revista Brasileira de Saúde Materno Infantil; 14(2); 147-154","Revista Brasileira de Saúde Materno Infantil","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292014000200147&lang=pt" 
"S1519-38292014000200155-scl","Parto acidental não-hospitalar como indicador de risco para a mortalidade infantil","Silva, Zilda Pereira da, Almeida, Márcia Furquim de, Alencar, Gizelton Pereira","Revista Brasileira de Saúde Materno Infantil; 14(2); 155-164","Revista Brasileira de Saúde Materno Infantil","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292014000200155&lang=pt" 
"S1519-38292014000200165-scl","O contexto organizacional do Sistema de Informações sobre Nascidos Vivos segundo profissionais de saúde do nível municipal","Guimarães, Eliete Albano de Azevedo, Carmo, Rose Ferraz, Loyola Filho, Antônio Ignácio de, Meira, Antônio José de, Luz, Zélia Maria Profeta","Revista Brasileira de Saúde Materno Infantil; 14(2); 165-172","Revista Brasileira de Saúde Materno Infantil","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292014000200165&lang=pt" 
"S1519-38292014000200173-scl","Indicadores antropométricos na predição de síndrome metabólica em crianças e adolescentes: um estudo de base populacional","Ribeiro-Silva, Rita de Cássia, Florence, Thais C. M., Conceição-Machado, Maria Ester Pereira da, Fernandes, Gilênio Borges, Couto, Ricardo David","Revista Brasileira de Saúde Materno Infantil; 14(2); 173-181","Revista Brasileira de Saúde Materno Infantil","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292014000200173&lang=pt" 
"S1519-38292014000200115-scl","O clima, a paz e a saúde","Batista Filho, Malaquias, Batista, Luciano Vidal","Revista Brasileira de Saúde Materno Infantil; 14(2); 115-116","Revista Brasileira de Saúde Materno Infantil","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292014000200115&lang=pt" 
"S1025-02552014000200009-cub","Resistencia y sensibilidad a la warfarina","Castelhanos Rojas, Rolando, Ferrer Herrera, Ismael M., Segura Pujal, Leandro A, Ojeda Matías, Manuel R, Alfonso Hernández, Maria C.","Revista Archivo Médico de Camagüey; 18(2); 226-239","Revista Archivo Médico de Camagüey","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552014000200009&lang=pt" 
"S1025-02552014000200008-cub","Larva migrans cutánea: reporte de cuatro casos","Pérez Ruch, Melvis Vivian, Rodríguez Fernández, Olga María, Barceló Reyes, Belkis Margarita, Sanchén Casas, Alexis","Revista Archivo Médico de Camagüey; 18(2); 218-225","Revista Archivo Médico de Camagüey","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552014000200008&lang=pt" 
"S1025-02552014000200001-cub","Reconocimiento a los revisores de la Revista Archivo Médico de Camagüey, año 2013","Consejo, Editorial","Revista Archivo Médico de Camagüey; 18(2); 161-163","Revista Archivo Médico de Camagüey","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552014000200001&lang=pt" 
"S1025-02552014000200003-cub","Resultados del tratamiento antimicrobiano secuencial en los niños con apendicitis aguda complicada","Bueno Rodríguez, José Carlos, Hernández Moore, Elizabeth, Castelló González, Mauro, Aguilar Atanay, Dayamnelis","Revista Archivo Médico de Camagüey; 18(2); 167-179","Revista Archivo Médico de Camagüey","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552014000200003&lang=pt" 
