"S0103-863X2014000100049-scl","Sources and Reactions to Stress in Brazilian Lawyers","Costa, Maria de Fátima Antunes Alves, Ferreira, Maria Cristina","Paidéia (Ribeirão Preto); 24(57); 49-56","Paidéia (Ribeirão Preto)","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-863X2014000100049&lang=pt" 
"S0103-863X2014000100085-scl","Executive Functions in Children and Adolescents With Autism Spectrum Disorder","Czermainski, Fernanda Rasch, Riesgo, Rudimar dos Santos, Guimarães, Luciano Santos Pinto, Salles, Jerusa Fumagalli de, Bosa, Cleonice Alves","Paidéia (Ribeirão Preto); 24(57); 85-94","Paidéia (Ribeirão Preto)","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-863X2014000100085&lang=pt" 
"S1516-35982014000400212-scl","Effect of unsaturated fatty acid supplementation on digestion, metabolism and nutrient balance in dairy cows during the transition period and early lactation","Rennó, Francisco Palma, Freitas Júnior, José Esler de, Gandra, Jefferson Rodrigues, Maturana Filho, Milton, Verdurico, Lenita Camargo, Rennó, Luciana Navajás, Barletta, Rafael Villela, Vilela, Flávio Garcia","Revista Brasileira de Zootecnia; 43(4); 212-223","Revista Brasileira de Zootecnia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982014000400212&lang=pt" 
"S1516-35982014000400197-scl","Effects of phenolic compounds in propolis on digestive and ruminal parameters in dairy cows","Aguiar, Sílvia Cristina de, Paula, Eduardo Marostegan de, Yoshimura, Emerson Henri, Santos, Wallacy Barbacena Rosa dos, Machado, Erica, Valero, Maribel Velandia, Santos, Geraldo Tadeu dos, Zeoula, Lucia Maria","Revista Brasileira de Zootecnia; 43(4); 197-206","Revista Brasileira de Zootecnia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982014000400197&lang=pt" 
"S0103-863X2014000100105-scl","Love and Marital Quality in Romantic Relationships Mediated and Non-Mediated by Internet","Haack, Karla Rafaela, Falcke, Denise","Paidéia (Ribeirão Preto); 24(57); 105-113","Paidéia (Ribeirão Preto)","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-863X2014000100105&lang=pt" 
"S0103-863X2014000100029-scl","Cattell’s Personality Factor Questionnaire (CPFQ): Development and Preliminary Study","Primi, Ricardo, Ferreira-Rodrigues, Carla Fernanda, Carvalho, Lucas de Francisco","Paidéia (Ribeirão Preto); 24(57); 29-37","Paidéia (Ribeirão Preto)","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-863X2014000100029&lang=pt" 
"S1516-35982014000400207-scl","Effect of different concentrations of dietary safflower seed on milk yield and some rumen and blood parameters at the end stage of lactation in dairy cows","Oguz, Mustafa Numan, Oguz, Fatma Karakas, Buyukoglu, Tulay Ileri","Revista Brasileira de Zootecnia; 43(4); 207-211","Revista Brasileira de Zootecnia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982014000400207&lang=pt" 
"S1516-35982014000400161-scl","Chemical-nutritional composition of maniçoba (Manihot sp.) and its relationship with soil chemical characteristics","Andrade, Alexandro Pereira, Andrade, Alberício Pereira de, Silva, Divan Soares da, Santos, Edson Mauro, Silva, Ivandro de França da, Rêgo, Elizanilda Ramalho do, Bruno, Riselane de Lucena Alcântara","Revista Brasileira de Zootecnia; 43(4); 161-168","Revista Brasileira de Zootecnia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982014000400161&lang=pt" 
"S1516-35982014000400169-scl","Evaluation of sugarcane laboratory ensiling and analysis techniques","Pedroso, André de Faria, Pedroso, Alexandre Mendonça, Barioni Júnior, Waldomiro, Souza, Gilberto Batista de","Revista Brasileira de Zootecnia; 43(4); 169-174","Revista Brasileira de Zootecnia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982014000400169&lang=pt" 
"S1676-24442014000200144-scl","Clinical and histopathological evaluation and habits associated with the onset of oral leukoplakia and erythroplakia","Queiroz, Salomão Israel Monteiro Lourenço, Medeiros, Ana Miryam Costa de, Silva, José Sandro Pereira da, Silveira, Éricka Janine Dantas da","Jornal Brasileiro de Patologia e Medicina Laboratorial; 50(2); 144-149","Jornal Brasileiro de Patologia e Medicina Laboratorial","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442014000200144&lang=pt" 
"S1676-24442014000200159-scl","Osseous metaplasia in gliosarcoma: an unusual histologic finding. Case report","Cambruzzi, Eduardo, Pêgas, Karla Lais","Jornal Brasileiro de Patologia e Medicina Laboratorial; 50(2); 159-164","Jornal Brasileiro de Patologia e Medicina Laboratorial","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442014000200159&lang=pt" 
