"S1516-05722014000100015-scl","Effects of Euphorbia milii latex on mitogen-induced lymphocyte proliferation","Delgado, I.F., Paumgartten, F.J.R.","Revista Brasileira de Plantas Medicinais; 16(1); 107-111","Revista Brasileira de Plantas Medicinais","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722014000100015&lang=pt" 
"S0100-29452014000100025-scl","Repetibilidade da produção, número e peso de fruto em cirigueleira (Spondias purpurea L.)","Lira Júnior, José Severino de, Bezerra, Joäo Emmanoel Fernandes, Moura, Roberto José Mello de, Santos, Venézio Felipe dos","Revista Brasileira de Fruticultura; 36(1); 214-220","Revista Brasileira de Fruticultura","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452014000100025&lang=pt" 
"S1516-05722014000100008-scl","Produtividade e qualidade do óleo essencial de capim-limão, Cymbopogon citratus, DC., submetido a diferentes lâminas de irrigação","Pinto, D.A., Mantovani, E.C., Melo, E. de C., Sediyama, G.C., Vieira, G.H.S.","Revista Brasileira de Plantas Medicinais; 16(1); 54-61","Revista Brasileira de Plantas Medicinais","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722014000100008&lang=pt" 
"S1516-05722014000100003-scl","Caracterização química e atividade antibacteriana de óleos essenciais de plantas condimentares e medicinais contra Staphylococcus aureus e Escherichia coli","Millezi, A.F., Baptista, N.N., Caixeta, D.S., Rossoni, D.F., Cardoso, M.G., Piccoli, R.H.","Revista Brasileira de Plantas Medicinais; 16(1); 18-24","Revista Brasileira de Plantas Medicinais","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722014000100003&lang=pt" 
"S1516-05722014000100002-scl","Desenvolvimento de mudas de manjericão (Ocimum basilicum L.)em função do recipiente e do tipo e densidade de substratos","Maggioni, M.S., Rosa, C.B.C.J., Rosa Junior, E.J., Silva, E.F., Rosa, Y.B.C.J., Scalon, S.P.Q., Vasconcelos, A.A.","Revista Brasileira de Plantas Medicinais; 16(1); 10-17","Revista Brasileira de Plantas Medicinais","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722014000100002&lang=pt" 
"S1516-05722014000100005-scl","Levantamento sobre o uso de plantas medicinais com a terapêutica anticâncer por pacientes da Unidade Oncológica de Anápolis","Oliveira, L.A.R., Machado, R.D., Rodrigues, A.J.L.","Revista Brasileira de Plantas Medicinais; 16(1); 32-40","Revista Brasileira de Plantas Medicinais","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722014000100005&lang=pt" 
"S1516-05722014000100004-scl","Propagação vegetativa de Aloysia triphylla (L&#039;Hér.) Britton em função da concentração de AIB e do comprimento das estacas","Paulus, D, Valmorbida, R, Toffoli, E, Paulus, E","Revista Brasileira de Plantas Medicinais; 16(1); 25-31","Revista Brasileira de Plantas Medicinais","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722014000100004&lang=pt" 
"S1516-05722014000100007-scl","Influência de diferentes concentrações dos fitorreguladores ácido 6-benzilaminopurina e ácido naftalenoacético na propagação vegetativa de Malva sylvestris L.","Filter, M., Freitas, E.M. De, Périco, E.","Revista Brasileira de Plantas Medicinais; 16(1); 47-53","Revista Brasileira de Plantas Medicinais","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722014000100007&lang=pt" 
"S1516-05722014000100006-scl","Effects of extraction methods of phenolic compounds from Xanthium strumarium L. and their antioxidant activity","Scherer, R., Godoy, HT.","Revista Brasileira de Plantas Medicinais; 16(1); 41-46","Revista Brasileira de Plantas Medicinais","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722014000100006&lang=pt" 
"S1516-05722014000100010-scl","Influência da adubação com nitrogênio e fósforo na produção de Jambu, Acmella oleracea (L) R.K. Jansen","Rodrigues, D.S., Camargo, M.S., Nomura, E.S., Garcia, V.A., Correa, J.N., Vidal, T.C.M.","Revista Brasileira de Plantas Medicinais; 16(1); 71-76","Revista Brasileira de Plantas Medicinais","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722014000100010&lang=pt" 
"S1516-05722014000100014-scl","Physiological indexese macro- and micronutrients in plant tissue and essential oil of Mentha piperita L. grown in nutrient solution with variation in N, P, K and Mg levels","David, E.F.S., Mischan, M.M., Marques, M.O.M., Boaro, C.S.F.","Revista Brasileira de Plantas Medicinais; 16(1); 97-106","Revista Brasileira de Plantas Medicinais","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722014000100014&lang=pt" 
