"S1516-89132014000100018-scl","Plant cells in the context of climate change","Machado, Marcelo Rubens","Brazilian Archives of Biology and Technology; 57(1); 126-137","Brazilian Archives of Biology and Technology","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132014000100018&lang=pt" 
"S1516-89132014000100015-scl","Comparison of fatty acid content of fresh and frozen fillets of rainbow trout (Oncorhynchus mykiss) Walbaum","Chávez-Mendoza, Celia, García-Macías, José Arturo, Alarcón-Rojo, Alma Delia, Ortega-Gutiérrez, Juan Ángel, Holguín-Licón, Celia, Corral-Flores, Gabriela","Brazilian Archives of Biology and Technology; 57(1); 103-109","Brazilian Archives of Biology and Technology","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132014000100015&lang=pt" 
"S1516-89132014000100011-scl","Molecular characteristics, recombinant expression and activity detection of OsGSTL1 from rice","Hu, Tingzhang, Yang, Yongwei, Tan, Lili, Yang, Junnian, Wu, Yingmei","Brazilian Archives of Biology and Technology; 57(1); 70-76","Brazilian Archives of Biology and Technology","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132014000100011&lang=pt" 
"S1516-89132014000100010-scl","Isolation of new steroids of Kala Dhaman grass (Cenchrus setigerus) and evaluation of their bioactivity","Singariya, Premlata, Kumar, Padma, Mourya, Krishan Kumar","Brazilian Archives of Biology and Technology; 57(1); 62-69","Brazilian Archives of Biology and Technology","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132014000100010&lang=pt" 
"S1807-59322014000200106-scl","Factors associated with thrombocytopenia in severe leptospirosis (Weil&#039;s disease)","Daher, Elizabeth F., Silva, Geraldo B., Silveira, Charles O., Falcao, Felipe S., Alves, Marilia P., Mota, Jorio A.A.A., Lima, Joyce B., Mota, Rosa M.S., Vieira, Ana Patricia F., Pires, Roberto da Justa, Liborio, Alexandre B.","Clinics; 69(2); 106-110","Clinics","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322014000200106&lang=pt" 
"S1807-59322014000200101-scl","Randomized trial - oxybutynin for treatment of persistent plantar hyperhidrosis in women after sympathectomy","Costa Jr, Altair da Silva, Leao, Luiz Eduardo Villaca, Succi, Jose Ernesto, Perfeito, Joao Alessio Juliano, Castelo Filho, Adauto, Rymkiewicz, Erika, Aurelio Marchetti Filho, Marco","Clinics; 69(2); 101-105","Clinics","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322014000200101&lang=pt" 
"S1807-59322014000200128-scl","Effect of the systemic administration of methylprednisolone on the lungs of brain-dead donor rats undergoing pulmonary transplantation","Araujo, Luiz Felipe Lopes, Holand, Arthur Rodrigo Ronconi, Paludo, Artur de Oliveira, Silva, Everton Franco, Forgiarini, Luiz Alberto, Forgiarini, Luiz Felipe, Barbachan e Silva, Mariel, Andrade, Cristiano Feijo","Clinics; 69(2); 128-133","Clinics","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322014000200128&lang=pt" 
"S1807-59322014000200152-scl","What is the ethnicity-specific impact of genetic polymorphisms on the response to hepatitis C treatment in an admixed population of Brazilian patients?","Keshvari, Maryam, Alavian, Seyed Moayed, Sharafi, Heidar","Clinics; 69(2); 152-152","Clinics","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322014000200152&lang=pt" 
"S1807-59322014000200150-scl","Percutaneous closure of traumatic ventricular septal defects: device selection and reasoning","Zhu, Jian, Xi, Er-Ping, Zhu, Shui-Bo","Clinics; 69(2); 150-151","Clinics","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322014000200150&lang=pt" 
"S1807-59322014000200145-scl","Effect of candesartan on the expression of sclera-choroidal intercellular adhesion molecule-1 in hypercholesterolemic models","Torres, Rogil Jose de Almeida, Luchini, Andrea, Torres, Regiane do Rocio de Almeida, Oliveira, Luciano Rodrigo Silva de, Torres, Caroline Luzia de Almeida, Torres, Robson Antonio de Almeida, Olandoski, Marcia, Nagashima, Seigo, Noronha, Lucia de, Precoma, Dalton Bertolim","Clinics; 69(2); 145-149","Clinics","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322014000200145&lang=pt" 
"S1807-59322014000200087-scl","Can Doppler or contrast-enhanced ultrasound analysis add diagnostically important information about the nature of breast lesions?","Stanzani, Daniela, Chala, Luciano F., Barros, Nestor de, Cerri, Giovanni G., Chammas, Maria Cristina","Clinics; 69(2); 87-92","Clinics","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322014000200087&lang=pt" 
"S1807-59322014000200093-scl","Is painless synovitis different from painful synovitis? A controlled, ultrasound, radiographic, clinical trial","Pereira, Daniele Freitas, Natour, Jamil, Buosi, Ana Leticia Pirozzi de, Ferreira, Fernando Bernardes Maia Diniz, Fernandes, Artur da Rocha Correa, Furtado, Rita Nely Vilar","Clinics; 69(2); 93-100","Clinics","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322014000200093&lang=pt" 
"S1807-59322014000200075-scl","Nanostructured transdermal hormone replacement therapy for relieving menopausal symptoms: a confocal Raman spectroscopy study","Botelho, Marco Antonio, Queiroz, Dinalva Brito, Barros, Gisele, Guerreiro, Stela, Fechine, Pierre, Umbelino, Sonia, Lyra, Arao, Borges, Boniek, Freitas, Allan, Queiroz, Danilo Caldas de, Ruela, Ronaldo, Almeida, Jackson Guedes, Quintans Jr., Lucindo","Clinics; 69(2); 75-82","Clinics","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322014000200075&lang=pt" 
"S1807-59322014000200134-scl","Ethyl-p-methoxycinnamate isolated from kaempferia galanga inhibits inflammation by suppressing interleukin-1, tumor necrosis factor-α, and angiogenesis by blocking endothelial functions","Umar, Muhammad Ihtisham, Asmawi, Mohd Zaini, Sadikun, Amirin, Majid, Amin Malik Shah Abdul, Al-Suede, Fouad Saleih R., Hassan, Loiy Elsir Ahmed, Altaf, Rabia, Ahamed, Mohamed B. Khadeer","Clinics; 69(2); 134-144","Clinics","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322014000200134&lang=pt" 
"S1807-59322014000200111-scl","Genistein-induced fluid accumulation in ovariectomised rats&#039; uteri is associated with increased cystic fibrosis transmembrane regulator expression","Chinigarzadeh, Asma, Kassim, Normadiah M., Muniandy, Sekaran, Salleh, Naguib","Clinics; 69(2); 111-119","Clinics","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322014000200111&lang=pt" 
"S1982-56762014000100010-scl","Bitter gourd little leaf disease associated to &#039;Candidatus Phytoplasma asteris&#039;","Win, Nang Kyu Kyu, Kim, Young-Hwan, Jung, Hee-Young","Tropical Plant Pathology; 39(1); 82-88","Tropical Plant Pathology","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-56762014000100010&lang=pt" 
"S1982-56762014000100011-scl","Reappraisal of the black mildews (Meliolales) on Hevea brasiliensis","Pinho, Danilo B., Honorato Junior, Jaime, Firmino, André L., Hora Junior, Braz T., Mizubuti, Eduardo S. G., Pereira, Olinto L.","Tropical Plant Pathology; 39(1); 89-94","Tropical Plant Pathology","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-56762014000100011&lang=pt" 
"S1982-56762014000100012-scl","Evaluation of a cotton germplasm collection against Fusarium wilt race 3 isolates from Egypt","Abd-Elsalam, Kamel A., Omar, Moawad R., Asran-Amal, Abdelmogny, Mansour, Mahmoud T., Aly, Aly Abd El-Hady","Tropical Plant Pathology; 39(1); 95-103","Tropical Plant Pathology","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-56762014000100012&lang=pt" 
"S1982-56762014000100013-scl","Genetic diversity studies of Papaya meleira virus","Daltro, Cleidiane B., Abreu, Emanuel Felipe Medeiros, Aragão, Francisco Jose Lima, Andrade, Eduardo C.","Tropical Plant Pathology; 39(1); 104-108","Tropical Plant Pathology","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-56762014000100013&lang=pt" 
"S0004-282X2014000200174-scl","Correction","","Arquivos de Neuro-Psiquiatria; 72(2); 174-174","Arquivos de Neuro-Psiquiatria","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2014000200174&lang=pt" 
"S0004-27302014000100009-scl","Challenges and pitfalls in the diagnosis of hyperprolactinemia","Vilar, Lucio, Fleseriu, Maria, Bronstein, Marcello D.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 58(1); 9-22","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302014000100009&lang=pt" 
"S0004-27302014000100030-scl","The value of red blood cell distribution width in subclinical hypothyroidism","Yu, Hea Min, Park, Kang Seo, Lee, Jae Min","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 58(1); 30-36","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302014000100030&lang=pt" 
"S0004-27302014000100068-scl","Ovarian Leydig cell tumor in a post-menopausal patient with severe hyperandrogenism","Souto, Selma B., Baptista, Pedro V., Braga, Daniel C., Carvalho, Davide","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 58(1); 68-75","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302014000100068&lang=pt" 
"S0004-282X2014000200119-scl","Misdiagnosis of hemifacial spasm is a frequent event in the primary care setting","Martinez, Alberto R. M., Nunes, Marcelo B., Immich, Nayara D., Piovesana, Luiza, França Jr, Marcondes, Campos, Lidiane S., D?Abreu, Anelyssa","Arquivos de Neuro-Psiquiatria; 72(2); 119-122","Arquivos de Neuro-Psiquiatria","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2014000200119&lang=pt" 
"S0004-282X2014000200099-scl","Temporo-mandibular disorders are an important comorbidity of migraine and may be clinically difficult to distinguish them from tension-type headache","Silva Júnior, Ariovaldo Alberto da, Brandão, Karina Viana, Faleiros, Bruno Engler, Tavares, Rafael Mattos, Lara, Rodrigo Pinto, Januzzi, Eduardo, Carvalho, Anísio Bueno de, Carvalho, Eliane Maria Duarte de, Gomes, João Bosco Lima, Leite, Frederico Mota Gonçalves, Alves, Betania Mara Franco, Gómez, Rodrigo Santiago, Teixeira, Antônio Lúcio","Arquivos de Neuro-Psiquiatria; 72(2); 99-103","Arquivos de Neuro-Psiquiatria","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2014000200099&lang=pt" 
"S0004-27302014000100085-scl","Thyroid function and autoimmunity in HIV-infected women","Wiwanitkit, Viroj","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 58(1); 85-85","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302014000100085&lang=pt" 
"S0004-27302014000100086-scl","Evaluation of thyroid function and autoimmunity in HIV-infected women","Carvalho, Leiliane Gonçalves de, Teixeira, Patrícia de Fátima dos Santos, Panico, Ana Luiza Brandão Galotti, Cohen, Marcela Vaisberg, Pinheiro, Maria Fernanda Miguens Castelar, Barroso, Paulo Feijó, Vaisman, Mário","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 58(1); 86-86","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302014000100086&lang=pt" 
"S0004-27302014000100083-scl","Preproghrelin polymorphism Q90L (rs4684677) in gestational diabetes","Rocha, Rafaela Andrade, Frigeri, Henrique Ravanhol, Santos-Weiss, Izabella Castilhos Ribeiro dos, Réa, Rosângela Roginski, Souza, Emanuel Maltempi de, Rego, Fabiane Gomes de Moraes, Picheth, Geraldo","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 58(1); 83-84","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302014000100083&lang=pt" 
"S0004-282X2014000200157-scl","Nutritional care in motor neurone disease/ amyotrophic lateral sclerosis","Salvioni, Cristina Cleide dos Santos, Stanich, Patricia, Almeida, Claudinéa S., Oliveira, Acary Souza Bulle","Arquivos de Neuro-Psiquiatria; 72(2); 157-163","Arquivos de Neuro-Psiquiatria","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2014000200157&lang=pt" 
"S0004-282X2014000200107-scl","Cervical dystonia: about familial and sporadic cases in 88 patients","Camargo, Carlos Henrique F., Camargos, Sarah Teixeira, Becker, Nilson, Munhoz, Renato Puppi, Raskin, Salmo, Cardoso, Francisco Eduardo C., Teive, Hélio Afonso G.","Arquivos de Neuro-Psiquiatria; 72(2); 107-113","Arquivos de Neuro-Psiquiatria","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2014000200107&lang=pt" 
"S0004-282X2014000200104-scl","The prevalence of multiple sclerosis in Santa Maria, Rio Grande do Sul, Brazil","Finkelsztejn, Alessandro, Lopes, Juarez Silva, Noal, Janaína, Finkelsztejn, Juliana M.","Arquivos de Neuro-Psiquiatria; 72(2); 104-106","Arquivos de Neuro-Psiquiatria","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2014000200104&lang=pt" 
"S0004-282X2014000200170-scl","Tethered cord syndrome resembling Charcot-Marie-Tooth disease in closed spinal dysraphism","Souza, Paulo Victor Sgobbi de, Pedroso, José Luiz, Pinto, Wladimir Bocca Vieira de Rezende, Barsottini, Orlando G. P., Oliveira, Acary Souza B.","Arquivos de Neuro-Psiquiatria; 72(2); 170-171","Arquivos de Neuro-Psiquiatria","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2014000200170&lang=pt" 
"S0004-27302014000100076-scl","Spontaneous remission of acromegaly: apoplexy mimicking meningitis or meningitis as a cause of apoplexy?","Villar-Taibo, Rocío, Ballesteros-Pomar, María D., Vidal-Casariego, Alfonso, Álvarez-San Martín, Rosa M., Kyriakos, Georgios, Cano-Rodríguez, Isidoro","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 58(1); 76-80","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302014000100076&lang=pt" 
"S0004-282X2014000200089-scl","Improvement and innovation in neurosurgery","Sendeski, Mauricio","Arquivos de Neuro-Psiquiatria; 72(2); 89-90","Arquivos de Neuro-Psiquiatria","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2014000200089&lang=pt" 
"S0004-282X2014000200114-scl","Intra- and interobserver agreement in the diagnosis of malocclusion in sleep-disordered breathing","Carvalho, Fernando Rodrigues, Lentini-Oliveira, Débora Aparecida, Carvalho, Graziele Maria Missiano, Singer, Julio Motta, Prado, Lucila Bizari Fernandes, Prado, Gilmar Fernandes, Carvalho, Luciane Bizari Coin","Arquivos de Neuro-Psiquiatria; 72(2); 114-118","Arquivos de Neuro-Psiquiatria","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2014000200114&lang=pt" 
"S0004-27302014000100023-scl","Comparison between the growth response to growth hormone (GH) therapy in children with partial GH insensitivity or mild GH deficiency","Cardoso, Daniela F., Martinelli Jr., Carlos Eduardo, Campos, Viviane C., Gomes, Elenilde S., Rocha, Ívina E. S., Oliveira, Carla R. P., Vicente, Taisa A. R., Pereira, Rossana M. C., Pereira, Francisco A., Cartaxo, Carla K. A., Milani, Soraya L. S., Oliveira, Mario C. P., Melo, Enaldo V., Oliveira, Andre L. P., Aguiar-Oliveira, Manuel H.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 58(1); 23-29","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302014000100023&lang=pt" 
"S0004-27302014000100062-scl","Evaluation of effectiveness and outcome of PKU screening and management in the State of Sergipe, Brazil","Ramalho, Antônio R. O., Ramalho, Roberto J. R., Oliveira, Carla R. P., Magalhães, Marta M. G. S., Santos, Elenilde G., Sarmento, Polyana M. P., Matos, Diana O., Oliveira, Mario C. P., Oliveira, André L. P., Aguiar-Oliveira, Manuel H.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 58(1); 62-67","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302014000100062&lang=pt" 
"S0004-282X2014000200136-scl","Maternal high-fat diet during pregnancy or lactation changes the somatic and neurological development of the offspring","Mendes-da-Silva, Cristiano, Giriko, Catherine Ássuka, Mennitti, Laís Vales, Hosoume, Lilian Fazion, Souto, Tayane dos Santos, Silva, Alexandre Valotta da","Arquivos de Neuro-Psiquiatria; 72(2); 136-144","Arquivos de Neuro-Psiquiatria","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2014000200136&lang=pt" 
"S0004-282X2014000200164-scl","Sleep Forensics: a critical review of the literature and brief comments on the Brazilian legal situation","Delgado-Rodrigues, Raimundo Nonato, Allen, Alexander N., Santos, Leandro Galuzzi dos, Schenck, Carlos H.","Arquivos de Neuro-Psiquiatria; 72(2); 164-169","Arquivos de Neuro-Psiquiatria","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2014000200164&lang=pt" 
"S0004-27302014000100042-scl","Impact of metformin treatment and swimming exercise on visfatin levels in high-fat-induced obesity rats","Gao, Ya, Wang, Changjiang, Pan, Tianrong, Luo, Li","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 58(1); 42-47","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302014000100042&lang=pt" 
"S0004-27302014000100081-scl","Inibição da lipólise como alvo terapêutico na síndrome metabólica","Caminhotto, Rennan de Oliveira, Campaña, Amanda Baron, Lima, Fabio Bessa","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 58(1); 81-82","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302014000100081&lang=pt" 
"S0004-27302014000100071-scl","Hiperinsulinismo endógeno: dois desafios diagnósticos","Gonçalves, Ana Pires, Baptista, Fernando, Nobre, Ema, Carmo, Isabel do","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 58(1); 71-75","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302014000100071&lang=pt" 
"S0004-282X2014000200173-scl","Neuromyelitis optica of very late onset: one more case","Amorim, Tiberio Araujo, Rocha Filho, Pedro Augusto Sampaio","Arquivos de Neuro-Psiquiatria; 72(2); 173-173","Arquivos de Neuro-Psiquiatria","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2014000200173&lang=pt" 
"S0004-282X2014000200145-scl","Pretemporal craniotomy","Chaddad-Neto, Feres, Dória-Netto, Hugo Leonardo, Campos Filho, José Maria, Reghin Neto, Mateus, Oliveira, Evandro","Arquivos de Neuro-Psiquiatria; 72(2); 145-151","Arquivos de Neuro-Psiquiatria","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2014000200145&lang=pt" 
"S0004-282X2014000200172-scl","Neuropsychiatric problems due to oseltamivir treatment in H7N9 bird flu","Wiwanitkit, Viroj","Arquivos de Neuro-Psiquiatria; 72(2); 172-172","Arquivos de Neuro-Psiquiatria","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2014000200172&lang=pt" 
"S0100-69162014000100004-scl","Teores de micronutrientes no solo e foliar com aplicação de fontes quelatadas e sulfatadas em feijão","Silva, Adriane de A., Couto Junior, Pedro A., Lana, Angela M. Q., Lana, Regina M. Q.","Engenharia Agrícola; 34(1); 28-37","Engenharia Agrícola","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162014000100004&lang=pt" 
"S0100-69162014000100005-scl","Comparação entre métodos de estimativa da evapotranspiração de referência (ETo) em regiões citrícolas paulistas","Palaretti, Luiz F., Mantovani, Everardo C., Sediyama, Gilberto C.","Engenharia Agrícola; 34(1); 38-47","Engenharia Agrícola","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162014000100005&lang=pt" 
"S0100-69162014000100007-scl","Soil chiseling and fertilizer location in sugarcane ratoon cultivation","Bianchini, Aloisio, Valadão Junior, Daniel D., Rosa, Rodrigo P., Colhado, Frederick, Daros, Rodrigo F.","Engenharia Agrícola; 34(1); 57-65","Engenharia Agrícola","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162014000100007&lang=pt" 
