"S1517-83822016000300658-scl","Production of mycelial biomass by the Amazonian edible mushroom Pleurotus albidus","Kirsch, Larissa de Souza, Macedo, Ana Júlia Porto de, Teixeira, Maria Francisca Simas","Brazilian Journal of Microbiology; 47(3); 658-664","Brazilian Journal of Microbiology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822016000300658&lang=pt" 
"S1517-83822016000300749-scl","Performance of two alternative methods for Listeria detection throughout Serro Minas cheese ripening","Mata, Gardênia Márcia Silva Campos, Martins, Evandro, Machado, Solimar Gonçalves, Pinto, Maximiliano Soares, Carvalho, Antônio Fernandes de, Vanetti, Maria Cristina Dantas","Brazilian Journal of Microbiology; 47(3); 749-756","Brazilian Journal of Microbiology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822016000300749&lang=pt" 
"S1517-83822016000300724-scl","Caliciviruses in hospitalized children, São Luís, Maranhão, 1997-1999: detection of norovirus GII.12","Portal, Thayara Morais, Siqueira, Jones Anderson Monteiro, Costa, Larissa Cristina Prado das Neves, Lima, Ian Carlos Gomes de, Lucena, Maria Silvia Sousa de, Bandeira, Renato da Silva, Linhares, Alexandre da Costa, Luz, Claudia Regina Nunes Eloi da, Gabbay, Yvone Benchimol, Resque, Hugo Reis","Brazilian Journal of Microbiology; 47(3); 724-730","Brazilian Journal of Microbiology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822016000300724&lang=pt" 
"S1517-83822016000300587-scl","Effect of plant growth-promoting bacteria on the growth and fructan production of Agave americana L.","De La Torre-Ruiz, Neyser, Ruiz-Valdiviezo, Víctor Manuel, Rincón-Molina, Clara Ivette, Rodríguez-Mendiola, Martha, Arias-Castro, Carlos, Gutiérrez-Miceli, Federico Antonio, Palomeque-Dominguez, Héctor, Rincón-Rosales, Reiner","Brazilian Journal of Microbiology; 47(3); 587-596","Brazilian Journal of Microbiology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822016000300587&lang=pt" 
"S1517-83822016000300712-scl","Evaluation of bacterial diversity recovered from petroleum samples using different physical matrices","Dellagnezze, Bruna Martins, Vasconcellos, Suzan Pantaroto de, Melo, Itamar Soares de, Santos Neto, Eugênio Vaz dos, Oliveira, Valéria Maia de","Brazilian Journal of Microbiology; 47(3); 712-723","Brazilian Journal of Microbiology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822016000300712&lang=pt" 
"S1517-83822016000300703-scl","Contamination of environmental surfaces by methicillin-resistant Staphylococcus aureus (MRSA) in rooms of inpatients with MRSA-positive body sites","Kurashige, E. Jessica Ohashi, Oie, Shigeharu, Furukawa, H.","Brazilian Journal of Microbiology; 47(3); 703-705","Brazilian Journal of Microbiology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822016000300703&lang=pt" 
"S1517-83822016000300691-scl","The prevalence of aminoglycoside-modifying enzyme and virulence genes among enterococci with high-level aminoglycoside resistance in Inner Mongolia, China","Niu, Haiying, Yu, Hui, Hu, Tangping, Tian, Gailin, Zhang, Lixia, Guo, Xiang, Hu, Hai, Wang, Zhanli","Brazilian Journal of Microbiology; 47(3); 691-696","Brazilian Journal of Microbiology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822016000300691&lang=pt" 
"S1517-83822016000300603-scl","Streptomyces lunalinharesii 235 prevents the formation of a sulfate-reducing bacterial biofilm","Rosa, Juliana Pacheco da, Tibúrcio, Samyra Raquel Gonçalves, Marques, Joana Montezano, Seldin, Lucy, Coelho, Rosalie Reed Rodrigues","Brazilian Journal of Microbiology; 47(3); 603-609","Brazilian Journal of Microbiology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822016000300603&lang=pt" 
"S1517-83822016000300741-scl","Aminotransferase and glutamate dehydrogenase activities in lactobacilli and streptococci","Peralta, Guillermo Hugo, Bergamini, Carina Viviana, Hynes, Erica Rut","Brazilian Journal of Microbiology; 47(3); 741-748","Brazilian Journal of Microbiology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822016000300741&lang=pt" 
"S0103-05822016000300379-scl","Septic arthritis by Sphingobacterium multivorum in immunocompromised pediatric patient","Mendes, Maiana Darwich, Cavallo, Rafael Ruiz, Carvalhães, Cecilia Helena Vieira Franco Godoy, Ferrarini, Maria Aparecida Gadiani","Revista Paulista de Pediatria; 34(3); 379-383","Revista Paulista de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822016000300379&lang=pt" 
"S0103-05822016000300287-scl","Assessing the nutritional information for children younger than two years old available on popular websites","Monteiro, Gisele da Silva Gomes, Assis, Maíra Macário de, Leite, Maria Alvim, Mendes, Larissa Loures","Revista Paulista de Pediatria; 34(3); 287-292","Revista Paulista de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822016000300287&lang=pt" 
"S2175-78602016000300691-scl","Lycopodiaceae in Brazil. Conspectus of the family II. The genera Lycopodiella, Palhinhaea, and Pseudolycopodiella","Øllgaard, Benjamin, Windisch, Paulo G.","Rodriguésia; 67(3); 691-719","Rodriguésia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-78602016000300691&lang=pt" 
"S2175-78602016000300615-scl","Differences between root and stem wood in seedlings and sprouts of Sessea brasiliensis (Solanaceae)","Longui, Eduardo Luiz, Sonsin, Julia, Santos, Michelle, Arzolla, Frederico Alexandre Roccia Dal Pozzo, Vilela, Francisco Eduardo Silva Pinto, Lima, Israel Luiz de, Florsheim, Sandra Monteiro Borges, Descio, Fernando","Rodriguésia; 67(3); 615-626","Rodriguésia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-78602016000300615&lang=pt" 
"S2175-78602016000300823-scl","O clado Merianthera e as tribos Merianieae e Microliceae (Melastomataceae) na Serra Negra, Minas Gerais","Justino, Luciana Leitão, Salimena, Fátima Regina Gonçalves, Chiavegatto, Berenice, Menini Neto, Luiz","Rodriguésia; 67(3); 823-838","Rodriguésia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-78602016000300823&lang=pt" 
"S2175-78602016000300553-scl","Composição florística das epífitas vasculares em duas fisionomias vegetais no município de Botucatu, estado de São Paulo, Brasil","Marcusso, Gabriel Mendes, Monteiro, Reinaldo","Rodriguésia; 67(3); 553-569","Rodriguésia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-78602016000300553&lang=pt" 
"S2175-78602016000300583-scl","Vascular epiphytes on Pseudobombax (Malvaceae) in rocky outcrops (inselbergs) in Brazilian Atlantic Rainforest: basis for conservation of a threatened ecosystem","Couto, Dayvid Rodrigues, Dias, Henrique Machado, Pereira, Mirian Cristina Alvarez, Fraga, Cláudio Nicoletti de, Pezzopane, José Eduardo Macedo","Rodriguésia; 67(3); 583-601","Rodriguésia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-78602016000300583&lang=pt" 
"S1517-97022016000300713-scl","Professores de educação infantil e temas sobre inclusão de crianças com deficiência no ensino regular","Carvalho, Alexandre Freitas, Coelho, Vitor Antonio Cerignoni, Tolocka, Rute Estanislava","Educação e Pesquisa; 42(3); 713-726","Educação e Pesquisa","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022016000300713&lang=pt" 
"S2175-78602016000300603-scl","Efeitos da fragmentação na fenologia reprodutiva de espécies arbóreas presentes em borda e interior de Mata Atlântica Paraibana","Fortunato, Márcia Emanuelle Madruga, Quirino, Zelma Glebya Maciel","Rodriguésia; 67(3); 603-614","Rodriguésia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-78602016000300603&lang=pt" 
"S0104-59702016000300669-scl","An eighteenth century travelling theodolite","Malaquias, Isabel","História, Ciências, Saúde-Manguinhos; 23(3); 669-681","História, Ciências, Saúde-Manguinhos","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702016000300669&lang=pt" 
"S0104-59702016000300683-scl","Organização da especialidade médica e controle do câncer do colo do útero no Brasil: o Instituto de Ginecologia do Rio de Janeiro em meados do século XX","Lana, Vanessa","História, Ciências, Saúde-Manguinhos; 23(3); 683-701","História, Ciências, Saúde-Manguinhos","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702016000300683&lang=pt" 
"S0104-59702016000300719-scl","A clausura enferma: petições para a saída do Convento da Ajuda no Rio de Janeiro para tratamento de doenças contagiosas, c.1750-1780","Martins, William de Souza","História, Ciências, Saúde-Manguinhos; 23(3); 719-732","História, Ciências, Saúde-Manguinhos","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702016000300719&lang=pt" 
"S0104-59702016000300887-scl","Innovación tecnológica y humanitarismo en el traslado de heridos de guerra: el informe de Nicasio Landa sobre un nuevo sistema de suspensión elástica de camillas (Pamplona, 29 mayo 1875)","Arrizabalaga, Jon, García-Reyes, Juan Carlos","História, Ciências, Saúde-Manguinhos; 23(3); 887-897","História, Ciências, Saúde-Manguinhos","Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702016000300887&lang=pt" 
