"S1692-88572014000100009-col","Mimesis en Platón y Adorno","Escobar Moncada, Jairo","Eidos; (20); 173-220","Eidos","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-88572014000100009&lang=pt" 
"S1692-88572014000100007-col","De Platón para los poetas: crítica, censura y destierro","Pájaro M., Carlos Julio","Eidos; (20); 109-144","Eidos","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-88572014000100007&lang=pt" 
"S0717-34582014000100006-chl","Characterization and properties of the biosurfactant produced by Candida lipolytica UCP 0988","Diniz Rufino, Raquel, Moura de Luna, Juliana, de Campos Takaki, Galba Maria, Asfora Sarubbo, Leonie","Electronic Journal of Biotechnology; 17(1); 6-6","Electronic Journal of Biotechnology","Inglês","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-34582014000100006&lang=pt" 
"S0717-34582014000100007-chl","Characterization of residual oils for biodiesel production","Canesin, Edmilson Antonio, de Oliveira, Cláudio Celestino, Matsushita, Makoto, Felicidade Dias, Lucia, Reghiany Pedrão, Mayka, Evelazio de Souza, Nilson","Electronic Journal of Biotechnology; 17(1); 7-7","Electronic Journal of Biotechnology","Inglês","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-34582014000100007&lang=pt" 
"S0717-34582014000100004-chl","Effects of 5-aminolevulinic acid (ALA)-containing supernatants from selected Rhodopseudomonas palustris strains on rice growth under NaCl stress, with mediating effects on chlorophyll, photosynthetic electron transport and antioxidative enzymes","Nunkaew, Tomorn, Kantachote, Duangporn, Kanzaki, Hiroshi, Nitoda, Teruhiko, Ritchie, Raymond J","Electronic Journal of Biotechnology; 17(1); 4-4","Electronic Journal of Biotechnology","Inglês","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-34582014000100004&lang=pt" 
"S0717-34582014000100005-chl","The molecular diversity analysis of Auricularia auricula-judae in China by nuclear ribosomal DNA intergenic spacer","Li, Li, Zhong, Cai-hong, Bian, Yin-bing","Electronic Journal of Biotechnology; 17(1); 5-5","Electronic Journal of Biotechnology","Inglês","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-34582014000100005&lang=pt" 
"S0717-34582014000100002-chl","Segregation distortion in homozygous lines obtained via anther culture and maize doubled haploid methods in comparison to single seed descent in wheat (Triticum aestivum L.)","Adamski, Tadeusz, Krystkowiak, Karolina, Kuczynska, Anetta, Mikolajczak, Krzysztof, Ogrodowicz, Piotr, Ponitka, Aleksandra, Surma, Maria, Slusarkiewicz-Jarzina, Aurelia","Electronic Journal of Biotechnology; 17(1); 2-2","Electronic Journal of Biotechnology","Inglês","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-34582014000100002&lang=pt" 
"S0717-34582014000100003-chl","Production and characterization of algae extract from Chlamydomonas reinhardtii","Kightlinger, Weston, Chen, Kai, Pourmir, Azadeh, Crunkleton, Daniel W, Price, Geoffrey L, Johannes, Tyler W","Electronic Journal of Biotechnology; 17(1); 3-3","Electronic Journal of Biotechnology","Inglês","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-34582014000100003&lang=pt" 
"S0717-34582014000100001-chl","Antibacterial activity of the Antarctic bacterium Janthinobacterium sp: SMN 33.6 against multi-resistant Gram-negative bacteria","Asencio, Geraldine, Lavin, Paris, Alegría, Karen, Domínguez, Mariana, Bello, Helia, González-Rocha, Gerardo, González-Aravena, Marcelo","Electronic Journal of Biotechnology; 17(1); 1-1","Electronic Journal of Biotechnology","Inglês","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-34582014000100001&lang=pt" 
"S0717-34582014000100008-chl","A simple negative selection method to identify adenovirus recombinants using colony PCR","Zhao, Yongliang, Dong, Zongming, Li, Tengfei, Huang, Gang","Electronic Journal of Biotechnology; 17(1); 8-8","Electronic Journal of Biotechnology","Inglês","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-34582014000100008&lang=pt" 
"S0717-34582014000100009-chl","Comparison of different methods for total RNA extraction from sclerotia of Rhizoctonia solani","Shu, Canwei, Sun, Si, Chen, Jieling, Chen, Jianyi, Zhou, Erxun","Electronic Journal of Biotechnology; 17(1); 9-9","Electronic Journal of Biotechnology","Inglês","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-34582014000100009&lang=pt" 
"S0123-77992014000100010-col","Diseño y construcción de una estación de clasificación automática con visión de máquina","Velasco-Delgado, Oscar D., Pérez-Sandoval, María F., Flórez-Marulanda, Juan F.","Tecno Lógicas; 17(32); 97-109","Tecno Lógicas","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-77992014000100010&lang=pt" 
"S0123-77992014000100008-col","Preparación y caracterización de carbón activado a partir de torta de higuerilla","Ospina-Guarín, Viviana M., Buitrago-Sierra, Robison, López-López, Diana P.","Tecno Lógicas; 17(32); 75-84","Tecno Lógicas","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-77992014000100008&lang=pt" 
"S0123-77992014000100009-col","Tendencias en las series de precipitación en dos cuencas torrenciales andinas del Valle del Cauca (Colombia)","Cardona-Guerrero, Faisury, Ávila-Díaz, Álvaro J., Carvajal-Escobar, Yesid, Jiménez-Escobar, Henry","Tecno Lógicas; 17(32); 85-95","Tecno Lógicas","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-77992014000100009&lang=pt" 
"S0123-77992014000100001-col","At source of nanotechnology","Zarzycki, Artur","Tecno Lógicas; 17(32); 09-10","Tecno Lógicas","Inglês","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-77992014000100001&lang=pt" 
