"S0213-12852013000600002-esp","Enucleación de odontoma compuesto maxilar con regeneración ósea guiada","Martínez Martínez, A., Gómez Arcila, V., Luján Pardo, M.P., Flórez de Hoyos, L., Díaz Caballero, A.","Avances en Odontoestomatología; 29(6); 287-292","Avances en Odontoestomatología","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-12852013000600002&lang=pt" 
"S0102-33062013000400004-scl","Pollen morphology of Centaurea L. (Asteraceae) in Iran","Shabestari, Elaheh Sadat Bagheri, Attar, Farideh, Riahi, Hosein, Sheidai, Masoud","Acta Botanica Brasilica; 27(4); 669-679","Acta Botanica Brasilica","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062013000400004&lang=pt" 
"S1806-83242013000600451-scl","Self-plagiarism in scientific journals: an emerging discussion","Rosing, Cassiano Kuchenbecker, Cury, Altair Antoninha Del Bel","Brazilian Oral Research; 27(6); 451-452","Brazilian Oral Research","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242013000600451&lang=pt" 
"S1806-83242013000600453-scl","Oral research in the world today","Bordoni, Noemi","Brazilian Oral Research; 27(6); 453-454","Brazilian Oral Research","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242013000600453&lang=pt" 
"S0102-33062013000400006-scl","Arbuscular mycorrhizal fungi in a semi-arid, limestone mining-impacted area of Brazil","Teixeira-Rios, Thaís, Souza, Renata Gomes de, Maia, Leonor Costa, Oehl, Fritz, Lima, Cláudia Elizabete Pereira","Acta Botanica Brasilica; 27(4); 688-693","Acta Botanica Brasilica","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062013000400006&lang=pt" 
"S0102-33062013000400002-scl","Structure and phytogeographic relationships of swamp forests of Southeast Brazil","Kurtz, Bruno Coutinho, Gomes, Jorge Caruzo, Scarano, Fabio Rubio","Acta Botanica Brasilica; 27(4); 647-660","Acta Botanica Brasilica","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062013000400002&lang=pt" 
"S0102-33062013000400009-scl","Pollen analysis of the post-emergence residue of Melipona (Melikerria) interrupta Latreille (Hymenoptera: Apidae) bred in the central Amazon region","Ferreira, Marcos Gonçalves, Absy, Maria Lúcia","Acta Botanica Brasilica; 27(4); 709-713","Acta Botanica Brasilica","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062013000400009&lang=pt" 
"S0102-33062013000400007-scl","A triangular Eunotia (Bacillariophyceae) in southeastern Brazil: Eunotia trigona sp. nov.","Fuhrmann, André, Metzeltin, Ditmar, Tremarin, Priscila Izabel","Acta Botanica Brasilica; 27(4); 694-697","Acta Botanica Brasilica","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062013000400007&lang=pt" 
"S0102-33062013000400011-scl","Pericarp ontogenesis with emphasis on the dispersal apparatus of three weed species of Faboideae (Fabaceae)","Trzeciak-Limeira, Flavia, Pinto, Daniela Dias, Mourão, Káthia Socorro Mathias","Acta Botanica Brasilica; 27(4); 723-729","Acta Botanica Brasilica","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062013000400011&lang=pt" 
"S0102-33062013000400017-scl","Biostimulation of inoculation with Glomus proliferum and application of humic acid in the in vitro growth of Lunularia cruciata","Nobre, Camila Pinheiro, Huertas, Orlando Carlos Tavares, Tardin, José Rogério Figueira, Saggin Júnior, Orivaldo José, Fonseca, Henrique Manoel Apolónia Coutinho, Berbara, Ricardo Luis Louro","Acta Botanica Brasilica; 27(4); 773-778","Acta Botanica Brasilica","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062013000400017&lang=pt" 
"S0102-33062013000400021-scl","Parmotrema hydrium, a new species of Parmeliaceae in southeastern Brazil","Benatti, Michel Navarro, Gernert, Maria, Schmitt, Imke","Acta Botanica Brasilica; 27(4); 810-814","Acta Botanica Brasilica","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062013000400021&lang=pt" 
"S0102-33062013000400020-scl","Structure and diversity of restingas along a flood gradient in southeastern Brazil","Magnago, Luiz Fernando Silva, Martins, Sebastião Venâncio, Schaefer, Carlos Ernesto Goncalves Reynaud, Neri, Andreza Viana","Acta Botanica Brasilica; 27(4); 801-809","Acta Botanica Brasilica","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062013000400020&lang=pt" 
"S0102-33062013000400026-scl","First record of the genus Everniastrum Sipman (Parmeliaceae, lichenized Ascomycota) for the state of Paraná, Brazil","Gerlach, Alice da Cruz Lima, Gumboski, Emerson Luiz, Eliasaro, Sionara","Acta Botanica Brasilica; 27(4); 851-853","Acta Botanica Brasilica","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062013000400026&lang=pt" 
"S0102-33062013000400024-scl","Phytotoxic and antioxidant activity of seven native fruits of Brazil","Peres, Marize Terezinha Lopes Pereira, Lopes, José Rodrigo Regis, Silva, Cristiane Bezerra da, Cândido, Ana Carina Silva, Simionatto, Euclésio, Cabral, Márcia Regina Pereira, Oliveira, Rita Machado, Facco, Janaina Thomasi, Cardoso, Cláudia Andréa Lima, Simas, Pedro Henrique","Acta Botanica Brasilica; 27(4); 836-846","Acta Botanica Brasilica","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062013000400024&lang=pt" 
