"S1806-11172016000300419-scl","A Teoria de Duffin-Kemmer-Petiau","Cardoso, T.R., Pimentel, B.M.","Revista Brasileira de Ensino de Física; 38(3); -","Revista Brasileira de Ensino de Física","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172016000300419&lang=pt" 
"S1806-11172016000300501-scl","O evento CERN Masterclasses: Hands on Particle Physics: contribuições sobre seu papel na comunicação científica a partir de percepções de seus participantes","Watanabe, Graciella, Watanabe, Giselle, Costa, Lucio, Gregores, Eduardo, Gurgel, Ivã, Mercadante, Pedro, Munhoz, Marcelo Gameiro","Revista Brasileira de Ensino de Física; 38(3); -","Revista Brasileira de Ensino de Física","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172016000300501&lang=pt" 
"S1806-11172016000300417-scl","O Efeito Casimir em Teoria das Fontes","Barone, F. A., Nogueira, A. A., Pimentel, B. M.","Revista Brasileira de Ensino de Física; 38(3); -","Revista Brasileira de Ensino de Física","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172016000300417&lang=pt" 
"S1806-11172016000300701-scl","J. A. Swieca faria 80 anos","Wreszinski, Walter F.","Revista Brasileira de Ensino de Física; 38(3); -","Revista Brasileira de Ensino de Física","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172016000300701&lang=pt" 
"S1806-11172016000300418-scl","Elliptical orbits in the phase-space quantization","Castro, Leonardo Andreta de, Brasil, Carlos Alexandre, Napolitano, Reginaldo de Jesus","Revista Brasileira de Ensino de Física; 38(3); -","Revista Brasileira de Ensino de Física","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172016000300418&lang=pt" 
"S0044-59672016000300315-scl","Chemical composition and antioxidant activity of geopropolis produced by Melipona fasciculata (Meliponinae) in flooded fields and cerrado areas of Maranhão State, northeastern Brazil","BATISTA, Marisa Cristina Aranha, ABREU, Bruno Vinicius de Barros, DUTRA, Richard Pereira, CUNHA, Mayara Soares, AMARAL, Flavia Maria Mendonça do, TORRES, Luce Maria Brandão, RIBEIRO, Maria Nilce de Sousa","Acta Amazonica; 46(3); 315-322","Acta Amazonica","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0044-59672016000300315&lang=pt" 
"S0044-59672016000300303-scl","Hydroclimatic variables associated with El Nino and La Nina events at the Curuá-Una hydroelectric reservoir, Central Amazonia","VALE, Roseilson Souza do, GOMES, Ana Carla dos Santos, SANTANA, Raoni Aquino Silva de, TÓTA, Júlio, MILLER, Scott Dennis, SOUSA, Rodrigo Augusto Ferreira de","Acta Amazonica; 46(3); 303-308","Acta Amazonica","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0044-59672016000300303&lang=pt" 
"S0044-59672016000300309-scl","In vitro antioxidant, antitumor and leishmanicidal activity of riparin A, an analog of the Amazon alkamides from Aniba riparia (Lauraceae)","ARAÚJO, Éverton José Ferreira de, LIMA, Layana Karine Farias, SILVA, Oskar Almeida, JÚNIOR, Luís Mário REZENDE, GUTIERREZ, Stanley Juan Chavez, CARVALHO, Fernando Aécio de Amorim, LIMA, Francisco das Chagas Alves, PESSOA, Cláudia, FREITAS, Rivelilson Mendes de, FERREIRA, Paulo Michel Pinheiro","Acta Amazonica; 46(3); 309-314","Acta Amazonica","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0044-59672016000300309&lang=pt" 
"S0044-59672016000300247-scl","Caracterização estrutural e status de conservação do estrato herbáceo de dunas da Praia de São Marcos, Maranhão, Brasil","ARAUJO, Ana Cássia Medeiros, SILVA, Ariade Nazaré Fontes da, ALMEIDA JR, Eduardo Bezerra de","Acta Amazonica; 46(3); 247-258","Acta Amazonica","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0044-59672016000300247&lang=pt" 
"S0044-59672016000300291-scl","High spatial resolution land use and land cover mapping of the Brazilian Legal Amazon in 2008 using Landsat-5/TM and MODIS data","ALMEIDA, Cláudio Aparecido de, COUTINHO, Alexandre Camargo, ESQUERDO, Júlio César Dalla Mora, ADAMI, Marcos, VENTURIERI, Adriano, DINIZ, Cesar Guerreiro, DESSAY, Nadine, DURIEUX, Laurent, GOMES, Alessandra Rodrigues","Acta Amazonica; 46(3); 291-302","Acta Amazonica","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0044-59672016000300291&lang=pt" 
"S0044-59672016000300259-scl","Feeding ecology of Serrasalmus gouldingi (Characiformes: Serrasalmidae) in the lower Anapu River region, Eastern Amazon, Brazil","PRUDENTE, Bruno da S., CARNEIRO-MARINHO, Pedro, VALENTE, Roberta de M., MONTAG, Luciano F. de A.","Acta Amazonica; 46(3); 259-270","Acta Amazonica","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0044-59672016000300259&lang=pt" 
"S1678-86212016000300127-scl","Influence of the addition of &quot;synthetic termite saliva&quot; in the compressive strength and water absorption of compacted soil-cement","Faria, Obede Borges, Battistelle, Rosane Aparecida Gomes, Neves, Célia","Ambiente Construído; 16(3); 127-136","Ambiente Construído","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212016000300127&lang=pt" 
"S1678-86212016000300023-scl","Avaliação de impactos de vizinhança utilizando matrizes numéricas","Barreiros, Mário Antônio Ferreira, Abiko, Alex Kenya","Ambiente Construído; 16(3); 23-38","Ambiente Construído","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212016000300023&lang=pt" 
