"S1851-31232013000300003-arg","Aimé Césaire ensayista: una lectura de toussaint louverture","Aiello, Francisco","Revista Pilquen; 16(2); -","Revista Pilquen","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-31232013000300003&lang=pt" 
"S1851-31232013000300002-arg","Senderos iluminados: Mito y violencia en la novela peruana contemporánea","de Llano, Aymará","Revista Pilquen; 16(2); -","Revista Pilquen","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-31232013000300002&lang=pt" 
"S1851-31232013000300001-arg","Editorial","Vila, María del Pilar","Revista Pilquen; 16(2); -","Revista Pilquen","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-31232013000300001&lang=pt" 
"S1851-31232013000300007-arg","Metáforas del archivo en la narrativa latinoamericana","Perilli, Carmen","Revista Pilquen; 16(2); -","Revista Pilquen","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-31232013000300007&lang=pt" 
"S1851-31232013000300006-arg","Imaginario tecnológico en la narrativa argentina del siglo XXI (Alejandro López, Daniel Link)","Ledesma, Germán","Revista Pilquen; 16(2); -","Revista Pilquen","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-31232013000300006&lang=pt" 
"S1851-31232013000300005-arg","Una lectura de Carlos Monsiváis o del sacerdocio de la lectura","Sánchez, María Teresa","Revista Pilquen; 16(2); -","Revista Pilquen","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-31232013000300005&lang=pt" 
"S1851-31232013000300004-arg","El &quot;espacio Tel Quel&quot; y la configuración de una discursividad vacilante","Bertón, Sonia","Revista Pilquen; 16(2); -","Revista Pilquen","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-31232013000300004&lang=pt" 
"S1851-31232013000300009-arg","Fotografías y nacimientos en Neruda","Lizama A., Patricio","Revista Pilquen; 16(2); -","Revista Pilquen","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-31232013000300009&lang=pt" 
"S1851-31232013000300008-arg","La Condesa Sangrienta con las ilustraciones de Santiago Caruso","Amícola, José","Revista Pilquen; 16(2); -","Revista Pilquen","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-31232013000300008&lang=pt" 
"S1851-31232013000300010-arg","Narrar, ensayar: pensar. Geografías imprecisas en la obra de Alejandro Rossi","Fazio, Silvina Celeste","Revista Pilquen; 16(2); -","Revista Pilquen","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-31232013000300010&lang=pt" 
"S1851-31232013000300011-arg","Cyril Connolly ensayista: una crítica del gusto","Conchez Silva, Eugenio","Revista Pilquen; 16(2); -","Revista Pilquen","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-31232013000300011&lang=pt" 
"S1851-31232013000300012-arg","Aymará de Llano. Moradas narrativas. Latinoamérica en el siglo XX","Goicochea, Adriana","Revista Pilquen; 16(2); -","Revista Pilquen","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-31232013000300012&lang=pt" 
"S0034-89102013000601028-scl","Fatores associados às dificuldades de adultos na mastigação","Figueiredo, Daniela de Rossi, Peres, Marco Aurélio, Luchi, Carla Antoni, Peres, Karen Glazer","Revista de Saúde Pública; 47(6); 1028-1038","Revista de Saúde Pública","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102013000601028&lang=pt" 
"S0034-89102013000601021-scl","Adesão ao guia alimentar para população brasileira","Verly Junior, Eliseu, Carvalho, Aline Martins de, Fisberg, Regina Mara, Marchioni, Dirce Maria Lobo","Revista de Saúde Pública; 47(6); 1021-1027","Revista de Saúde Pública","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102013000601021&lang=pt" 
"S0034-89102013000601130-scl","Iniciativa Unidade Básica Amiga da Amamentação e sua relação com o aleitamento materno exclusivo","Alves, Ana Lúcia Naves, Oliveira, Maria Inês Couto de, Moraes, José Rodrigo de","Revista de Saúde Pública; 47(6); 1130-1140","Revista de Saúde Pública","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102013000601130&lang=pt" 
"S0034-89102013000601039-scl","Iniquidades em saúde bucal: escolares beneficiários do Bolsa Família são mais vulneráveis?","Oliveira, Luísa Jardim Corrêa de, Correa, Marcos Britto, Nascimento, Gustavo Giacomelli, Goettems, Marília Leão, Tarquínio, Sandra Beatriz Chaves, Torriani, Dione Dias, Demarco, Flávio Fernando","Revista de Saúde Pública; 47(6); 1039-1047","Revista de Saúde Pública","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102013000601039&lang=pt" 
"S0034-89102013000601123-scl","Pictorial health warnings on cigarette packs and the impact on women","Bittencourt, Lorna, Person, Sharina D, Cruz, Regina Celina, Scarinci, Isabel C","Revista de Saúde Pública; 47(6); 1123-1129","Revista de Saúde Pública","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102013000601123&lang=pt" 
"S0034-89102013000601080-scl","Seroprevalencia de rubeola en Colombia: un análisis por cohorte de nacimiento","Hincapie-Palacio, Doracelly, Lenis Ballesteros, Viviana, Ospina, Martha Ospina, Toro, Olga Lucía Pérez, Díaz, Francisco J","Revista de Saúde Pública; 47(6); 1080-1091","Revista de Saúde Pública","Inglês, Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102013000601080&lang=pt" 
"S0034-89102013000601048-scl","Correção de informações vitais: estimação da mortalidade infantil, Brasil, 2000-2009","Frias, Paulo Germano de, Szwarcwald, Célia Landmann, Souza Junior, Paulo Roberto Borges de, Almeida, Wanessa da Silva de, Lira, Pedro Israel Cabral","Revista de Saúde Pública; 47(6); 1048-1058","Revista de Saúde Pública","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102013000601048&lang=pt" 
"S0034-89102013000601112-scl","Atividade física de idosos relacionada ao transporte e lazer, Maceió, Brasil","Mourão, Ana Raquel de Carvalho, Novais, Francini Vilela, Andreoni, Solange, Ramos, Luiz Roberto","Revista de Saúde Pública; 47(6); 1112-1122","Revista de Saúde Pública","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102013000601112&lang=pt" 
"S0034-89102013000601159-scl","Transferência de renda no Brasil e desfechos nutricionais: revisão sistemática","Martins, Ana Paula Bortoletto, Canella, Daniela Silva, Baraldi, Larissa Galastri, Monteiro, Carlos Augusto","Revista de Saúde Pública; 47(6); 1159-1171","Revista de Saúde Pública","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102013000601159&lang=pt" 
"S0034-89102013000601092-scl","Fatores associados à baixa adesão ao tratamento medicamentoso em idosos","Tavares, Noemia Urruth Leão, Bertoldi, Andréa Dâmaso, Thumé, Elaine, Facchini, Luiz Augusto, França, Giovanny Vinícius Araújo de, Mengue, Sotero Serrate","Revista de Saúde Pública; 47(6); 1092-1101","Revista de Saúde Pública","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102013000601092&lang=pt" 
"S0034-89102013000601059-scl","Estudo exploratório da qualidade do ar em escolas de educação básica, Coimbra, Portugal","Ferreira, Ana Maria Conceição, Cardoso, Salvador Massano","Revista de Saúde Pública; 47(6); 1059-1068","Revista de Saúde Pública","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102013000601059&lang=pt" 
"S0034-89102013000601141-scl","Implantação da Rede Amamenta Brasil e prevalência de aleitamento materno exclusivo","Passanha, Adriana, Benício, Maria Helena D?Aquino, Venâncio, Sônia Isoyama, Reis, Márcia Cristina Guerreiro dos","Revista de Saúde Pública; 47(6); 1141-1148","Revista de Saúde Pública","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102013000601141&lang=pt" 
"S0034-89102013000601149-scl","Diagnóstico da tuberculose: atenção básica ou pronto atendimento?","Andrade, Rubia Laine de Paula, Scatolin, Beatriz Estuque, Wysocki, Anneliese Domingues, Beraldo, Aline Ale, Monroe, Aline Aparecida, Scatena, Lúcia Marina, Villa, Tereza Cristina Scatena, Ponce, Maria Amélia Zanon, Arakawa, Tiemi","Revista de Saúde Pública; 47(6); 1149-1158","Revista de Saúde Pública","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102013000601149&lang=pt" 
"S0034-89102013000601186-scl","Política de humanização na atenção básica: revisão sistemática","Nora, Carlise Rigon Dalla, Junges, José Roque","Revista de Saúde Pública; 47(6); 1186-1200","Revista de Saúde Pública","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102013000601186&lang=pt" 
"S1726-89582013000200011-bol","COMO HACER UN TRABAJO DE INVESTIGACIÓN - PARTE II","Arévalo B., Arturo Raúl, Arévalo S., Dory E., Villarroel Subieta, Carlos","Revista Médica La Paz; 19(2); 83-90","Revista Médica La Paz","Espanhol","2013","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1726-89582013000200011&lang=pt" 
"S1726-89582013000200010-bol","ASPECTOS ÉTICOS Y LEGALES EN EL ACTO MÉDICO","Vera Carrasco, Oscar","Revista Médica La Paz; 19(2); 73-82","Revista Médica La Paz","Espanhol","2013","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1726-89582013000200010&lang=pt" 
"S1726-89582013000200016-bol","LOS PACIENTES CON REACCIONES ADVERSAS A MEDICAMENTOS PRESENTAN UNA MAYOR PREVALENCIA DE ALTERACIONES EMOCIONALES","","Revista Médica La Paz; 19(2); 96-97","Revista Médica La Paz","Espanhol","2013","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1726-89582013000200016&lang=pt" 
"S1726-89582013000200015-bol","INTERACCIÓN FARMACOCINÉTICA ENTRE RIFAMPICINA Y ATAZANAVIR POTENCIADO CON RITONAVIR EN PACIENTES INFECTADOS POR EL VIH","","Revista Médica La Paz; 19(2); 95-96","Revista Médica La Paz","Espanhol","2013","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1726-89582013000200015&lang=pt" 
"S1726-89582013000200003-bol","MECANISMO MOLECULAR DE LAS ESTATINAS EN EL TRATAMIENTO DE LA ERITROCITOSIS PATOLÓGICA DE ALTURA","Amaru, Ricardo, Vera, Oscar, Miguez, Hortencia, Peñaloza, Rosario, Torres, Gina, Velarde, Jeaneth, Huarachi, Helly, Mamani, Reyna, Cuevas, Heriberto","Revista Médica La Paz; 19(2); 19-27","Revista Médica La Paz","Espanhol","2013","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1726-89582013000200003&lang=pt" 
"S1726-89582013000200008-bol","TRATAMIENTO QUIRÚRGICO DEL MEGAESÓFAGO SIGMOIDEO, GRADO IV POR ACALASIA","Ledezma Gálvez, Edgar","Revista Médica La Paz; 19(2); 55-66","Revista Médica La Paz","Espanhol","2013","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1726-89582013000200008&lang=pt" 
"S1726-89582013000200004-bol","CORRELACIÓN DE SÍNTOMAS CON ARRITMIAS CARDIACAS, POR EL HOLTER DE 24 HORAS","Lavadenz Morales, Roberto","Revista Médica La Paz; 19(2); 28-36","Revista Médica La Paz","Espanhol","2013","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1726-89582013000200004&lang=pt" 
"S1853-984X2013000200002-arg","Relaciones y definiciones de pertenencia en los conjuntos oficialistas o bases de sustentación activa de Lula (2002-2006) y Kirchner (2003-2007): Principales argumentos","Rocca Rivarola, Dolores","Temas y Debates; (26); 39-75","Temas y Debates","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-984X2013000200002&lang=pt" 
"S1853-984X2013000200001-arg","Tres tesis para una re-interpretación política del desarrollo","Madoery, Oscar","Temas y Debates; (26); 13-37","Temas y Debates","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-984X2013000200001&lang=pt" 
"S1679-87592013000400006-scl","Analysis of fish assemblages in sectors along a salinity gradient based on species, families and functional groups","Passos, Ana Carolina dos, Contente, Riguel Feltrin, Abbatepaulo, Felippe Veneziani, Spach, Henry Louis, Vilar, Ciro Colodetti, Joyeux, Jean Christophe, Cartagena, Beatriz Fernanda Chinhilla, Fávaro, Luis Fernando","Brazilian Journal of Oceanography; 61(4); 251-264","Brazilian Journal of Oceanography","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-87592013000400006&lang=pt" 
"S1726-89582013000200005-bol","CARACTERÍSTICAS CLÍNICAS Y RADIOLÓGICAS EN PREESCOLARES CON DIAGNÓSTICO DE NEUMONÍA ATÍPICA EN LA CAJA PETROLERA DE SALUD Y HOSPITAL DEL NIÑO &quot;DR. OVIDIO ALIAGA URIA&quot;","Villca Alá, Nelson, Antonio Condori, Miguel","Revista Médica La Paz; 19(2); 37-40","Revista Médica La Paz","Espanhol","2013","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1726-89582013000200005&lang=pt" 
"S1853-984X2013000200006-arg","El estudio de los sindicatos en la Ciencia Política argentina","Haidar, Julieta","Temas y Debates; (26); 147-166","Temas y Debates","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-984X2013000200006&lang=pt" 
