"S2007-28722013000300008-mex","La educación en sociedades líquidas","Yáñez-Velazco, Juan-Carlos","Revista iberoamericana de educación superior; 4(11); 137-137","Revista iberoamericana de educación superior","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-28722013000300008&lang=pt" 
"S1414-32832013000300013-spa","Marcas no corpo, cansaço e experiência: nuances do envelhecer como professor de Educação Física","Lüdorf, Sílvia Maria Agatti, Ortega, Francisco Javier Guerrero","Interface - Comunicação, Saúde, Educação; 17(46); 661-675","Interface - Comunicação, Saúde, Educação","Português","2013","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832013000300013&lang=pt" 
"S1414-32832013000300015-spa","Comunicação, humanidades e humanização: a educação técnica, ética, estética e emocional do estudante e do profissional de saúde","Marco, Mario Alfredo De, Degiovani, Mariella Vargas, Torossian, Miriam Sansoni, Wechsler, Rudolf, Joppert, Silvia Mara Herbelha, Lucchese, Ana Cecília","Interface - Comunicação, Saúde, Educação; 17(46); 683-693","Interface - Comunicação, Saúde, Educação","Português","2013","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832013000300015&lang=pt" 
"S1414-32832013000300018-spa","A Teoria da Atividade Histórico-Cultural e suas contribuições à Educação, Saúde e Comunicação: entrevista com Yrjö Engeström","Lemos, Monica, Pereira-Querol, Marco Antonio, Almeida, Ildeberto Muniz de","Interface - Comunicação, Saúde, Educação; 17(46); 715-727","Interface - Comunicação, Saúde, Educação","Inglês, Português","2013","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832013000300018&lang=pt" 
"S1679-45082013000300008-scl","Relevância da pré-hipertensão como categoria diagnóstica em adultos assintomáticos","Nary, Fernando Costa, Santos, Raul D., Laurinavicius, Antonio Gabriele, Conceição, Raquel Dilguerian de Oliveira, Carvalho, José Antonio Maluf de","Einstein (São Paulo); 11(3); 303-309","Einstein (São Paulo)","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082013000300008&lang=pt" 
"S1679-45082013000300004-scl","Avaliação da aderência ao programa de reabilitação cardíaca em um hospital particular geral","Mair, Vanessa, Breda, Ana Paula, Nunes, Marcos Eduardo Boquembuzo, Matos, Luciana Diniz Nagem Janot de","Einstein (São Paulo); 11(3); 278-284","Einstein (São Paulo)","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082013000300004&lang=pt" 
"S1679-45082013000300013-scl","Avaliação prognóstica do tromboembolismo pulmonar por ecocardiograma com Doppler tecidual e peptídeo atrial natriurético tipo B","Rodrigues, Ana Clara Tude, Cordovil, Adriana, Mônaco, Cláudia Gianini, Guimarães, Laise Antônia Bonfim, Oliveira, Wércules Antônio Alves de, Fischer, Claudio Henrique, Lira-Filho, Edgar Bezerra de, Vieira, Marcelo Luiz Campos, Morhy, Samira Saady","Einstein (São Paulo); 11(3); 338-344","Einstein (São Paulo)","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082013000300013&lang=pt" 
"S1414-32832013000300006-scl","Movimentos de resistência no Sistema Único de Saúde (SUS): a participação rizomática","Quintanilha, Bruna Ceruti, Sodré, Francis, Dalbello-Araujo, Maristela","Interface - Comunicação, Saúde, Educação; 17(46); 561-573","Interface - Comunicação, Saúde, Educação","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832013000300006&lang=pt" 
"S1414-32832013000300011-scl","Subsídios para a diversificação de moradias destinadas a pessoas com transtorno mental grave no Brasil: uma revisão","Furtado, Juarez Pereira","Interface - Comunicação, Saúde, Educação; 17(46); 635-647","Interface - Comunicação, Saúde, Educação","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832013000300011&lang=pt" 
"S1414-32832013000300012-scl","Impacto de la visita domiciliaria familiar en el aprendizaje de los estudiantes de medicina en el área de Pediatría Social","Cárdenas, Leonor Angélica Galindo, Kambourova, Miglena, Arango, Liliana Zuliani, Peña, María Eugenia Villegas","Interface - Comunicação, Saúde, Educação; 17(46); 649-660","Interface - Comunicação, Saúde, Educação","Inglês, Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832013000300012&lang=pt" 
"S0104-44782013000300002-scl","Desenvolvimento e Estado desenvolvimentista: tensões e desafios da construção de um novo modelo para o Brasil do século XXI","Diniz, Eli","Revista de Sociologia e Política; 21(47); 9-20","Revista de Sociologia e Política","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782013000300002&lang=pt" 
"S0100-54052013000300001-scl","Haste verde e retenção foliar na cultura da soja","Silva, Alexandre José da, Canteri, Marcelo Giovanetti, Silva, Andre Luis da","Summa Phytopathologica; 39(3); 151-156","Summa Phytopathologica","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-54052013000300001&lang=pt" 
"S1852-38622013000300001-arg","","Perrone, Sergio V.","Insuficiencia cardíaca; 8(3); 102-102","Insuficiencia cardíaca","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-38622013000300001&lang=pt" 
"S1852-38622013000300002-arg","Persistencia de alteraciones humorales y hemodinámicas asociadas con mejoría de la función vascular en pacientes con insuficiencia cardíaca que normalizaron la función sistólica","Florio, Lucía, Andrade, Rodrigo, Bia, Daniel, Acle, Santiago, Zócalo, Yanina, Valverde, Marcelo, Álvarez, Pablo, Ormaechea, Gabriela","Insuficiencia cardíaca; 8(3); 103-111","Insuficiencia cardíaca","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-38622013000300002&lang=pt" 
"S1852-38622013000300003-arg","Correlación del espesor íntima-media de arterias carótidas con parámetros ecocardiográficos, factores de riesgos y eventos cardiovasculares","Carrizo, Álvaro, Tazar, Jorge, Mendía³, Alberto, Sánchez, Natalia, Bossi5, Alejandro","Insuficiencia cardíaca; 8(3); 112-118","Insuficiencia cardíaca","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-38622013000300003&lang=pt" 
"S1852-38622013000300004-arg","Evaluación de la disfunción endotelial en pacientes ambulatorios mayores de 75 años atendidos en un hospital de la tercera edad","Chirino Navarta¹, Daniel Agustín, Sánchez Albarrazín², Karina, Trejo³, Graciela, Ariel, Monteros4, Martínez5, Luis, Cejas6, Claudia, Dizeo7, Claudio","Insuficiencia cardíaca; 8(3); 119-124","Insuficiencia cardíaca","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-38622013000300004&lang=pt" 
"S1852-38622013000300005-arg","Hipertensión pulmonar en las enfermedades respiratorias crónicas: Prueba de marcha de 6 minutos: técnica y utilidad en el diagnóstico funcional, pronóstico y seguimiento","Mazzei¹, Juan Antonio","Insuficiencia cardíaca; 8(3); 125-133","Insuficiencia cardíaca","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-38622013000300005&lang=pt" 
"S1852-38622013000300006-arg","¿Con qué drogas deben ser asociados los antialdosterónicos?","Sosa Liprandi¹, Álvaro, Sosa Liprandi², María Inés, Huerín³, Melina, Martínez4, Felipe, Cacharrón5, José Luis, Provera, Hernán, Mastantuono7, Cristian, Racki8, Mario, Montaña9, Oscar, Blanco10, Patricia, González11, Carlos, Vulcano12, Norberto, Aiub13, Jorge, Sánchez Brandán14, Iván","Insuficiencia cardíaca; 8(3); 134-141","Insuficiencia cardíaca","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-38622013000300006&lang=pt" 
"S1852-38622013000300007-arg","Resultados de pacientes con terapia de resincronización cardíaca utilizando un electrodo cuadripolar en el ventrículo izquierdo","D&#039;Ortencio, Alfredo, Bevacqua, Raúl J.","Insuficiencia cardíaca; 8(3); 142-148","Insuficiencia cardíaca","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-38622013000300007&lang=pt" 
"S1679-45082013000300001-scl","Atualidades em Cardiologia","Cendoroglo Neto, Miguel","Einstein (São Paulo); 11(3); vii-viii","Einstein (São Paulo)","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082013000300001&lang=pt" 
"S1679-45082013000300002-scl","Gestão em saúde e a medicina baseada em evidências","Makdisse, Marcia, Katz, Marcelo","Einstein (São Paulo); 11(3); ix-x","Einstein (São Paulo)","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082013000300002&lang=pt" 
