"S0034-75152013000300016-cub","Truabin inyectable","","Revista Cubana de Farmacia; 47(3); 423-424","Revista Cubana de Farmacia","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75152013000300016&lang=pt" 
"S0717-554X2013000200004-chl","La búsqueda de la realidad o de la verdad: una aproximación a partir de la teoría sociológica","Vidal, Josep","Cinta de moebio; (47); 95-114","Cinta de moebio","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-554X2013000200004&lang=pt" 
"S0717-554X2013000200002-chl","Tesis de la carga teórica de la observación y constructivismo","Aguirre-García, Juan Carlos, Jaramillo-Echeverri, Luis Guillermo","Cinta de moebio; (47); 74-82","Cinta de moebio","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-554X2013000200002&lang=pt" 
"S1027-28522013000300006-cub","Procedure for the conjugation of the Streptococcus pneumoniae serotype 6B capsular polysaccharide to the tetanus toxoid","Soubal, Jean P, Peña, Luis, Santana, Darielys, Valdés, Yury, García, Dagmar, Pedroso, Jessy, Cardoso, Félix, González, Humberto, Fernández, Violeta, Vérez, Vicente","Biotecnología Aplicada; 30(3); 208-215","Biotecnología Aplicada","Inglês","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1027-28522013000300006&lang=pt" 
"S1560-43812013000300011-cub","Propuesta de instrumento para el estudio del clima organizacional","Segredo Pérez, Alina María","Correo Científico Médico; 17(3); 344-352","Correo Científico Médico","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1560-43812013000300011&lang=pt" 
"S2227-18992013000300002-cub","Modelación y manejo de bases de datos para el almacenamiento de la información sobre ortología genética","de la Rosa Martín, Tonysé, Galpert Cañizares, Deborah, Pupo Meriño, Mario","Revista Cubana de Ciencias Informáticas; 7(3); 14-22","Revista Cubana de Ciencias Informáticas","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2227-18992013000300002&lang=pt" 
"S1677-55382013000500741-scl","Giant multicystic cystadenoma of Cowper&#039;s gland: a case report","Villeda-Sandoval, Christian I., Romero-Velez, Gustavo, Lisker-Cervantes, Andres, Zavaleta, Mariano Sotomayor de, Trolle-Silva, Alicia, Oca, Daniel Montante Montes de, Castillejos-Molina, Ricardo","International braz j urol; 39(5); 741-746","International braz j urol","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382013000500741&lang=pt" 
"S1677-55382013000500611-scl","Penile Cancer: the importance of Prevention","Zequi, Stenio de Cassio","International braz j urol; 39(5); 611-613","International braz j urol","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382013000500611&lang=pt" 
"S1677-55382013000500747-scl","Lower gastrointestinal bleeding as a result of fistula between the iliac artery and sigmoid colon in patient with advanced testicular cancer","Santos, Vanessa Prado dos, Razuk Filho, Alvaro, Castelli Junior, Valter, Caffaro, Roberto Augusto","International braz j urol; 39(5); 747-751","International braz j urol","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382013000500747&lang=pt" 
"S1677-55382013000500752-scl","Laparoscopic conservative treatment of colo-vesical fistula: a new surgical approach","Giovanni, Cochetti, Emanuele, Cottini, Francesco, Barillaro, Emanuele, Lepri, Andrea, Boni, Solajd, Pohja, Ettore, Mearini","International braz j urol; 39(5); 752-753","International braz j urol","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382013000500752&lang=pt" 
"S1677-55382013000500720-scl","Sperm analysis of the vas deferens fluid after a long interval of unilateral percutaneous epididymal sperm aspiration in vasectomized patients","Lorenzini, Fernando, Zanchet, Eduardo, Lorenzini, Mariana","International braz j urol; 39(5); 720-726","International braz j urol","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382013000500720&lang=pt" 
