"S1806-11172013000300031-scl","Lissajous-like figures with triangular and square waves","Flemming, J., Hornes, A.","Revista Brasileira de Ensino de Física; 35(3); -","Revista Brasileira de Ensino de Física","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172013000300031&lang=pt" 
"S1806-11172013000300030-scl","Buoyant force in a nonuniform gravitational field","Lima, F.M.S., Monteiro, F.F.","Revista Brasileira de Ensino de Física; 35(3); -","Revista Brasileira de Ensino de Física","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172013000300030&lang=pt" 
"S1806-11172013000300010-scl","Determination of the kinematic viscosity by the liquid rise in a capillary tube","Santander, J.L.G., Castellano, G.","Revista Brasileira de Ensino de Física; 35(3); -","Revista Brasileira de Ensino de Física","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172013000300010&lang=pt" 
"S1984-82502013000300003-scl","Best herbs for managing diabetes: a review of clinical studies","Ghorbani, Ahmad","Brazilian Journal of Pharmaceutical Sciences; 49(3); 413-422","Brazilian Journal of Pharmaceutical Sciences","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-82502013000300003&lang=pt" 
"S1984-82502013000300004-scl","Basic considerations in the dermatokinetics of topical formulations","Nair, Anroop, Jacob, Shery, Al-Dhubiab, Bandar, Attimarad, Mahesh, Harsha, Sree","Brazilian Journal of Pharmaceutical Sciences; 49(3); 423-434","Brazilian Journal of Pharmaceutical Sciences","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-82502013000300004&lang=pt" 
"S1984-82502013000300015-scl","Production and characterization of alginate-starch-chitosan microparticles containing stigmasterol through the external ionic gelation technique","Fujiwara, Gislene Mari, Campos, Ranieri, Costa, Camila Klocker, Dias, Josiane de Fátima Gaspari, Miguel, Obdulio Gomes, Miguel, Marilis Dallarmi, Marques, Francisco de Assis, Zanin, Sandra Maria Warumby","Brazilian Journal of Pharmaceutical Sciences; 49(3); 537-547","Brazilian Journal of Pharmaceutical Sciences","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-82502013000300015&lang=pt" 
"S1984-82502013000300020-scl","In vitro evaluation of transdermal nicotine delivery systems commercially available in Brazil","Ruela, André Luís Morais, Figueiredo, Eduardo Costa, Perissinato, Aline Gravinez, Lima, Ana Carolina Zogbi, Araújo, Magali Benjamim, Pereira, Gislaine Ribeiro","Brazilian Journal of Pharmaceutical Sciences; 49(3); 579-588","Brazilian Journal of Pharmaceutical Sciences","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-82502013000300020&lang=pt" 
"S1678-77572013000500452-scl","Evaluation of bond strength of silorane and methacrylate based restorative systems to dentin using different cavity models","Isaac, Stephano Zerlottini, Bergamin, Ana Claudia Pietrobom, Turssi, Cecilia Pedroso, Amaral, Flavia Lucisano Botelho do, Basting, Roberta Tarkany, Franca, Fabiana Mantovani Gomes","Journal of Applied Oral Science; 21(5); 452-459","Journal of Applied Oral Science","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572013000500452&lang=pt" 
"S1678-77572013000500443-scl","Bone remodeling at microscrew interface near extraction site in the beagle dog mandible-histologic and immunohistochemical analyses","Wei, Guangxi, Hu, Yun, Zheng, Leilei, Huo, Jinfeng, Tang, Tian, Deng, Feng","Journal of Applied Oral Science; 21(5); 443-451","Journal of Applied Oral Science","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572013000500443&lang=pt" 
"S1678-77572013000500482-scl","The modified Ottawa method to establish the update need of a systematic review: glass-ionomer versus resin sealants for caries prevention","Mickenautsch, Steffen, Yengopal, Veerasamy","Journal of Applied Oral Science; 21(5); 482-489","Journal of Applied Oral Science","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572013000500482&lang=pt" 
"S1678-77572013000500392-scl","Impact of removable partial denture prosthesis on chewing efficiency","Bessadet, Marion, Nicolas, Emmanuel, Sochat, Marine, Hennequin, Martine, Veyrune, Jean-Luc","Journal of Applied Oral Science; 21(5); 392-396","Journal of Applied Oral Science","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572013000500392&lang=pt" 
