"S1808-16572013000300009-scl","Evaluation of growth and production of Pleurotus sp. in sterilized substrates","Bernardi, Eduardo, Minotto, Elisandra, Nascimento, José Soares do","Arquivos do Instituto Biológico; 80(3); 318-324","Arquivos do Instituto Biológico","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-16572013000300009&lang=pt" 
"S1808-16572013000300010-scl","Biological aspects of Aphis gossypii Glöver, 1877 (Hemiptera: Aphididae) on colored lint cotton cultivars","Correa, Lilian Roberta Batista, Cividanes, Francisco Jorge, Sala, Saulo Rene Damião","Arquivos do Instituto Biológico; 80(3); 325-333","Arquivos do Instituto Biológico","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-16572013000300010&lang=pt" 
"S1808-16572013000300017-scl","Prevalência de Streptococcus suis sorotipo 2: discussão da literatura brasileira","Soares, Taíssa Cook Siqueira, Paes, Antonio Carlos","Arquivos do Instituto Biológico; 80(3); 367-373","Arquivos do Instituto Biológico","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-16572013000300017&lang=pt" 
"S1808-16572013000300012-scl","Ocorrência das doenças parasitárias em ovinos e caprinos no Distrito Federal, Brasil, durante 2003 a 2009","Ataíde, Hélio Spindola de, Cansi, Edison Rogerio","Arquivos do Instituto Biológico; 80(3); 342-345","Arquivos do Instituto Biológico","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-16572013000300012&lang=pt" 
"S1808-16572013000300001-scl","85 anos dos Arquivos do Instituto Biológico","Galleti, Silvia R.","Arquivos do Instituto Biológico; 80(3); 265-265","Arquivos do Instituto Biológico","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-16572013000300001&lang=pt" 
"S1808-16572013000300014-scl","Condições higiênico-sanitárias e físico-estruturais da área de manipulação de carne in natura em minimercados de Recife (PE), Brasil","Costa, Juliana Nóbrega Pereira da, Santos, Vládima Virgínia Mendes, Silva, Giselle Ramos da, Moura, Fernanda Maria Lino de, Gurgel, Carlos Alberto Bezerra, Moura, Andrea Paiva Botelho Lapenda de","Arquivos do Instituto Biológico; 80(3); 352-358","Arquivos do Instituto Biológico","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-16572013000300014&lang=pt" 
"S1808-16572013000300006-scl","Resistência a antimicrobianos em Staphylococcus aureus isolados de mastite em bovinos leiteiros de Minas Gerais, Brasil","Costa, Geraldo Márcio da, Barros, Rodrigo Alves, Custódio, Dircéia Aparecida da Costa, Pereira, Ulisses de Pádua, Figueiredo, Demétrio Junqueira, Silva, Nivaldo da","Arquivos do Instituto Biológico; 80(3); 297-302","Arquivos do Instituto Biológico","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-16572013000300006&lang=pt" 
"S1808-16572013000300007-scl","Soroepidemiologia da leptospirose e brucelose bovina em propriedades rurais de agricultura familiar do agreste paraibano, Nordeste do Brasil","Oliveira, Robério Macedo de, Silva, Maria Luana Cristiny Rodrigues, Macêdo, Meire Maria Silva, Higino, Severino Silvano dos Santos, Paulin, Lilia Marcia, Alves, Clebert José, Carvalho, Maria das Graças Xavier de, Azevedo, Sérgio Santos de","Arquivos do Instituto Biológico; 80(3); 303-311","Arquivos do Instituto Biológico","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-16572013000300007&lang=pt" 
"S1808-16572013000300008-scl","Produção de aflatoxinas e ácido ciclopiazônico por cepas de Aspergillus flavus isoladas de amendoim","Gonçalez, Edlayne, Silva, Janaina Lara da, Reis, Tatiana Alves dos, Nakai, Viviane Kobushi, Felicio, Joana D&#039;Arc, Corrêa, Benedito","Arquivos do Instituto Biológico; 80(3); 312-317","Arquivos do Instituto Biológico","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-16572013000300008&lang=pt" 
"S1808-16572013000300015-scl","Aedes (Stegomyia) aegypti (Diptera: Culicidae) em algumas ilhas de Cabo Verde: tipologia dos criadouros e sua relação com a presença larval","Duarte, Elves Heleno, Pereira, Jailson, Oliveira, Hélder de, Lima, Hailton Spencer, Perez, Alexander, Pile, Edwin","Arquivos do Instituto Biológico; 80(3); 359-362","Arquivos do Instituto Biológico","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-16572013000300015&lang=pt" 
"S1808-16572013000300011-scl","Produção de biossurfactante por Chromobacterium violaceum ATCC 12472 utilizando milhocina e óleo de milho pós-fritura como nutrientes","Antunes, Adriana Almeida, Araújo, Hélvia Waleuska Casullo de, Silva, Carlos Alberto Alves da, Albuquerque, Clarissa Daisy da Costa, Campos-Takaki, Galba Maria","Arquivos do Instituto Biológico; 80(3); 334-341","Arquivos do Instituto Biológico","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-16572013000300011&lang=pt" 
