"S1020-49892013000800008-spa","Práticas familiares relacionadas à manutenção da amamentação: revisão da literatura e metassíntese","Sousa, Alder Mourão de, Fracolli, Lislaine Aparecida, Zoboli, Elma Lourdes Campos Pavone","Revista Panamericana de Salud Pública; 34(2); 127-134","Revista Panamericana de Salud Pública","Português","2013","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892013000800008&lang=pt" 
"S1020-49892013000800010-spa","Las generaciones de inmigrantes y sus descendientes y el riesgo de diabetes en la población de los Estados Unidos de origen o ascendencia mexicana: el Estudio sobre Envejecimiento en Latinos del Área de Sacramento (estudio SALSA)","Afable-Munsuz, Aimee, Mayeda, Elizabeth Rose, Pérez-Stable, Eliseo J., Haan, Mary N.","Revista Panamericana de Salud Pública; 34(2); 137-146","Revista Panamericana de Salud Pública","Espanhol","2013","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892013000800010&lang=pt" 
"S1010-27522013000200001-cub","Plant secondary metabolites as an alternative in pest management. I: Background, research approaches and trends","Pino, Oriela, Sánchez, Yaíma, Rojas, Miriam M","Revista de Protección Vegetal; 28(2); 81-94","Revista de Protección Vegetal","Inglês","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1010-27522013000200001&lang=pt" 
"S1010-27522013000200002-cub","Plant secondary metabolites as alternatives in pest management. II: An overview of their potential in Cuba","Pino, Oriela, Sánchez, Yaíma, Rojas, Miriam M","Revista de Protección Vegetal; 28(2); 95-108","Revista de Protección Vegetal","Inglês","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1010-27522013000200002&lang=pt" 
"S1010-27522013000200004-cub","Biología y tabla de vida de Tamarixia radiata Waterston bajo condiciones controladas","Baños Díaz, Heyker L, Miranda, Ileana, Martínez, María de los A","Revista de Protección Vegetal; 28(2); 120-126","Revista de Protección Vegetal","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1010-27522013000200004&lang=pt" 
"S1010-27522013000200005-cub","Manejo de epifitias del Virus de la mancha anular de la papaya utilizando barreras de Zea mays L. en Carica papaya L.","Cabrera Mederos, Dariel, García Hernández, Dahert, González, José Efraín, Portal, Orelvis","Revista de Protección Vegetal; 28(2); 127-131","Revista de Protección Vegetal","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1010-27522013000200005&lang=pt" 
"S1010-27522013000200006-cub","Actividad antagónica in vitro de Tsukamurella paurometabola C-924 frente a fitopatógenos","Marín, Marieta, Wong, Idania, García, Graciela, Morán, Rolando, Basulto, Rosa, Pimentel, Eulogio, Mena, Jesús","Revista de Protección Vegetal; 28(2); 132-137","Revista de Protección Vegetal","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1010-27522013000200006&lang=pt" 
"S1010-27522013000200007-cub","Hifomicetos asociados a plantas tropicales del estado de Yucatán, México: identificación genérica y evaluación de fungicidas para su control","Cristóbal-Alejo, Jairo, Navarrete-Mapen, Zulemy, Herrera-Parra, Elizabeth, Mis-Mut, Mayra, Tun-Suárez, José Ma, Ruiz-Sánchez, Esaú","Revista de Protección Vegetal; 28(2); 138-144","Revista de Protección Vegetal","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1010-27522013000200007&lang=pt" 
"S1010-27522013000200008-cub","Deightoniella torulosa (Syd.) M.B. Ellis, causing leaf spot in acclimatized Grande naine (Musa, AAA) plants","Leiva-Mora, Michel, Alvarado-Capó, Yelenys, Acosta-Suárez, Mayra, Cruz-Martín, Mileidy, Roque, Berkis, Carrera, Karina","Revista de Protección Vegetal; 28(2); 145-148","Revista de Protección Vegetal","Inglês","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1010-27522013000200008&lang=pt" 
"S1010-27522013000200009-cub","Quantification of phenols in lesions caused by Mycosphaerella fijiensis Morelet in `Cavendish naine&#039;","Sanchez-García, Cynthia, Alvarado-Capó, Yelenys, Acosta-Suárez, Mayra, Leiva-Mora, Michel, Cruz-Martín, Mileidy, Roque, Berkys","Revista de Protección Vegetal; 28(2); 149-152","Revista de Protección Vegetal","Inglês","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1010-27522013000200009&lang=pt" 
"S1010-27522013000200010-cub","Efecto de aceites esenciales sobre cuatro cepas de Trichoderma asperellum Samuels","Infante, Danay, Martínez Coca, Benedicto, Sánchez, Yaíma, Pino, Oriela","Revista de Protección Vegetal; 28(2); 153-157","Revista de Protección Vegetal","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1010-27522013000200010&lang=pt" 
"S1010-27522013000200011-cub","Impact of entomopathogenic nematode applications on diamond back moth population","Rodríguez, Mayra G, Enrique, Roberto, Gómez, Lucila, Hernández-Ochandía, Dainé, Miranda, Ileana, Hernández, Alexei, Díaz-Viruliche, Luisa, González, Esteban, Rosales, Ligia Carolina","Revista de Protección Vegetal; 28(2); 158-160","Revista de Protección Vegetal","Inglês","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1010-27522013000200011&lang=pt" 
"S0104-87752013000200006-scl","O comércio civiliza, Portugal oprime: a História do Brasil de John Armitage e a linguagem do humanismo comercial","Varella, Flávia Florentino","Varia Historia; 29(50); 477-490","Varia Historia","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-87752013000200006&lang=pt" 
"S0104-87752013000200001-scl","O &quot;clamor do pobre&quot; e o &quot;poder do povo&quot;: pobreza, cidadania e ação coletiva nas cidades da África Romana Tardia","Oliveira, Julio Cesar Magalhães de","Varia Historia; 29(50); 383-393","Varia Historia","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-87752013000200001&lang=pt" 
"S0104-87752013000200002-scl","A teia de relações entre índios e missionários: a complementaridade vital entre o abastecimento e o extrativismo na dinâmica econômica da Amazônia Colonial","Ravena, Nirvia, Marin, Rosa Elizabeth Acevedo","Varia Historia; 29(50); 395-420","Varia Historia","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-87752013000200002&lang=pt" 
"S0104-87752013000200003-scl","Literatura artística nas bibliotecas dos colégios jesuíticos de Lisboa: Santo Antão e São Roque","Ribeiro, Marília de Azambuja","Varia Historia; 29(50); 421-433","Varia Historia","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-87752013000200003&lang=pt" 
"S0104-87752013000200005-scl","A rebelde do sertão: Maria da Cruz e o motim de 1736","Souza, Alexandre Rodrigues de","Varia Historia; 29(50); 453-475","Varia Historia","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-87752013000200005&lang=pt" 
"S0104-87752013000200008-scl","&quot;Amanhã anda a roda&quot;: natureza e sensibilidade em Cartas de Petrópolis de Joaquim Nabuco","Ertzogue, Marina Haizenreder","Varia Historia; 29(50); 513-529","Varia Historia","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-87752013000200008&lang=pt" 
"S0104-87752013000200009-scl","&quot;Nuestras bellas&quot;: representaciones identitarias de las mujeres de la elite tucumana a fines del XIX","Gargiulo, Maria Cecilia, Vignoli, Marcela","Varia Historia; 29(50); 531-551","Varia Historia","Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-87752013000200009&lang=pt" 
