"S1415-65552013000300001-scl","Editorial","Kimura, Herbert","Revista de Administração Contemporânea; 17(3); 1-2","Revista de Administração Contemporânea","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552013000300001&lang=pt" 
"S0370-44672013000200018-scl","Effect of particles size range on iron ore flotation","Lima, Neymayer Pereira, Valadão, George Eduardo Sales, Peres, Antônio Eduardo Clark","Rem: Revista Escola de Minas; 66(2); 251-256","Rem: Revista Escola de Minas","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672013000200018&lang=pt" 
"S0370-44672013000200014-scl","Wear resistance of geosynthetic interfaces constituted by geomembranes and geospacers","Pitanga, Heraldo Nunes, Vilar, Orencio Monje, Gourc, Jean-Pierre","Rem: Revista Escola de Minas; 66(2); 227-232","Rem: Revista Escola de Minas","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672013000200014&lang=pt" 
"S0370-44672013000200006-scl","Influence of Mo alloying on pitting corrosion of stainless steels used as concrete reinforcement","Mesquita, Thiago J., Chauveau, Eric, Mantel, Marc, Kinsman, Nicole, Nogueira, Ricardo P.","Rem: Revista Escola de Minas; 66(2); 173-178","Rem: Revista Escola de Minas","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672013000200006&lang=pt" 
"S0370-44672013000200013-scl","Formation and reversion of strain induced martensite on Fe-Cr-Ni alloys","Brollo, Gabriela Lujan, Mei, Paulo Roberto","Rem: Revista Escola de Minas; 66(2); 221-225","Rem: Revista Escola de Minas","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672013000200013&lang=pt" 
"S0370-44672013000200012-scl","Electrochemical behavior of indole for AISI 430 stainless steel in changing the media from 1 mol L-1 H2SO4 to 1 mol L-1 HCl","Tussolini, Martha, Viomar, Aline, Gallina, André Lazarin, Banczek, Everson do Prado, Cunha, Maico Taras da, Rodrigues, Paulo Rogério Pinto","Rem: Revista Escola de Minas; 66(2); 215-220","Rem: Revista Escola de Minas","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672013000200012&lang=pt" 
"S0370-44672013000200008-scl","Microstructure evaluation of UNS S32205 duplex stainless steel friction stir welds","Santos, Tiago F. A., Marinho, Ricardo R., Paes, Marcelo T. P., Ramirez, Antonio J.","Rem: Revista Escola de Minas; 66(2); 187-191","Rem: Revista Escola de Minas","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672013000200008&lang=pt" 
"S0370-44672013000200007-scl","Role of Nb in 13Cr super-martensitic stainless steel","Ma, Xiaoping, Zhou, Cheng, Wang, Lijun, Liu, Chunming, Subramanian, Sundaresa, Oliveira, Mariana Perez de","Rem: Revista Escola de Minas; 66(2); 179-185","Rem: Revista Escola de Minas","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672013000200007&lang=pt" 
"S0370-44672013000200001-scl","","","Rem: Revista Escola de Minas; 66(2); 139-139","Rem: Revista Escola de Minas","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672013000200001&lang=pt" 
"S0370-44672013000200005-scl","Numerical and experimental assessment of stainless and carbon bolted tensioned members with staggered bolts","Santos, João de Jesus dos, Silva, André Tenchini da, Lima, Luciano Rodrigues Ornelas de, Vellasco, Pedro Colmar Gonçalves da Silva, Andrade, Sebastião Arhur Lopes de, Silva, José Guilherme Santos da","Rem: Revista Escola de Minas; 66(2); 165-172","Rem: Revista Escola de Minas","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672013000200005&lang=pt" 
"S0370-44672013000200004-scl","Influence of Nb stabilization on the recovery and recrystallization kinetics of a ferritic stainless steel with soft magnetic properties for automotive applications","Meyer, Nicolas, Mantel, Marc, Dubois, P.E., Veron, Muriel, Brechet, Yves, Geoffroy, Olivier","Rem: Revista Escola de Minas; 66(2); 159-163","Rem: Revista Escola de Minas","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672013000200004&lang=pt" 
"S0370-44672013000200003-scl","Influence of Selective Catalytic Reduction (SCR) system on stainless steel durability","Miraval, Claudine, Saedlou, Saghi, Evrard, Romain, Santacreu, Pierre-Olivier, Leseux, Johan","Rem: Revista Escola de Minas; 66(2); 153-158","Rem: Revista Escola de Minas","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672013000200003&lang=pt" 
"S1851-37432013000100001-arg","Genotoxicidad de mezclas de pesticidas: ¿algo más que la suma de las partes?","Coalova, Isis, Mencacci, Santiago, Fassiano, Anabella V","Acta toxicológica argentina; 21(1); 5-14","Acta toxicológica argentina","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-37432013000100001&lang=pt" 
"S1851-37432013000100002-arg","Afectación de las funciones cognitivas y motoras en niños residentes de zonas rurales de Jujuy y su relación con plaguicidas inhibidores de la colinesterasa: Un estudio piloto","Martos Mula, Ana J, Saavedra, Olga N, Wierna, Norma R, Ruggeri, María A, Tschambler, Javier A, Ávila Carreras, Natalia M, Bonillo, Mario C, Bovi Mitre, María G","Acta toxicológica argentina; 21(1); 15-25","Acta toxicológica argentina","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-37432013000100002&lang=pt" 
"S1851-37432013000100003-arg","Anticoagulant and factor Xa-like activities of Tityus discrepans scorpion venom","Brazón, Josmary, Guerrero, Belsy, Suze, D, Sevcik, Carlos, Gina, Arocha-Piñango, Carmen L","Acta toxicológica argentina; 21(1); 26-32","Acta toxicológica argentina","Inglês","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-37432013000100003&lang=pt" 
"S1851-37432013000100004-arg","Cadmio: efectos sobre la salud. Respuesta celular y molecular","Martínez Flores, Karina, Souza Arroyo, Verónica, Bucio Ortiz, Leticia, Gómez Quiroz, Luis Enrique, Gutiérrez Ruiz, María Concepción","Acta toxicológica argentina; 21(1); 33-49","Acta toxicológica argentina","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-37432013000100004&lang=pt" 
"S1851-37432013000100005-arg","Citotocixidade e atividade antiparasitária de Lygodium venustum SW","Morais-Braga, Maria Flaviana B, Souza, Teógenes .M, Santos, Karla K.A, Andrade, Jacqueline C, Guedes, Gláucia M.M, Tintino, Saulo R, Souza, Celestina E.S, Costa, José G.M, Saraiva, Antônio A.F, Coutinho, Henrique.D.M","Acta toxicológica argentina; 21(1); 50-56","Acta toxicológica argentina","Português","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-37432013000100005&lang=pt" 
"S1851-37432013000100006-arg","Biodisponibilidad y toxicidad de metales pesados en aguas naturales con características físico-químicas extremas: Bases para su monitoreo y remediación","Casares, María V","Acta toxicológica argentina; 21(1); 57-58","Acta toxicológica argentina","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-37432013000100006&lang=pt" 
"S0103-166X2013000200014-scl","O profissional de saúde mental na reforma psiquiátrica","Simões, Cristiane Helena Dias, Fernandes, Rafael Aiello, Aiello-Vaisberg, Tania Maria José","Estudos de Psicologia (Campinas); 30(2); 275-282","Estudos de Psicologia (Campinas)","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-166X2013000200014&lang=pt" 
