"S0718-27242013000200004-chl","Building a Sustainable Competitive Advantage","Srivastava, Mukesh, Franklin, Andy, Martinette, Louis","Journal of technology management &amp; innovation; 8(2); 47-60","Journal of technology management &amp; innovation","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-27242013000200004&lang=pt" 
"S0718-27242013000200005-chl","Acceptance and Use of Information and Communications Technology: A UTAUT and Flow Based Theoretical Model","Alwahaishi, Saleh, Snásel, Václav","Journal of technology management &amp; innovation; 8(2); 61-73","Journal of technology management &amp; innovation","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-27242013000200005&lang=pt" 
"S0718-27242013000200006-chl","The Introduction of Innovative Services in a State Owned Airline: A Case Study of an IT Migration Project","Malagas, Konstantinos N, Kourousis, Kyriakos I, Baxter, Glenn, Nikitakos, Nikitas, Gritzalis, Stefanos","Journal of technology management &amp; innovation; 8(2); 74-83","Journal of technology management &amp; innovation","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-27242013000200006&lang=pt" 
"S0718-27242013000200007-chl","Ubiquitous Retailing Innovative Scenario: From the Fixed Point of Sale to the Flexible Ubiquitous Store","Pantano, Eleonora","Journal of technology management &amp; innovation; 8(2); 84-92","Journal of technology management &amp; innovation","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-27242013000200007&lang=pt" 
"S0718-27242013000200008-chl","Interaction Among Universities, Government and Spin-off Companies in a Brazilian Context to Generate Sports Innovation","Terra, Branca, Batista, Luis Alberto, Cortines Campos, Sergio Ricardo, Almeida, Mariza","Journal of technology management &amp; innovation; 8(2); 93-106","Journal of technology management &amp; innovation","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-27242013000200008&lang=pt" 
"S0718-27242013000200009-chl","Patents, Drug Delivery and Public Health Protection: Health Risk Management for Nanopharmaceuticals","da Silva Sant&#039;Anna, Leonardo, Pacheco Ferreira, Aldo, de Menezes Alencar, Maria Simone","Journal of technology management &amp; innovation; 8(2); 107-118","Journal of technology management &amp; innovation","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-27242013000200009&lang=pt" 
"S0718-27242013000200010-chl","Firm Segmentation as a Tool for R&amp;D Policy Evaluation: Revisiting the Taxonomy of Firms Engaged in International R&amp;D Networks","Brandão Fischer, Bruno, Molero, José","Journal of technology management &amp; innovation; 8(2); 119-131","Journal of technology management &amp; innovation","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-27242013000200010&lang=pt" 
"S0718-27242013000200011-chl","La Innovación Organizativa y de Gestión como Motor de Dinamización Empresarial","Parga-Dans, Eva, Martín-Ríos, Carlos, Criado-Boado, Felipe","Journal of technology management &amp; innovation; 8(2); 132-143","Journal of technology management &amp; innovation","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-27242013000200011&lang=pt" 
"S0718-27242013000200012-chl","Innovative Strategic Leader Transforming From a Low-Cost Strategy to Product Differentiation Strategy","Ray Gehani, R","Journal of technology management &amp; innovation; 8(2); 144-155","Journal of technology management &amp; innovation","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-27242013000200012&lang=pt" 
"S0718-27242013000200013-chl","Women Scientists in the Leaking Pipeline: Barriers to the Commercialisation of Scientific Knowledge by Women","Polkowska, Dominika","Journal of technology management &amp; innovation; 8(2); 156-165","Journal of technology management &amp; innovation","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-27242013000200013&lang=pt" 
"S0718-27242013000200014-chl","Factors Affecting the Practices of External Problem Solvers in Broadcast Search","Corvello, Vincenzo, Iazzolino, Gianpaolo","Journal of technology management &amp; innovation; 8(2); 166-177","Journal of technology management &amp; innovation","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-27242013000200014&lang=pt" 
"S0718-27242013000200015-chl","Evaluating Performance of University Spin-Off Companies: Lessons from Italy","Bigliardi, Barbara, Galati, Francesco, Verbano, Chiara","Journal of technology management &amp; innovation; 8(2); 178-188","Journal of technology management &amp; innovation","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-27242013000200015&lang=pt" 
"S0718-27242013000200016-chl","Selecting University Technology Transfer Modes: An Examination of Biotechnology Firms&#039; Entrepreneurial Orientation","Kirkman, Dorothy M","Journal of technology management &amp; innovation; 8(2); 189-208","Journal of technology management &amp; innovation","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-27242013000200016&lang=pt" 
"S0718-27242013000200017-chl","Las Microfinanzas como Instrumento de Apoyo al Sector Microempresarial en Chile: Estado y Desafíos","Sanhueza Martínez, Paulina","Journal of technology management &amp; innovation; 8(2); 209-220","Journal of technology management &amp; innovation","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-27242013000200017&lang=pt" 
"S0718-27242013000200018-chl","Oficinas de Transferencia Tecnológica en las Universidades como Estrategia para Fomentar la Innovación y la Competitividad: Caso: Estado de Hidalgo, México","Pedraza Amador, Elba M, Velázquez Castro, Judith A","Journal of technology management &amp; innovation; 8(2); 221-234","Journal of technology management &amp; innovation","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-27242013000200018&lang=pt" 
"S0718-27242013000200019-chl","R&amp;D+ i Strategic Management in a Public Company in the Brazilian Electric Sector","de Quadros Carvalho, Ruy, Vieira dos Santos, Glicia, de Barros Neto, Manoel Clementino","Journal of technology management &amp; innovation; 8(2); 235-250","Journal of technology management &amp; innovation","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-27242013000200019&lang=pt" 
"S0102-311X2013000900020-spa","Cancer incidence, hospital morbidity, and mortality in young adults in Brazil","Santos, Sabrina da Silva, Melo, Leticia Rodrigues, Koifman, Rosalina Jorge, Koifman, Sergio","Cadernos de Saúde Pública; 29(5); 1029-1040","Cadernos de Saúde Pública","Inglês","2013","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2013000900020&lang=pt" 
"S0102-311X2013000500020-scl","Cancer incidence, hospital morbidity, and mortality in young adults in Brazil","Santos, Sabrina da Silva, Melo, Leticia Rodrigues, Koifman, Rosalina Jorge, Koifman, Sergio","Cadernos de Saúde Pública; 29(5); 1029-1040","Cadernos de Saúde Pública","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2013000500020&lang=pt" 
"S1020-49892013000500002-spa","Setting priorities for surveillance, prevention, and control of zoonoses in Bogotá, Colombia","Cediel, Natalia, Villamil, Luis Carlos, Romero, Jaime, Renteria, Libardo, De Meneghi, Daniele","Revista Panamericana de Salud Pública; 33(5); 316-324","Revista Panamericana de Salud Pública","Inglês","2013","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892013000500002&lang=pt" 
