"S0102-85292016000200567-scl","Explaining Co-operation and Conflict in Southern Africa: State-building, Foreign Policy and Regional Order","Silva, Igor Castellano da","Contexto Internacional; 38(2); 567-591","Contexto Internacional","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292016000200567&lang=pt" 
"S0365-05962016000400410-scl","Geographic tongue and psoriasis: clinical, histopathological, immunohistochemical and genetic correlation - a literature review","Picciani, Bruna Lavinas Sayed, Domingos, Tábata Alves, Teixeira-Souza, Thays, Santos, Vanessa de Carla Batista dos, Gonzaga, Heron Fernando de Sousa, Cardoso-Oliveira, Juliana, Gripp, Alexandre Carlos, Dias, Eliane Pedra, Carneiro, Sueli","Anais Brasileiros de Dermatologia; 91(4); 410-421","Anais Brasileiros de Dermatologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962016000400410&lang=pt" 
"S2358-04292016000400001-scl","Effects of dual-task interventions on gait performance of patients with Parkinson&#039;s Disease: A systematic review","Santos, Luís A. A., Campos, Carlos, Bento, Teresa, Lattari, Eduardo, Nardi, Antônio Egidio, Rocha, Nuno Barbosa F., Machado, Sérgio","MedicalExpress; 3(4); -","MedicalExpress","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2358-04292016000400001&lang=pt" 
"S0365-05962016000400479-scl","Atopic dermatitis: allergic dermatitis or neuroimmune dermatitis?","Gaspar, Neide Kalil, Aidé, Márcia Kalil","Anais Brasileiros de Dermatologia; 91(4); 479-488","Anais Brasileiros de Dermatologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962016000400479&lang=pt" 
"S0101-74382016000200321-scl","A COMPARATIVE STUDY BETWEEN ARTIFICIAL NEURAL NETWORK AND SUPPORT VECTOR MACHINE FOR ACUTE CORONARY SYNDROME PROGNOSIS","Collazo, Rodrigo Abrunhosa, Pessôa, Leonardo Antonio Monteiro, Bahiense, Laura, Pereira, Basílio de Bragança, Reis, Amália Faria dos, Silva, Nelson Souza e","Pesquisa Operacional; 36(2); 321-343","Pesquisa Operacional","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382016000200321&lang=pt" 
"S0101-74382016000200197-scl","A SURVEY ON HEURISTICS FOR THE TWO-DIMENSIONAL RECTANGULAR STRIP PACKING PROBLEM","Oliveira, José Fernando, Neuenfeldt Júnior, Alvaro, Silva, Elsa, Carravilla, Maria Antónia","Pesquisa Operacional; 36(2); 197-226","Pesquisa Operacional","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382016000200197&lang=pt" 
"S0101-74382016000200301-scl","MONITORING THE STATOR CURRENT IN INDUCTION MACHINES FOR POSSIBLE FAULT DETECTION: A FUZZY/BAYESIAN APPROACH FOR THE PROBLEM OF TIME SERIES MULTIPLE CHANGE POINT DETECTION","D&#039;Angelo, Marcos F.S.V., Palhares, Reinaldo M., Maia, Renato D., Mendes, João B., Ekel, Petr Ya., Cangussu, Camila K.S., Aguiar, Lucas A.","Pesquisa Operacional; 36(2); 301-320","Pesquisa Operacional","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382016000200301&lang=pt" 
"S0104-026X2016000200581-scl","Um mundo de mulheres em Florianópolis: entrevista com Caroline Andrew","Crescêncio, Cíntia Lima, Gomes, Maurício Pereira","Revista Estudos Feministas; 24(2); 581-585","Revista Estudos Feministas","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2016000200581&lang=pt" 
"S0718-34292016000400010-chl","Primer reporte de Pectobacterium spp. asociada a Opuntia ficus en Baja California, México","Torres-Bojórquez, Ariana Isabel, Cervantes-Díaz, Lourdes, Núñez-Ramírez, Fidel, Morales-Maza, Antonio, Samaniego-Gámez, Blancka Yesenia","Idesia (Arica); 34(4); 69-71","Idesia (Arica)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34292016000400010&lang=pt" 
"S0718-34292016000400001-chl","Drought, environmental degradation, work and education: A brief comment on the current reality of agricultural communities in the Limarí Province, Chile","Cortés, Manuel E","Idesia (Arica); 34(4); 73-76","Idesia (Arica)","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34292016000400001&lang=pt" 
"S0718-34292016000400002-chl","Evaluación bromatológica de la semilla de maqui (Aristotelia chilensis (Molina), Stuntz)","Araneda, Ximena, Pacheco, Alejandra, Martínez, María Isabel, Morales, Daniza","Idesia (Arica); 34(4); 5-11","Idesia (Arica)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34292016000400002&lang=pt" 
"S0718-34292016000400009-chl","Hydroalcoholic plant extracts from the southwest Amazon for the alternative control of fall armyworms","Vieira dos Santos, Ana Cláudia, Araújo de Almeida, Waldiane, Carioca Fernandes, Carromberth, Hipólito de Sousa, Adalberto","Idesia (Arica); 34(4); 63-67","Idesia (Arica)","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34292016000400009&lang=pt" 
"S0718-34292016000400003-chl","Caracterización de la latencia invernal de cepas antiguas de vid (Vitis vinifera L.) País, Gros Colman y Torrontés Riojano, establecidas en el desierto de Atacama, Chile","Poblete, Ingrid, Hinrichsen, Patricio, Riquelme, Alejandro, Pinto, Manuel","Idesia (Arica); 34(4); 13-22","Idesia (Arica)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34292016000400003&lang=pt" 
"S0718-34292016000400008-chl","Analysis of reference evapotranspiration of Janaúba, mg","Mendes Reis, Matheus, Gonçalves Oliveira, Flávio, Gonçalves Lopes, Érika Manuela","Idesia (Arica); 34(4); 55-62","Idesia (Arica)","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34292016000400008&lang=pt" 
"S0718-34292016000400004-chl","El pajarete de Huasco y Elqui (Chile): Historia de un vino escogido","Castro, Amalia, Pszczólkowski, Philippo, Mujica, Fernando, Lacoste, Pablo, Núñez, Emiliano, Cofré, Carolina, Adunka, Michelle L, Soto, Natalia","Idesia (Arica); 34(4); 23-35","Idesia (Arica)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34292016000400004&lang=pt" 
"S0718-34292016000400007-chl","Reintroduction of the invasive mosquito Aedes aegypti (Linnaeus) (Diptera: Culicidae) in northern Chile","González, Christian R, Henry, Abel, Reyes, Carolina, Aylwin, María Paz, Escobar, Daniel, Fernández, Jorge, Saldarriaga-Córdoba, Mónica","Idesia (Arica); 34(4); 49-53","Idesia (Arica)","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34292016000400007&lang=pt" 
"S0718-34292016000400006-chl","Evaluation of spray deposits with twin flat tip with air induction in two soybean stages","Rojo Baio, Fábio Henrique, Pettenan, Anderson Luiz, da Silva Camolese, Herivelton, Francischetti Gabriel, Raul Rodolfo","Idesia (Arica); 34(4); 43-48","Idesia (Arica)","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34292016000400006&lang=pt" 
"S1405-33222016000200375-mex","Corrigendum to Ophthalmoplax (Decapoda: Brachyura: Portunoidea) from the late Campanian, Upper Cretaceous, of Colombia","Guzmán, Walter, Bermúdez, Hermann Darío, Gómez-Cruz, Arley de Jesús, Vega, Francisco J.","Boletín de la Sociedad Geológica Mexicana; 68(2); 375-376","Boletín de la Sociedad Geológica Mexicana","Inglês","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-33222016000200375&lang=pt" 
