"S0074-02762016000700450-scl","Highly active ozonides selected against drug resistant malaria","Lobo, Lis, Sousa, Bruno de, Cabral, Lília, Cristiano, Maria LS, Nogueira, Fátima","Memórias do Instituto Oswaldo Cruz; 111(7); 450-453","Memórias do Instituto Oswaldo Cruz","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762016000700450&lang=pt" 
"S1909-30632016000200006-col","LAS RELACIONES EN EL GOLFO DESPUÉS DE LA &quot;PRIMAVERA ÁRABE&quot; Y SU IMPACTO EN LA REGIÓN","Cuadro, Mariela","Revista de Relaciones Internacionales, Estrategia y Seguridad; 11(2); 111-135","Revista de Relaciones Internacionales, Estrategia y Seguridad","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-30632016000200006&lang=pt" 
"S0104-42302016000400361-scl","Day hospital and psychosocial care center: Expanding the discussion of partial hospitalization in mental health","Weber, César Augusto Trinta, Juruena, Mario Francisco","Revista da Associação Médica Brasileira; 62(4); 361-367","Revista da Associação Médica Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302016000400361&lang=pt" 
"S0074-02762016000700454-scl","Evaluation of crystal violet decolorization assay for minimal inhibitory concentration detection of primary antituberculosis drugs against Mycobacterium tuberculosis isolates","Coban, Ahmet Yilmaz, Akbal, Ahmet Ugur, Uzun, Meltem, Cayci, Yeliz Tanriverdi, Birinci, Asuman, Durupinar, Belma","Memórias do Instituto Oswaldo Cruz; 111(7); 454-459","Memórias do Instituto Oswaldo Cruz","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762016000700454&lang=pt" 
"S0074-02762016000700475-scl","Study of surface carbohydrates in Galba truncatula tissues before and after infection with Fasciola hepatica","Georgieva, Katya, Georgieva, Liliya, Mizinska-Boevska, Yana, Stoitsova, Stoyanka R","Memórias do Instituto Oswaldo Cruz; 111(7); 475-483","Memórias do Instituto Oswaldo Cruz","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762016000700475&lang=pt" 
"S0104-42302016000400342-scl","Exposure to fine particulate matter and hospital admissions due to pneumonia: Effects on the number of hospital admissions and its costs","Patto, Nicole Vargas, Nascimento, Luiz Fernando Costa, Mantovani, Katia Cristina C., Vieira, Luciana C. P. F. S., Moreira, Demerval S.","Revista da Associação Médica Brasileira; 62(4); 342-346","Revista da Associação Médica Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302016000400342&lang=pt" 
"S1909-30632016000200009-col","EL PAPEL GEOPOLÍTICO DE LA CORTE INTERNACIONAL DE JUSTICIA EN AMÉRICA DEL SUR: EL CASO PERÚ - CHILE (2008-2014)","Manzano Iturra, Karen Isabel, Jiménez Cabrera, Diego Ignacio","Revista de Relaciones Internacionales, Estrategia y Seguridad; 11(2); 187-214","Revista de Relaciones Internacionales, Estrategia y Seguridad","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-30632016000200009&lang=pt" 
"S0074-02762016000700443-scl","Larvicidal activity of Syzygium aromaticum (L.) Merr and Citrus sinensis (L.) Osbeck essential oils and their antagonistic effects with temephos in resistant populations of Aedes aegypti","Araujo, Adriana Faraco de Oliveira, Ribeiro-Paes, João Tadeu, Deus, Juliana Telles de, Cavalcanti, Sócrates Cabral de Holanda, Nunes, Rogéria de Souza, Alves, Péricles Barreto, Macoris, Maria de Lourdes da Graça","Memórias do Instituto Oswaldo Cruz; 111(7); 443-449","Memórias do Instituto Oswaldo Cruz","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762016000700443&lang=pt" 
"S1909-30632016000200001-col","EDITORIAL","ARIAS HENAO, DIANA PATRICIA, BONILLA MONTENEGRO, JULIÁN DARÍO","Revista de Relaciones Internacionales, Estrategia y Seguridad; 11(2); 297-309","Revista de Relaciones Internacionales, Estrategia y Seguridad","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-30632016000200001&lang=pt" 
"S0104-42302016000400297-scl","Treatment of medulloblastoma in children and adolescents","Collange, Nelci Zanon, Brito, Silvana de Azevedo, Campos, Ricardo Rezende, Santos, Egmond Alves Silva, Botelho, Ricardo Vieira","Revista da Associação Médica Brasileira; 62(4); 297-297","Revista da Associação Médica Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302016000400297&lang=pt" 
"S1695-61412016000300011-esp","Barreras para la utilización de la investigación: estudio descriptivo en profesionales de Enfermería en un hospital del sudoeste de Madrid","Guadarrama Ortega, David","Enfermería Global; 15(43); 261-274","Enfermería Global","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1695-61412016000300011&lang=pt" 
