"S0717-93082013000300006-chl","Malformación cavernomatosa: Revisión de una patología clásica","Aliaga Q, Adolfo, Palavecino B, Támara, Espinoza A, Rodrigo, Dellien Z, Holvis","Revista chilena de radiología; 19(3); 117-124","Revista chilena de radiología","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-93082013000300006&lang=pt" 
"S0717-93082013000300007-chl","Tortícolis en la edad pediátrica: Revisión pictográfica","Pérez, Manuela, Ortega F, Ximena, Lillo, Susana, Moenne B, Karla, Escaffi J, Juan Antonio, Pérez S, Carolina","Revista chilena de radiología; 19(3); 125-133","Revista chilena de radiología","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-93082013000300007&lang=pt" 
"S0717-93082013000300008-chl","Cartílago articular: Evaluación por resonancia magnética","Delgado P, Gonzalo","Revista chilena de radiología; 19(3); 134-139","Revista chilena de radiología","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-93082013000300008&lang=pt" 
"S1516-84842013000500296-scl","Cell therapy in Brazil: time for reflection","Ruiz, Milton Artur","Revista Brasileira de Hematologia e Hemoterapia; 35(5); 296-298","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842013000500296&lang=pt" 
"S1516-84842013000500332-scl","Relationship between splenomegaly and hematologic findings in patients with hepatosplenic schistosomiasis","Leite, Luiz Arthur Calheiros, Domingues, Ana Lucia Coutinho, Lopes, Edmundo Pessoa, Ferreira, Rita de Cassia dos Santos, Pimenta Filho, Adenor de Almeida, Fonseca, Caique Silveira Martins da, Santos, Bianka Santana dos, Lima, Vera Lucia de Menezes","Revista Brasileira de Hematologia e Hemoterapia; 35(5); 332-336","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842013000500332&lang=pt" 
"S1516-84842013000500314-scl","Health-related quality of life in hemophilia: results of the Hemophilia-Specific Quality of Life Index (Haem-a-Qol) at a Brazilian blood center","Ferreira, Adriana Aparecida, Leite, Isabel Cristina Goncalves, Bustamante-Teixeira, Maria Teresa, Correa, Camila Soares Lima, Cruz, Danielle Teles da, Rodrigues, Daniela de Oliveira Werneck, Ferreira, Monica Calil Borges","Revista Brasileira de Hematologia e Hemoterapia; 35(5); 314-318","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842013000500314&lang=pt" 
"S1516-84842013000500337-scl","Gene rearrangement study for minimal residual disease monitoring in children with acute lymphocytic leukemia","Assumpcao, Juliana Godoy, Paula, Francisco Danilo Ferreira, Xavier, Sandra Guerra, Murao, Mitiko, Aguirre Neto, Joaquim Caetano de, Dutra, Alvaro Pimenta, Lima, Eduardo Ribeiro, Oliveira, Benigna Maria de, Viana, Marcos Borato","Revista Brasileira de Hematologia e Hemoterapia; 35(5); 337-342","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842013000500337&lang=pt" 
"S1516-84842013000500325-scl","Sickle Cell Disease: quality of life in patients with hemoglobin SS and SC disorders","Pereira, Sonia Aparecida dos Santos, Brener, Stela, Cardoso, Clareci Silva, Proietti, Anna Barbara de Freitas Carneiro","Revista Brasileira de Hematologia e Hemoterapia; 35(5); 325-331","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842013000500325&lang=pt" 
"S1516-84842013000500319-scl","Tooth loss and associated factors in patients with coagulopathies in the State of Paraiba, Brazil","Rodrigues, Larycia Vicente, Moreira, Mayara dos Santos Camelo, Oliveira, Carla Ramos de, Medeiros, Julia Jullieta de, Lima Neto, Eufrasio de Andrade, Valenca, Ana Maria Gondim","Revista Brasileira de Hematologia e Hemoterapia; 35(5); 319-324","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842013000500319&lang=pt" 
"S1516-84842013000500358-scl","Guidelines on the diagnosis of primary immune thrombocytopenia in children and adolescents: Associacao Brasileira de Hematologia, Hemoterapia e Terapia Celular Guidelines Project: Associacao Medica Brasileira - 2012","Braga, Josefina Aparecida Pellegrini, Loggetto, Sandra Regina, Hoepers, Andrea Thives de Carvalho, Bernardo, Wanderley Marques, Medeiros, Leticia, Verissimo, Monica Pinheiro de Almeida","Revista Brasileira de Hematologia e Hemoterapia; 35(5); 358-365","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842013000500358&lang=pt" 
"S0102-71822013000300007-scl","A afetividade como traço da constituição identitária docente: o olhar da psicologia","Souza, Vera Lucia Trevisan de, Petroni, Ana Paula, Andrada, Paula Costa de","Psicologia &amp; Sociedade; 25(3); 527-537","Psicologia &amp; Sociedade","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822013000300007&lang=pt" 
