"S0100-879X2012001200012-scl","A novel noninvasive method to detect rejection after heart transplantation","Hu, Jun, Xie, Xin, Li, Yuan, Wang, Shuang, Feng, Qing, Wang, Xin, Liang, Daoyan","Brazilian Journal of Medical and Biological Research; 45(12); 1195-1201","Brazilian Journal of Medical and Biological Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2012001200012&lang=pt" 
"S0100-879X2012001200001-scl","Recombinant vaccines and the development of new vaccine strategies","Nascimento, I.P., Leite, L.C.C.","Brazilian Journal of Medical and Biological Research; 45(12); 1102-1111","Brazilian Journal of Medical and Biological Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2012001200001&lang=pt" 
"S0100-879X2012001200005-scl","Effect of ATP and 2-oxoglutarate on the in vitro interaction between the NifA GAF domain and the GlnB protein of Azospirillum brasilense","Sotomaior, P., Araújo, L.M., Nishikawa, C.Y., Huergo, L.F., Monteiro, R.A., Pedrosa, F.O., Chubatsu, L.S., Souza, E.M.","Brazilian Journal of Medical and Biological Research; 45(12); 1135-1140","Brazilian Journal of Medical and Biological Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2012001200005&lang=pt" 
"S0100-879X2012001200003-scl","Genetic association of SNPs in the FTO gene and predisposition to obesity in Malaysian Malays","Apalasamy, Y.D., Ming, M.F., Rampal, S., Bulgiba, A., Mohamed, Z.","Brazilian Journal of Medical and Biological Research; 45(12); 1119-1126","Brazilian Journal of Medical and Biological Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2012001200003&lang=pt" 
"S0100-879X2012001200031-scl","Psychiatric disorders and cardiac anxiety in exercising and sedentary coronary artery disease patients: a case-control study","Sardinha, A., Araújo, C.G.S., Nardi, A.E.","Brazilian Journal of Medical and Biological Research; 45(12); 1320-1326","Brazilian Journal of Medical and Biological Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2012001200031&lang=pt" 
"S0100-879X2012001200033-scl","Clinicopathological significance of PTPN12 expression in human breast cancer","Xunyi, Yuan, Zhentao, Yuan, Dandan, Jiang, Funian, Li","Brazilian Journal of Medical and Biological Research; 45(12); 1334-1340","Brazilian Journal of Medical and Biological Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2012001200033&lang=pt" 
"S0100-879X2012001200028-scl","Clinical outcome of protein-energy malnourished patients in a Brazilian university hospital","Pasquini, T.A.S., Neder, H.D., Araújo-Junqueira, L., De-Souza, D.A.","Brazilian Journal of Medical and Biological Research; 45(12); 1301-1307","Brazilian Journal of Medical and Biological Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2012001200028&lang=pt" 
"S1414-81452012000400002-scl","Aplicabilidade dos diagnósticos de enfermagem como subsídios para indicação do cateter central de inserção periférica","Costa, Leticia Celestino da, Paes, Graciele Oroski","Escola Anna Nery; 16(4); 649-656","Escola Anna Nery","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452012000400002&lang=pt" 
"S1414-81452012000400003-scl","O cuidado de enfermagem no pós-operatório de cirurgia cardíaca: um estudo de caso","Duarte, Sabrina da Costa Machado, Stipp, Marluci Andrade Conceição, Mesquita, Maria Gefé da Rosa, Silva, Marcelle Miranda da","Escola Anna Nery; 16(4); 657-665","Escola Anna Nery","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452012000400003&lang=pt" 
"S1414-81452012000400004-scl","Contribuição do cuidado clínico de enfermagem para o conforto psicoespiritual de mulheres com infarto agudo do miocárdio","Ponte, Keila Maria de Azevedo, Silva, Lúcia de Fátima da, Aragão, Antonia Eliana de Araújo, Guedes, Maria Vilani Cavalcante, Zagonel, Ivete Palmira Sanson","Escola Anna Nery; 16(4); 666-673","Escola Anna Nery","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452012000400004&lang=pt" 
"S1414-81452012000400005-scl","Transplante cardíaco: complicações apresentadas por pacientes durante a internação","Silva, Elaine Araújo da, Carvalho, Daclé Vilma","Escola Anna Nery; 16(4); 674-681","Escola Anna Nery","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452012000400005&lang=pt" 
"S1414-81452012000400006-scl","Demanda de intervenções de enfermagem a pacientes sob cuidados intensivos: nas - nursing activities score","Feitosa, Manuella Carvalho, Leite, Illoma Rossany Lima, Silva, Grazielle Roberta Freitas da","Escola Anna Nery; 16(4); 682-688","Escola Anna Nery","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452012000400006&lang=pt" 
"S1414-81452012000400007-scl","O cuidado intensivo oferecido ao paciente no ambiente de Unidade de Terapia Intensiva","Backes, Marli Terezinha Stein, Erdmann, Alacoque Lorenzini, Büscher, Andreas, Backes, Dirce Stein","Escola Anna Nery; 16(4); 689-696","Escola Anna Nery","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452012000400007&lang=pt" 
"S1414-81452012000400008-scl","Obstinação terapêutica em Unidade de Terapia Intensiva: perspectiva de médicos e enfermeiros","Silva, Karla Cristiane Oliveira, Quintana, Alberto Manuel, Nietsche, Elisabeta Albertina","Escola Anna Nery; 16(4); 697-703","Escola Anna Nery","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452012000400008&lang=pt" 
"S1414-81452012000400009-scl","Desconfortos vividos no cotidiano de familiares de pessoas internadas na UTI","Freitas, Kátia Santana, Mussi, Fernanda Carneiro, Menezes, Igor Gomes","Escola Anna Nery; 16(4); 704-711","Escola Anna Nery","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452012000400009&lang=pt" 
"S1414-81452012000400010-scl","Sítios assistenciais em Unidade de Terapia Intensiva e relação do nursing activities score com a infecção hospitalar","Cyrino, Claudia Maria Silva, Dell&#039;Acqua, Magda Cristina Queiroz","Escola Anna Nery; 16(4); 712-718","Escola Anna Nery","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452012000400010&lang=pt" 
"S1414-81452012000400011-scl","Discursos de enfermeiros sobre humanização na Unidade de Terapia Intensiva","Silva, Fernanda Duarte da, Chernicharo, Isis de Moraes, Silva, Rafael Celestino da, Ferreira, Márcia de Assunção","Escola Anna Nery; 16(4); 719-727","Escola Anna Nery","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452012000400011&lang=pt" 
"S1414-81452012000400012-scl","Expressão não verbal do paciente no cuidado: percepção do enfermeiro em unidade cardiointensiva","Bax, Ana Maria Cunha, Araújo, Sílvia Teresa Carvalho de","Escola Anna Nery; 16(4); 728-733","Escola Anna Nery","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452012000400012&lang=pt" 
"S1414-81452012000400013-scl","Emergindo a complexidade do cuidado de enfermagem ao ser em morte encefálica","Pestana, Aline Lima, Erdmann, Alacoque Lorenzini, Sousa, Francisca Georgina Macêdo de","Escola Anna Nery; 16(4); 734-740","Escola Anna Nery","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452012000400013&lang=pt" 
"S1414-81452012000400014-scl","O enfermeiro e o cuidar da criança com câncer sem possibilidade de cura atual","Monteiro, Ana Claudia Moreira, Rodrigues, Benedita Maria Rêgo Deusdará, Pacheco, Sandra Teixeira de Araújo","Escola Anna Nery; 16(4); 741-746","Escola Anna Nery","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452012000400014&lang=pt" 
"S1414-81452012000400015-scl","Epidemiologia do trauma raquimedular em emergências públicas no município do Rio de Janeiro","Santos, Talami Sayole Costa, Guimarães, Raphael Mendonça, Boeira, Samyra Fábregas","Escola Anna Nery; 16(4); 747-753","Escola Anna Nery","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452012000400015&lang=pt" 
"S1414-81452012000400016-scl","Desvelando o cuidado de enfermagem ao paciente transplantado hepático em uma Unidade de Terapia Intensiva","Borges, Maria Cristina Leite Araújo, Silva, Lucilane Maria Sales da, Guedes, Maria Vilaní Cavalcante, Caetano, Joselany Áfio","Escola Anna Nery; 16(4); 754-760","Escola Anna Nery","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452012000400016&lang=pt" 
