"S0122-82852012000300009-col","La programación infantil y juvenil en el cambio de ciclo televisivo español (1990-1994)","Mateos-Pérez, Javier","Palabra Clave; 15(3); 524-548","Palabra Clave","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-82852012000300009&lang=pt" 
"S0122-82852012000300008-col","14 de abril, La República: la intrahistoria española desde la ficción televisiva","Chicharro-Merayo, Mar","Palabra Clave; 15(3); 505-523","Palabra Clave","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-82852012000300008&lang=pt" 
"S1853-19702012000200003-arg","La relevancia de las trayectorias históricas y las resignificaciones conceptuales en experiencias políticas recientes","Ksiazenicki, Inés","Revista SAAP; 6(2); -","Revista SAAP","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-19702012000200003&lang=pt" 
"S0102-33062012000400002-scl","Sistema reprodutivo e diversidade genética de quatro espécies de Myrciaria (Myrtaceae, jabuticabeiras)","Vilela, Regina Célia Freitas, Assis, José Geraldo de Aquino, Nóbrega Filho, Lamartine, Viana, Blandina Felipe","Acta Botanica Brasilica; 26(4); 727-734","Acta Botanica Brasilica","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062012000400002&lang=pt" 
"S0102-33062012000400003-scl","Diversity of plant knowledge in a &quot;Caiçara&quot; community from the Brazilian Atlantic Forest coast","Brito, Mariana Reis de, Senna-Valle, Luci de","Acta Botanica Brasilica; 26(4); 735-747","Acta Botanica Brasilica","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062012000400003&lang=pt" 
"S0102-46982012000400001-scl","","Cirino, Sérgio, Galvão, Ana, Leão, Geraldo, Sales, Júnia, David, Manuela, Versiani, Zélia","Educação em Revista; 28(4); 11-14","Educação em Revista","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-46982012000400001&lang=pt" 
"S0102-46982012000400005-scl","Entre modos de ver e modos de ler, o dizer","Belmiro, Celia Abicalil","Educação em Revista; 28(4); 105-131","Educação em Revista","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-46982012000400005&lang=pt" 
"S0102-46982012000400014-scl","Um despertar para os sentidos da adolescência","Lima, Maria Alice Moreira","Educação em Revista; 28(4); 349-353","Educação em Revista","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-46982012000400014&lang=pt" 
"S0102-46982012000400013-scl","Programas de inclusão na UFMG: o efeito do bônus e do Reuni nos quatro primeiros anos de vigência - um estudo sobre acesso e permanência","Aranha, Antônia Vitória Soares, Pena, Carolina Silva, Ribeiro, Sérgio Henrique Rodrigues","Educação em Revista; 28(4); 317-345","Educação em Revista","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-46982012000400013&lang=pt" 
"S0102-46982012000400007-scl","Universidade e a extensão universitária: a visão dos moradores das comunidades circunvizinhas","Fernandes, Marcelo Costa, Silva, Lucilane Maria Sales da, Machado, Ana Larissa Gomes, Moreira, Thereza Maria Magalhães","Educação em Revista; 28(4); 169-194","Educação em Revista","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-46982012000400007&lang=pt" 
"S0103-65642012000400001-scl","Editorial","Massola, Gustavo Martineli","Psicologia USP; 23(4); 605-607","Psicologia USP","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642012000400001&lang=pt" 
"S0103-65642012000400003-scl","A captura da subjetividade pela violência simbólica da indústria cultural: da submissão à culpabilidade dos indivíduos","Caniato, Angela, Cesnik, Claudia Cotrim, Rodrigues, Samara Megume","Psicologia USP; 23(4); 661-681","Psicologia USP","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642012000400003&lang=pt" 
"S0103-65642012000400005-scl","Trauma, uma falha no cuidar?: diálogo entre Ferenczi e Winnicott","Moreno, Maria Manuela Assunção, Coelho Junior, Nelson Ernesto","Psicologia USP; 23(4); 707-719","Psicologia USP","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642012000400005&lang=pt" 
"S0103-65642012000400009-scl","40 anos do IPUSP","Silva Neto, Norberto Abreu e","Psicologia USP; 23(4); 777-782","Psicologia USP","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642012000400009&lang=pt" 
"S1726-46342012000400017-spa","¿Contribuyen los ensayos clínicos al desarrollo de la investigación en el Perú? ¿Cómo lograrlo?","Málaga, Germán, Zúñiga-Rivera, Ana","Revista Peruana de Medicina Experimental y Salud Pública; 29(4); 529-534","Revista Peruana de Medicina Experimental y Salud Pública","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1726-46342012000400017&lang=pt" 
"S1726-46342012000400015-spa","Rol del estado como autoridad reguladora de ensayos clínicos en el Perú","Fuentes, Duilio, Minaya, Gabriela, Ayala-Quintanilla, Beatriz","Revista Peruana de Medicina Experimental y Salud Pública; 29(4); 516-520","Revista Peruana de Medicina Experimental y Salud Pública","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1726-46342012000400015&lang=pt" 
"S1726-46342012000400013-spa","Diversidad de flebotominos en una zona endémica de leishmaniasis visceral americana en Venezuela","Traviezo Valles, Luis Eduardo","Revista Peruana de Medicina Experimental y Salud Pública; 29(4); 503-508","Revista Peruana de Medicina Experimental y Salud Pública","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1726-46342012000400013&lang=pt" 
"S1726-46342012000400012-spa","Síndrome de reconstitución inmune por BCG en niños tratados por VIH","Miranda-Choque, Edwin, Candela-Herrera, Jorge, R. Segura, Eddy, Farfán-Ramos, Sonia, Barriga, Aldo","Revista Peruana de Medicina Experimental y Salud Pública; 29(4); 498-502","Revista Peruana de Medicina Experimental y Salud Pública","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1726-46342012000400012&lang=pt" 
"S1726-46342012000400032-spa","Reactividad contra Treponema pallidum en donantes de sangre, Ibagué, Colombia, 2011","Cruz-Bermúdez, Harold, Forero-Rincon, Sandra, Moreno-Collazos, Jorge","Revista Peruana de Medicina Experimental y Salud Pública; 29(4); 584-585","Revista Peruana de Medicina Experimental y Salud Pública","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1726-46342012000400032&lang=pt" 
