"S0719-12432012000200005-chl","MOVIMIENTO ESTUDIANTIL E INTELECTUALIDAD REFORMISTA EN ARGENTINA (1918-1946)","Tcach, César","Cuadernos de historia (Santiago); (37); 131-157","Cuadernos de historia (Santiago)","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-12432012000200005&lang=pt" 
"S2007-50572012000400011-mex","Aprendizaje basado en problemas (ABP) en educación médica: sugerencias para ser un tutor efectivo","Mendoza-Espinosa, Haydee, Méndez-López, Jafet Felipe, Torruco-García, Uri","Investigación en educación médica; 1(4); 235-237","Investigación en educación médica","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-50572012000400011&lang=pt" 
"S1688-12492012000300008-ury","Cuidados paliativos pediátricos","Bernadá, Mercedes, Dall’Orso, Patricia, González, Edgardo, Le Pera, Valeria, Carrerou, Roxana, Bellora, Raquel, Bernadá, Elena, Dallo, María de los Ángeles, Guillén, Silvia","Archivos de Pediatría del Uruguay; 83(3); 203-210","Archivos de Pediatría del Uruguay","Espanhol","2012","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-12492012000300008&lang=pt" 
"S1688-12492012000300009-ury","Premio Ramón Guerra","","Archivos de Pediatría del Uruguay; 83(3); 234-234","Archivos de Pediatría del Uruguay","Espanhol","2012","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-12492012000300009&lang=pt" 
"S1688-12492012000300002-ury","Prevalencia de plaquetopenia en niños infectados con el virus de la inmunodeficiencia humana en un Centro de Referencia","Bazzino, Fernando, Sánchez, Mercedes, Abayian, Mariana, Gutiérrez, Stella, González, Virginia, Quian, Jorge","Archivos de Pediatría del Uruguay; 83(3); 165-169","Archivos de Pediatría del Uruguay","Espanhol","2012","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-12492012000300002&lang=pt" 
"S1688-12492012000300003-ury","Evaluación saturométrica y polisomnográfica de prematuros con y sin displasia broncopulmonar","Scavone, Cristina, Lorenzo, Daniel, Moreira, Isabel, Chiappella, Lilian, Criado, Alexandra, Sastre, Lilian","Archivos de Pediatría del Uruguay; 83(3); 170-175","Archivos de Pediatría del Uruguay","Espanhol","2012","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-12492012000300003&lang=pt" 
"S1688-12492012000300006-ury","Enfermedad de Krabbe: A propósito de un caso clínico","Tambasco, Ricardo, García, Loreley, Cerisola, Alfredo, Giachetto, Gustavo, Kanopa, Virginia, Lemes, Aída","Archivos de Pediatría del Uruguay; 83(3); 189-194","Archivos de Pediatría del Uruguay","Espanhol","2012","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-12492012000300006&lang=pt" 
"S1688-12492012000300007-ury","Estrategia Plan Invierno 2011: Hospital Central de las Fuerzas Armadas","Ospitaleche, Mariangel, Padilla, Natalia, de Freitas, Juan Pablo, Pinchak, Catalina","Archivos de Pediatría del Uruguay; 83(3); 195-202","Archivos de Pediatría del Uruguay","Espanhol","2012","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-12492012000300007&lang=pt" 
"S1688-12492012000300004-ury","Encefalitis de San Luis, descripción de un caso clínico.: Primera comunicación nacional","Quian, Jorge, Scavone, Cristina, Fernández, Alicia, Ferre, Araní, Payssé, Sergio, Baldovino, Raquel, Guerra, Mónica","Archivos de Pediatría del Uruguay; 83(3); 181-184","Archivos de Pediatría del Uruguay","Espanhol","2012","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-12492012000300004&lang=pt" 
"S1688-12492012000300005-ury","Apendicitis aguda, bacteriemia y artritis: manifestaciones de infección por Yersinia enterocolitica en un adolescente","Arocena, Carolina, Galazka, Jeannette, Picón, Teresa, Giachetto, Gustavo","Archivos de Pediatría del Uruguay; 83(3); 185-188","Archivos de Pediatría del Uruguay","Espanhol","2012","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-12492012000300005&lang=pt" 
"S1688-12492012000300001-ury","Primer Congreso Uruguayo de Neuropediatría","Scavone, Cristina, González, Gabriel","Archivos de Pediatría del Uruguay; 83(3); 163-164","Archivos de Pediatría del Uruguay","Espanhol","2012","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-12492012000300001&lang=pt" 
"S0798-43242012000100004-ven","¿Conocer A Juan Nuño?","Mata, Humberto","EPISTEME; 32(1-2); 19-22","EPISTEME","Espanhol","2012","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-43242012000100004&lang=pt" 
"S0798-43242012000100008-ven","Juan Nuño Y Su Filosofía de Wittgenstein","Alcaíno, Vanessa","EPISTEME; 32(1-2); 37-50","EPISTEME","Espanhol","2012","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-43242012000100008&lang=pt" 
"S0798-43242012000100009-ven","La Paradoja de La Actitud  Revolucionaria Filosófica","Cajías Calvet, David","EPISTEME; 32(1-2); 51-64","EPISTEME","Espanhol","2012","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-43242012000100009&lang=pt" 
"S0798-43242012000100011-ven","Nuño, Borges y la filosofía","Martínez, José Julián","EPISTEME; 32(1-2); 81-96","EPISTEME","Espanhol","2012","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-43242012000100011&lang=pt" 
"S0798-43242012000100010-ven","Filosofía y Revolución: reflexiones a partir de una crítica de Juan Nuño a la teoría marxista","Kohn, Carlos, Ojeda, Jesús","EPISTEME; 32(1-2); 65-80","EPISTEME","Espanhol","2012","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-43242012000100010&lang=pt" 
"S0798-43242012000100013-ven","El señalamiento de la dogmatización de la dialéctica en el pensamiento marxista crítico contemporáneo","Nuño, Juan A","EPISTEME; 32(1-2); 111-120","EPISTEME","Espanhol","2012","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-43242012000100013&lang=pt" 
"S0798-43242012000100012-ven","Nuño: Crítico literario (contribución para un estudio pendiente)","Sandoval, Carlos","EPISTEME; 32(1-2); 97-110","EPISTEME","Espanhol","2012","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-43242012000100012&lang=pt" 
"S0798-43242012000100014-ven","Un procedimiento para construir fórmulas proposicionales tautológicas dadas las variables de funciones veritativas","Nuño, Juan A","EPISTEME; 32(1-2); 121-132","EPISTEME","Espanhol","2012","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-43242012000100014&lang=pt" 
