"S1517-83822016000200489-scl","Sugarcane straw as a feedstock for xylitol production by Candida guilliermondii FTI 20037","Hernández-Pérez, Andrés Felipe, Arruda, Priscila Vaz de, Felipe, Maria das Graças de Almeida","Brazilian Journal of Microbiology; 47(2); 489-496","Brazilian Journal of Microbiology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822016000200489&lang=pt" 
"S1517-83822016000200497-scl","Enhancement of pigment extraction from B. braunii pretreated using CO2 rapid depressurization","Uquiche, Edgar, Antilaf, Ivette, Millao, Sonia","Brazilian Journal of Microbiology; 47(2); 497-505","Brazilian Journal of Microbiology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822016000200497&lang=pt" 
"S1517-83822016000200345-scl","Proteobacteria, extremophiles and unassigned species dominate in a tape-like showerhead biofilm","Charnock, Colin, Nordlie, Anne-Lise","Brazilian Journal of Microbiology; 47(2); 345-351","Brazilian Journal of Microbiology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822016000200345&lang=pt" 
"S1517-83822016000200337-scl","Characterization of the variable region in the class 1 integron of antimicrobial-resistant Escherichia coli isolated from surface water","Canal, Natália, Meneghetti, Karine Lena, Almeida, Clara Ponzi de, Bastos, Marina da Rosa, Otton, Letícia Muner, Corção, Gertrudes","Brazilian Journal of Microbiology; 47(2); 337-344","Brazilian Journal of Microbiology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822016000200337&lang=pt" 
"S1517-83822016000200410-scl","Matrix Assisted Laser Desorption/Ionization Time of Flight Mass Spectrometry for identification of Clostridium species isolated from Saudi Arabia","AlMogbel, Mohammed Suliman","Brazilian Journal of Microbiology; 47(2); 410-413","Brazilian Journal of Microbiology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822016000200410&lang=pt" 
"S1517-83822016000200403-scl","Evaluation of a fungal collection as certified reference material producer and as a biological resource center","Forti, Tatiana, Souto, Aline da S.S., Nascimento, Carlos Roberto S. do, Nishikawa, Marilia M., Hubner, Marise T.W., Sabagh, Fernanda P., Temporal, Rosane Maria, Rodrigues, Janaína M., Silva, Manuela da","Brazilian Journal of Microbiology; 47(2); 403-409","Brazilian Journal of Microbiology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822016000200403&lang=pt" 
"S1517-83822016000200414-scl","Curli fimbria: an Escherichia coli adhesin associated with human cystitis","Cordeiro, Melina Aparecida, Werle, Catierine Hirsch, Milanez, Guilherme Paier, Yano, Tomomasa","Brazilian Journal of Microbiology; 47(2); 414-416","Brazilian Journal of Microbiology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822016000200414&lang=pt" 
"S0103-84782016000601003-scl","Number of leaflets on rooting of lychee herbaceous cuttings","Alves, Ediane Conceição, Guimarães, João Emmanuel Ribeiro, Franco, Camila Kauffmann Becaro, Martins, Antonio Baldo Geraldo","Ciência Rural; 46(6); 1003-1006","Ciência Rural","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782016000601003&lang=pt" 
"S0103-84782016000601064-scl","Forage yield, rate of CO 2 assimilation, and quality of temperate annual forage species grown under artificial shading conditions","Soares, André Brugnara, Bernardon, Angela, Aiolfi, Ricardo Beffart","Ciência Rural; 46(6); 1064-1069","Ciência Rural","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782016000601064&lang=pt" 
"S0103-84782016000601070-scl","Prebiotic and antimicrobials on performance, carcass characteristics, and antibody production in broilers","Fomentini, Maíra, Haese, Douglas, Kill, João Luís, Sobreiro, Rodrigo Pereira, Puppo, Débora Del, Haddade, Ismail Ramalho, Lima, Anderson Lazarini, Saraiva, Alysson","Ciência Rural; 46(6); 1070-1075","Ciência Rural","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782016000601070&lang=pt" 
"S0103-84782016000601059-scl","Rhomboid cutaneous flap for defect correction after resection of trichoblastoma on dogs&#039; face","Araújo, Priscilla Bartolomeu de, Bonelli, Marília de Albuquerque, Campinho, Daniela da Silva Pereira, Souza, José Cláudio de Almeida, Coelho, Maria Cristina de Oliveira Cardoso","Ciência Rural; 46(6); 1059-1063","Ciência Rural","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782016000601059&lang=pt" 
