"S1852-73532012000200001-arg","O estatuto ontológico das pessoas no Ensaio de Locke","Pinheiro, Ulysses","Revista latinoamericana de filosofía; 38(2); 131-170","Revista latinoamericana de filosofía","Português","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73532012000200001&lang=pt" 
"S1852-73532012000200002-arg","¿Era Kant un terrorista moral, defensor de la guerra justa?","Marey, Macarena","Revista latinoamericana de filosofía; 38(2); 171-204","Revista latinoamericana de filosofía","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73532012000200002&lang=pt" 
"S1852-73532012000200003-arg","Hingabe an die Sache. Misticismo y fenomenología en la ciencia originaria preteorética del joven Heidegger","Roggero, Jorge Luis","Revista latinoamericana de filosofía; 38(2); 205-232","Revista latinoamericana de filosofía","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73532012000200003&lang=pt" 
"S1852-73532012000200004-arg","Un análisis crítico de la concepción mecanicista de la explicación","Barberis, Sergio Daniel","Revista latinoamericana de filosofía; 38(2); 233-265","Revista latinoamericana de filosofía","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73532012000200004&lang=pt" 
"S1852-73532012000200005-arg","Eduardo García Belsunce: (1930-2012)","Zwanck, Tomás E., Ibarlucía, Ricardo","Revista latinoamericana de filosofía; 38(2); 267-270","Revista latinoamericana de filosofía","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73532012000200005&lang=pt" 
"S1852-73532012000200006-arg","Juan Rodríguez Larreta: (1941-2012)","Stigol, Nora","Revista latinoamericana de filosofía; 38(2); 271-273","Revista latinoamericana de filosofía","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73532012000200006&lang=pt" 
"S1852-73532012000200007-arg","Pablo Sebastián García: (1955-2012)","Cassini, Alejandro","Revista latinoamericana de filosofía; 38(2); 274-275","Revista latinoamericana de filosofía","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73532012000200007&lang=pt" 
"S1852-73532012000200008-arg","","Patiri, Miguel","Revista latinoamericana de filosofía; 38(2); 277-280","Revista latinoamericana de filosofía","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73532012000200008&lang=pt" 
"S1852-73532012000200009-arg","El Capital en Hegel: Estudio sobre la lógica económica de la Filosofía del Derecho","Sisto, Martín","Revista latinoamericana de filosofía; 38(2); 280-283","Revista latinoamericana de filosofía","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73532012000200009&lang=pt" 
"S1852-73532012000200010-arg","","Veiga-Neto, Alfredo","Revista latinoamericana de filosofía; 38(2); 284-286","Revista latinoamericana de filosofía","Português","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73532012000200010&lang=pt" 
"S1852-73532012000200011-arg","Breviario de ética","García Gibson, Francisco","Revista latinoamericana de filosofía; 38(2); 286-288","Revista latinoamericana de filosofía","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73532012000200011&lang=pt" 
"S0872-19042012000600001-prt","Non-enzymatic Reduction of Hydrogen Peroxide Sensor Based on (Polyaniline-polystyrene Sulphonate): Carboxylated Graphene Modified Graphite Electrode","Prasannakumar, S., Manjunatha, R., Nethravathi, C., Suresh, G. S., Rajamathib, M., Venkateshad, T. V.","Portugaliae Electrochimica Acta; 30(6); 371-383","Portugaliae Electrochimica Acta","Inglês","2012","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-19042012000600001&lang=pt" 
"S0872-19042012000600002-prt","Degradation of Parachlorophenol by Electro-Fenton and Photo-Fenton Process Using Batch Recirculation Reactor","Manivasagan, V., Basha, C. Ahmed, Kannadasan, T., Saranya, K.","Portugaliae Electrochimica Acta; 30(6); 385-393","Portugaliae Electrochimica Acta","Inglês","2012","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-19042012000600002&lang=pt" 
