"S0103-84782012000900010-scl","Índices topográficos aplicados à modelagem agrícola e ambiental","Minella, Jean Paolo Gomes, Merten, Gustavo Henrique","Ciência Rural; 42(9); 1575-1582","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012000900010&lang=pt" 
"S0103-84782012000900012-scl","Ponto de amostragem ao longo do fuste para estimativa do poder calorífico da madeira","Silva, Dimas Agostinho da, Caron, Braulio Otomar, Behling, Alexandre, Souza, Velci Queiróz de, Eloy, Elder","Ciência Rural; 42(9); 1588-1595","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012000900012&lang=pt" 
"S0103-84782012000900007-scl","Desenvolvimento vegetativo de duas cultivares de oliveira na fase de muda","Lisboa, Priscila Maria Martins, Martins, Fabrina Bolzan, Alvarenga, Maria Inês Nogueira, Vieira Neto, João, Reis, Diogo da Fonseca","Ciência Rural; 42(9); 1556-1562","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012000900007&lang=pt" 
"S0103-84782012000900028-scl","Potencial do soro de leite líquido como agente encapsulante de Bifidobacterium Bb-12 por spray drying: comparação com goma arábica","Castro-Cislaghi, Fabiane Picinin de, Fritzen-Freire, Carlise Beddin, Sant&#039;Anna, Ernani Sebastião","Ciência Rural; 42(9); 1694-1700","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012000900028&lang=pt" 
"S0103-84782012000900030-scl","Agricultura familiar, multifuncionalidade da agricultura e ruralidade: interfaces de uma realidade complexa","Camargo, Regina Aparecida Leite de, Oliveira, Julieta Teresa Aier de","Ciência Rural; 42(9); 1707-1714","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012000900030&lang=pt" 
"S0103-84782012000900003-scl","Produção de forragem de gramíneas anuais semeadas no verão","Orth, Rafael, Fontaneli, Renato Serena, Fontaneli, Roberto Serena, Saccardo, Eduardo","Ciência Rural; 42(9); 1534-1540","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012000900003&lang=pt" 
"S0103-84782012000900017-scl","Fluorescence polarization assay, competitive enzyme-linked immunosorbent assay (ELISA-C) and indirect ELISA for the diagnosis of brucellosis in buffaloes (Bubalus bubalis)","Paulin, Lília Márcia Silva, Samartino, Luis Ernesto, Conde, Sandra Beatriz, Federsoni, Igor Stefan Poppovic, Ferreira, Fernando, Amaku, Marcos, Ferreira Neto, José Soares","Ciência Rural; 42(9); 1621-1626","Ciência Rural","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012000900017&lang=pt" 
"S0103-84782012000900005-scl","Brazilian ground pearl damaging blackberry, raspberry and blueberry in Brazil","Efrom, Caio Fábio Stoffel, Botton, Marcos, Meyer, Geraldine de Andrade","Ciência Rural; 42(9); 1545-1548","Ciência Rural","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012000900005&lang=pt" 
"S0717-92272012000300001-chl","Las malas funciones ejecutivas y la salud mental en el desarrollo","Halpern G, Muriel E","Revista chilena de neuro-psiquiatría; 50(3); 147-148","Revista chilena de neuro-psiquiatría","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272012000300001&lang=pt" 
"S0717-92272012000300002-chl","Recuerdos para un amigo, miembro distinguido y perdurable de la Sociedad de Neurología Psiquiatría y Neurocirugía","Cartier R, Luis","Revista chilena de neuro-psiquiatría; 50(3); 149-149","Revista chilena de neuro-psiquiatría","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272012000300002&lang=pt" 
"S0717-92272012000300003-chl","Sensible fallecimiento","González, Rafael","Revista chilena de neuro-psiquiatría; 50(3); 150-150","Revista chilena de neuro-psiquiatría","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272012000300003&lang=pt" 
