"S0717-73482012000300011-chl","PANORAMA","Cruz M, Edgardo, Astorga F, Luis","Revista chilena de enfermedades respiratorias; 28(3); 255-259","Revista chilena de enfermedades respiratorias","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482012000300011&lang=pt" 
"S0717-73482012000300001-chl","Contaminación atmosférica: Declaración de la Academia de Medicina, Instituto de Chile","Oyarzún G, Manuel, Valdivia C, Gonzalo","Revista chilena de enfermedades respiratorias; 28(3); 171-173","Revista chilena de enfermedades respiratorias","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482012000300001&lang=pt" 
"S0717-73482012000300003-chl","Determinación de péptidos solubles relacionados a mesotelina para la detección precoz del mesotelioma maligno","Solari G, Sandra, Goycolea M, Manuela, Villarroel D, Luis, Urzúa F, Ilse, Beroíza W, Teresa, Ricci B, Francisca, Solovera R, María E, Clavero R, José M","Revista chilena de enfermedades respiratorias; 28(3); 182-188","Revista chilena de enfermedades respiratorias","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482012000300003&lang=pt" 
"S1807-59322012000900022-scl","","","Clinics; 67(9); 1123-1123","Clinics","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322012000900022&lang=pt" 
"S1885-642X2012000300001-esp","Community pharmacy-based medication therapy management services: financial impact for patients","Dodson, Sarah E., Ruisinger, Janelle F., Howard, Patricia A., Hare, Sarah E., Barnes, Brian J.","Pharmacy Practice (Granada); 10(3); 119-124","Pharmacy Practice (Granada)","Inglês","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1885-642X2012000300001&lang=pt" 
"S1885-642X2012000300008-esp","Impact of a clinical pharmacist on a cardiovascular surrogate endpoint: a pilot study","Ripley, Toni L., Hennebry, Thomas A., Sanders, Tiffany N., Harrison, Donald, Rathbun, R. Chris","Pharmacy Practice (Granada); 10(3); 173-179","Pharmacy Practice (Granada)","Inglês","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1885-642X2012000300008&lang=pt" 
"S1885-642X2012000300002-esp","Disclosure and adverse effects of complementary and alternative medicine used by hospitalized patients in the North East of England","Bello, Nusirat, Winit-Watjana, Win, Baquir, Wasim, McGarry, Kenneth","Pharmacy Practice (Granada); 10(3); 125-135","Pharmacy Practice (Granada)","Inglês","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1885-642X2012000300002&lang=pt" 
"S1885-642X2012000300005-esp","Exploring long term implementation of cognitive services in community pharmacies: a qualitative study","Kaae, Susanne, Christensen, Søren Troels","Pharmacy Practice (Granada); 10(3); 151-158","Pharmacy Practice (Granada)","Inglês","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1885-642X2012000300005&lang=pt" 
"S0325-75412012000300009-arg","Evaluación inmunoenzimática del antígeno recombinante SAPA en perros infectados naturalmente por Trypanosoma cruzi","Cimino, Rubén O., Diosque, Patricio, López Quiroga, Inés R., Gil, José F., Nasser, Julio R.","Revista argentina de microbiología; 44(3); 177-181","Revista argentina de microbiología","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-75412012000300009&lang=pt" 
"S0325-75412012000300011-arg","Association between milking practices and psychrotrophic bacterial counts in bulk tank milk","Molineri, Ana I., Signorini, Marcelo L., Cuatrín, Alejandra L., Canavesio, Vilma R., Neder, Verónica E., Russi, Norma B., Bonazza, Julio C., Calvinho, Luis F.","Revista argentina de microbiología; 44(3); 187-194","Revista argentina de microbiología","Inglês","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-75412012000300011&lang=pt" 
"S0325-75412012000300013-arg","Bovine paratuberculosis: a review of the advantages and disadvantages of different diagnostic tests","Gilardoni, Liliana R., Paolicchi, Fernando A., Mundo, Silvia L.","Revista argentina de microbiología; 44(3); 201-215","Revista argentina de microbiología","Inglês","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-75412012000300013&lang=pt" 
"S0325-75412012000300001-arg","Ciencia, cultura de la cita y dinero","Carobene, Mauricio G.","Revista argentina de microbiología; 44(3); 135-137","Revista argentina de microbiología","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-75412012000300001&lang=pt" 
"S0325-75412012000300014-arg","Avances en el desarrollo de vacunas contra la neosporosis bovina","Hecker, Yanina P., Venturini, María C., Campero, Carlos M., Odeón, Anselmo C., Moore, Dadín P.","Revista argentina de microbiología; 44(3); 216-230","Revista argentina de microbiología","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-75412012000300014&lang=pt" 
"S0325-75412012000300002-arg","In vivo cell aggregations of a recent swine biofilm-forming isolate of Leptospira interrogans strain from Argentina","Brihuega, Bibiana, Samartino, Luis, Auteri, Carmelo, Venzano, Agustín, Caimi, Karina","Revista argentina de microbiología; 44(3); 138-143","Revista argentina de microbiología","Inglês","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-75412012000300002&lang=pt" 
