"S0041-47512012000200012-sza","Musiekentrepreneurskap: &#039;n Onmisbare element van die tersiêre musiekkurrikulum","van Zuilenburg, Paul Loeb","Tydskrif vir Geesteswetenskappe; 52(2); 322-336","Tydskrif vir Geesteswetenskappe","Africaner","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0041-47512012000200012&lang=pt" 
"S1132-12962012000100019-esp","De nuevo juntas","García Fernández, Miguel","Index de Enfermería; 21(1-2); 86-87","Index de Enfermería","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1132-12962012000100019&lang=pt" 
"S0036-36342012000300015-mex","El control del tabaco, estrategia esencial para reducir las enfermedades crónicas no transmisibles","Reynales-Shigematsu, Luz Myriam","Salud Pública de México; 54(3); 323-331","Salud Pública de México","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342012000300015&lang=pt" 
"S0036-36342012000300007-mex","Impacto de las advertencias con pictogramas en las cajetillas de cigarrillos en México: resultados de una encuesta en fumadores de Guadalajara","Thrasher, James F, Pérez-Hernández, Rosaura, Arillo-Santillán, Edna, Barrientos-Gutiérrez, Inti","Salud Pública de México; 54(3); 254-263","Salud Pública de México","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342012000300007&lang=pt" 
"S1132-12962012000100005-esp","Efectividad de la educación diabetológica sistematizada en niños que debutan con Diabetes Mellitus tipo 1","Montilla-Pérez, Manuel, Mena-López, Natalia, López-de-Andrés, Ana","Index de Enfermería; 21(1-2); 18-22","Index de Enfermería","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1132-12962012000100005&lang=pt" 
"S1132-12962012000100026-esp","","","Index de Enfermería; 21(1-2); 110-112","Index de Enfermería","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1132-12962012000100026&lang=pt" 
"S1415-52732012000300004-scl","Consumo de alimentos protetores e preditores do risco cardiovascular em adultos do estado de Pernambuco","Pinho, Cláudia Porto Sabino, Diniz, Alcides da Silva, Arruda, Ilma Kruze Grande de, Lira, Pedro Israel Cabral de, Cabral, Poliana Coelho, Siqueira, Leopoldina Augusta Souza, Batista Filho, Malaquias","Revista de Nutrição; 25(3); 341-351","Revista de Nutrição","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732012000300004&lang=pt" 
"S1415-52732012000300005-scl","Hábitos alimentares e comportamento de consumo infantil: influência da renda familiar e do hábito de assistir à televisão","Rodrigues, Vanessa Mello, Fiates, Giovanna Medeiros Rataichesck","Revista de Nutrição; 25(3); 353-362","Revista de Nutrição","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732012000300005&lang=pt" 
"S1415-52732012000300006-scl","Planejamento de cardápios para escolas públicas municipais: reflexão e ilustração desse processo em duas capitais brasileiras","Gabriel, Cristine Garcia, Costa, Larissa da Cunha Feio, Calvo, Maria Cristina Marino, Vasconcelos, Francisco de Assis Guedes de","Revista de Nutrição; 25(3); 363-372","Revista de Nutrição","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732012000300006&lang=pt" 
"S1415-52732012000300007-scl","Food service compliance with ISO 14001 and ISO 22000","Santos, Laura Lyra, Akutsu, Rita de Cássia Coelho de Almeida, Botelho, Raquel Braz Assunção, Zandonadi, Renata Puppin","Revista de Nutrição; 25(3); 373-380","Revista de Nutrição","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732012000300007&lang=pt" 
"S1415-52732012000300008-scl","O comércio de queijo de coalho na orla de Salvador, Bahia: trabalho infantil e segurança de alimentos","Meneses, Roberta Barbosa de, Cardoso, Ryzia de Cássia Vieira, Guimarães, Alaíse Gil, Góes, José Ângelo Wenceslau, Silva, Sueli Alves da, Argolo, Simone Vieira","Revista de Nutrição; 25(3); 381-392","Revista de Nutrição","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732012000300008&lang=pt" 
"S1415-52732012000300009-scl","Capacitação em antropometria como base para o fortalecimento do Sistema de Vigilância Alimentar e Nutricional no Brasil","Bagni, Ursula Viana, Barros, Denise Cavalcante de","Revista de Nutrição; 25(3); 393-402","Revista de Nutrição","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732012000300009&lang=pt" 
"S1415-52732012000300010-scl","Desnutrição perinatal e o controle hipotalâmico do comportamento alimentar e do metabolismo do músculo esquelético","Bento-Santos, Adriano, Silveira, Leonardo dos Reis, Manhães-de-Castro, Raul, Leandro, Carol Gois","Revista de Nutrição; 25(3); 403-413","Revista de Nutrição","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732012000300010&lang=pt" 
"S1726-46342012000200022-per","El día mundial de la salud, los determinantes sociales y las oportunidades","Bernardini-Zambrini, Diego A","Revista Peruana de Medicina Experimental y Salud Publica; 29(2); 287-288","Revista Peruana de Medicina Experimental y Salud Publica","Espanhol","2012","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1726-46342012000200022&lang=pt" 
"S1726-46342012000200023-per","Problemas en la prescripción médica para el adulto mayor en Perú","Rodríguez, Nelson, Puente, Iris, Bernabé-Ortiz, Antonio","Revista Peruana de Medicina Experimental y Salud Publica; 29(2); 288-288","Revista Peruana de Medicina Experimental y Salud Publica","Espanhol","2012","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1726-46342012000200023&lang=pt" 
"S1726-46342012000200020-per","Determinantes ambientales y sociales para la reemergencia de la leptospirosis en la región amazónica del Perú, 2012","Donaires, Luis F, Céspedes, Manuel J, Sihuincha, Moisés G, Pachas, Paúl E","Revista Peruana de Medicina Experimental y Salud Publica; 29(2); 280-284","Revista Peruana de Medicina Experimental y Salud Publica","Espanhol","2012","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1726-46342012000200020&lang=pt" 
"S0211-57352012000200003-esp","El Delirium: Una revisión orientada a la práctica clínica","Alonso Ganuza, Zuria, González-Torres, Miguel Ángel, Gaviria, Moisés","Revista de la Asociación Española de Neuropsiquiatría; 32(114); 247-259","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352012000200003&lang=pt" 
"S0211-57352012000200007-esp","El deseo y el poder: problemas del discurso de la medicina basada en la evidencia aplicado a salud mental","Rodríguez Olalla, Jesús, Ruiz Rodríguez, Álvaro, Pérez Méndez, José Luis, López Alanís, María del Carmen, Moya Corra, Pilar, Cano Valero, Mercedes","Revista de la Asociación Española de Neuropsiquiatría; 32(114); 305-320","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352012000200007&lang=pt" 
"S0211-57352012000200014-esp","Cuaderno de internos: Diagnósticos con cara y ojos","Rey, Carlos","Revista de la Asociación Española de Neuropsiquiatría; 32(114); 389-396","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352012000200014&lang=pt" 
"S0211-57352012000200017-esp","Propuesta de regulación de los ingresos involuntarios","Roig Salas, Alicia, González Alvarez, Onésimo, Díez Fernández, María Eugenia, Hernández Monsalve, Mariano, Leal Rubio, José, Santos Urbaneja, Fernando","Revista de la Asociación Española de Neuropsiquiatría; 32(114); 429-434","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352012000200017&lang=pt" 
"S0211-57352012000200001-esp","El foro de salud mental y la salud comunitaria","Carmona, José","Revista de la Asociación Española de Neuropsiquiatría; 32(114); 221-222","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352012000200001&lang=pt" 
"S0211-57352012000200018-esp","El tratamiento ambulatorio involuntario: Historia de una obstinación","Roig Salas, Alicia, González Alvarez, Onésimo, Díez Fernández, María Eugenia, Hernández Monsalve, Mariano, Leal Rubio, José, Santos Urbaneja, Fernando","Revista de la Asociación Española de Neuropsiquiatría; 32(114); 435-440","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352012000200018&lang=pt" 
