"S1647-61582012000100041-prt","Enquadramento: Intento","Maio, Fernanda","Revista :Estúdio; 3(5); 244-246","Revista :Estúdio","Português","2012","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1647-61582012000100041&lang=pt" 
"S1647-61582012000100019-prt","Fiestas y arremetidas: La selva urbana en la obra de Christian Bendayan","Barrio de Mendoza, Mihaela Radulescu de","Revista :Estúdio; 3(5); 106-111","Revista :Estúdio","Espanhol","2012","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1647-61582012000100019&lang=pt" 
"S1885-642X2012000200006-esp","Educating patients about warfarin therapy using information technology: a survey on healthcare professionals’ perspectives","Nasser, Sayeed, Mullan, Judy, Bajorek, Beata","Pharmacy Practice (Granada); 10(2); 97-104","Pharmacy Practice (Granada)","Inglês","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1885-642X2012000200006&lang=pt" 
"S1885-642X2012000200002-esp","Use of a generic protocol in documentation of prescription errors in Estonia, Norway and Sweden","Volmer, Daisy, Haavik, Svein, Ekedahl, Anders","Pharmacy Practice (Granada); 10(2); 72-77","Pharmacy Practice (Granada)","Inglês","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1885-642X2012000200002&lang=pt" 
"S1885-642X2012000200003-esp","Student pharmacist initiated medication reconciliation in the outpatient setting","Andrus, Miranda R.","Pharmacy Practice (Granada); 10(2); 78-82","Pharmacy Practice (Granada)","Inglês","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1885-642X2012000200003&lang=pt" 
"S1885-642X2012000200007-esp","Impact of a pharmacist-directed educational program on the long-term knowledge and use of folic acid among college women: a 12-month follow-up study","Murphy, Bethany L., Dipietro, Natalie A.","Pharmacy Practice (Granada); 10(2); 105-109","Pharmacy Practice (Granada)","Inglês","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1885-642X2012000200007&lang=pt" 
"S1885-642X2012000200008-esp","Are Sudanese community pharmacists capable to prescribe and demonstrate asthma inhaler devices to patrons?: a mystery patient study","Osman, Abuzar, Ahmed Hassan, Imad S., Ibrahim, Mohamed Izham M.","Pharmacy Practice (Granada); 10(2); 110-115","Pharmacy Practice (Granada)","Inglês","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1885-642X2012000200008&lang=pt" 
"S1885-642X2012000200010-esp","Handbook of Pharmaceutical Excipients","","Pharmacy Practice (Granada); 10(2); 117-117","Pharmacy Practice (Granada)","Inglês","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1885-642X2012000200010&lang=pt" 
"S1885-642X2012000200009-esp","Basic Pharmacokinetics","","Pharmacy Practice (Granada); 10(2); 116-116","Pharmacy Practice (Granada)","Inglês","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1885-642X2012000200009&lang=pt" 
"S1885-642X2012000200001-esp","Efficacy of class III antiarrhythmics and magnesium combination therapy for atrial fibrillation","Wang, Amy","Pharmacy Practice (Granada); 10(2); 65-71","Pharmacy Practice (Granada)","Inglês","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1885-642X2012000200001&lang=pt" 
"S1852-42652012000100001-arg","Editorial","","Revista Universitaria de Geografía; 21(1); -","Revista Universitaria de Geografía","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-42652012000100001&lang=pt" 
"S1852-42652012000100008-arg","Estudio integrado ambiental del balneario Pehuén Co","Piccolo, Maria Cintia","Revista Universitaria de Geografía; 21(1); -","Revista Universitaria de Geografía","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-42652012000100008&lang=pt" 
"S1852-42652012000100009-arg","Geomorfología regional y dinámica costera del sector occidental del golfo San Matías","Piccolo, María Cintia","Revista Universitaria de Geografía; 21(1); -","Revista Universitaria de Geografía","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-42652012000100009&lang=pt" 
"S1852-42652012000100004-arg","Efectos hidrogeomorfológicos de la represa &quot;Casa de Piedra&quot;: Variación témporo espacial en hidrología y drenaje","Cazenave, Héctor Walter","Revista Universitaria de Geografía; 21(1); -","Revista Universitaria de Geografía","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-42652012000100004&lang=pt" 
"S1852-42652012000100007-arg","Luján como hierópolis: del relato espacial al lugar religioso","Flores, Fabián Claudio","Revista Universitaria de Geografía; 21(1); -","Revista Universitaria de Geografía","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-42652012000100007&lang=pt" 
"S1852-42652012000100002-arg","Propuesta metodológica para la enseñanza de la problemática ambiental como contenido programático en la educación geográfica","Prieto, María Natalia, Lorda, María Amalia","Revista Universitaria de Geografía; 21(1); -","Revista Universitaria de Geografía","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-42652012000100002&lang=pt" 
"S1852-42652012000100006-arg","Movilidad de estudiantes de educación superior en el contexto de las migraciones contemporáneas: La experiencia de la Universidad Nacional del Sur","Fittipaldi, Rosa Á, Mira, Silvia G., Espasa, Loreana C.","Revista Universitaria de Geografía; 21(1); -","Revista Universitaria de Geografía","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-42652012000100006&lang=pt" 
"S1852-42652012000100011-arg","Efecto de la variabilidad climática del balneario Monte Hermoso sobre su geomorfología costera y el confort climático","Piccolo, María Cintia","Revista Universitaria de Geografía; 21(1); -","Revista Universitaria de Geografía","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-42652012000100011&lang=pt" 
"S1852-42652012000100005-arg","Análisis de la mortalidad en la ciudad de Tandil utilizando Sistemas de Información Geográfica","Tisnés, Adela","Revista Universitaria de Geografía; 21(1); -","Revista Universitaria de Geografía","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-42652012000100005&lang=pt" 
