"S1413-81232012000500011-spa","Atendimento de saúde para pessoas idosas vítimas de violência no município do Rio de Janeiro","Ribeiro, Adalgisa Peixoto, Souza, Edinilsa Ramos de, Valadares, Fabiana Castelo","Ciência &amp; Saúde Coletiva; 17(5); 1167-1177","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000500011&lang=pt" 
"S1413-81232012000500010-spa","Perfil do idoso dependente de cuidado domiciliar em comunidades de baixo nível socioeconômico de Porto Alegre, Rio Grande do Sul","Del Duca, Giovâni Firpo, Martinez, Aline de Deus, Bastos, Gisele Alsina Nader","Ciência &amp; Saúde Coletiva; 17(5); 1159-1165","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000500010&lang=pt" 
"S1413-81232012000500009-spa","Significado da atuação da equipe da Estratégia de Saúde da Família em uma comunidade socialmente vulnerável","Backes, Dirce Stein, Backes, Marli Terezinha Stein, Erdmann, Alacoque Lorenzini, Büscher, Andreas, Marchiori, Mara Teixeira, Koerich, Magda Santos","Ciência &amp; Saúde Coletiva; 17(5); 1151-1157","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000500009&lang=pt" 
"S1413-81232012000500008-spa","Apoio matricial em saúde do trabalhador: tecendo redes na atenção básica do SUS, o caso de Amparo/ SP","Santos, Ana Paula Lopes dos, Lacaz, Francisco Antonio de Castro","Ciência &amp; Saúde Coletiva; 17(5); 1143-1150","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000500008&lang=pt" 
"S1413-81232012000500007-spa","&quot;Sentir-se em casa longe de casa&quot;: vulnerabilidade, religiosidade e apoio social entre os migrantes brasileiros no Japão","Matsue, Regina Yoshie","Ciência &amp; Saúde Coletiva; 17(5); 1135-1142","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000500007&lang=pt" 
"S1413-81232012000500006-spa","Rede de apoio social e saúde de idosos pneumopatas crônicos","Mesquita, Rafael Barreto de, Morano, Maria Tereza Aguiar Pessoa, Landim, Fátima Luna Pinheiro, Collares, Patrícia Moreira Costa, Pinto, Juliana Maria de Sousa","Ciência &amp; Saúde Coletiva; 17(5); 1125-1133","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000500006&lang=pt" 
"S1413-81232012000500005-spa","As autoras respondem","","Ciência &amp; Saúde Coletiva; 17(5); 1119-1124","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000500005&lang=pt" 
"S0102-311X2012000500019-spa","Tradução e adaptação transcultural da Multiple Sclerosis Walking Scale - 12 (MSWS-12) para a língua portuguesa do Brasil","Nogueira, Leandro Alberto Calazans, Baitelli, Carolinne, Alvarenga, Regina Maria Papais, Thuler, Luiz Claudio Santos","Cadernos de Saúde Pública; 28(5); 998-1004","Cadernos de Saúde Pública","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2012000500019&lang=pt" 
"S0102-311X2012000500018-spa","Cobertura da Comunicação de Informação Hospitalar e Ambulatorial (CIHA) utilizando os partos registrados no Sistema de Informações sobre Nascidos Vivos, Brasil, 2006 a 2009","Pinheiro, Rejane Sobrino, Silva, Juliana Romualdo do Nascimento da, Lima, Cláudia Risso de Araujo, Coeli, Cláudia Medina","Cadernos de Saúde Pública; 28(5); 991-997","Cadernos de Saúde Pública","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2012000500018&lang=pt" 
"S0102-311X2012000500017-spa","Proposta sobre uso de dados de receitas de antimicrobianos retidas: a experiência EUREQA","Camargo, Eduardo Celso Gerbi, Kiffer, Carlos Roberto Veiga, Pignatari, Antonio Carlos Campos, Shimakura, Silvia Emiko, Ribeiro Jr, Paulo Justiniano, Monteiro, Antonio Miguel Vieira","Cadernos de Saúde Pública; 28(5); 985-990","Cadernos de Saúde Pública","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2012000500017&lang=pt" 
"S0102-311X2012000500016-spa","Socioeconomic status and age at menarche in indigenous and non-indigenous Chilean adolescents","Amigo, Hugo, Vásquez, Sofía, Bustos, Patricia, Ortiz, Guillermo, Lara, Macarena","Cadernos de Saúde Pública; 28(5); 977-983","Cadernos de Saúde Pública","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2012000500016&lang=pt" 
