"S0080-62342016000300434-scl","Creation of complexity assessment tool for patients receiving home care","Bôas, Maria Leopoldina de Castro Villas, Shimizu, Helena Eri, Sanchez, Mauro Niskier","Revista da Escola de Enfermagem da USP; 50(3); 434-441","Revista da Escola de Enfermagem da USP","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342016000300434&lang=pt" 
"S0080-62342016000300427-scl","Triage in an adult emergency service: patient satisfaction","Silva, Pollyane Liliane, Paiva, Luciana, Faria, Veridiana Bernardes, Ohl, Rosali Isabel Barduchi, Chavaglia, Suzel Regina Ribeiro","Revista da Escola de Enfermagem da USP; 50(3); 427-433","Revista da Escola de Enfermagem da USP","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342016000300427&lang=pt" 
"S0080-62342016000300482-scl","Teamwork in a coronary care unit: facilitating and hindering aspects","Goulart, Bethania Ferreira, Camelo, Silvia Helena Henriques, Simões, Ana Lúcia de Assis, Chaves, Lucieli Dias Pedreschi","Revista da Escola de Enfermagem da USP; 50(3); 482-489","Revista da Escola de Enfermagem da USP","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342016000300482&lang=pt" 
"S1414-462X2016000200252-scl","Qualidade da assistência pré-natal no Brasil: revisão de artigos publicados de 2005 a 2015","Nunes, Juliana Teixeira, Gomes, Keila Rejane Oliveira, Rodrigues, Malvina Thaís Pacheco, Mascarenhas, Márcio Denis Medeiros","Cadernos Saúde Coletiva; 24(2); 252-261","Cadernos Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-462X2016000200252&lang=pt" 
"S0101-73302016000200445-scl","&quot;ATRÁS DA CONSCIÊNCIA, ESTÁ A VIDA&quot;: O AFASTAMENTO TEÓRICO LEONTIEV-VIGOTSKI NA DINÂMICA DOS CÍRCULOS VIGOTSKIANOS","Toassa, Gisele","Educação &amp; Sociedade; 37(135); 445-462","Educação &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302016000200445&lang=pt" 
"S0101-73302016000200391-scl","ESTUDOS SOBRE ESTRATIFICAÇÃO EDUCACIONAL: SÍNTESE DOS PRINCIPAIS ARGUMENTOS E DESDOBRAMENTOS","Picanço, Felícia, Morais, Juliana","Educação &amp; Sociedade; 37(135); 391-406","Educação &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302016000200391&lang=pt" 
"S0080-62342016000300390-scl","Mortality among children under the age of one: analysis of cases after discharge from maternity *","Santos, Elieni Paula dos, Ferrari, Rosângela Aparecida Pimenta, Bertolozzi, Maria Rita, Cardelli, Alexandrina Aparecida Maciel, Godoy, Christine Bacarat de, Genovesi, Flávia Françoso","Revista da Escola de Enfermagem da USP; 50(3); 390-398","Revista da Escola de Enfermagem da USP","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342016000300390&lang=pt" 
"S1414-462X2016000200221-scl","Sintomas depressivos em adolescentes em situação de vulnerabilidade social","Barbosa, Diego Grasel, Andrade, Rubian Diego, Teixeira, Clarissa Stefani, Gomes Filho Neto, Manoel, Felden, Érico Pereira Gomes","Cadernos Saúde Coletiva; 24(2); 221-227","Cadernos Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-462X2016000200221&lang=pt" 
"S0101-73302016000200371-scl","A CONTRIBUIÇÃO DOS MOVIMENTOS SOCIAIS PARA A EFETIVAÇÃO DA EDUCAÇÃO DO CAMPO: A EXPERIÊNCIA DO PROGRAMA NACIONAL DE EDUCAÇÃO NA REFORMA AGRÁRIA","Gonçalves, Eloísa Dias","Educação &amp; Sociedade; 37(135); 371-389","Educação &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302016000200371&lang=pt" 
"S1414-462X2016000200170-scl","Comportamentos e conhecimentos de cirurgiões-dentistas da atenção primária à saúde quanto ao câncer bucal","Souza, João Gabriel Silva, Sá, Maria Aparecida Barbosa de, Popoff, Daniela Araújo Veloso","Cadernos Saúde Coletiva; 24(2); 170-177","Cadernos Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-462X2016000200170&lang=pt" 
"S0080-62342016000300490-scl","Patient safety in organizational culture as perceived by leaderships of hospital institutions with different types of administration","Silva, Natasha Dejigov Monteiro da, Barbosa, Antonio Pires, Padilha, Kátia Grillo, Malik, Ana Maria","Revista da Escola de Enfermagem da USP; 50(3); 490-497","Revista da Escola de Enfermagem da USP","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342016000300490&lang=pt" 
