"S2225-62532012000800006-sza","Some pitfalls and misuses of rock mass classification systems for mine design","Potvin, Y., Dight, P.M., Wesseloo, J.","Journal of the Southern African Institute of Mining and Metallurgy; 112(8); 01-06","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532012000800006&lang=pt" 
"S2225-62532012001200011-sza","SART for copper control in cyanide heap leaching","Stewart, M., Kappes, D.","Journal of the Southern African Institute of Mining and Metallurgy; 112(12); 1037-1043","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532012001200011&lang=pt" 
"S2225-62532012000100007-sza","Improving financial returns from mining through geostatistical simulation and the optimized advance drilling grid at El Tesoro Copper Mine","Ortiz, J.M., Magri, E.J., Líbano, R.","Journal of the Southern African Institute of Mining and Metallurgy; 112(1); 15-22","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532012000100007&lang=pt" 
"S2225-62532012000100009-sza","Kell hydrometallurgical process for extraction of platinum group metals and base metals from flotation concentrates","Liddell, K.S., Adams, M.D.","Journal of the Southern African Institute of Mining and Metallurgy; 112(1); 31-36","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532012000100009&lang=pt" 
"S2225-62532012000100008-sza","Effect of load variability on matching during continuous microwave treatment of crushed mineral ores","Bradshaw, S.M., Marchand, R.","Journal of the Southern African Institute of Mining and Metallurgy; 112(1); 23-29","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532012000100008&lang=pt" 
"S2225-62532012000900007-sza","The Southern African Institute of Mining and Metallurgy: Annual Financial Statements for the year ended 30 June 2012","","Journal of the Southern African Institute of Mining and Metallurgy; 112(9); 823-837","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532012000900007&lang=pt" 
"S2225-62532012000800001-sza","International Rock Mechanics Symposium","Robinson, R.E.","Journal of the Southern African Institute of Mining and Metallurgy; 112(8); 01-01","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532012000800001&lang=pt" 
"S2225-62532012000800002-sza","President´s corners","van der Merwe, J.N.","Journal of the Southern African Institute of Mining and Metallurgy; 112(8); 01-01","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532012000800002&lang=pt" 
"S2225-62532012000200011-sza","Sustainability through responsible environmental mining","Nzimande, Z., Chauke, H.","Journal of the Southern African Institute of Mining and Metallurgy; 112(2); 135-139","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532012000200011&lang=pt" 
"S2225-62532012000200014-sza","Economics of mine water treatment","Dvořáček, J., Vidlář, J., Štĕrba, J., Heviánková, S., Vanĕk, M., Barták, P.","Journal of the Southern African Institute of Mining and Metallurgy; 112(2); 157-159","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532012000200014&lang=pt" 
"S2225-62532012001200017-sza","Characterization and alternative dissolution of tantalite mineral samples from Mozambique","Nete, M., Purcell, W., Snyders, E., Nel, J.T., Beukes, G.","Journal of the Southern African Institute of Mining and Metallurgy; 112(12); 1079-1086","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532012001200017&lang=pt" 
"S2225-62532012000200001-sza","Journal Comment - mine safety with heritage security","Robinson, R.E.","Journal of the Southern African Institute of Mining and Metallurgy; 112(2); IV-IV","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532012000200001&lang=pt" 
"S2225-62532012000900003-sza","Strategic long term planning in mining","Smith, G.L.","Journal of the Southern African Institute of Mining and Metallurgy; 112(9); 761-774","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532012000900003&lang=pt" 
"S2225-62532012000100012-sza","Qualitative analysis of fine coals obtained from triboelectrostatic separation","Bada, S.O., Falcon, L.M., Falcon, R.M.S., Du Cann, V.M.","Journal of the Southern African Institute of Mining and Metallurgy; 112(1); 55-62","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532012000100012&lang=pt" 
"S2225-62532012000200012-sza","The application of GRP and thin spray liner support products in a typical block cave mining method to enhance safety and productivity","Ferreira, P.H., Piroddi, A.","Journal of the Southern African Institute of Mining and Metallurgy; 112(2); 141-150","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532012000200012&lang=pt" 
"S2225-62532012000800005-sza","Numerical simulation of shear fracture evolution in laboratory-scale samples","Roberts, D.P.","Journal of the Southern African Institute of Mining and Metallurgy; 112(8); 01-11","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532012000800005&lang=pt" 
"S2225-62532012000200015-sza","Practice and prospects of fully mechanized mining technology for thin coal seams in China","Wang, F., Tu, S., Bai, Q.","Journal of the Southern African Institute of Mining and Metallurgy; 112(2); 161-170","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532012000200015&lang=pt" 
"S2225-62532012000900002-sza","Contribution to the 114th Annual General Meeting","Deats, Mike","Journal of the Southern African Institute of Mining and Metallurgy; 112(9); ix-ix","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532012000900002&lang=pt" 
