"S0718-18762017000100005-chl","Intentions to Use the Yelp Review Website and Purchase Behavior after Reading Reviews","Fogel, Joshua, Zachariah, Samson","Journal of theoretical and applied electronic commerce research; 12(1); 53-67","Journal of theoretical and applied electronic commerce research","Inglês","2017","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-18762017000100005&lang=pt" 
"S1676-06032017000100304-scl","Ichthyofauna of Mundaú river basin, Ceará State, Northeastern Brazil","Teixeira, Francisco Keilo, Ramos, Telton Pedro Anselmo, Paiva, Roney Emanuel Costa de, Távora, Marcelo Aguiar, Lima, Sergio Maia Queiroz, Rezende, Carla Ferreira","Biota Neotropica; 17(1); -","Biota Neotropica","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032017000100304&lang=pt" 
"S0718-18762017000100002-chl","Exploratory Study on Anchoring: Fake Vote Counts in Consumer Reviews Affect Judgments of Information Quality","Nakayama, Makoto, Wan, Yun","Journal of theoretical and applied electronic commerce research; 12(1); 1-20","Journal of theoretical and applied electronic commerce research","Inglês","2017","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-18762017000100002&lang=pt" 
"S0101-20612017005002107-scl","Ultrasound-assisted extraction of fructans from agave (Agave tequilana Weber var. azul) at different ultrasound powers and solid-liquid ratios","SÁNCHEZ-MADRIGAL, Miguel Ángel, AMAYA-GUERRA, Carlos Abel, QUINTERO-RAMOS, Armando, BÁEZ-GONZÁLEZ, Juan Gabriel, NÚÑEZ-GONZÁLEZ, María Adriana, RUIZ-GUTIÉRREZ, Martha Graciela, GARZÓN-TIZNADO, José Antonio","Food Science and Technology (Campinas); (ahead); -","Food Science and Technology (Campinas)","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612017005002107&lang=pt" 
"S0101-20612017005002109-scl","Optimization of tropical fruit juice based on sensory and nutritional characteristics","CURI, Paula Nogueira, ALMEIDA, Aline Botelho de, TAVARES, Bruna de Sousa, NUNES, Cleiton Antônio, PIO, Rafael, PASQUAL, Moacir, SOUZA, Vanessa Rios de","Food Science and Technology (Campinas); (ahead); -","Food Science and Technology (Campinas)","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612017005002109&lang=pt" 
"S2318-03312017000100203-scl","The efficiency of curved jetties in Bay of Santos – SP: numerical modeling","Gireli, Tiago Zenker, Souza, Camila Maria Mateus Alves de, Nobre, Larissa Bertholdo, Garcia, Patrícia Dalsoglio","RBRH; 22(); -","RBRH","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2318-03312017000100203&lang=pt" 
"S0101-20612017005002108-scl","Cytotoxic, genotoxic and mutagenic potential of UHT whole milk","CARVALHO, Brenda de Lima, SALES, Ila Monize Sousa, PERON, Ana Paula","Food Science and Technology (Campinas); (ahead); -","Food Science and Technology (Campinas)","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612017005002108&lang=pt" 
"S0101-20612017005002105-scl","Effect of baru (Dipteryx alata Vog.) addition on the composition and nutritional quality of cookies","CAETANO, Kelly Aparecida, CEOTTO, Juliana Muselli, RIBEIRO, Ana Paula Badan, MORAIS, Francielli Pires Ribeiro de, FERRARI, Roseli Aparecida, PACHECO, Maria Teresa Bertoldo, CAPITANI, Caroline Dario","Food Science and Technology (Campinas); (ahead); -","Food Science and Technology (Campinas)","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612017005002105&lang=pt" 
"S0101-20612017005002104-scl","Characterization and study of functional properties of banana starch green variety of Mysore (Musa AAB - Mysore)","FONTES, Sabrina de Medeiros, CAVALCANTI, Mônica Tejo, CANDEIA, Roberlúcia Araújo, ALMEIDA, Eveline Lopes","Food Science and Technology (Campinas); (ahead); -","Food Science and Technology (Campinas)","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612017005002104&lang=pt" 
"S2318-03312017000100202-scl","Alternative mechanisms of charging for use of water resources in wastewater assimilation","Oliveira, Amanda Rodrigues Moreira de, Borges, Alisson Carraro, Matos, Antonio Teixeira de, Silva, Demétrius David da, Pruski, Fernando Falco","RBRH; 22(); -","RBRH","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2318-03312017000100202&lang=pt" 
"S2318-03312017000100201-scl","Wave directional measurement in Patos Lagoon, RS, Brazil","Lemke, Natália, Calliari, Lauro Julio, Fontoura, José Antônio Scotti, Aguiar, Déborah Fonseca","RBRH; 22(); -","RBRH","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2318-03312017000100201&lang=pt" 
