"S0717-92272016000200009-chl","Estado actual de los trastornos somatomorfos y conversivos en niños y adolescentes","Arancibia M, Marcelo, Sepúlveda A, Elisa, Martínez-Aguayo, Juan Carlos, Behar A, Rosa","Revista chilena de neuro-psiquiatría; 54(2); 151-161","Revista chilena de neuro-psiquiatría","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272016000200009&lang=pt" 
"S0717-92272016000200008-chl","Antipsicóticos y suicidio","Martínez-Aguayo, Juan Carlos, Silva, Hernán, Arancibia, Marcelo, Angulo, Claudia, Madrid, Eva","Revista chilena de neuro-psiquiatría; 54(2); 141-150","Revista chilena de neuro-psiquiatría","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272016000200008&lang=pt" 
"S0718-28132016000100007-chl","Gian Mario Giuliano Morbelli Ingeniero Civil 1953 -2015","Dechent, Peter","Obras y proyectos; (19); 84-87","Obras y proyectos","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-28132016000100007&lang=pt" 
"S0100-69912016000300149-scl","Type 2 Diabetes Mellitus remission eighteen months after Roux-en-Y gastric bypass.","GIRUNDI, MARCELO GOMES","Revista do Colégio Brasileiro de Cirurgiões; 43(3); 149-153","Revista do Colégio Brasileiro de Cirurgiões","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912016000300149&lang=pt" 
"S0718-28132016000100003-chl","Análisis del período y desplazamiento de edificios de hormigón armado considerando distintos grados de rigidez en sus elementos resistentes","López, Constanza, Music, Juan","Obras y proyectos; (19); 33-47","Obras y proyectos","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-28132016000100003&lang=pt" 
"S0100-69912016000300185-scl","Minimally invasive treatment of vesicourethral leak after laparoscopic radical prostatectomy","ELMOR, TIAGO RIVELLO, RUBINSTEIN, MAURICIO, LIMA, GUILHERME, CRUZ, ANTONIO CESAR, PEREIRA, CLOVIS FRAGA TENÓRIO, RUBINSTEIN, IRINEU","Revista do Colégio Brasileiro de Cirurgiões; 43(3); 185-188","Revista do Colégio Brasileiro de Cirurgiões","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912016000300185&lang=pt" 
"S0100-69912016000300171-scl","Multiprofissional electronic protocol in ophtalmology with enfasis in strabismus","RIBEIRO, CHRISTIE GRAF, MOREIRA, ANA TEREZA RAMOS, PINTO, JOSÉ SIMÃO DE PAULA, MALAFAIA, OSVALDO","Revista do Colégio Brasileiro de Cirurgiões; 43(3); 171-177","Revista do Colégio Brasileiro de Cirurgiões","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912016000300171&lang=pt" 
"S0100-69912016000300209-scl","Minilaparoscopy-assisted transumbilical laparoscopic cholecystectomy","LIMA, GERALDO JOSÉ DE SOUZA, LEITE, RODRIGO FABIANO GUEDES, ABRAS, GUSTAVO MUNAYER, PIRES, LIVIO JOSÉ SURETTI, CASTRO, EDUARDO GODOY","Revista do Colégio Brasileiro de Cirurgiões; 43(3); 209-213","Revista do Colégio Brasileiro de Cirurgiões","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912016000300209&lang=pt" 
"S0100-69912016000300165-scl","Comparative evaluation of ventilatory function through pre and postoperative peak expiratory flow in patients submitted to elective upper abdominal surgery","SCHEEREN, CAIO FERNANDO CAVANUS, GONÇALVES, JOSÉ JÚLIO SARAIVA","Revista do Colégio Brasileiro de Cirurgiões; 43(3); 165-170","Revista do Colégio Brasileiro de Cirurgiões","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912016000300165&lang=pt" 
"S0100-69912016000300160-scl","Augmentation mastopexy after bariatric surgery: evaluation of patient satisfaction and surgical results.","JUNIOR, WILSON CINTRA, MODOLIN, MIGUEL LUIZ ANTONIO, ROCHA, RODRIGO ITOCAZO, GEMPERLI, ROLF","Revista do Colégio Brasileiro de Cirurgiões; 43(3); 160-164","Revista do Colégio Brasileiro de Cirurgiões","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912016000300160&lang=pt" 
"S0718-28132016000100002-chl","Incertidumbre en la estimación de la altura significativa espectral y el período energético en el modelado de propagación de oleaje - caso región de Valparaíso","Beyá, José, Gallardo, Ariel, Lucero, Felipe, Catalán, Patricio, Puelma, Andrés","Obras y proyectos; (19); 24-32","Obras y proyectos","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-28132016000100002&lang=pt" 
