"S0104-42302011000600018-scl","Risk factors for hypertensive disorders of pregnancy in southern Brazil","Dalmáz, Caroline Abrão, Santos, Kátia Gonçalves dos, Botton, Mariana Rodrigues, Roisenberg, Israel","Revista da Associação Médica Brasileira; 57(6); 692-696","Revista da Associação Médica Brasileira","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302011000600018&lang=pt" 
"S0080-62342011000600001-scl","Rede de revistas em enfermagem: um desafio a ser compartilhado","Angelo, Margareth, Leite, Maria Madalena Januário, Castilho, Valéria","Revista da Escola de Enfermagem da USP; 45(6); 1279-1280","Revista da Escola de Enfermagem da USP","Inglês, Português, Espanhol","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342011000600001&lang=pt" 
"S1817-74332011000200006-bol","Especies y concentración bacterianas en bilis de colecistectomías realizadas en la Clínica &quot;Cobija&quot;, segundo semestre 2009","Espinoza Gómez, Dana Emilia, Fernández Sanchez, Mary Rissia, Ferrufino Iriarte, Paola Maricel, Burgoa Quintana, Wilson, Sejas Revollo, Magaly","Revista Científica Ciencia Médica; 14(2); 20-23","Revista Científica Ciencia Médica","Espanhol","2011","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1817-74332011000200006&lang=pt" 
"S1817-74332011000200014-bol","Síndrome de Burnout en Estudiantes de Medicina Latinoamericanos, una materia pendiente","Olmos de Aguilera- Aedo, Romina, Alfaro-Toloza, Patricio","Revista Científica Ciencia Médica; 14(2); 47-47","Revista Científica Ciencia Médica","Espanhol","2011","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1817-74332011000200014&lang=pt" 
"S0100-84042011000400015-scl","Errata","","Brazilian Journal of Botany; 34(4); 611-611","Brazilian Journal of Botany","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-84042011000400015&lang=pt" 
"S1817-74332011000200007-bol","Efecto terapéutico en el tratamiento del Acné Vulgar usando principios activos de MELISSA OFFICINALIS L. y PLANTAGO LANCEOLATA","Carvajal Yañez, Noelia, Canaviri, Deysi, Callejas, Marizol, Carrasco, Paola","Revista Científica Ciencia Médica; 14(2); 24-27","Revista Científica Ciencia Médica","Espanhol","2011","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1817-74332011000200007&lang=pt" 
"S1817-74332011000200002-bol","Plagio, una falta de Ética","Rodríguez-Quispe, Noelia, Sanchez-Baya, Maya","Revista Científica Ciencia Médica; 14(2); 6-7","Revista Científica Ciencia Médica","Espanhol","2011","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1817-74332011000200002&lang=pt" 
"S1817-74332011000200005-bol","Patologías prevalentes en hospitalizados con Labio Leporino y/o Paladar Hendido del Hospital Materno-Infantil &quot;Germán Urquidi&quot;, Julio 2007-Agosto 2011","Méndez Pardo, Alejandro, López Saavedra, Edgar","Revista Científica Ciencia Médica; 14(2); 16-19","Revista Científica Ciencia Médica","Espanhol","2011","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1817-74332011000200005&lang=pt" 
"S0104-06182011000300001-scl","Crédito, capital fictício, fragilidade financeira e crises: discussões teóricas, origens e formas de enfrentamento da crise atual","Mollo, Maria de Lourdes Rollemberg","Economia e Sociedade; 20(3); 449-474","Economia e Sociedade","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-06182011000300001&lang=pt" 
"S0104-06182011000300002-scl","Liberalização, vulnerabilidade financeira e instabilidade: algumas considerações sobre a economia brasileira","Amado, Adriana Moreira, Caruso, Paulo Rodrigo de Santana e","Economia e Sociedade; 20(3); 475-499","Economia e Sociedade","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-06182011000300002&lang=pt" 
"S0104-06182011000300004-scl","Preços de commodities e nível de atividade em uma pequena economia aberta: evidências empíricas para o estado do Espírito Santo","Magalhães, Matheus Albergaria de","Economia e Sociedade; 20(3); 533-566","Economia e Sociedade","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-06182011000300004&lang=pt" 
